District,Poll Number,Poll Name,Omer Bourque,Anna Girouard,Dominic LeBlanc,Angela Vautour,Rejected Ballots,Total Vote,Electors
Beauséjour/Beauséjour,104,Memramcook,10,5,102,28,0,145,215
Beauséjour/Beauséjour,105A,College Bridge,10,2,89,31,1,133,210
Beauséjour/Beauséjour,105B,College Bridge,23,6,121,42,1,193,301
Beauséjour/Beauséjour,106,Memramcook West,40,14,159,63,0,276,448
Beauséjour/Beauséjour,107,Dieppe,35,13,149,29,6,232,398
Beauséjour/Beauséjour,108,Dieppe,36,13,156,44,3,252,418
Beauséjour/Beauséjour,109A,Dieppe,22,12,143,40,2,219,350
Beauséjour/Beauséjour,109B,Dieppe,31,16,140,30,4,221,344
Beauséjour/Beauséjour,110,Dieppe,21,4,83,18,4,130,220
Beauséjour/Beauséjour,111A,Dieppe,21,3,60,17,3,104,265
Beauséjour/Beauséjour,111B,Dieppe,12,5,78,24,1,120,257
Beauséjour/Beauséjour,112A,Gautreau Village,25,5,247,46,3,326,423
Beauséjour/Beauséjour,112B,Gautreau Village,42,6,160,28,1,237,350
Beauséjour/Beauséjour,113A,McGinleys Corner,27,11,122,35,1,196,314
Beauséjour/Beauséjour,113B,McGinleys Corner,31,8,132,25,2,198,300
Beauséjour/Beauséjour,114,Memramcook,9,1,105,27,1,143,236
Beauséjour/Beauséjour,115,Cormier Cove,27,8,138,50,1,224,350
Beauséjour/Beauséjour,116,Upper Dorchester,36,14,52,61,2,165,377
Beauséjour/Beauséjour,117,Dorchester,62,16,66,83,3,230,426
Beauséjour/Beauséjour,118,Barachois,44,16,171,49,5,285,408
Beauséjour/Beauséjour,119A,Cap-Pele,32,0,83,29,4,148,241
Beauséjour/Beauséjour,119B,Cap-Pele,22,12,107,48,3,192,296
Beauséjour/Beauséjour,120A,Cap-Pele,28,3,89,27,5,152,248
Beauséjour/Beauséjour,120B,Cap-Pele,33,2,121,24,2,182,261
Beauséjour/Beauséjour,121,Cap-Pele,27,1,100,45,6,179,302
Beauséjour/Beauséjour,122,Cap-Pele,29,2,168,53,4,256,372
Beauséjour/Beauséjour,123,Cap-Pele,34,4,122,36,4,200,280
Beauséjour/Beauséjour,124A,Trois-Ruisseaux,19,2,105,22,5,153,240
Beauséjour/Beauséjour,124B,Trois-Ruisseaux,34,5,83,27,4,153,231
Beauséjour/Beauséjour,125,Trois-Ruisseaux,43,3,161,71,7,285,407
Beauséjour/Beauséjour,126,Haute-Aboujagane,32,10,173,69,4,288,419
Beauséjour/Beauséjour,127,Cormier-Village,40,11,162,78,3,294,416
Beauséjour/Beauséjour,128,Saint-André--LeBlanc,74,11,162,55,3,305,400
Beauséjour/Beauséjour,129,Shemogue,42,5,103,65,1,216,365
Beauséjour/Beauséjour,130,Murray Corner,19,5,51,30,3,108,175
Beauséjour/Beauséjour,131,Cape Tormentine,27,9,89,49,2,176,277
Beauséjour/Beauséjour,132,Bayside,14,4,62,56,0,136,243
Beauséjour/Beauséjour,133,Cape Tormentine,37,10,65,71,2,185,294
Beauséjour/Beauséjour,134,Port Elgin,Void,,,,,,
Beauséjour/Beauséjour,135,Port Elgin,33,1,49,41,1,125,244
Beauséjour/Beauséjour,136,Midgic,44,12,95,79,1,231,413
Beauséjour/Beauséjour,137A,Sackville,33,7,64,40,1,145,255
Beauséjour/Beauséjour,137B,Sackville,33,4,62,46,1,146,257
Beauséjour/Beauséjour,138,Sackville,25,8,71,31,2,137,271
Beauséjour/Beauséjour,139,Sackville,52,7,89,78,1,227,428
Beauséjour/Beauséjour,140,Sackville,33,11,70,53,4,171,313
Beauséjour/Beauséjour,141,Sackville,54,11,79,37,1,182,348
Beauséjour/Beauséjour,142,Sackville,37,9,81,45,2,174,353
Beauséjour/Beauséjour,143,Sackville,43,14,72,44,4,177,288
Beauséjour/Beauséjour,144,Sackville,Merged with No. 143,,,,,,55
Beauséjour/Beauséjour,145,Sackville,26,18,94,37,0,175,339
Beauséjour/Beauséjour,146,Sackville,26,8,50,42,1,127,278
Beauséjour/Beauséjour,147,Sackville,47,7,66,50,2,172,420
Beauséjour/Beauséjour,148,Sackville,42,13,83,54,5,197,313
Beauséjour/Beauséjour,149A,Sackville,33,2,49,51,0,135,275
Beauséjour/Beauséjour,149B,Sackville,30,5,39,48,1,123,257
Beauséjour/Beauséjour,150A,British Settlement,33,6,51,47,0,137,234
Beauséjour/Beauséjour,150B,British Settlement,18,6,51,47,1,123,241
Beauséjour/Beauséjour,151,Baie Verte,39,16,88,58,4,205,297
Beauséjour/Beauséjour,152A,Point de Bute,25,1,57,53,0,136,238
Beauséjour/Beauséjour,152B,Point de Bute,27,3,54,41,2,127,252
Beauséjour/Beauséjour,500,Mobile poll/Bureau itinérant,6,2,57,31,6,102,158
Beauséjour/Beauséjour,501,Mobile poll/Bureau itinérant,3,3,43,22,2,73,111
Beauséjour/Beauséjour,502,Mobile poll/Bureau itinérant,5,2,40,27,3,77,103
Beauséjour/Beauséjour,503,Mobile poll/Bureau itinérant,8,2,50,12,2,74,251
Beauséjour/Beauséjour,504,Mobile poll/Bureau itinérant,12,1,51,23,5,92,190
Beauséjour/Beauséjour,505,Mobile poll/Bureau itinérant,7,1,69,21,1,99,148
Beauséjour/Beauséjour,506,Mobile poll/Bureau itinérant,9,2,33,44,7,95,117
Beauséjour/Beauséjour,600,Saint-Louis--Saint-Charles,20,4,108,113,8,253,
Beauséjour/Beauséjour,601,Richibucto--Rexton,31,12,148,68,5,264,
Beauséjour/Beauséjour,602,Bouctouche--Saint-Antoine,44,19,265,184,12,524,
Beauséjour/Beauséjour,603,Cocagne,36,6,193,97,4,336,
Beauséjour/Beauséjour,604,Moncton--Irishtown,38,14,73,100,1,226,
Beauséjour/Beauséjour,605,Shediac,73,16,428,115,3,635,
Beauséjour/Beauséjour,606,Memramcook,28,8,311,87,7,441,
Beauséjour/Beauséjour,607,Cap-Pele,37,6,139,65,0,247,
Beauséjour/Beauséjour,608,Sackville,80,23,224,155,2,484,
Beauséjour/Beauséjour,609,Grand-Barachois,14,4,97,25,1,141,
Beauséjour/Beauséjour,610,Dieppe,39,10,132,39,2,222,
Beauséjour/Beauséjour,,Group 1/Groupe 1,6,5,47,38,0,96,254
Beauséjour/Beauséjour,,Group 2/Groupe 2,33,11,181,70,2,297,
