District,Poll Number,Poll Name,Judith Grant,L-Hubert Leduc,Benoit Legros,Gretchen Schwarz,David Smith,Thierry Vicente,Rejected Ballots,Total Vote,Electors
Pontiac/Pontiac,99,Luskville,83,86,1,18,136,14,4,342,548
Pontiac/Pontiac,100,Luskville,79,37,1,13,97,10,1,238,417
Pontiac/Pontiac,101,Luskville,47,55,0,25,90,13,3,233,462
Pontiac/Pontiac,102,Luskville,57,47,0,26,108,17,2,257,432
Pontiac/Pontiac,103,Pontiac,90,56,1,23,138,24,1,333,623
Pontiac/Pontiac,104,Chelsea,43,17,0,12,53,5,0,130,263
Pontiac/Pontiac,105,Chelsea,65,26,1,40,96,42,0,270,396
Pontiac/Pontiac,106,Chelsea,65,10,1,31,130,30,0,267,416
Pontiac/Pontiac,107,Chelsea,97,70,1,45,173,54,1,441,706
Pontiac/Pontiac,108,Chelsea,43,17,0,27,125,21,1,234,375
Pontiac/Pontiac,109,Chelsea,43,17,0,43,116,29,0,248,434
Pontiac/Pontiac,110,Chelsea,86,53,0,39,145,34,0,357,539
Pontiac/Pontiac,111,Chelsea,45,63,0,23,98,19,4,252,420
Pontiac/Pontiac,112,Chelsea,73,58,0,31,129,30,2,323,510
Pontiac/Pontiac,113,Chelsea,40,25,1,22,82,14,1,185,292
Pontiac/Pontiac,114,Chelsea,66,72,0,21,121,22,8,310,555
Pontiac/Pontiac,115,Cantley,80,80,0,32,112,23,1,328,541
Pontiac/Pontiac,116,Cantley,30,80,2,15,64,12,2,205,388
Pontiac/Pontiac,117,Cantley,27,127,1,15,54,15,1,240,474
Pontiac/Pontiac,118,Cantley,55,163,0,24,96,18,9,365,625
Pontiac/Pontiac,119,Cantley,42,152,2,15,88,19,4,322,575
Pontiac/Pontiac,120,Cantley,40,97,0,17,91,15,6,266,460
Pontiac/Pontiac,121,Cantley,32,109,2,12,86,16,2,259,524
Pontiac/Pontiac,122,Cantley,25,88,3,10,89,12,5,232,491
Pontiac/Pontiac,123,Cantley,39,116,1,18,77,10,4,265,599
Pontiac/Pontiac,124,Cantley,40,63,0,24,68,5,4,204,435
Pontiac/Pontiac,125,Val-des-Monts,70,31,0,8,77,6,1,193,363
Pontiac/Pontiac,126,Notre-Dame-de-la-Salette,33,63,0,12,37,7,2,154,291
Pontiac/Pontiac,127,Notre-Dame-de-la-Salette,37,53,0,7,50,6,1,154,287
Pontiac/Pontiac,128,Val-des-Monts,59,110,0,19,114,10,2,314,625
Pontiac/Pontiac,129,Val-des-Monts,30,87,1,20,76,5,0,219,424
Pontiac/Pontiac,130,Val-des-Monts,24,98,0,20,69,17,2,230,508
Pontiac/Pontiac,131,Val-des-Monts,11,45,0,13,40,9,3,121,324
Pontiac/Pontiac,132,Val-des-Monts,39,105,0,11,95,19,1,270,585
Pontiac/Pontiac,133,Val-des-Monts,23,73,0,6,35,0,4,141,577
Pontiac/Pontiac,134,Val-des-Monts,21,57,0,9,49,7,9,152,288
Pontiac/Pontiac,135,Val-des-Monts,9,110,1,18,69,17,4,228,499
Pontiac/Pontiac,136,Val-des-Monts,38,160,0,15,106,7,2,328,666
Pontiac/Pontiac,137,Val-des-Monts,25,98,1,8,67,14,5,218,514
Pontiac/Pontiac,138,Val-des-Monts,32,149,0,23,67,15,3,289,598
Pontiac/Pontiac,139,Val-des-Monts,19,93,0,9,54,8,7,190,415
Pontiac/Pontiac,140,Val-des-Monts,18,97,0,6,66,4,8,199,473
Pontiac/Pontiac,141,L'Ange-Gardien,66,97,0,11,92,13,4,283,474
Pontiac/Pontiac,142,L'Ange-Gardien,12,37,0,2,29,4,0,84,184
Pontiac/Pontiac,143,L'Ange-Gardien,48,88,0,12,62,15,5,230,543
Pontiac/Pontiac,144,L'Ange-Gardien,18,73,2,5,47,3,1,149,344
Pontiac/Pontiac,145,L'Ange-Gardien,29,62,0,14,72,11,1,189,418
Pontiac/Pontiac,146,L'Ange-Gardien,31,66,0,9,59,11,4,180,396
Pontiac/Pontiac,147,L'Ange-Gardien,48,155,0,8,105,8,6,330,614
Pontiac/Pontiac,148,Buckingham,30,78,2,9,67,6,3,195,412
Pontiac/Pontiac,149,Buckingham,20,107,0,4,49,11,1,192,358
Pontiac/Pontiac,150,Buckingham,38,64,0,11,64,9,3,189,393
Pontiac/Pontiac,151,Buckingham,34,68,0,5,85,1,1,194,370
Pontiac/Pontiac,152,Buckingham,27,72,1,10,76,8,0,194,332
Pontiac/Pontiac,153,Buckingham,18,77,0,6,71,7,2,181,347
Pontiac/Pontiac,154,Buckingham,31,93,0,13,67,7,4,215,488
Pontiac/Pontiac,155,Buckingham,17,113,0,9,57,9,2,207,459
Pontiac/Pontiac,156,Buckingham,7,64,1,6,24,4,1,107,385
Pontiac/Pontiac,157,Buckingham,19,61,0,5,36,8,5,134,319
Pontiac/Pontiac,158,Buckingham,23,72,1,4,60,3,2,165,393
Pontiac/Pontiac,159,Buckingham,20,86,0,6,36,7,1,156,467
Pontiac/Pontiac,160,Buckingham,30,47,2,2,50,6,1,138,444
Pontiac/Pontiac,161,Buckingham,20,35,2,7,52,5,1,122,344
Pontiac/Pontiac,162,Buckingham,16,80,1,5,52,3,0,157,387
Pontiac/Pontiac,163,Buckingham,22,49,1,8,59,8,5,152,449
Pontiac/Pontiac,164,Buckingham,25,72,0,11,73,5,2,188,342
Pontiac/Pontiac,165,Buckingham,16,89,0,7,37,9,2,160,373
Pontiac/Pontiac,166,Buckingham,32,78,0,6,59,8,3,186,440
Pontiac/Pontiac,167,Buckingham,13,65,2,11,55,6,0,152,324
Pontiac/Pontiac,168,Buckingham,24,54,2,4,56,6,1,147,353
Pontiac/Pontiac,169,Buckingham,16,71,0,7,57,4,1,156,338
Pontiac/Pontiac,170,Buckingham,28,55,2,3,50,4,1,143,350
Pontiac/Pontiac,171,Buckingham,14,58,0,9,69,7,1,158,411
Pontiac/Pontiac,172,Masson-Angers,37,155,0,11,89,13,7,312,619
Pontiac/Pontiac,173,Masson-Angers,8,97,0,11,68,11,6,201,392
Pontiac/Pontiac,174,Masson-Angers,7,94,0,4,66,3,3,177,297
Pontiac/Pontiac,175,Masson-Angers,30,100,2,15,114,13,6,280,478
Pontiac/Pontiac,176,Masson-Angers,15,85,0,9,58,9,5,181,415
Pontiac/Pontiac,177,Masson-Angers,21,37,0,6,20,2,1,87,269
Pontiac/Pontiac,178,Masson-Angers,15,72,1,1,32,2,2,125,301
Pontiac/Pontiac,179,Masson-Angers,11,55,0,10,38,7,1,122,334
Pontiac/Pontiac,180,Masson-Angers,9,73,0,10,67,6,2,167,314
Pontiac/Pontiac,181,Masson-Angers,12,32,0,7,21,0,0,72,220
Pontiac/Pontiac,182,Masson-Angers,27,125,0,8,76,8,4,248,542
Pontiac/Pontiac,183,Masson-Angers,13,64,1,8,58,0,1,145,354
Pontiac/Pontiac,184,Masson-Angers,20,61,1,4,46,11,5,148,380
Pontiac/Pontiac,185,Masson-Angers,10,65,0,3,44,3,0,125,234
Pontiac/Pontiac,186,Masson-Angers,7,40,1,6,30,8,2,94,215
Pontiac/Pontiac,187,Masson-Angers,11,45,0,4,53,8,0,121,379
Pontiac/Pontiac,188,Masson-Angers,13,88,0,7,63,8,1,180,363
Pontiac/Pontiac,189,Masson-Angers,24,75,1,10,73,5,2,190,384
Pontiac/Pontiac,190,Masson-Angers,16,97,0,10,46,9,1,179,394
Pontiac/Pontiac,191,Masson-Angers,19,72,0,7,64,13,3,178,424
Pontiac/Pontiac,192,Masson-Angers,24,63,0,9,84,3,3,186,431
Pontiac/Pontiac,500,Mobile poll/Bureau itinérant,7,7,3,1,19,3,0,40,129
Pontiac/Pontiac,600,Déléage,29,78,1,5,84,5,0,202,
Pontiac/Pontiac,601,Maniwaki,27,57,1,5,173,3,1,267,
Pontiac/Pontiac,602,Wright,52,39,0,9,59,4,0,163,
Pontiac/Pontiac,603,Fort-Coulonge,67,50,1,7,85,2,2,214,
Pontiac/Pontiac,604,Shawville,191,4,0,20,82,3,0,300,
Pontiac/Pontiac,605,La Pêche,57,26,1,35,66,20,3,208,
Pontiac/Pontiac,606,Pontiac,20,9,0,4,36,5,2,76,
Pontiac/Pontiac,607,Chelsea,128,60,3,51,168,38,2,450,
Pontiac/Pontiac,608,Cantley,45,114,0,23,113,16,2,313,
Pontiac/Pontiac,609,Val-des-Monts,50,96,0,18,79,7,0,250,
Pontiac/Pontiac,610,Gatineau,47,70,0,3,101,5,4,230,
Pontiac/Pontiac,611,Gatineau,56,57,0,8,100,5,1,227,
Pontiac/Pontiac,612,Gatineau,55,129,0,8,95,5,0,292,
Pontiac/Pontiac,,Group 1/Groupe 1,30,26,0,14,45,3,2,120,250
Pontiac/Pontiac,,Group 2/Groupe 2,85,149,1,16,300,9,0,560,
