District,Poll Number,Poll Name,Reg Alcock,Rod Bruinooge,Ron Cameron,Catherine Green,Jane MacDiarmid,Rejected Ballots,Total Vote,Electors
Winnipeg South/Winnipeg-Sud,131,Winnipeg,81,56,6,14,6,0,163,266
Winnipeg South/Winnipeg-Sud,132,Winnipeg,85,86,7,25,0,1,204,345
Winnipeg South/Winnipeg-Sud,133,Winnipeg,111,73,3,26,4,1,218,378
Winnipeg South/Winnipeg-Sud,134,Winnipeg,117,74,6,25,3,0,225,418
Winnipeg South/Winnipeg-Sud,135,Winnipeg,82,44,3,16,2,0,147,282
Winnipeg South/Winnipeg-Sud,136,Winnipeg,76,64,0,17,0,0,157,267
Winnipeg South/Winnipeg-Sud,137A,Winnipeg,104,68,2,19,4,0,197,300
Winnipeg South/Winnipeg-Sud,137B,Winnipeg,93,63,4,17,4,0,181,325
Winnipeg South/Winnipeg-Sud,138,Winnipeg,143,67,4,25,2,0,241,414
Winnipeg South/Winnipeg-Sud,139,Winnipeg,147,107,7,37,0,1,299,502
Winnipeg South/Winnipeg-Sud,140,Winnipeg,109,69,4,30,2,1,215,347
Winnipeg South/Winnipeg-Sud,141,Winnipeg,129,168,4,27,1,1,330,530
Winnipeg South/Winnipeg-Sud,142A,Winnipeg,105,81,4,13,1,0,204,338
Winnipeg South/Winnipeg-Sud,142B,Winnipeg,103,76,2,17,4,1,203,351
Winnipeg South/Winnipeg-Sud,143,Winnipeg,156,111,8,46,1,0,322,541
Winnipeg South/Winnipeg-Sud,144,Winnipeg,131,99,2,29,1,0,262,395
Winnipeg South/Winnipeg-Sud,145,Winnipeg,121,100,10,28,0,0,259,447
Winnipeg South/Winnipeg-Sud,146,Winnipeg,117,144,14,11,0,0,286,475
Winnipeg South/Winnipeg-Sud,500,Mobile poll/Bureau itinérant,54,42,3,9,5,1,114,187
Winnipeg South/Winnipeg-Sud,501,Mobile poll/Bureau itinérant,19,8,2,11,1,1,42,79
Winnipeg South/Winnipeg-Sud,600,Winnipeg,263,234,9,27,1,0,534,
Winnipeg South/Winnipeg-Sud,601,Winnipeg,177,176,4,30,2,0,389,
Winnipeg South/Winnipeg-Sud,602,Winnipeg,183,124,7,41,2,0,357,
Winnipeg South/Winnipeg-Sud,603,Winnipeg,203,131,11,48,0,1,394,
Winnipeg South/Winnipeg-Sud,604,Winnipeg,134,110,5,41,2,0,292,
Winnipeg South/Winnipeg-Sud,605,Winnipeg,245,225,12,36,1,1,520,
Winnipeg South/Winnipeg-Sud,,Group 1/Groupe 1,48,36,10,13,2,4,113,227
Winnipeg South/Winnipeg-Sud,,Group 2/Groupe 2,322,227,7,73,3,19,651,
