District,Poll Number,Poll Name,Sarmite (Sam) Bulte,Lorne Gershuny,Jurij Klufas,Peggy Nash,Terry Parker,Neil Spiegel,Rejected Ballots,Total Vote,Electors
Parkdale--High Park/Parkdale--High Park,24,Toronto,135,2,89,42,1,14,0,283,439
Parkdale--High Park/Parkdale--High Park,25,Toronto,120,1,61,63,0,21,0,266,388
Parkdale--High Park/Parkdale--High Park,26,Toronto,118,1,60,59,0,11,0,249,368
Parkdale--High Park/Parkdale--High Park,27,Toronto,117,1,46,64,1,23,0,252,426
Parkdale--High Park/Parkdale--High Park,28,Toronto,98,0,39,59,1,15,0,212,350
Parkdale--High Park/Parkdale--High Park,29,Toronto,124,0,40,57,0,15,1,237,417
Parkdale--High Park/Parkdale--High Park,30,Toronto,94,0,48,71,4,26,1,244,351
Parkdale--High Park/Parkdale--High Park,31,Toronto,113,0,48,64,2,12,0,239,382
Parkdale--High Park/Parkdale--High Park,32,Toronto,122,0,57,102,0,21,1,303,470
Parkdale--High Park/Parkdale--High Park,33,Toronto,106,0,50,51,0,27,1,235,369
Parkdale--High Park/Parkdale--High Park,34,Toronto,102,0,52,50,1,21,2,228,385
Parkdale--High Park/Parkdale--High Park,35,Toronto,137,0,103,65,6,15,0,326,636
Parkdale--High Park/Parkdale--High Park,36,Toronto,91,0,68,39,1,9,2,210,319
Parkdale--High Park/Parkdale--High Park,37,Toronto,197,1,76,62,2,22,2,362,593
Parkdale--High Park/Parkdale--High Park,38,Toronto,88,1,42,63,0,11,2,207,310
Parkdale--High Park/Parkdale--High Park,39,Toronto,51,2,13,61,0,2,0,129,308
Parkdale--High Park/Parkdale--High Park,40,Toronto,89,0,37,62,2,16,2,208,330
Parkdale--High Park/Parkdale--High Park,41,Toronto,112,0,67,54,2,10,0,245,341
Parkdale--High Park/Parkdale--High Park,42,York,136,0,31,112,6,14,2,301,502
Parkdale--High Park/Parkdale--High Park,43,Toronto,114,1,31,101,1,23,0,271,418
Parkdale--High Park/Parkdale--High Park,44,Toronto,104,0,29,96,1,20,1,251,427
Parkdale--High Park/Parkdale--High Park,45,York,162,3,55,98,2,16,0,336,535
Parkdale--High Park/Parkdale--High Park,46,York,150,2,54,126,5,18,1,356,518
Parkdale--High Park/Parkdale--High Park,47,Toronto,100,0,27,63,0,12,1,203,350
Parkdale--High Park/Parkdale--High Park,48,Toronto,142,0,57,112,0,20,1,332,467
Parkdale--High Park/Parkdale--High Park,49,Toronto,61,0,27,49,1,16,0,154,232
Parkdale--High Park/Parkdale--High Park,50,Toronto,92,0,32,81,0,11,1,217,389
Parkdale--High Park/Parkdale--High Park,51,Toronto,104,0,44,60,3,6,0,217,386
Parkdale--High Park/Parkdale--High Park,52,Toronto,104,0,57,68,3,19,0,251,429
Parkdale--High Park/Parkdale--High Park,53,Toronto,130,0,60,48,1,19,1,259,382
Parkdale--High Park/Parkdale--High Park,54,Toronto,114,1,38,101,0,29,1,284,415
Parkdale--High Park/Parkdale--High Park,55,Toronto,108,0,66,72,2,9,1,258,395
Parkdale--High Park/Parkdale--High Park,56,Toronto,94,0,40,54,2,21,0,211,333
Parkdale--High Park/Parkdale--High Park,57,Toronto,109,1,50,86,3,26,0,275,443
Parkdale--High Park/Parkdale--High Park,58,Toronto,79,0,34,51,0,8,0,172,268
Parkdale--High Park/Parkdale--High Park,59,Toronto,112,0,45,71,2,12,3,245,414
Parkdale--High Park/Parkdale--High Park,60,Toronto,143,2,68,64,2,15,1,295,477
Parkdale--High Park/Parkdale--High Park,61,Toronto,136,1,40,119,1,11,0,308,491
Parkdale--High Park/Parkdale--High Park,62,Toronto,103,1,40,84,2,17,2,249,433
Parkdale--High Park/Parkdale--High Park,63,Toronto,108,0,22,100,2,16,0,248,378
Parkdale--High Park/Parkdale--High Park,64,Toronto,57,0,17,50,2,10,1,137,246
Parkdale--High Park/Parkdale--High Park,65,Toronto,47,0,10,43,3,8,0,111,163
Parkdale--High Park/Parkdale--High Park,66,Toronto,130,0,34,76,1,13,0,254,478
Parkdale--High Park/Parkdale--High Park,67,Toronto,80,0,25,72,2,22,0,201,388
Parkdale--High Park/Parkdale--High Park,68,Toronto,91,2,51,94,0,17,1,256,411
Parkdale--High Park/Parkdale--High Park,69,Toronto,102,0,29,106,1,30,0,268,413
Parkdale--High Park/Parkdale--High Park,70,Toronto,113,0,30,88,1,21,0,253,363
Parkdale--High Park/Parkdale--High Park,71,Toronto,63,1,27,65,1,20,0,177,327
Parkdale--High Park/Parkdale--High Park,72,Toronto,101,0,34,63,3,15,0,216,366
Parkdale--High Park/Parkdale--High Park,73,Toronto,94,0,66,94,3,19,1,277,508
Parkdale--High Park/Parkdale--High Park,74,Toronto,167,1,68,104,2,33,2,377,626
Parkdale--High Park/Parkdale--High Park,75,Toronto,108,0,32,65,3,17,2,227,372
Parkdale--High Park/Parkdale--High Park,76,Toronto,106,2,22,51,2,15,2,200,332
Parkdale--High Park/Parkdale--High Park,77,Toronto,89,0,31,65,2,22,1,210,304
Parkdale--High Park/Parkdale--High Park,78,Toronto,142,0,31,95,2,21,2,293,564
Parkdale--High Park/Parkdale--High Park,79,Toronto,103,0,39,87,2,9,0,240,415
Parkdale--High Park/Parkdale--High Park,80,Toronto,96,1,23,99,2,15,3,239,537
Parkdale--High Park/Parkdale--High Park,81,Toronto,79,1,25,63,5,8,3,184,327
Parkdale--High Park/Parkdale--High Park,82,Toronto,111,0,29,97,5,20,6,268,529
Parkdale--High Park/Parkdale--High Park,83,Toronto,86,1,24,104,4,24,1,244,545
Parkdale--High Park/Parkdale--High Park,84,Toronto,133,0,43,102,2,19,1,300,526
Parkdale--High Park/Parkdale--High Park,85,Toronto,104,1,21,122,5,22,1,276,480
Parkdale--High Park/Parkdale--High Park,86,Toronto,100,1,28,79,4,16,1,229,470
Parkdale--High Park/Parkdale--High Park,87,Toronto,114,1,27,85,0,20,2,249,423
Parkdale--High Park/Parkdale--High Park,88,Toronto,114,0,38,108,1,24,3,288,478
Parkdale--High Park/Parkdale--High Park,89,Toronto,77,0,16,64,2,25,0,184,321
Parkdale--High Park/Parkdale--High Park,90,Toronto,91,1,29,77,3,23,0,224,354
Parkdale--High Park/Parkdale--High Park,91,Toronto,112,1,42,90,0,30,1,276,428
Parkdale--High Park/Parkdale--High Park,92,Toronto,141,1,50,85,1,25,1,304,482
Parkdale--High Park/Parkdale--High Park,93,Toronto,76,1,24,87,1,18,0,207,299
Parkdale--High Park/Parkdale--High Park,94,Toronto,79,1,33,91,1,13,0,218,381
Parkdale--High Park/Parkdale--High Park,95,Toronto,96,1,44,87,2,22,2,254,440
Parkdale--High Park/Parkdale--High Park,96,Toronto,98,1,44,66,2,19,0,230,393
Parkdale--High Park/Parkdale--High Park,97,Toronto,130,1,55,66,1,19,2,274,398
Parkdale--High Park/Parkdale--High Park,98,Toronto,87,0,32,96,1,21,1,238,450
Parkdale--High Park/Parkdale--High Park,99,Toronto,72,0,34,55,3,16,1,181,300
Parkdale--High Park/Parkdale--High Park,100,Toronto,85,1,37,112,3,19,2,259,490
Parkdale--High Park/Parkdale--High Park,101,Toronto,97,1,32,118,0,19,1,268,450
Parkdale--High Park/Parkdale--High Park,102,Toronto,83,0,35,117,3,21,2,261,505
Parkdale--High Park/Parkdale--High Park,103,Toronto,66,1,15,61,1,27,1,172,332
Parkdale--High Park/Parkdale--High Park,104,Toronto,112,0,36,89,1,24,2,264,418
Parkdale--High Park/Parkdale--High Park,105,Toronto,57,1,20,82,3,9,0,172,282
Parkdale--High Park/Parkdale--High Park,106,Toronto,75,0,23,78,4,18,0,198,358
Parkdale--High Park/Parkdale--High Park,107,Toronto,84,0,34,60,1,33,0,212,361
Parkdale--High Park/Parkdale--High Park,108,Toronto,54,0,20,76,2,13,0,165,286
Parkdale--High Park/Parkdale--High Park,109,Toronto,102,0,32,81,1,32,1,249,403
Parkdale--High Park/Parkdale--High Park,110,Toronto,92,1,33,104,1,21,3,255,434
Parkdale--High Park/Parkdale--High Park,111,Toronto,93,1,21,79,1,23,1,219,378
Parkdale--High Park/Parkdale--High Park,112,Toronto,122,4,33,112,3,28,0,302,488
Parkdale--High Park/Parkdale--High Park,113,Toronto,87,1,43,82,2,34,1,250,391
Parkdale--High Park/Parkdale--High Park,114,Toronto,96,0,25,63,1,22,0,207,289
Parkdale--High Park/Parkdale--High Park,115,Toronto,74,1,22,83,1,26,1,208,339
Parkdale--High Park/Parkdale--High Park,116,Toronto,Void,,,,,,,,
Parkdale--High Park/Parkdale--High Park,117,Toronto,124,4,14,35,6,8,6,197,424
Parkdale--High Park/Parkdale--High Park,118,Toronto,75,3,30,92,3,16,1,220,413
Parkdale--High Park/Parkdale--High Park,119,Toronto,96,0,36,133,3,26,4,298,481
Parkdale--High Park/Parkdale--High Park,120,Toronto,134,0,32,136,2,23,3,330,503
Parkdale--High Park/Parkdale--High Park,121,Toronto,99,1,17,136,1,21,2,277,433
Parkdale--High Park/Parkdale--High Park,122,Toronto,82,0,28,98,1,26,0,235,342
Parkdale--High Park/Parkdale--High Park,123,Toronto,84,2,15,117,2,12,0,232,372
Parkdale--High Park/Parkdale--High Park,124,Toronto,106,0,33,121,0,17,6,283,435
Parkdale--High Park/Parkdale--High Park,125,Toronto,89,0,25,112,2,20,0,248,406
Parkdale--High Park/Parkdale--High Park,126,Toronto,70,0,27,125,4,22,2,250,418
Parkdale--High Park/Parkdale--High Park,127,Toronto,116,4,37,133,8,21,1,320,611
Parkdale--High Park/Parkdale--High Park,128,Toronto,56,1,15,101,7,22,0,202,448
Parkdale--High Park/Parkdale--High Park,129,Toronto,34,0,19,62,3,10,0,128,299
Parkdale--High Park/Parkdale--High Park,130,Toronto,48,0,16,92,1,14,1,172,381
Parkdale--High Park/Parkdale--High Park,131A,Toronto,63,1,29,100,0,22,0,215,451
Parkdale--High Park/Parkdale--High Park,131B,Mobile poll/Bureau itinérant,Merged with No. 150B,,,,,,,,43
Parkdale--High Park/Parkdale--High Park,132,Toronto,91,1,12,116,1,23,0,244,443
Parkdale--High Park/Parkdale--High Park,133,Toronto,106,0,30,129,3,18,2,288,516
Parkdale--High Park/Parkdale--High Park,134,Toronto,79,1,9,120,2,16,2,229,390
Parkdale--High Park/Parkdale--High Park,135,Toronto,88,1,24,113,2,10,1,239,550
Parkdale--High Park/Parkdale--High Park,136,Toronto,89,1,23,164,3,18,0,298,502
Parkdale--High Park/Parkdale--High Park,137,Toronto,101,2,29,96,1,11,2,242,565
Parkdale--High Park/Parkdale--High Park,138,Toronto,83,0,10,59,3,1,0,156,413
Parkdale--High Park/Parkdale--High Park,139,Toronto,78,1,27,104,1,6,0,217,477
Parkdale--High Park/Parkdale--High Park,140,Toronto,86,2,14,109,4,15,8,238,515
Parkdale--High Park/Parkdale--High Park,141,Toronto,116,3,23,52,3,5,4,206,326
Parkdale--High Park/Parkdale--High Park,142,Toronto,94,2,9,138,2,23,0,268,458
Parkdale--High Park/Parkdale--High Park,143,Toronto,84,1,22,149,5,23,0,284,525
Parkdale--High Park/Parkdale--High Park,144,Toronto,63,0,10,58,1,5,2,139,345
Parkdale--High Park/Parkdale--High Park,145,Toronto,57,0,17,82,0,10,0,166,326
Parkdale--High Park/Parkdale--High Park,146,Toronto,97,0,25,82,2,11,0,217,544
Parkdale--High Park/Parkdale--High Park,147,Toronto,79,0,15,76,1,22,3,196,418
Parkdale--High Park/Parkdale--High Park,148,Toronto,130,0,24,112,1,0,3,270,571
Parkdale--High Park/Parkdale--High Park,149,Toronto,119,2,18,68,0,8,7,222,513
Parkdale--High Park/Parkdale--High Park,150A,Toronto,84,1,18,80,0,10,1,194,461
Parkdale--High Park/Parkdale--High Park,150B,Mobile poll/Bureau itinérant,19,1,10,14,1,1,2,48,58
Parkdale--High Park/Parkdale--High Park,151,Toronto,81,0,26,97,1,25,1,231,403
Parkdale--High Park/Parkdale--High Park,152,Toronto,85,2,23,121,2,21,2,256,528
Parkdale--High Park/Parkdale--High Park,153,Toronto,96,0,46,139,3,17,4,305,620
Parkdale--High Park/Parkdale--High Park,154,Toronto,63,0,10,64,0,4,1,142,255
Parkdale--High Park/Parkdale--High Park,155,Toronto,113,1,25,66,0,14,2,221,457
Parkdale--High Park/Parkdale--High Park,156,Toronto,69,1,20,52,2,5,1,150,287
Parkdale--High Park/Parkdale--High Park,157,Toronto,71,1,21,63,8,11,5,180,436
Parkdale--High Park/Parkdale--High Park,158,Toronto,138,3,29,135,1,13,5,324,788
Parkdale--High Park/Parkdale--High Park,159,Toronto,83,1,22,95,3,6,0,210,388
Parkdale--High Park/Parkdale--High Park,160,Toronto,63,0,13,51,0,2,2,131,366
Parkdale--High Park/Parkdale--High Park,161,Toronto,105,2,27,133,3,30,0,300,613
Parkdale--High Park/Parkdale--High Park,400,Toronto,104,0,30,64,0,13,1,212,290
Parkdale--High Park/Parkdale--High Park,401,Toronto,121,1,37,49,2,8,4,222,336
Parkdale--High Park/Parkdale--High Park,402,Toronto,70,1,38,37,1,8,1,156,223
Parkdale--High Park/Parkdale--High Park,403,Toronto,74,0,27,62,2,17,1,183,353
Parkdale--High Park/Parkdale--High Park,404,Toronto,107,2,29,95,3,14,3,253,472
Parkdale--High Park/Parkdale--High Park,405,Toronto,103,0,38,65,2,23,1,232,364
Parkdale--High Park/Parkdale--High Park,406,Toronto,101,0,52,28,0,8,0,189,253
Parkdale--High Park/Parkdale--High Park,407,Toronto,127,0,56,57,2,11,1,254,336
Parkdale--High Park/Parkdale--High Park,408,Toronto,75,0,51,55,2,20,2,205,370
Parkdale--High Park/Parkdale--High Park,409,Toronto,117,0,37,71,0,15,1,241,375
Parkdale--High Park/Parkdale--High Park,410,Toronto,59,0,28,24,0,14,1,126,260
Parkdale--High Park/Parkdale--High Park,411,Toronto,104,1,40,64,2,14,5,230,452
Parkdale--High Park/Parkdale--High Park,412,Toronto,119,2,35,63,4,21,0,244,465
Parkdale--High Park/Parkdale--High Park,413,Toronto,79,1,18,71,3,2,4,178,375
Parkdale--High Park/Parkdale--High Park,414,Toronto,66,0,11,47,2,4,1,131,308
Parkdale--High Park/Parkdale--High Park,415,Toronto,117,3,16,87,3,9,0,235,452
Parkdale--High Park/Parkdale--High Park,416,Toronto,34,0,14,26,2,3,0,79,232
Parkdale--High Park/Parkdale--High Park,500,Mobile poll/Bureau itinérant,40,3,13,15,2,1,0,74,221
Parkdale--High Park/Parkdale--High Park,501,Mobile poll/Bureau itinérant,26,1,9,23,4,2,1,66,264
Parkdale--High Park/Parkdale--High Park,600,Toronto,320,0,122,178,6,39,1,666,
Parkdale--High Park/Parkdale--High Park,601,Toronto,300,0,166,212,1,47,2,728,
Parkdale--High Park/Parkdale--High Park,602,Toronto,247,0,116,201,1,33,3,601,
Parkdale--High Park/Parkdale--High Park,603,Toronto,223,0,88,178,4,39,0,532,
Parkdale--High Park/Parkdale--High Park,604,Toronto,160,0,58,164,3,20,2,407,
Parkdale--High Park/Parkdale--High Park,605,Toronto,178,1,80,195,3,47,3,507,
Parkdale--High Park/Parkdale--High Park,606,Toronto,211,2,61,328,4,47,5,658,
Parkdale--High Park/Parkdale--High Park,607,Toronto,118,0,57,156,2,15,3,351,
Parkdale--High Park/Parkdale--High Park,,Group 1/Groupe 1,58,0,13,31,3,3,6,114,181
Parkdale--High Park/Parkdale--High Park,,Group 2/Groupe 2,240,0,109,287,4,42,8,690,
