District,Poll Number,Poll Name,Dana Green,Péter Pál Horváth,Peter Julian,Revel Kunz,Mary Pynenburg,Mike Redmond,Rejected Ballots,Total Vote,Electors
Burnaby--New Westminster/Burnaby--New Westminster,79,Burnaby,1,1,45,8,32,30,0,117,253
Burnaby--New Westminster/Burnaby--New Westminster,80,Burnaby,2,4,90,14,124,91,0,325,536
Burnaby--New Westminster/Burnaby--New Westminster,81,Burnaby,0,0,90,13,103,96,1,303,457
Burnaby--New Westminster/Burnaby--New Westminster,82,Burnaby,2,2,59,5,50,33,1,152,428
Burnaby--New Westminster/Burnaby--New Westminster,83A,Burnaby,2,0,70,7,91,81,0,251,433
Burnaby--New Westminster/Burnaby--New Westminster,83B,Burnaby,2,1,49,8,73,67,0,200,328
Burnaby--New Westminster/Burnaby--New Westminster,83C,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,35
Burnaby--New Westminster/Burnaby--New Westminster,84A,Burnaby,2,1,62,12,87,53,0,217,402
Burnaby--New Westminster/Burnaby--New Westminster,84B,Burnaby,0,0,36,6,92,54,2,190,340
Burnaby--New Westminster/Burnaby--New Westminster,85,Burnaby,2,1,67,15,94,83,0,262,438
Burnaby--New Westminster/Burnaby--New Westminster,86,Burnaby,3,0,54,10,31,29,2,129,288
Burnaby--New Westminster/Burnaby--New Westminster,87,Burnaby,0,1,68,1,14,36,0,120,267
Burnaby--New Westminster/Burnaby--New Westminster,88,Burnaby,1,1,103,12,96,79,2,294,586
Burnaby--New Westminster/Burnaby--New Westminster,89,Burnaby,1,0,44,2,39,26,0,112,214
Burnaby--New Westminster/Burnaby--New Westminster,90,Burnaby,3,0,30,3,77,41,1,155,306
Burnaby--New Westminster/Burnaby--New Westminster,91,Burnaby,1,5,26,6,41,32,2,113,252
Burnaby--New Westminster/Burnaby--New Westminster,92,Burnaby,0,0,31,11,58,41,0,141,272
Burnaby--New Westminster/Burnaby--New Westminster,93,Burnaby,0,0,21,0,15,10,0,46,102
Burnaby--New Westminster/Burnaby--New Westminster,94,Burnaby,2,0,70,1,49,31,2,155,325
Burnaby--New Westminster/Burnaby--New Westminster,95,Burnaby,4,0,94,3,31,31,1,164,312
Burnaby--New Westminster/Burnaby--New Westminster,96,Burnaby,2,2,91,7,49,58,6,215,461
Burnaby--New Westminster/Burnaby--New Westminster,97,Burnaby,4,3,59,2,69,41,1,179,371
Burnaby--New Westminster/Burnaby--New Westminster,98,Burnaby,0,0,42,4,55,47,0,148,358
Burnaby--New Westminster/Burnaby--New Westminster,99,Burnaby,1,0,44,3,50,24,1,123,283
Burnaby--New Westminster/Burnaby--New Westminster,100,Burnaby,0,0,125,5,71,51,1,253,545
Burnaby--New Westminster/Burnaby--New Westminster,101,Burnaby,1,3,70,6,35,41,0,156,357
Burnaby--New Westminster/Burnaby--New Westminster,102,Burnaby,0,1,84,8,59,61,1,214,519
Burnaby--New Westminster/Burnaby--New Westminster,103,Burnaby,2,4,120,7,99,63,6,301,592
Burnaby--New Westminster/Burnaby--New Westminster,104,Burnaby,3,2,59,2,45,38,5,154,273
Burnaby--New Westminster/Burnaby--New Westminster,105,Burnaby,3,1,54,3,35,25,0,121,295
Burnaby--New Westminster/Burnaby--New Westminster,106,Burnaby,3,1,74,6,50,40,1,175,333
Burnaby--New Westminster/Burnaby--New Westminster,107A,Burnaby,0,1,49,2,41,37,0,130,309
Burnaby--New Westminster/Burnaby--New Westminster,107B,Burnaby,2,0,65,1,62,35,0,165,302
Burnaby--New Westminster/Burnaby--New Westminster,108,Burnaby,0,2,94,9,68,48,1,222,416
Burnaby--New Westminster/Burnaby--New Westminster,109,Burnaby,2,2,79,8,43,59,2,195,408
Burnaby--New Westminster/Burnaby--New Westminster,110,Burnaby,6,0,93,6,94,67,0,266,489
Burnaby--New Westminster/Burnaby--New Westminster,111A,Burnaby,0,1,21,0,40,27,0,89,141
Burnaby--New Westminster/Burnaby--New Westminster,111B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,162
Burnaby--New Westminster/Burnaby--New Westminster,112,Burnaby,2,0,72,8,53,47,1,183,356
Burnaby--New Westminster/Burnaby--New Westminster,113,Burnaby,2,2,94,9,65,48,4,224,455
Burnaby--New Westminster/Burnaby--New Westminster,114,Burnaby,2,0,79,5,90,54,3,233,439
Burnaby--New Westminster/Burnaby--New Westminster,115,Burnaby,3,3,122,14,75,30,3,250,430
Burnaby--New Westminster/Burnaby--New Westminster,116,Burnaby,0,2,65,8,45,50,0,170,379
Burnaby--New Westminster/Burnaby--New Westminster,117,New Westminster,2,1,114,14,99,66,1,297,439
Burnaby--New Westminster/Burnaby--New Westminster,118,New Westminster,3,3,109,5,86,75,5,286,530
Burnaby--New Westminster/Burnaby--New Westminster,119,New Westminster,3,1,177,8,90,68,0,347,639
Burnaby--New Westminster/Burnaby--New Westminster,120,New Westminster,2,1,129,3,97,47,5,284,486
Burnaby--New Westminster/Burnaby--New Westminster,121,New Westminster,0,0,103,13,146,75,1,338,536
Burnaby--New Westminster/Burnaby--New Westminster,122,New Westminster,2,0,122,12,79,64,1,280,444
Burnaby--New Westminster/Burnaby--New Westminster,123,New Westminster,2,1,27,10,72,63,0,175,421
Burnaby--New Westminster/Burnaby--New Westminster,124,New Westminster,1,0,124,11,62,39,1,238,385
Burnaby--New Westminster/Burnaby--New Westminster,125,New Westminster,3,1,128,15,99,100,1,347,583
Burnaby--New Westminster/Burnaby--New Westminster,126,New Westminster,1,0,86,11,88,73,4,263,385
Burnaby--New Westminster/Burnaby--New Westminster,127,New Westminster,2,0,151,15,84,65,0,317,466
Burnaby--New Westminster/Burnaby--New Westminster,128,New Westminster,1,1,137,12,72,72,1,296,463
Burnaby--New Westminster/Burnaby--New Westminster,129,New Westminster,0,1,86,4,60,72,1,224,404
Burnaby--New Westminster/Burnaby--New Westminster,130,New Westminster,1,0,97,8,72,50,1,229,377
Burnaby--New Westminster/Burnaby--New Westminster,131,New Westminster,1,3,92,7,38,39,0,180,343
Burnaby--New Westminster/Burnaby--New Westminster,132,New Westminster,1,0,124,16,71,73,2,287,436
Burnaby--New Westminster/Burnaby--New Westminster,133,New Westminster,2,3,102,20,61,60,1,249,422
Burnaby--New Westminster/Burnaby--New Westminster,134,New Westminster,0,0,72,14,32,43,2,163,341
Burnaby--New Westminster/Burnaby--New Westminster,135,New Westminster,0,0,57,8,36,40,0,141,319
Burnaby--New Westminster/Burnaby--New Westminster,136,New Westminster,3,0,90,13,60,47,1,214,401
Burnaby--New Westminster/Burnaby--New Westminster,137,New Westminster,0,2,38,12,22,25,1,100,249
Burnaby--New Westminster/Burnaby--New Westminster,138,New Westminster,0,0,63,6,104,97,0,270,434
Burnaby--New Westminster/Burnaby--New Westminster,139,New Westminster,1,0,50,6,79,49,3,188,287
Burnaby--New Westminster/Burnaby--New Westminster,140,New Westminster,1,0,63,6,94,76,1,241,405
Burnaby--New Westminster/Burnaby--New Westminster,141,New Westminster,1,1,54,8,79,98,1,242,357
Burnaby--New Westminster/Burnaby--New Westminster,142,New Westminster,1,0,60,6,64,78,1,210,317
Burnaby--New Westminster/Burnaby--New Westminster,143,New Westminster,1,0,71,7,77,56,0,212,319
Burnaby--New Westminster/Burnaby--New Westminster,144,New Westminster,3,0,109,12,73,60,1,258,598
Burnaby--New Westminster/Burnaby--New Westminster,145,New Westminster,3,1,88,12,46,42,1,193,408
Burnaby--New Westminster/Burnaby--New Westminster,146,New Westminster,2,1,67,7,40,33,1,151,313
Burnaby--New Westminster/Burnaby--New Westminster,147,New Westminster,2,1,73,5,37,41,0,159,314
Burnaby--New Westminster/Burnaby--New Westminster,148,New Westminster,1,2,67,11,24,28,0,133,312
Burnaby--New Westminster/Burnaby--New Westminster,149,New Westminster,4,1,123,10,70,49,1,258,524
Burnaby--New Westminster/Burnaby--New Westminster,150,New Westminster,3,3,63,20,41,45,0,175,387
Burnaby--New Westminster/Burnaby--New Westminster,151,New Westminster,1,1,127,14,86,70,0,299,520
Burnaby--New Westminster/Burnaby--New Westminster,152,New Westminster,1,1,66,10,111,102,0,291,435
Burnaby--New Westminster/Burnaby--New Westminster,153,New Westminster,2,1,72,7,49,41,1,173,310
Burnaby--New Westminster/Burnaby--New Westminster,154,New Westminster,3,1,96,17,56,66,1,240,488
Burnaby--New Westminster/Burnaby--New Westminster,155,New Westminster,1,5,101,17,35,60,2,221,392
Burnaby--New Westminster/Burnaby--New Westminster,156,New Westminster,2,1,56,9,29,27,1,125,265
Burnaby--New Westminster/Burnaby--New Westminster,157,New Westminster,2,0,50,9,31,37,0,129,244
Burnaby--New Westminster/Burnaby--New Westminster,158,New Westminster,1,2,70,9,52,35,0,169,263
Burnaby--New Westminster/Burnaby--New Westminster,159,New Westminster,2,1,84,13,76,56,0,232,532
Burnaby--New Westminster/Burnaby--New Westminster,160,New Westminster,Void,,,,,,,,
Burnaby--New Westminster/Burnaby--New Westminster,161,Burnaby,0,0,70,9,98,60,0,237,463
Burnaby--New Westminster/Burnaby--New Westminster,162,Burnaby,0,0,47,4,38,20,1,110,231
Burnaby--New Westminster/Burnaby--New Westminster,163,Burnaby,1,0,42,4,84,81,1,213,344
Burnaby--New Westminster/Burnaby--New Westminster,164,Burnaby,1,0,66,10,105,78,3,263,466
Burnaby--New Westminster/Burnaby--New Westminster,165,Burnaby,0,4,62,4,113,79,3,265,434
Burnaby--New Westminster/Burnaby--New Westminster,166,Burnaby,1,1,55,17,113,85,1,273,479
Burnaby--New Westminster/Burnaby--New Westminster,167,Burnaby,3,1,104,14,79,71,3,275,441
Burnaby--New Westminster/Burnaby--New Westminster,168,Burnaby,0,2,110,8,87,61,1,269,487
Burnaby--New Westminster/Burnaby--New Westminster,169,Burnaby,0,1,98,9,75,55,1,239,446
Burnaby--New Westminster/Burnaby--New Westminster,170,Burnaby,5,0,86,6,78,51,0,226,407
Burnaby--New Westminster/Burnaby--New Westminster,171,Burnaby,3,5,94,7,82,67,1,259,448
Burnaby--New Westminster/Burnaby--New Westminster,172,Burnaby,2,1,65,7,53,62,0,190,421
Burnaby--New Westminster/Burnaby--New Westminster,173,Burnaby,2,1,76,7,97,96,4,283,475
Burnaby--New Westminster/Burnaby--New Westminster,174,Burnaby,4,1,86,10,77,88,1,267,407
Burnaby--New Westminster/Burnaby--New Westminster,175,Burnaby,2,0,43,6,96,57,1,205,339
Burnaby--New Westminster/Burnaby--New Westminster,176,Burnaby,1,1,68,14,70,95,0,249,432
Burnaby--New Westminster/Burnaby--New Westminster,177A,Burnaby,0,0,49,5,74,65,0,193,357
Burnaby--New Westminster/Burnaby--New Westminster,177B,Burnaby,0,0,52,7,68,61,0,188,326
Burnaby--New Westminster/Burnaby--New Westminster,178,Burnaby,1,2,74,6,147,103,0,333,568
Burnaby--New Westminster/Burnaby--New Westminster,179,Burnaby,3,0,78,9,55,67,2,214,356
Burnaby--New Westminster/Burnaby--New Westminster,180,Burnaby,0,0,39,3,93,114,1,250,490
Burnaby--New Westminster/Burnaby--New Westminster,400,Burnaby,10,3,37,2,44,41,4,141,221
Burnaby--New Westminster/Burnaby--New Westminster,500,Mobile poll/Bureau itinérant,0,1,32,3,18,27,1,82,111
Burnaby--New Westminster/Burnaby--New Westminster,501,Mobile poll/Bureau itinérant,1,4,37,6,27,28,7,110,60
Burnaby--New Westminster/Burnaby--New Westminster,600,Burnaby,5,2,192,21,195,204,0,619,
Burnaby--New Westminster/Burnaby--New Westminster,601,Burnaby,1,0,115,15,169,165,1,466,
Burnaby--New Westminster/Burnaby--New Westminster,602,Burnaby,7,3,139,14,147,176,0,486,
Burnaby--New Westminster/Burnaby--New Westminster,603,Burnaby,2,1,117,16,100,132,1,369,
Burnaby--New Westminster/Burnaby--New Westminster,604,Burnaby,5,2,140,24,129,174,3,477,
Burnaby--New Westminster/Burnaby--New Westminster,605,Burnaby,1,0,109,6,101,126,3,346,
Burnaby--New Westminster/Burnaby--New Westminster,606,New Westminster,2,1,156,16,73,128,1,377,
Burnaby--New Westminster/Burnaby--New Westminster,607,New Westminster,1,1,168,15,112,164,3,464,
Burnaby--New Westminster/Burnaby--New Westminster,,Group 1/Groupe 1,1,0,28,6,24,20,3,82,131
Burnaby--New Westminster/Burnaby--New Westminster,,Group 2/Groupe 2,2,1,155,18,121,149,18,464,
