District,Poll Number,Poll Name,Guy Caron,Marjolaine Delaunière,Denis Quimper,Côme Roy,Louise Thibault,Rejected Ballots,Total Vote,Electors
Rimouski--Témiscouata/Rimouski--Témiscouata,106,Saint-Valérien,6,4,21,39,86,1,157,359
Rimouski--Témiscouata/Rimouski--Témiscouata,107,Saint-Eugène-de-Ladrière,11,6,33,45,73,1,169,343
Rimouski--Témiscouata/Rimouski--Témiscouata,108,Saint-Fabien,10,3,8,27,90,1,139,266
Rimouski--Témiscouata/Rimouski--Témiscouata,109,Saint-Fabien,10,4,17,37,78,8,154,279
Rimouski--Témiscouata/Rimouski--Témiscouata,110,Saint-Fabien,11,3,17,51,118,3,203,309
Rimouski--Témiscouata/Rimouski--Témiscouata,111A,Saint-Fabien,9,5,16,40,77,5,152,264
Rimouski--Témiscouata/Rimouski--Témiscouata,111B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,35
Rimouski--Témiscouata/Rimouski--Témiscouata,112,Saint-Fabien,13,2,16,49,103,4,187,326
Rimouski--Témiscouata/Rimouski--Témiscouata,113,Saint-Simon,2,2,19,64,126,6,219,360
Rimouski--Témiscouata/Rimouski--Témiscouata,114,Saint-Mathieu-de-Rioux,14,18,45,77,127,6,287,481
Rimouski--Témiscouata/Rimouski--Témiscouata,115,Trois-Pistoles,9,1,30,33,47,0,120,225
Rimouski--Témiscouata/Rimouski--Témiscouata,116,Notre-Dame-des-Neiges-des-Trois-Pistoles,10,5,6,40,78,3,142,247
Rimouski--Témiscouata/Rimouski--Témiscouata,117,Trois-Pistoles,16,3,26,69,160,3,277,529
Rimouski--Témiscouata/Rimouski--Témiscouata,118,Trois-Pistoles,16,3,28,52,94,4,197,347
Rimouski--Témiscouata/Rimouski--Témiscouata,119,Trois-Pistoles,12,2,20,45,109,3,191,362
Rimouski--Témiscouata/Rimouski--Témiscouata,120,Trois-Pistoles,15,7,18,35,83,0,158,286
Rimouski--Témiscouata/Rimouski--Témiscouata,121,Trois-Pistoles,16,6,16,50,76,0,164,315
Rimouski--Témiscouata/Rimouski--Témiscouata,122,Trois-Pistoles,15,3,23,25,106,2,174,336
Rimouski--Témiscouata/Rimouski--Témiscouata,123,Trois-Pistoles,17,5,26,53,115,1,217,457
Rimouski--Témiscouata/Rimouski--Témiscouata,124,Notre-Dame-des-Neiges-des-Trois-Pistoles,13,5,11,53,104,4,190,315
Rimouski--Témiscouata/Rimouski--Témiscouata,125,Sainte-Françoise,10,7,24,42,95,3,181,336
Rimouski--Témiscouata/Rimouski--Témiscouata,126,Notre-Dame-des-Neiges,11,9,17,33,86,4,160,302
Rimouski--Témiscouata/Rimouski--Témiscouata,127,Saint-Éloi,10,8,41,37,72,5,173,271
Rimouski--Témiscouata/Rimouski--Témiscouata,128,Saint-Médard,13,0,34,26,62,2,137,219
Rimouski--Témiscouata/Rimouski--Témiscouata,129,Saint-Guy,2,1,6,10,22,2,43,83
Rimouski--Témiscouata/Rimouski--Témiscouata,130,Sainte-Rita,12,8,25,31,78,4,158,301
Rimouski--Témiscouata/Rimouski--Témiscouata,131,Saint-Jean-de-Dieu,8,5,13,44,77,3,150,321
Rimouski--Témiscouata/Rimouski--Témiscouata,132,Saint-Jean-de-Dieu,9,4,20,44,74,7,158,393
Rimouski--Témiscouata/Rimouski--Témiscouata,133,Saint-Jean-de-Dieu,2,0,19,10,52,1,84,226
Rimouski--Témiscouata/Rimouski--Témiscouata,134,Saint-Jean-de-Dieu,12,4,25,45,95,4,185,419
Rimouski--Témiscouata/Rimouski--Témiscouata,135,Saint-Clément,12,8,28,48,146,3,245,396
Rimouski--Témiscouata/Rimouski--Témiscouata,136,Lac-des-Aigles,4,4,15,22,95,0,140,255
Rimouski--Témiscouata/Rimouski--Témiscouata,137,Lac-des-Aigles,3,0,7,17,88,1,116,209
Rimouski--Témiscouata/Rimouski--Témiscouata,138,Biencourt,2,2,14,25,56,1,100,188
Rimouski--Témiscouata/Rimouski--Témiscouata,139,Biencourt,7,5,22,45,78,1,158,307
Rimouski--Témiscouata/Rimouski--Témiscouata,140,Saint-Michel-du-Squatec,13,2,33,26,89,1,164,290
Rimouski--Témiscouata/Rimouski--Témiscouata,141,Saint-Michel-du-Squatec,22,4,16,65,118,9,234,400
Rimouski--Témiscouata/Rimouski--Témiscouata,142,Saint-Michel-du-Squatec,11,4,14,41,74,3,147,292
Rimouski--Témiscouata/Rimouski--Témiscouata,143,Saint-Godard-de-Lejeune,5,5,14,36,69,2,131,254
Rimouski--Témiscouata/Rimouski--Témiscouata,144,Auclair,13,10,9,29,136,5,202,384
Rimouski--Témiscouata/Rimouski--Témiscouata,145,Saint-Juste-du-Lac,7,4,10,10,93,3,127,241
Rimouski--Témiscouata/Rimouski--Témiscouata,146,Saint-Juste-du-Lac,6,1,11,24,84,3,129,245
Rimouski--Témiscouata/Rimouski--Témiscouata,147,Dégelis,10,6,28,60,113,11,228,442
Rimouski--Témiscouata/Rimouski--Témiscouata,148,Dégelis,6,7,14,27,63,0,117,216
Rimouski--Témiscouata/Rimouski--Témiscouata,149,Dégelis,9,6,15,24,71,4,129,257
Rimouski--Témiscouata/Rimouski--Témiscouata,150,Dégelis,5,4,16,44,69,4,142,323
Rimouski--Témiscouata/Rimouski--Témiscouata,151,Dégelis,4,2,19,51,48,1,125,258
Rimouski--Témiscouata/Rimouski--Témiscouata,152,Dégelis,8,2,14,51,73,2,150,310
Rimouski--Témiscouata/Rimouski--Témiscouata,153,Dégelis,15,2,25,30,55,5,132,297
Rimouski--Témiscouata/Rimouski--Témiscouata,154,Dégelis,18,7,23,52,92,3,195,412
Rimouski--Témiscouata/Rimouski--Témiscouata,155,Packington,8,1,11,35,54,3,112,195
Rimouski--Témiscouata/Rimouski--Témiscouata,156,Saint-Jean-de-la-Lande,7,4,23,24,28,2,88,229
Rimouski--Témiscouata/Rimouski--Témiscouata,157,Packington,5,3,14,48,59,5,134,280
Rimouski--Témiscouata/Rimouski--Témiscouata,158,Cabano,10,5,21,40,125,6,207,386
Rimouski--Témiscouata/Rimouski--Témiscouata,159,Cabano,17,4,19,34,112,8,194,425
Rimouski--Témiscouata/Rimouski--Témiscouata,160,Cabano,8,4,11,30,53,3,109,222
Rimouski--Témiscouata/Rimouski--Témiscouata,161,Cabano,5,6,6,37,55,6,115,256
Rimouski--Témiscouata/Rimouski--Témiscouata,162,Cabano,11,9,4,56,70,3,153,325
Rimouski--Témiscouata/Rimouski--Témiscouata,163,Cabano,16,6,10,41,86,5,164,321
Rimouski--Témiscouata/Rimouski--Témiscouata,164,Cabano,6,1,17,29,105,5,163,337
Rimouski--Témiscouata/Rimouski--Témiscouata,165,Cabano,7,1,21,22,52,6,109,236
Rimouski--Témiscouata/Rimouski--Témiscouata,166,Notre-Dame-du-Lac,12,6,11,37,70,0,136,292
Rimouski--Témiscouata/Rimouski--Témiscouata,167,Notre-Dame-du-Lac,11,8,17,44,67,4,151,272
Rimouski--Témiscouata/Rimouski--Témiscouata,168A,Notre-Dame-du-Lac,5,8,23,78,70,5,189,358
Rimouski--Témiscouata/Rimouski--Témiscouata,168B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,,29
Rimouski--Témiscouata/Rimouski--Témiscouata,169,Notre-Dame-du-Lac,22,9,13,57,105,7,213,373
Rimouski--Témiscouata/Rimouski--Témiscouata,170,Notre-Dame-du-Lac,6,5,17,39,87,6,160,283
Rimouski--Témiscouata/Rimouski--Témiscouata,171,Saint-Eusèbe,21,4,37,34,135,8,239,479
Rimouski--Témiscouata/Rimouski--Témiscouata,172,Saint-Pierre-de-Lamy,3,0,16,4,34,3,60,111
Rimouski--Témiscouata/Rimouski--Témiscouata,173,Saint-Honoré-de-Témiscouata,5,2,14,25,63,4,113,244
Rimouski--Témiscouata/Rimouski--Témiscouata,174,Saint-Louis-du-Ha! Ha!,9,6,11,24,57,4,111,204
Rimouski--Témiscouata/Rimouski--Témiscouata,175,Saint-Louis-du-Ha! Ha!,4,3,14,33,79,8,141,285
Rimouski--Témiscouata/Rimouski--Témiscouata,176,Saint-Louis-du-Ha! Ha!,10,6,27,34,102,6,185,411
Rimouski--Témiscouata/Rimouski--Témiscouata,177,Saint-Honoré-de-Témiscouata,8,3,9,21,54,0,95,223
Rimouski--Témiscouata/Rimouski--Témiscouata,178,Saint-Honoré-de-Témiscouata,14,4,21,40,124,7,210,375
Rimouski--Témiscouata/Rimouski--Témiscouata,179,Saint-Elzéar,11,0,8,34,83,5,141,262
Rimouski--Témiscouata/Rimouski--Témiscouata,180,Saint-Athanase,13,2,10,28,64,4,121,255
Rimouski--Témiscouata/Rimouski--Témiscouata,181,Pohénégamook,16,7,27,80,144,14,288,531
Rimouski--Témiscouata/Rimouski--Témiscouata,182,Saint-Éleuthère,6,3,15,42,107,7,180,301
Rimouski--Témiscouata/Rimouski--Témiscouata,183,Pohénégamook,7,2,10,33,79,3,134,297
Rimouski--Témiscouata/Rimouski--Témiscouata,184,Pohénégamook,15,1,12,68,116,8,220,456
Rimouski--Témiscouata/Rimouski--Témiscouata,185,Pohénégamook,11,3,14,49,102,6,185,462
Rimouski--Témiscouata/Rimouski--Témiscouata,186,Pohénégamook,9,3,12,31,76,3,134,310
Rimouski--Témiscouata/Rimouski--Témiscouata,187,Rivière-Bleue,11,4,18,46,74,4,157,354
Rimouski--Témiscouata/Rimouski--Témiscouata,188,Rivière-Bleue,8,11,24,57,121,1,222,459
Rimouski--Témiscouata/Rimouski--Témiscouata,189,Saint-Marc-du-Lac-Long,7,2,22,68,90,6,195,371
Rimouski--Témiscouata/Rimouski--Témiscouata,190,Rivière-Bleue,3,2,22,38,55,2,122,284
Rimouski--Témiscouata/Rimouski--Témiscouata,500,Mobile poll/Bureau itinérant,7,3,6,42,29,3,90,272
Rimouski--Témiscouata/Rimouski--Témiscouata,501,Mobile poll/Bureau itinérant,6,0,19,67,68,4,164,228
Rimouski--Témiscouata/Rimouski--Témiscouata,502,Mobile poll/Bureau itinérant,9,2,28,93,46,10,188,252
Rimouski--Témiscouata/Rimouski--Témiscouata,503,Mobile poll/Bureau itinérant,4,5,20,60,58,7,154,215
Rimouski--Témiscouata/Rimouski--Témiscouata,504,Mobile poll/Bureau itinérant,2,3,27,39,26,0,97,126
Rimouski--Témiscouata/Rimouski--Témiscouata,505,Mobile poll/Bureau itinérant,0,1,2,4,2,0,9,110
Rimouski--Témiscouata/Rimouski--Témiscouata,506,Mobile poll/Bureau itinérant,2,5,11,27,15,1,61,100
Rimouski--Témiscouata/Rimouski--Témiscouata,600,Rimouski--Pointe-au-Père,17,9,34,48,220,3,331,
Rimouski--Témiscouata/Rimouski--Témiscouata,601,Rimouski,37,15,37,131,273,2,495,
Rimouski--Témiscouata/Rimouski--Témiscouata,602,Rimouski,29,7,32,112,295,1,476,
Rimouski--Témiscouata/Rimouski--Témiscouata,603,Rimouski,42,6,53,144,270,4,519,
Rimouski--Témiscouata/Rimouski--Témiscouata,604,Sainte-Blandine,8,5,10,22,78,3,126,
Rimouski--Témiscouata/Rimouski--Témiscouata,605,Le Bic,9,5,10,47,131,2,204,
Rimouski--Témiscouata/Rimouski--Témiscouata,606,Rimouski,10,4,32,55,122,1,224,
Rimouski--Témiscouata/Rimouski--Témiscouata,607,Saint-Jean-de-Dieu,1,0,9,11,24,1,46,
Rimouski--Témiscouata/Rimouski--Témiscouata,608,Saint-Michel-du-Squatec,6,3,3,25,35,2,74,
Rimouski--Témiscouata/Rimouski--Témiscouata,609,Dégelis,4,4,18,58,74,1,159,
Rimouski--Témiscouata/Rimouski--Témiscouata,610,Cabano,7,3,18,79,83,8,198,
Rimouski--Témiscouata/Rimouski--Témiscouata,611,Saint-Louis-du-Ha! Ha!,2,1,10,24,42,0,79,
Rimouski--Témiscouata/Rimouski--Témiscouata,612,Pohénégamook,5,3,14,28,66,2,118,
Rimouski--Témiscouata/Rimouski--Témiscouata,,Group 1/Groupe 1,7,6,34,42,59,10,158,328
Rimouski--Témiscouata/Rimouski--Témiscouata,,Group 2/Groupe 2,18,12,25,90,185,7,337,
