District,Poll Number,Poll Name,Rex Barnes,John Lannon,Samuel Robert McLean,Scott Simms,Ed Sailor White,Rejected Ballots,Total Vote,Electors
Bonavista--Exploits/Bonavista--Exploits,181,Port Blandford,16,2,16,53,0,0,87,188
Bonavista--Exploits/Bonavista--Exploits,182,Port Blandford,43,2,11,50,0,0,106,280
Bonavista--Exploits/Bonavista--Exploits,183,Shoal Harbour,Void,,,,,,,
Bonavista--Exploits/Bonavista--Exploits,184,Charlottetown--Terra Nova,41,1,7,67,1,0,117,264
Bonavista--Exploits/Bonavista--Exploits,185,Bunyan's Cove,10,1,8,63,2,0,84,372
Bonavista--Exploits/Bonavista--Exploits,186,Shoal Harbour,Void,,,,,,,
Bonavista--Exploits/Bonavista--Exploits,187,Milton,Void,,,,,,,
Bonavista--Exploits/Bonavista--Exploits,188,Georges Brook,Void,,,,,,,
Bonavista--Exploits/Bonavista--Exploits,189,Cannings Cove,22,0,6,58,2,2,90,225
Bonavista--Exploits/Bonavista--Exploits,190,Musgravetown,32,1,16,27,1,0,77,198
Bonavista--Exploits/Bonavista--Exploits,191A,Musgravetown,44,0,22,49,1,0,116,306
Bonavista--Exploits/Bonavista--Exploits,191B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,11
Bonavista--Exploits/Bonavista--Exploits,192,Bloomfield,59,2,16,46,1,1,125,476
Bonavista--Exploits/Bonavista--Exploits,193A,Lethbridge,57,2,15,83,4,2,163,473
Bonavista--Exploits/Bonavista--Exploits,193B,Lethbridge,5,0,3,10,0,0,18,164
Bonavista--Exploits/Bonavista--Exploits,193C,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,10
Bonavista--Exploits/Bonavista--Exploits,194,Lethbridge,Void,,,,,,,
Bonavista--Exploits/Bonavista--Exploits,195,Portland--Jamestown--Winter Brook,44,0,13,38,0,1,96,304
Bonavista--Exploits/Bonavista--Exploits,196,Sweet Bay,34,0,9,46,2,1,92,211
Bonavista--Exploits/Bonavista--Exploits,197,Open Hall--Red Cliff--Tickle Cove,29,2,3,26,0,0,60,121
