Province,District,Candidate,Residence,Occupation,Number of Votes,Number of Votes Percent,Number Majority,Majority Percent
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Ern Condon Independent/Indépendant","Labrador City, N.L./T.-N.-L.","Retired/Retraité",919,10.35,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Shawn Crann N.D.P./N.P.D.","Happy Valley-Goose Bay, N.L./T.-N.-L.","Funeral Director/Embalmer/Directeur de funérailles/embaumeur",856,9.64,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Lori-Ann Martino Green Party/Parti Vert","St. John's, N.L./T.-N.-L.","Research Assistant/Adjointe à la recherche",178,2.01,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Bill Matthews ** Liberal/Libéral","Mount Pearl, N.L./T.-N.-L.","Parliamentarian/Parlementaire",12383,46.77,      3586,  13.5
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Des McGrath N.D.P./N.P.D.","Stephenville, N.L./T.-N.-L.","Clergy/Membre du clergé",8797,33.23,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Larry Peckford Conservative/conservateur","Stephenville, N.L./T.-N.-L.","Manager (Retired)/Gestionnaire (retraité)",4820,18.21,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Justin Dollimont Green Party/Parti Vert","Mount Pearl, N.L./T.-N.-L.","Wellness Consultant/Consultant en bien-être",474,1.79,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's North/St. John's-Nord","Norman E Doyle ** Conservative/conservateur","St. John's, N.L./T.-N.-L.","Parliamentarian/Parlementaire",15073,41.4,      1730,   4.8
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's North/St. John's-Nord","Walter Noel Liberal/Libéral","St. John's, N.L./T.-N.-L.","Business Person/Homme d'affaires",13343,36.65,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's North/St. John's-Nord","Janine Piller N.D.P./N.P.D.","St. John's, N.L./T.-N.-L.","Business Person/Femme d'affaires",7198,19.77,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's North/St. John's-Nord","Scott Vokey Green Party/Parti Vert","Toronto, Ont/Ont.","Planner/Planificateur",791,2.17,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South/St. John's-Sud","Loyola Hearn ** Conservative/conservateur","Renews, N.L./T.-N.-L.","Parliamentarian/Parlementaire",13330,39.57,      1451,   4.3
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South/St. John's-Sud","Siobhan Coady Liberal/Libéral","St. John's, N.L./T.-N.-L.","Business Person/Femme d'affaires",11879,35.26,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South/St. John's-Sud","Peg Norman N.D.P./N.P.D.","St. John's, N.L./T.-N.-L.","Filmmaker/Cinéaste",7989,23.71,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South/St. John's-Sud","Stephen Daniel Willcott Green Party/Parti Vert","Mount Pearl, N.L./T.-N.-L.","Wellness Consultant/Consultant en bien-être",493,1.46,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Lawrence MacAulay ** Liberal/Libéral","St. Peters Bay, PEI/Î.-P.-É.","Farmer/Agriculteur",11064,53.38,      4175,  20.1
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Peter McQuaid Conservative/conservateur","Souris, PEI/Î.-P.-É.","Self-employed /Travailleur autonome",6889,33.24,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Dave MacKinnon N.D.P./N.P.D.","Souris, PEI/Î.-P.-É.","Consultant/Consultant",2103,10.15,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Jeremy Stiles Green Party/Parti Vert","Sea View, PEI/Î.-P.-É.","Quality Assurance Manager/Gestionnaire de l'assurance de la qualité",670,3.23,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Shawn Murphy ** Liberal/Libéral","Charlottetown, PEI/Î.-P.-É.","Parliamentarian/Parlementaire",9175,49.36,      4054,  21.8
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Darren Peters Conservative/conservateur","Charlottetown, PEI/Î.-P.-É.","Investment Advisor/Conseiller en placements",5121,27.55,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Dody Crane N.D.P./N.P.D.","Charlottetown, PEI/Î.-P.-É.","Lawyer/Avocate",3428,18.44,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Will McFadden Green Party/Parti Vert","Charlottetown, PEI/Î.-P.-É.","Hospitality Professional/Professionnel de l'accueil",760,4.09,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Baird Judson Christian Heritage Party/Parti de l'Héritage Chrétien","Alexandra, PEI/Î.-P.-É.","Retired/Retraité",105,.56,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Joe McGuire ** Liberal/Libéral","Tyne Valley, PEI/Î.-P.-É.","Educator/Éducateur",10220,55.44,      4857,  26.3
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Reg Harper Conservative/conservateur","Alberton, PEI/Î.-P.-É.","Contractor/Entrepreneur",5363,29.09,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Regena Kaye Russell N.D.P./N.P.D.","O'Leary, PEI/Î.-P.-É.","Barrister/Solicitor/Avocate/procureure",2133,11.57,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Irené Novaczek Green Party/Parti Vert","Breadalbane, PEI/Î.-P.-É.","Scientist/Scientifique",717,3.89,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","Wayne Easter ** Liberal/Libéral","North Wiltshire, PEI/Î.-P.-É.","Farmer/Agriculteur",9782,51.9,      3656,  19.4
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","Mary Crane Conservative/conservateur","Kensington, PEI/Î.-P.-É.","Teacher/Enseignante",6126,32.5,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","Ken Bingham N.D.P./N.P.D.","New Glasgow, PEI/Î.-P.-É.","Investor/Investisseur",1902,10.09,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","Sharon Labchuk Green Party/Parti Vert","Breadalbane, PEI/Î.-P.-É.","Environmental Activist/Activiste écologiste",1037,5.5,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Rodger Cuzner ** Liberal/Libéral","Glace Bay, NS/N.-É.","Parliamentarian/Parlementaire",20139,53.26,     10942,  28.9
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Shirley Hartery N.D.P./N.P.D.","Port Hawkesbury, NS/N.-É.","/",9197,24.32,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Kenzie MacNeil Conservative/conservateur","Sydney, NS/N.-É.","Writer/Producer/Auteur/producteur",7654,20.24,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Seumas Gibson Green Party/Parti Vert","Judique, NS/N.-É.","Writer/Musician/Auteur/musicien",820,2.17,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Peter G. MacKay ** Conservative/conservateur","New Glasgow, NS/N.-É.","Lawyer/Avocat",16376,43.27,      5906,  15.6
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Alexis MacDonald N.D.P./N.P.D.","Antigonish, NS/N.-É.","Community Development/Développement communautaire",10470,27.66,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Susan L. Green Liberal/Libéral","New Glasgow, NS/N.-É.","Real Estate Broker/Courtière en immeubles",9986,26.39,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Rebecca Mosher Green Party/Parti Vert","Halifax, NS/N.-É.","Homemaker/Femme au foyer",1015,2.68,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Michael John Savage Liberal/Libéral","Dartmouth, NS/N.-É.","Vice-President, Executive Recruiting/Vice-président, recrutement des cadres",17425,42.07,      3962,   9.6
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Susan MacAlpine-Gillis N.D.P./N.P.D.","Dartmouth, NS/N.-É.","Minister of Religion/Pasteur",13463,32.5,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Mike MacDonald Conservative/conservateur","Dartmouth, NS/N.-É.","Business Person/Homme d'affaires",8739,21.1,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Michael Marshall Green Party/Parti Vert","Halifax, NS/N.-É.","Retail Sales/Vente au détail",1311,3.16,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Tracy Parsons PC Party/Parti PC","Dartmouth, NS/N.-É.","Sales Agent/Agente commerciale",415,1,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Charles Spurr Marxist-Leninist/Marxiste-Léniniste","Dartmouth, NS/N.-É.","Home Support Worker/Aide de maintien à domicile",70,.17,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Alexa McDonough ** N.D.P./N.P.D.","Halifax, NS/N.-É.","Parliamentarian/Parlementaire",18341,41.55,      1074,   2.4
"Nova Scotia/Nouvelle-Écosse","Halifax","Sheila Fougere Liberal/Libéral","Halifax, NS/N.-É.","Municipal Councillor/Conseillère municipale",17267,39.11,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Kevin Leslie Keefe Conservative/conservateur","Halifax, NS/N.-É.","Brewer/Brasseur",6457,14.63,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Michael Oddy Green Party/Parti Vert","Hubbards, NS/N.-É.","Teacher/Enseignant",2081,4.71,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Geoff Regan ** Liberal/Libéral","Bedford, NS/N.-É.","Lawyer/Avocat",19083,47.5,      7855,  19.6
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Bill Carr N.D.P./N.P.D.","Halifax, NS/N.-É.","Writer/Rédacteur",11228,27.95,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Ken MacPhee Conservative/conservateur","Timberlea, NS/N.-É.","Sales /Ventes",8413,20.94,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Martin Willison Green Party/Parti Vert","Halifax, NS/N.-É.","University Professor/Professeur d'université",1452,3.61,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Scott Brison ** Liberal/Libéral","Cheverie, NS/N.-É.","Parliamentarian/Parlementaire",17555,46.61,      6211,  16.5
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Bob Mullan Conservative/conservateur","Kentville, NS/N.-É.","Medical Doctor/Médecin",11344,30.12,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Skip Hambling N.D.P./N.P.D.","Delhaven, NS/N.-É.","Writer/Editor/Rédacteur/réviseur",6663,17.69,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Kevin Stacey Green Party/Parti Vert","Baxters Harbour, NS/N.-É.","Sales Manager/Gestionnaire des ventes",1364,3.62,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Jim Hnatiuk Christian Heritage Party/Parti de l'Héritage Chrétien","Lantz, NS/N.-É.","Chief Combat Systems Technician/Chef technicien des systèmes de combat",493,1.31,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Richard Hennigar Independent/Indépendant","Canning, NS/N.-É.","Business Person/Homme d'affaires",242,.64,,
"Nova Scotia/Nouvelle-Écosse","North Nova/Nova-Nord","Bill Casey ** Conservative/conservateur","Amherst, NS/N.-É.","Parliamentarian/Parlementaire",20188,50.49,      9597,  24.0
"Nova Scotia/Nouvelle-Écosse","North Nova/Nova-Nord","Dianne Brushett Liberal/Libéral","Truro, NS/N.-É.","Business Person/Femme d'affaires",10591,26.49,,
"Nova Scotia/Nouvelle-Écosse","North Nova/Nova-Nord","Margaret E. Sagar N.D.P./N.P.D.","Truro, NS/N.-É.","Minister of Religion /Pasteur ",7560,18.91,,
"Nova Scotia/Nouvelle-Écosse","North Nova/Nova-Nord","Sheila G. Richardson Green Party/Parti Vert","Wolfville, NS/N.-É.","Mediator/Therapist/Educator/Médiatrice/thérapeute/éducatrice",1245,3.11,,
"Nova Scotia/Nouvelle-Écosse","North Nova/Nova-Nord","Jack Moors PC Party/Parti PC","Wallace, NS/N.-É.","Retired/Retraité",399,1,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Peter Stoffer ** N.D.P./N.P.D.","Windsor Junction, NS/N.-É.","Parliamentarian/Parlementaire",17925,45.77,      6703,  17.1
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Dale Stevens Liberal/Libéral","Dartmouth, NS/N.-É.","Recreation Facility Manager/Directeur des installations récréatives",11222,28.66,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Steve Streatch Conservative/conservateur","Middle Musquodoboit, NS/N.-É.","Business Person/Homme d'affaires",8363,21.35,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","David Fullerton Green Party/Parti Vert","Halifax, NS/N.-É.","Director of Marketing/Directeur du marketing",1007,2.57,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Greg Moors PC Party/Parti PC","Toronto, Ont/Ont.","Accountant/Comptable",645,1.65,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Gerald Keddy ** Conservative/conservateur","New Ross, NS/N.-É.","Parliamentarian/Parlementaire",14954,37.9,      2296,   5.8
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","John Chandler Liberal/Libéral","Chester, NS/N.-É.","Lawyer/Avocat",12658,32.08,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Gordon Earle N.D.P./N.P.D.","Upper Tantallon, NS/N.-É.","Retired/Retraité",10140,25.7,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Katie Morris Boudreau Green Party/Parti Vert","Dayspring, NS/N.-É.","Writer/Researcher/Rédactrice/recherchiste",1700,4.31,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Mark Eyking ** Liberal/Libéral","Millville, NS/N.-É.","Business Person/Farmer/Homme d'affaires/agriculteur",19372,52.13,      9074,  24.4
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","John Hugh Edwards N.D.P./N.P.D.","Victoria, NS/N.-É.","University Educator/Éducateur en milieu universitaire",10298,27.71,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Howie MacDonald Conservative/conservateur","Sydney, NS/N.-É.","Musician/Entertainer/Musicien/artiste de spectacle",5897,15.87,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Chris Milburn Green Party/Parti Vert","Sydney, NS/N.-É.","Physician/Médecin",855,2.3,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Cathy Thériault Marijuana Party/Parti Marijuana","Point Edward, NS/N.-É.","Organic Farmer/Dental Assistant/Agricultrice biologique/assistante dentaire",474,1.28,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","B. Chris Gallant Independent/Indépendant","New Victoria, NS/N.-É.","Unemployed/Sans emploi",264,.71,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Robert Thibault ** Liberal/Libéral","Concession, NS/N.-É.","Parliamentarian/Parlementaire",18343,42.64,      4134,   9.6
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Jon Charles Carey Conservative/conservateur","Aylesford, NS/N.-É.","Business Manager/Gestionnaire",14209,33.03,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Edmund Arthur Bull N.D.P./N.P.D.","Digby, NS/N.-É.","Writer/Rédacteur",9086,21.12,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Matthew Granger Green Party/Parti Vert","South Ohio, NS/N.-É.","Provincial Park Caretaker/Gardien de parc provincial",1385,3.22,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Yvon Godin ** N.D.P./N.P.D.","Bathurst, NB/N.-B.","Parliamentarian/Parlementaire",23857,53.93,      9405,  21.3
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Serge Rousselle Liberal/Libéral","Tracadie-Sheila, NB/N.-B.","Dean/Professor/Doyen/professeur",14452,32.67,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Joel E. Bernard Conservative/conservateur","North Tetagouche, NB/N.-B.","Executive Project Agent/Agent de projet principal",4841,10.94,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Mario Lanteigne Green Party/Parti Vert","Caraquet, NB/N.-B.","University Lecturer/Chargé de cours à l'université",1085,2.45,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","Dominic LeBlanc ** Liberal/Libéral","Grande-Digue, NB/N.-B.","Parliamentarian/Parlementaire",21934,53.28,     10330,  25.1
"New Brunswick/Nouveau-Brunswick","Beauséjour","Angela Vautour Conservative/conservateur","Kouchibouguac, NB/N.-B.","Unemployed/Sans emploi",11604,28.19,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","Omer Bourque N.D.P./N.P.D.","Haute-Aboujagane, NB/N.-B.","Fish Plant Worker/Travailleur d'usine de traitement du poisson",6056,14.71,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","Anna Girouard Green Party/Parti Vert","Sainte-Marie-de-Kent, NB/N.-B.","Artist/Writer/Editor/Artiste/rédactrice/réviseure",1574,3.82,,
"New Brunswick/Nouveau-Brunswick","Fredericton","Andy Scott ** Liberal/Libéral","Fredericton, NB/N.-B.","Parliamentarian/Parlementaire",19819,46.78,      5626,  13.3
"New Brunswick/Nouveau-Brunswick","Fredericton","Kent Fox Conservative/conservateur","Fredericton, NB/N.-B.","Business Person/Homme d'affaires",14193,33.5,,
"New Brunswick/Nouveau-Brunswick","Fredericton","John Carty N.D.P./N.P.D.","Hanwell, NB/N.-B.","SPCA Shelter Manager/Administrateur de refuge de la SPCA",7360,17.37,,
"New Brunswick/Nouveau-Brunswick","Fredericton","Daron Letts Green Party/Parti Vert","Halifax, NS/N.-É.","Journalist/Journaliste",997,2.35,,
"New Brunswick/Nouveau-Brunswick","Fundy","Rob Moore Conservative/conservateur","Quispamsis, NB/N.-B.","Lawyer/Avocat",14997,44.82,      3362,  10.0
"New Brunswick/Nouveau-Brunswick","Fundy","John Herron ** Liberal/Libéral","Bloomfield, NB/N.-B.","Parliamentarian/Parlementaire",11635,34.77,,
"New Brunswick/Nouveau-Brunswick","Fundy","Pat Hanratty N.D.P./N.P.D.","Darlings Island, NB/N.-B.","Carpenter/Charpentier",5417,16.19,,
"New Brunswick/Nouveau-Brunswick","Fundy","Karin Bach Green Party/Parti Vert","New Horton, NB/N.-B.","Artist/Artiste  ",1051,3.14,,
"New Brunswick/Nouveau-Brunswick","Fundy","David Raymond Amos Independent/Indépendant","Sussex Corner, NB/N.-B.","Homemaker/Homme au foyer",358,1.07,,
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Jean-Claude J.C. D'Amours Liberal/Libéral","Edmundston, NB/N.-B.","Account Manager/Directeur des comptes",14144,44.66,      5407,  17.1
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Rodolphe Martin N.D.P./N.P.D.","Edmundston, NB/N.-B.","Union Advisor/Conseiller syndical",8737,27.59,,
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Benoit Violette Conservative/conservateur","Ottawa, Ont/Ont.","Lobbyist/Lobbyiste",7605,24.01,,
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Jovette Cyr Green Party/Parti Vert","Moncton, NB/N.-B.","Graphic Artist/Graphiste",1185,3.74,,
"New Brunswick/Nouveau-Brunswick","Miramichi","Charles Isaac Hubbard ** Liberal/Libéral","Red Bank, NB/N.-B.","Parliamentarian/Parlementaire",15647,48.08,      6199,  19.0
"New Brunswick/Nouveau-Brunswick","Miramichi","Michael J. Morrison Conservative/conservateur","Derby, NB/N.-B.","Retired/Retraité",9448,29.03,,
"New Brunswick/Nouveau-Brunswick","Miramichi","Hilaire Rousselle N.D.P./N.P.D.","Saint-Wilfred, NB/N.-B.","Cook/Cuisinier",5980,18.38,,
"New Brunswick/Nouveau-Brunswick","Miramichi","Garry Sanipass Green Party/Parti Vert","Bouctouche Reserve, NB/N.-B.","Chief/Chef",1468,4.51,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Claudette Bradshaw ** Liberal/Libéral","Moncton, NB/N.-B.","Parliamentarian/Parlementaire",25266,59.29,     15263,  35.8
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Jean LeBlanc Conservative/conservateur","Dieppe, NB/N.-B.","Business Person/Homme d'affaires",10003,23.48,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Hélène Lapointe N.D.P./N.P.D.","Dieppe, NB/N.-B.","Typesetter/Compositrice typographe",5344,12.54,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Judith Hamel Green Party/Parti Vert","Riverside-Albert, NB/N.-B.","Writer/Rédactrice",1998,4.69,,
"New Brunswick/Nouveau-Brunswick","St. Croix--Belleisle","Greg Thompson ** Conservative/conservateur","Bayside, NB/N.-B.","Parliamentarian/Parlementaire",16339,53.06,      6637,  21.6
"New Brunswick/Nouveau-Brunswick","St. Croix--Belleisle","Jim Dunlap Liberal/Libéral","St. George, NB/N.-B.","Business Person/Homme d'affaires",9702,31.51,,
"New Brunswick/Nouveau-Brunswick","St. Croix--Belleisle","Patrick Webber N.D.P./N.P.D.","Fredericton, NB/N.-B.","Student/Étudiant",3600,11.69,,
"New Brunswick/Nouveau-Brunswick","St. Croix--Belleisle","Erik Matthew Millett Green Party/Parti Vert","Saint John, NB/N.-B.","Teacher/Administrator/Enseignant/administrateur",960,3.12,,
"New Brunswick/Nouveau-Brunswick","St. Croix--Belleisle","David Szemerda Canadian Action/Action canadienne","Beaver Harbour, NB/N.-B.","Business Person/Homme d'affaires",194,.63,,
"New Brunswick/Nouveau-Brunswick","Saint John","Paul Zed Liberal/Libéral","Rothesay, NB/N.-B.","Lawyer/Avocat",15725,43.28,      3513,   9.7
"New Brunswick/Nouveau-Brunswick","Saint John","Bob McVicar Conservative/conservateur","Saint John, NB/N.-B.","Retailer/Détaillant",12212,33.62,,
"New Brunswick/Nouveau-Brunswick","Saint John","Terry Albright N.D.P./N.P.D.","Saint John, NB/N.-B.","Licensed Practical Nurse/Infirmière auxiliaire autorisée",6926,19.06,,
"New Brunswick/Nouveau-Brunswick","Saint John","Jonathan Cormier Green Party/Parti Vert","Ottawa, Ont/Ont.","National Organizing Assistant/Adjoint au développement national",807,2.22,,
"New Brunswick/Nouveau-Brunswick","Saint John","Jim Wood Marijuana Party/Parti Marijuana","Hampton, NB/N.-B.","Manager/Gestionnaire",369,1.02,,
"New Brunswick/Nouveau-Brunswick","Saint John","Tom Oland Independent/Indépendant","Willow Grove, NB/N.-B.","Self-employed /Travailleur autonome",290,.8,,
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac","Andy Savoy ** Liberal/Libéral","Tobique Narrows, NB/N.-B.","Parliamentarian/Parlementaire",16787,48.23,      3008,   8.6
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac","Mike Allen Conservative/conservateur","Douglas, NB/N.-B.","Management Consultant/Conseiller en gestion",13779,39.59,,
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac","Jason Mapplebeck N.D.P./N.P.D.","Esteys Bridge, NB/N.-B.","Student/Étudiant",2957,8.5,,
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac","Scott Jones Green Party/Parti Vert","Red Bridge, NB/N.-B.","Teacher/Enseignant",1282,3.68,,
"Quebec/Québec","Abitibi--Témiscamingue","Marc Lemay Bloc Québécois/Bloc Québécois","Rouyn-Noranda, QC/Qué.","Lawyer/Avocat",25041,57.66,     11584,  26.7
"Quebec/Québec","Abitibi--Témiscamingue","Gilbert Barrette ** Liberal/Libéral","La Sarre, QC/Qué.","Retired/Retraité",13457,30.98,,
"Quebec/Québec","Abitibi--Témiscamingue","Bernard Hugues Beauchesne Conservative/conservateur","Montréal, QC/Qué.","Public Relations Officer/Relationniste",2425,5.58,,
