District,Poll Number,Poll Name,Mathieu Allard,Daniel Backé,Chris Buors,Ken Cooper,Gérard Guay,Jeannine Moquin-Perry,Raymond Simard,Rejected Ballots,Total Vote,Electors
Saint Boniface/Saint-Boniface,25,Winnipeg,37,2,1,41,0,1,60,0,142,339
Saint Boniface/Saint-Boniface,26,Winnipeg,21,3,1,49,0,0,60,0,134,292
Saint Boniface/Saint-Boniface,27,Winnipeg,29,3,1,63,0,2,85,0,183,315
Saint Boniface/Saint-Boniface,28,Winnipeg,36,1,2,69,0,3,79,1,191,336
Saint Boniface/Saint-Boniface,29,Winnipeg,39,3,2,58,1,1,74,0,178,305
Saint Boniface/Saint-Boniface,30,Winnipeg,25,3,1,51,0,2,67,0,149,286
Saint Boniface/Saint-Boniface,31,Winnipeg,37,1,0,70,0,2,110,0,220,389
Saint Boniface/Saint-Boniface,32,Winnipeg,37,4,1,76,0,1,99,0,218,401
Saint Boniface/Saint-Boniface,33,Winnipeg,24,5,1,48,0,1,75,0,154,265
Saint Boniface/Saint-Boniface,34,Winnipeg,43,6,1,44,0,2,56,0,152,348
Saint Boniface/Saint-Boniface,35,Winnipeg,40,2,3,80,0,3,82,1,211,452
Saint Boniface/Saint-Boniface,36,Winnipeg,49,1,1,61,1,3,111,0,227,371
Saint Boniface/Saint-Boniface,37,Winnipeg,47,6,1,67,2,0,89,2,214,366
Saint Boniface/Saint-Boniface,38,Winnipeg,38,3,2,66,1,0,106,0,216,290
Saint Boniface/Saint-Boniface,39,Winnipeg,25,4,3,62,0,0,66,0,160,286
Saint Boniface/Saint-Boniface,40,Winnipeg,26,1,0,61,1,2,92,2,185,325
Saint Boniface/Saint-Boniface,41,Winnipeg,35,2,2,58,0,0,101,1,199,357
Saint Boniface/Saint-Boniface,42,Winnipeg,25,9,1,79,0,1,117,0,232,357
Saint Boniface/Saint-Boniface,43,Winnipeg,26,6,4,100,0,0,101,0,237,371
Saint Boniface/Saint-Boniface,44,Winnipeg,28,2,3,66,1,3,96,1,200,344
Saint Boniface/Saint-Boniface,45,Winnipeg,27,5,1,68,0,3,70,0,174,277
Saint Boniface/Saint-Boniface,46,Winnipeg,40,6,2,57,0,3,79,1,188,295
Saint Boniface/Saint-Boniface,47,Winnipeg,20,3,1,77,1,4,118,0,224,361
Saint Boniface/Saint-Boniface,48,Winnipeg,31,6,3,24,1,2,60,0,127,314
Saint Boniface/Saint-Boniface,49,Winnipeg,39,4,3,30,0,2,66,0,144,367
Saint Boniface/Saint-Boniface,50,Winnipeg,42,4,4,33,2,1,101,1,188,351
Saint Boniface/Saint-Boniface,51,Winnipeg,43,7,2,28,1,4,64,0,149,337
Saint Boniface/Saint-Boniface,52,Winnipeg,38,7,1,32,0,3,79,1,161,403
Saint Boniface/Saint-Boniface,53,Winnipeg,38,4,3,21,0,0,29,1,96,195
Saint Boniface/Saint-Boniface,54,Winnipeg,70,4,2,53,0,3,94,0,226,482
Saint Boniface/Saint-Boniface,55,Winnipeg,40,2,3,28,0,1,65,1,140,297
Saint Boniface/Saint-Boniface,56,Winnipeg,47,5,0,37,0,3,75,0,167,327
Saint Boniface/Saint-Boniface,57,Winnipeg,56,11,2,37,5,1,112,1,225,358
Saint Boniface/Saint-Boniface,58,Winnipeg,47,4,0,33,2,4,137,4,231,367
Saint Boniface/Saint-Boniface,59,Winnipeg,52,12,2,48,0,0,127,0,241,353
Saint Boniface/Saint-Boniface,60,Winnipeg,50,12,2,80,1,1,127,0,273,387
Saint Boniface/Saint-Boniface,61,Winnipeg,48,10,5,43,0,0,126,0,232,330
Saint Boniface/Saint-Boniface,62,Winnipeg,56,14,0,68,0,0,127,2,267,389
Saint Boniface/Saint-Boniface,63,Winnipeg,36,10,2,46,0,1,112,2,209,315
Saint Boniface/Saint-Boniface,64,Winnipeg,57,3,1,24,0,2,75,0,162,395
Saint Boniface/Saint-Boniface,65,Winnipeg,60,9,4,39,0,5,107,0,224,414
Saint Boniface/Saint-Boniface,66,Winnipeg,43,4,6,33,0,2,89,2,179,315
Saint Boniface/Saint-Boniface,67,Winnipeg,36,4,2,46,0,1,92,2,183,369
Saint Boniface/Saint-Boniface,68,Winnipeg,52,7,3,40,0,1,89,0,192,352
Saint Boniface/Saint-Boniface,69,Winnipeg,47,7,2,47,0,1,64,0,168,345
Saint Boniface/Saint-Boniface,70,Winnipeg,71,9,4,52,0,5,96,1,238,399
Saint Boniface/Saint-Boniface,71,Winnipeg,58,8,3,50,0,0,73,1,193,367
Saint Boniface/Saint-Boniface,72,Winnipeg,50,5,0,58,0,3,48,0,164,376
Saint Boniface/Saint-Boniface,73,Winnipeg,34,7,3,70,0,1,77,0,192,435
Saint Boniface/Saint-Boniface,74,Winnipeg,46,12,1,65,0,0,91,0,215,381
Saint Boniface/Saint-Boniface,75,Winnipeg,70,11,1,76,0,0,111,2,271,407
Saint Boniface/Saint-Boniface,76,Winnipeg,52,15,2,96,1,3,121,0,290,440
Saint Boniface/Saint-Boniface,77,Winnipeg,20,6,1,111,1,2,111,0,252,380
Saint Boniface/Saint-Boniface,78,Winnipeg,13,5,1,47,0,0,51,2,119,193
Saint Boniface/Saint-Boniface,79,Winnipeg,42,7,3,70,0,1,76,1,200,447
Saint Boniface/Saint-Boniface,80,Winnipeg,59,4,3,70,0,1,90,1,228,439
Saint Boniface/Saint-Boniface,81,Winnipeg,41,6,0,46,0,1,64,2,160,282
Saint Boniface/Saint-Boniface,82,Winnipeg,66,2,1,70,1,2,110,0,252,420
Saint Boniface/Saint-Boniface,83,Winnipeg,38,8,0,51,0,1,68,0,166,378
Saint Boniface/Saint-Boniface,84,Winnipeg,25,1,1,17,1,4,48,0,97,262
Saint Boniface/Saint-Boniface,85,Winnipeg,33,7,2,46,0,0,68,3,159,358
Saint Boniface/Saint-Boniface,86,Winnipeg,58,7,4,68,1,0,75,0,213,391
Saint Boniface/Saint-Boniface,87,Winnipeg,31,6,0,47,0,2,70,2,158,303
Saint Boniface/Saint-Boniface,88,Winnipeg,49,5,3,57,0,0,67,0,181,326
Saint Boniface/Saint-Boniface,89A,Winnipeg,25,2,0,21,0,1,32,0,81,281
Saint Boniface/Saint-Boniface,89B,Winnipeg,24,1,2,32,0,1,50,0,110,314
Saint Boniface/Saint-Boniface,90,Winnipeg,47,4,0,50,1,2,89,1,194,367
Saint Boniface/Saint-Boniface,91,Winnipeg,51,5,3,64,0,1,68,0,192,333
Saint Boniface/Saint-Boniface,92,Winnipeg,16,7,1,107,0,2,120,1,254,359
Saint Boniface/Saint-Boniface,93,Winnipeg,48,8,1,53,1,3,69,1,184,346
Saint Boniface/Saint-Boniface,94,Winnipeg,57,11,4,64,1,1,74,0,212,390
Saint Boniface/Saint-Boniface,95,Winnipeg,43,5,3,44,0,0,100,1,196,387
Saint Boniface/Saint-Boniface,96,Winnipeg,56,3,5,67,0,5,112,2,250,538
Saint Boniface/Saint-Boniface,97,Winnipeg,39,1,2,32,0,0,59,0,133,271
Saint Boniface/Saint-Boniface,98,Winnipeg,44,2,1,69,0,0,57,1,174,496
Saint Boniface/Saint-Boniface,99,Winnipeg,32,1,1,64,1,2,77,0,178,317
Saint Boniface/Saint-Boniface,100,Winnipeg,25,2,3,36,0,3,66,1,136,281
Saint Boniface/Saint-Boniface,101,Winnipeg,28,8,4,53,0,2,104,0,199,331
Saint Boniface/Saint-Boniface,102,Winnipeg,38,4,2,64,0,1,82,0,191,321
Saint Boniface/Saint-Boniface,103,Winnipeg,15,7,1,62,0,0,76,0,161,249
Saint Boniface/Saint-Boniface,104,Winnipeg,23,4,2,75,0,2,71,0,177,309
Saint Boniface/Saint-Boniface,105,Winnipeg,44,3,1,59,0,1,55,0,163,289
Saint Boniface/Saint-Boniface,106,Winnipeg,36,8,4,70,0,0,111,1,230,384
Saint Boniface/Saint-Boniface,107,Winnipeg,42,1,0,45,0,3,110,1,202,433
Saint Boniface/Saint-Boniface,108,Winnipeg,47,3,4,73,0,0,77,1,205,398
Saint Boniface/Saint-Boniface,109,Winnipeg,46,7,4,75,1,4,106,0,243,468
Saint Boniface/Saint-Boniface,110,Winnipeg,53,3,3,68,1,6,123,0,257,393
Saint Boniface/Saint-Boniface,111,Winnipeg,53,3,0,61,0,0,68,1,186,415
Saint Boniface/Saint-Boniface,112,Winnipeg,13,0,0,19,0,1,53,1,87,169
Saint Boniface/Saint-Boniface,113,Winnipeg,44,3,0,25,1,3,53,0,129,363
Saint Boniface/Saint-Boniface,114A,Winnipeg,32,2,0,38,0,0,57,1,130,387
Saint Boniface/Saint-Boniface,114B,Winnipeg,46,5,4,33,0,7,43,0,138,374
Saint Boniface/Saint-Boniface,115,Winnipeg,45,6,3,39,1,2,60,0,156,358
Saint Boniface/Saint-Boniface,116,Winnipeg,39,10,2,39,0,0,65,0,155,340
Saint Boniface/Saint-Boniface,117,Winnipeg,45,1,3,30,1,0,47,0,127,239
Saint Boniface/Saint-Boniface,118,Winnipeg,45,3,0,40,1,2,84,0,175,414
Saint Boniface/Saint-Boniface,119,Winnipeg,35,9,0,70,0,3,112,0,229,355
Saint Boniface/Saint-Boniface,120,Winnipeg,43,9,0,106,0,0,148,0,306,458
Saint Boniface/Saint-Boniface,121,Winnipeg,25,5,2,54,0,0,55,2,143,261
Saint Boniface/Saint-Boniface,122,Winnipeg,65,2,1,87,1,1,83,0,240,397
Saint Boniface/Saint-Boniface,123,Winnipeg,36,2,3,95,0,1,126,0,263,475
Saint Boniface/Saint-Boniface,124,Winnipeg,33,3,2,92,0,2,125,1,258,455
Saint Boniface/Saint-Boniface,125,Winnipeg,52,12,2,86,1,2,121,0,276,497
Saint Boniface/Saint-Boniface,126,Winnipeg,23,1,3,21,0,2,50,0,100,181
Saint Boniface/Saint-Boniface,127,Winnipeg,53,9,4,67,1,3,117,2,256,445
Saint Boniface/Saint-Boniface,128,Winnipeg,39,5,0,58,0,1,110,0,213,378
Saint Boniface/Saint-Boniface,129,Winnipeg,40,4,2,57,0,0,88,0,191,340
Saint Boniface/Saint-Boniface,130,Winnipeg,54,1,2,91,0,0,117,0,265,463
Saint Boniface/Saint-Boniface,131,Winnipeg,32,9,1,53,0,2,117,0,214,412
Saint Boniface/Saint-Boniface,132,Winnipeg,14,2,1,27,0,1,62,1,108,179
Saint Boniface/Saint-Boniface,133,Winnipeg,37,1,2,100,0,3,87,0,230,482
Saint Boniface/Saint-Boniface,134,Winnipeg,37,9,2,82,0,1,166,1,298,496
Saint Boniface/Saint-Boniface,135A,Winnipeg,17,1,1,44,0,2,62,5,132,287
Saint Boniface/Saint-Boniface,135B,Winnipeg,25,3,0,53,0,2,44,0,127,284
Saint Boniface/Saint-Boniface,136,Winnipeg,22,3,3,85,1,0,85,0,199,310
Saint Boniface/Saint-Boniface,137,Winnipeg,22,5,4,92,0,0,115,0,238,406
Saint Boniface/Saint-Boniface,138,Winnipeg,11,3,2,142,0,3,106,1,268,438
Saint Boniface/Saint-Boniface,139A,Winnipeg,22,3,4,66,0,2,70,2,169,278
Saint Boniface/Saint-Boniface,139B,Winnipeg,20,3,0,72,1,1,74,1,172,282
Saint Boniface/Saint-Boniface,140,Winnipeg,49,8,2,51,0,1,75,0,186,417
Saint Boniface/Saint-Boniface,141,Winnipeg,38,5,2,67,0,1,99,0,212,412
Saint Boniface/Saint-Boniface,142,Winnipeg,20,5,1,88,0,4,163,0,281,413
Saint Boniface/Saint-Boniface,143,Winnipeg,19,5,3,78,0,0,116,0,221,318
Saint Boniface/Saint-Boniface,144,Winnipeg,45,5,2,64,2,1,89,1,209,328
Saint Boniface/Saint-Boniface,145,Winnipeg,23,7,5,71,0,0,145,0,251,380
Saint Boniface/Saint-Boniface,146,Winnipeg,18,7,1,101,1,2,103,0,233,352
Saint Boniface/Saint-Boniface,147,Winnipeg,19,2,0,81,2,0,108,1,213,371
Saint Boniface/Saint-Boniface,148,Winnipeg,41,9,3,100,0,2,140,1,296,460
Saint Boniface/Saint-Boniface,149,Winnipeg,40,5,1,87,0,1,173,0,307,479
Saint Boniface/Saint-Boniface,150,Winnipeg,25,4,0,64,0,2,140,1,236,408
Saint Boniface/Saint-Boniface,151,Winnipeg,11,1,1,65,0,1,100,1,180,263
Saint Boniface/Saint-Boniface,152,Winnipeg,25,5,2,117,1,2,162,0,314,478
Saint Boniface/Saint-Boniface,153,Winnipeg,25,2,0,87,0,1,102,0,217,357
Saint Boniface/Saint-Boniface,154,Winnipeg,26,6,0,112,0,2,132,0,278,464
Saint Boniface/Saint-Boniface,155,Winnipeg,19,7,0,113,1,2,115,1,258,429
Saint Boniface/Saint-Boniface,156,Winnipeg,31,5,1,131,0,0,121,0,289,521
Saint Boniface/Saint-Boniface,157,Winnipeg,24,3,2,65,0,1,138,0,233,413
Saint Boniface/Saint-Boniface,158,Winnipeg,14,3,1,70,0,2,62,0,152,252
Saint Boniface/Saint-Boniface,159A,Winnipeg,18,2,0,43,0,2,61,0,126,247
Saint Boniface/Saint-Boniface,159B,Winnipeg,17,3,1,36,0,0,91,0,148,270
Saint Boniface/Saint-Boniface,160,Winnipeg,13,0,2,100,0,1,87,1,204,372
Saint Boniface/Saint-Boniface,161,Winnipeg,15,3,0,109,0,0,116,0,243,444
Saint Boniface/Saint-Boniface,162,Winnipeg,33,4,1,121,1,2,163,1,326,549
Saint Boniface/Saint-Boniface,163,Winnipeg,22,3,0,72,1,1,72,2,173,337
Saint Boniface/Saint-Boniface,164,Winnipeg,17,1,0,62,0,0,68,0,148,268
Saint Boniface/Saint-Boniface,165,Winnipeg,14,5,1,67,0,1,99,0,187,339
Saint Boniface/Saint-Boniface,166,Winnipeg,37,1,1,102,0,0,82,0,223,349
Saint Boniface/Saint-Boniface,167,Winnipeg,27,4,0,102,0,1,147,0,281,471
Saint Boniface/Saint-Boniface,168,Winnipeg,30,7,1,142,0,3,136,1,320,535
Saint Boniface/Saint-Boniface,169,Winnipeg,29,2,1,105,0,3,92,0,232,400
Saint Boniface/Saint-Boniface,400,Winnipeg,30,0,0,55,0,1,98,0,184,258
Saint Boniface/Saint-Boniface,401,Winnipeg,35,0,0,50,1,3,94,6,189,258
Saint Boniface/Saint-Boniface,600,Winnipeg,52,8,2,50,2,16,274,2,406,
Saint Boniface/Saint-Boniface,601,Winnipeg,63,7,4,202,1,6,196,0,479,
Saint Boniface/Saint-Boniface,602,Winnipeg,61,15,1,77,2,8,159,2,325,
Saint Boniface/Saint-Boniface,603,Winnipeg,85,6,4,171,0,7,151,1,425,
Saint Boniface/Saint-Boniface,604,Winnipeg,50,10,2,189,0,3,155,0,409,
Saint Boniface/Saint-Boniface,605,Winnipeg,53,2,0,132,0,2,103,0,292,
Saint Boniface/Saint-Boniface,606,Winnipeg,62,6,1,410,2,7,325,1,814,
Saint Boniface/Saint-Boniface,,Group 1/Groupe 1,15,3,3,31,1,1,27,1,82,181
Saint Boniface/Saint-Boniface,,Group 2/Groupe 2,106,13,0,224,2,10,334,16,705,
