District,Poll Number,Poll Name,Barry Devolin,Tim Holland,Gil J. McElroy,Charles Olito,John O'Reilly,Peter Vogel,Rejected Ballots,Total Vote,Electors
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,19,Dysart and Others,99,11,26,0,78,0,1,215,385
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,20,Haliburton,50,8,20,1,47,0,4,130,231
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,21,Haliburton,74,11,17,0,62,0,2,166,276
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,22A,Haliburton,106,15,30,2,93,6,1,253,637
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,22B,Haliburton,102,15,46,2,86,2,3,256,601
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,23,Dysart and Others,107,10,24,3,63,3,0,210,308
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,24,Dysart and Others,110,12,14,0,75,0,0,211,330
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,25,Dysart and Others,113,15,31,1,64,0,1,225,328
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,26,Harburn,119,23,23,0,58,1,2,226,472
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,27,Harburn,41,2,17,0,47,0,0,107,176
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,28,Dysart and Others,58,12,17,1,85,0,2,175,251
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,29,Harcourt,136,9,44,2,91,1,3,286,490
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,30,Monmouth,165,10,37,0,94,3,1,310,486
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,31,Glamorgan,81,8,46,1,56,0,1,193,340
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,32,Monmouth,88,7,33,0,59,0,1,188,338
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,33,Cardiff,101,2,45,0,59,1,0,208,335
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,34,Cardiff,141,12,45,0,92,0,1,291,460
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,35,Chandos,55,7,21,1,47,0,0,131,228
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,36,Chandos,44,8,22,1,41,1,0,117,233
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,37,Burleigh and Anstruther,103,22,52,1,94,0,0,272,504
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,38,Burleigh and Anstruther,24,3,17,0,15,2,0,61,81
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,39,Burleigh and Anstruther,104,13,43,2,97,3,1,263,393
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,40,Harvey,151,30,55,4,156,3,0,399,624
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,41,Harvey,97,10,31,0,93,0,0,231,273
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,42,Harvey,130,14,57,0,115,0,0,316,399
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,43,Harvey,50,7,20,0,33,1,0,111,156
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,44,Harvey,149,10,54,3,97,1,0,314,474
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,45,Harvey,89,11,68,5,77,1,0,251,434
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,46,Harvey,58,9,31,0,47,2,0,147,303
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,47,Burleigh and Anstruther,79,8,24,2,58,5,0,176,267
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,48,Galway and Cavendish,63,1,27,3,64,0,1,159,220
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,49,Galway and Cavendish,113,24,57,0,103,5,1,303,483
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,50,Somerville,94,15,41,1,85,2,2,240,457
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,51,Somerville,172,21,55,4,139,6,1,398,650
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,52,Somerville,151,9,41,0,112,3,1,317,525
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,53,Somerville,45,8,23,1,32,2,0,111,237
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,54,Bexley,53,6,24,1,30,2,0,116,219
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,55,Bexley,90,4,24,0,62,2,0,182,351
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,56,Bexley,104,12,34,0,95,3,0,248,438
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,57,Laxton, Digby and Longford,72,6,16,2,53,1,1,151,287
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,58,Laxton, Digby and Longford,72,11,34,5,56,5,0,183,327
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,59,Laxton, Digby and Longford,55,6,12,0,59,1,0,133,250
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,60,Dalton,91,16,23,2,56,2,0,190,338
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,61,Carden,103,11,32,0,108,5,2,261,400
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,62,Carden,52,9,19,0,44,1,0,125,288
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,63,Eldon,134,23,44,2,69,6,1,279,468
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,64,Eldon,103,14,31,5,73,3,1,230,424
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,65,Eldon,161,14,36,0,149,1,2,363,521
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,66,Brock,104,26,37,2,76,4,0,249,457
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,67,Brock,82,16,34,2,80,2,2,218,429
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,68,Beaverton,91,14,31,1,52,0,1,190,330
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,69,Beaverton,57,4,18,0,60,0,0,139,299
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,70A,Brock,62,11,19,1,79,1,0,173,374
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,70B,Brock,67,10,15,0,54,0,0,146,359
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,71,Beaverton,63,8,12,4,58,0,0,145,343
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,72,Beaverton,86,10,33,1,105,1,1,237,402
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,73,Brock,82,11,25,0,56,1,0,175,389
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,74,Brock,133,4,18,0,71,2,0,228,370
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,75,Cannington,96,19,45,1,74,3,1,239,446
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,76,Cannington,98,20,58,2,68,4,0,250,501
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,77,Cannington,84,14,47,3,76,2,2,228,382
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,78,Cannington,136,15,42,1,90,3,1,288,444
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,79,Brock,115,11,16,2,76,3,2,225,350
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,80,Brock,67,4,16,0,29,1,0,117,193
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,81,Manilla,93,3,25,0,41,0,0,162,244
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,82,Sunderland,143,14,46,0,123,3,4,333,514
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,83A,Sunderland,88,10,32,1,42,1,0,174,316
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,83B,Sunderland,76,9,33,3,87,1,1,210,358
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,84,Brock,152,26,43,2,114,1,0,338,511
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,85,Brock,115,17,34,0,91,3,1,261,401
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,86A,Mariposa,86,10,29,2,87,0,3,217,359
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,86B,Mariposa,102,8,43,1,91,3,0,248,395
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,87,Mariposa,98,12,28,1,70,1,1,211,392
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,88,Mariposa,112,12,37,1,72,0,0,234,395
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,89,Mariposa,79,12,39,2,76,1,2,211,362
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,90,Mariposa,134,22,50,5,104,4,0,319,556
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,91,Mariposa,51,4,29,1,38,1,0,124,217
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,92,Mariposa,156,15,55,4,81,5,3,319,549
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,93,Mariposa,169,10,48,2,89,2,2,322,544
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,94,Mariposa,179,12,35,3,111,5,0,345,615
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,95,Mariposa,143,14,43,3,84,3,0,290,452
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,96A,Mariposa,92,12,27,1,46,0,0,178,317
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,96B,Mariposa,110,6,12,0,26,3,1,158,358
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,97,Mariposa,116,12,28,0,81,4,2,243,395
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,98,Eldon,134,8,37,5,71,5,1,261,455
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,99,Eldon,91,16,28,0,58,2,0,195,438
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,100,Eldon,86,11,33,2,62,1,2,197,356
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,101,Fenelon,143,13,28,1,102,1,2,290,474
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,102,Fenelon,135,12,23,2,121,1,3,297,428
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,103,Fenelon,149,13,39,0,106,4,4,315,473
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,104,Fenelon,124,7,39,3,90,8,0,271,418
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,105,Fenelon Falls,107,11,74,1,94,10,1,298,502
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,106,Fenelon Falls,102,8,33,2,79,4,0,228,468
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,107,Fenelon Falls,95,15,26,1,111,1,0,249,436
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,108,Fenelon Falls,84,12,36,4,86,2,1,225,339
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,109,Verulam,150,17,44,2,101,1,0,315,559
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,110,Verulam,140,12,55,1,98,4,0,310,520
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,111,Bobcaygeon,137,8,56,3,114,2,2,322,550
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,112,Bobcaygeon,97,9,51,1,57,1,1,217,499
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,113,Bobcaygeon,113,14,31,3,89,0,2,252,384
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,114,Bobcaygeon,156,9,25,0,183,0,0,373,513
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,115A,Bobcaygeon,81,10,40,4,87,2,0,224,409
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,115B,Bobcaygeon,72,4,32,1,107,1,0,217,429
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,116,Verulam,90,9,36,0,75,1,0,211,317
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,117,Verulam,102,11,41,0,95,0,0,249,468
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,118,Fenelon,24,4,15,1,37,0,0,81,132
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,119,Fenelon,134,12,38,1,127,9,1,322,531
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,120,Fenelon,140,12,48,3,117,3,1,324,452
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,121,Fenelon,116,16,49,2,71,1,0,255,433
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,122,Fenelon,159,10,45,3,119,2,0,338,600
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,123,Fenelon,100,3,51,2,109,1,0,266,464
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,124,Fenelon,133,17,53,6,81,2,0,292,500
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,125,Verulam,109,13,65,3,102,6,0,298,537
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,126,Verulam,80,8,35,0,52,3,1,179,272
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,127,Verulam,59,9,27,1,82,0,1,179,322
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,128,Verulam,110,4,14,4,126,1,1,260,334
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,129,Emily,120,6,57,3,87,1,2,276,459
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,130,Emily,125,9,62,1,115,0,2,314,571
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,131,Emily,97,26,55,2,95,1,0,276,517
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,132,Emily,119,18,49,1,82,0,1,270,553
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,133,Emily,84,8,22,0,74,1,0,189,310
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,134,Emily,129,15,44,1,124,0,2,315,536
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,135,Emily,56,6,18,0,43,0,0,123,190
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,136,Emily,119,11,54,1,98,4,0,287,434
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,137,Emily,109,23,48,3,97,3,0,283,528
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,138,Omemee,83,5,40,1,60,5,0,194,336
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,139,Omemee,137,14,62,1,81,5,2,302,597
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,140,Emily,108,15,51,0,82,6,0,262,409
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,141,Emily,145,17,27,3,138,4,0,334,528
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,142,Ops,148,14,56,0,88,4,0,310,543
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,143,Ops,136,13,46,0,96,4,1,296,541
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,144,Ops,81,7,12,1,67,1,1,170,291
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,145,Ops,139,8,32,1,105,5,2,292,554
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,146,Ops,118,7,35,1,62,1,1,225,362
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,147,Ops,127,8,32,1,81,1,0,250,457
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,148,Ops,137,11,48,3,122,5,4,330,628
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,149,Manvers,86,11,59,2,75,2,0,235,389
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,150,Manvers,95,10,60,0,71,1,0,237,427
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,151,Manvers,91,9,36,2,62,3,1,204,360
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,152,Manvers,115,14,51,0,67,6,0,253,439
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,153A,Manvers,72,7,32,1,62,4,0,178,272
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,153B,Manvers,81,6,38,1,61,2,2,191,283
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,154,Manvers,155,15,44,3,115,3,0,335,527
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,155,Manvers,79,7,22,0,42,1,0,151,273
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,156,Manvers,120,17,81,3,76,10,0,307,498
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,157,Manvers,122,14,64,1,75,2,0,278,472
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,158,Manvers,94,5,37,6,48,2,1,193,309
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,159,Lindsay,66,9,30,0,80,1,0,186,393
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,160,Lindsay,95,8,21,0,120,1,0,245,450
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,161,Lindsay,85,10,34,2,103,1,0,235,416
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,162,Lindsay,103,10,22,0,134,1,0,270,431
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,163,Lindsay,90,4,29,1,75,0,1,200,359
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,164,Lindsay,47,17,37,1,65,1,2,170,380
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,165,Lindsay,31,9,24,1,44,1,1,111,291
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,166,Lindsay,66,20,31,1,109,1,1,229,399
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,167,Lindsay,93,8,24,1,87,2,0,215,382
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,168,Lindsay,96,13,26,1,68,3,0,207,398
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,169,Lindsay,123,20,36,1,151,3,0,334,512
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,170,Lindsay,90,17,29,1,97,2,0,236,407
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,171,Lindsay,105,10,31,2,105,3,0,256,398
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,172,Lindsay,103,11,30,0,134,2,0,280,491
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,173,Lindsay,97,18,43,0,107,3,0,268,492
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,174A,Lindsay,58,8,31,0,73,0,1,171,357
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,174B,Lindsay,66,8,40,1,73,1,0,189,386
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,175,Lindsay,72,9,45,3,35,2,0,166,336
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,176,Lindsay,44,5,32,3,40,4,1,129,353
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,177,Lindsay,59,5,35,2,37,3,2,143,308
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,178,Lindsay,52,2,32,1,47,1,0,135,281
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,179,Lindsay,82,10,45,0,59,1,0,197,487
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,180,Lindsay,93,15,32,1,86,2,0,229,464
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,181,Lindsay,71,18,47,0,72,4,1,213,451
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,182,Lindsay,73,10,37,1,59,2,1,183,389
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,183,Lindsay,49,20,37,1,70,3,0,180,348
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,184,Lindsay,28,8,23,1,25,1,0,86,248
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,185,Lindsay,45,7,24,2,41,1,1,121,269
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,186,Lindsay,60,7,46,4,55,1,2,175,382
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,187,Lindsay,81,13,34,2,93,1,2,226,413
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,188,Lindsay,67,11,38,2,53,0,1,172,384
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,189,Lindsay,67,2,25,1,98,2,1,196,360
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,190A,Lindsay,87,0,25,2,69,2,2,187,318
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,190B,Lindsay,74,2,23,4,82,2,0,187,320
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,191,Lindsay,Void,,,,,,,,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,192,Lindsay,71,7,32,1,58,0,3,172,297
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,193,Lindsay,43,7,39,2,26,5,0,122,298
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,194,Lindsay,50,5,39,3,38,1,2,138,343
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,195,Cavan,126,17,28,0,66,1,0,238,448
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,196,Cavan,119,14,31,2,76,3,0,245,409
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,197,Cavan,75,10,21,0,48,1,0,155,254
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,198,North Monaghan,123,13,26,1,107,7,1,278,425
