District,Poll Number,Poll Name,Cheryl Gallant,Rob Jamieson,Gordon S McLeod,Sue McSheffrey,Stanley Sambey,Rejected Ballots,Total Vote,Electors
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,46,Hamiltonsfield,27,36,1,11,2,0,77,132
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,47,Hamiltonsfield,179,138,9,48,11,0,385,681
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,48,Hampelsfield,148,83,7,31,3,2,274,489
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,49,Stonebrook,121,63,6,26,4,1,221,341
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,50,Kathmae Siding,130,84,7,35,3,1,260,428
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,51,Pleasant View,43,48,1,10,0,0,102,153
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,52A,Pleasant Valley,158,127,12,40,4,2,343,541
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,52B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,24
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,53,Cotnam Island,142,94,10,29,6,1,282,452
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,54,Micksburg,193,71,6,43,6,0,319,449
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,55,Pembroke,52,40,5,13,1,0,111,300
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,56A,Pembroke,88,94,4,23,0,1,210,402
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,56B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,125
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,57,Pembroke,31,31,3,16,1,0,82,237
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,58,Pembroke,90,73,5,31,3,0,202,448
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,59,Pembroke,81,67,5,21,4,0,178,374
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,60,Pembroke,134,90,6,52,4,4,290,565
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,61,Pembroke,68,61,3,14,5,1,152,382
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,62,Pembroke,54,31,6,10,1,0,102,282
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,63,Pembroke,72,35,7,20,5,1,140,318
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,64,Pembroke,56,39,3,21,5,1,125,302
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,65,Pembroke,69,96,4,12,0,0,181,372
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,66,Pembroke,117,102,6,26,3,2,256,435
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,67,Pembroke,84,72,5,38,18,1,218,375
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,68,Pembroke,100,109,6,17,0,3,235,373
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,69,Pembroke,85,108,7,40,2,2,244,425
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,70,Pembroke,81,80,9,34,4,1,209,385
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,71,Pembroke,50,56,1,19,2,2,130,280
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,72,Pembroke,79,50,6,24,3,1,163,332
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,73,Pembroke,62,54,0,20,4,1,141,289
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,74,Pembroke,96,39,6,19,2,1,163,301
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,75,Pembroke,78,38,3,19,4,1,143,330
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,76,Pembroke,105,42,3,30,2,4,186,354
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,77,Pembroke,80,84,3,21,2,1,191,380
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,78,Pembroke,89,67,4,31,6,1,198,399
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,79,Pembroke,133,125,7,39,1,2,307,552
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,80,Pembroke,96,101,1,22,1,0,221,390
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,81,Pembroke,83,95,6,26,4,1,215,363
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,82,Pembroke,95,52,1,9,1,0,158,274
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,83,Pembroke,97,70,1,18,3,1,190,327
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,84,Airy,111,82,7,36,3,0,239,424
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,85,Airy,57,44,3,12,0,1,117,205
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,86,Madawaska,139,40,2,35,1,0,217,363
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,87,Siberia,59,25,3,10,0,0,97,173
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,88,Paugh Lake,187,81,7,43,3,2,323,541
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,89,Tramore,153,60,8,17,3,0,241,319
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,90,Bonnechere,241,71,4,25,8,2,351,477
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,91,Killaloe,85,23,7,24,4,1,144,193
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,92,Killaloe Station,165,51,4,26,5,2,253,381
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,93,Killaloe Station,78,35,3,22,1,0,139,203
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,94,Simpsons,105,39,11,34,4,1,194,331
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,95,Wilno,80,39,4,27,8,1,159,341
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,96,Siberia,168,84,6,20,2,1,281,525
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,97,Barry's Bay,94,53,2,14,3,0,166,277
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,98,Barry's Bay,85,61,3,26,2,0,177,337
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,99,Barry's Bay,69,36,2,15,2,0,124,243
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,100,Halfway,205,86,3,38,10,1,343,495
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,101,Brudenell,122,27,5,13,0,0,167,229
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,102,Combermere,207,67,10,18,1,0,303,423
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,103,Jewellville,245,38,5,28,3,27,346,439
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,104,Quadeville,155,18,0,12,3,0,188,246
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,105,Hardwood Lake,119,22,3,9,3,0,156,253
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,106,Deacon,123,47,9,31,3,0,213,276
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,107,Golden Lake,136,41,2,22,1,0,202,292
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,108,Zadow,99,50,4,22,5,0,180,282
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,109,Pikwakanagan,35,61,6,45,5,0,152,314
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,110,Germanicus,149,46,1,30,3,0,229,342
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,111,Slabtown,268,70,11,40,5,1,395,551
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,112,Mink Lake,232,73,6,33,2,1,347,515
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,113,Eganville,77,59,3,11,1,2,153,327
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,114,Eganville,123,105,5,34,4,0,271,454
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,115,Eganville,115,78,3,20,2,0,218,353
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,116,Donegal,166,78,4,13,2,1,264,391
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,117,Lake Clear,152,57,2,27,1,0,239,331
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,118,Clontarf,69,19,8,10,2,0,108,173
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,119,McGrath,115,60,2,12,3,0,192,306
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,120,Hyndford,91,29,3,14,3,0,140,250
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,121,Griffith,98,17,0,6,0,0,121,167
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,122,Matawatchan,98,15,7,9,1,0,130,190
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,123,Mount St. Patrick,80,29,4,7,2,0,122,150
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,124,Westmeath,145,93,15,38,6,1,298,434
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,125,La Passe,142,117,10,35,5,0,309,426
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,126,Rocher Fendu,167,55,9,24,2,0,257,397
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,127,Beachburg,144,71,7,26,6,1,255,366
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,128,Beachburg,113,43,4,20,1,0,181,234
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,129,Perretton,137,44,7,11,2,0,201,327
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,130,Snake River,158,29,1,25,0,1,214,292
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,131,Foresters Falls,200,43,14,44,3,1,305,352
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,132,Ross,161,65,8,22,5,1,262,413
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,133,Cobden,157,44,2,24,2,1,230,424
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,134,Cobden,150,56,2,26,5,0,239,349
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,135,Osceola,111,47,11,15,3,0,187,271
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,136,Pine Valley,66,30,1,10,4,1,112,137
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,137,Douglas,183,89,8,35,2,1,318,414
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,138,Haley Station,172,63,5,49,2,1,292,431
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,139,McLarens Settlement,112,19,2,20,9,0,162,274
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,140,Fremo Corners,123,34,4,15,3,0,179,245
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,141,Admaston,148,47,2,36,1,0,234,324
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,142,Rosebank,82,20,3,19,2,0,126,149
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,143,Chenaux,177,73,6,47,4,0,307,499
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,144,Castleford,243,58,6,33,5,0,345,491
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,145,Renfrew,88,41,4,28,1,0,162,358
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,146,Renfrew,75,37,2,17,2,0,133,297
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,147,Renfrew,139,52,6,34,4,1,236,420
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,148,Renfrew,108,81,4,33,5,0,231,420
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,149,Renfrew,116,52,2,33,1,3,207,384
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,150,Renfrew,79,49,12,26,2,0,168,346
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,151,Renfrew,104,68,4,36,3,2,217,400
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,152,Renfrew,64,34,4,34,2,2,140,331
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,153,Renfrew,104,62,10,32,10,1,219,403
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,154,Renfrew,106,65,3,37,1,0,212,362
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,155,Renfrew,145,61,3,32,6,0,247,434
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,156,Renfrew,133,46,4,39,9,0,231,436
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,157,Renfrew,141,75,4,28,4,0,252,448
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,158,Renfrew,128,91,4,25,1,1,250,405
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,159,Renfrew,128,94,7,31,1,2,263,417
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,160,Renfrew,181,120,6,38,5,3,353,575
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,161,Ferguslea,187,60,10,42,2,0,301,443
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,162,Horton,169,61,0,43,3,1,277,441
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,163,Mayhew,181,59,8,25,8,1,282,391
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,164,Barrett Chute,77,27,3,12,0,0,119,167
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,165,Ashdad,236,78,9,29,2,0,354,564
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,166,Calabogie,104,35,8,12,2,1,162,212
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,167,Springtown,112,62,4,36,4,0,218,336
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,168,White Lake,243,62,15,27,7,1,355,550
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,169,Waba,278,71,23,54,8,0,434,628
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,170,Burnstown,149,39,4,34,1,0,227,310
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,171,Glasgow Station,121,50,5,24,4,0,204,314
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,172,Stewartville,235,66,6,27,5,1,340,516
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,173,Dewars,198,81,7,24,3,0,313,489
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,174,McNab,86,29,1,16,3,0,135,239
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,175,McNab,177,90,3,23,4,0,297,491
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,176,Arnprior,169,63,5,37,2,0,276,521
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,177,Arnprior,137,60,3,34,1,1,236,378
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,178,Arnprior,117,67,9,29,5,0,227,420
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,179,Arnprior,90,24,2,30,1,1,148,399
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,180,Arnprior,145,44,8,35,3,0,235,403
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,181,McNab,155,77,9,46,4,1,292,523
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,182,McNab,195,94,17,28,2,0,336,477
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,183,Braeside,130,42,3,22,2,1,200,310
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,184,Sandy Hook,146,78,9,43,7,0,283,507
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,185,Arnprior,117,60,9,33,2,0,221,465
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,186,Arnprior,89,82,10,39,7,0,227,406
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,187,McNab/Braeside,73,70,9,27,1,1,181,310
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,188,Arnprior,142,61,7,37,6,1,254,496
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,189,Arnprior,62,26,3,14,1,1,107,262
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,190,Arnprior,102,52,5,29,4,1,193,320
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,191,Arnprior,151,80,4,22,1,2,260,391
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,192,Arnprior,118,48,3,28,0,0,197,377
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,193,McNab/Braeside,138,72,9,32,3,0,254,455
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,400,Renfrew,24,34,0,14,0,4,76,178
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,401,Pembroke,21,53,1,3,0,1,79,144
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,402,Pembroke,24,20,2,3,1,5,55,161
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,500,Mobile poll/Bureau itinérant,68,83,2,10,2,4,169,100
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,501,Mobile poll/Bureau itinérant,53,55,5,9,0,4,126,169
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,502,Mobile poll/Bureau itinérant,36,35,0,3,1,0,75,119
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,503,Mobile poll/Bureau itinérant,39,28,0,3,1,1,72,131
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,504,Mobile poll/Bureau itinérant,56,35,2,5,1,2,101,149
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,505,Mobile poll/Bureau itinérant,62,37,5,7,0,5,116,146
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,600,Deep River,203,292,16,64,6,0,581,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,601,Petawawa,426,220,11,82,7,3,749,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,602,Pembroke,306,115,7,46,3,1,478,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,603,Pembroke,529,432,22,85,10,5,1083,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,604,Barry's Bay,447,197,20,84,5,3,756,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,605,Eganville,357,188,20,34,7,4,610,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,606,Cobden,248,78,9,31,1,0,367,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,607,Renfrew,630,286,15,124,2,5,1062,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,608,Arnprior,90,29,2,13,0,0,134,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,609,Arnprior,609,207,11,95,4,4,930,
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,,Group 1/Groupe 1,233,62,7,24,8,2,336,1246
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,,Group 2/Groupe 2,270,166,8,37,4,3,488,
