District,Poll Number,Poll Name,Denis Coderre,Philippe Gauvin,Frédéric Grenier,Noémi Lopinto,Doris Provencher,Geneviève Royer,Stefano Saykaly,Rejected Ballots,Total Vote,Electors
Bourassa/Bourassa,44,Montréal-Nord,117,1,8,3,78,0,10,1,218,433
Bourassa/Bourassa,45,Montréal-Nord,106,2,11,6,48,1,6,2,182,332
Bourassa/Bourassa,46,Montréal-Nord,136,1,13,6,62,0,9,9,236,435
Bourassa/Bourassa,47,Montréal-Nord,106,2,7,2,45,0,9,3,174,415
Bourassa/Bourassa,48,Montréal-Nord,92,1,10,1,72,1,5,5,187,444
Bourassa/Bourassa,49,Montréal-Nord,66,3,14,2,75,1,3,3,167,441
Bourassa/Bourassa,50,Montréal-Nord,75,2,3,2,66,1,9,2,160,435
Bourassa/Bourassa,51,Montréal-Nord,162,3,10,1,24,0,13,4,217,360
Bourassa/Bourassa,52,Montréal-Nord,128,2,15,2,60,0,21,4,232,381
Bourassa/Bourassa,53,Montréal-Nord,133,3,16,1,59,0,9,3,224,395
Bourassa/Bourassa,54,Montréal-Nord,80,3,6,4,63,1,8,7,172,388
Bourassa/Bourassa,55,Montréal-Nord,115,0,11,0,53,0,10,4,193,339
Bourassa/Bourassa,56,Montréal-Nord,119,2,13,2,53,2,8,6,205,363
Bourassa/Bourassa,57,Montréal-Nord,92,2,7,0,59,0,11,4,175,445
Bourassa/Bourassa,58,Montréal-Nord,135,1,10,1,60,0,5,6,218,449
Bourassa/Bourassa,59,Montréal-Nord,115,2,15,1,39,0,11,5,188,351
Bourassa/Bourassa,60,Montréal-Nord,149,2,9,3,73,0,9,4,249,429
Bourassa/Bourassa,61,Montréal-Nord,154,6,14,3,69,0,2,4,252,429
Bourassa/Bourassa,62,Montréal-Nord,152,5,14,4,57,1,4,2,239,428
Bourassa/Bourassa,63,Montréal-Nord,74,4,9,3,116,0,11,0,217,524
Bourassa/Bourassa,64,Montréal-Nord,181,1,12,6,74,1,10,5,290,492
Bourassa/Bourassa,65,Montréal-Nord,150,1,9,3,47,0,11,4,225,376
Bourassa/Bourassa,66,Montréal-Nord,124,0,28,2,65,0,11,3,233,448
Bourassa/Bourassa,67,Montréal-Nord,145,1,13,4,71,0,14,5,253,343
Bourassa/Bourassa,68,Montréal-Nord,146,2,11,5,87,1,11,2,265,359
Bourassa/Bourassa,69,Montréal-Nord,117,2,12,3,95,1,7,5,242,464
Bourassa/Bourassa,70,Montréal-Nord,127,3,12,3,109,1,6,6,267,473
Bourassa/Bourassa,71,Montréal-Nord,75,1,10,4,137,1,10,6,244,454
Bourassa/Bourassa,72,Montréal-Nord,102,3,13,3,131,0,12,11,275,485
Bourassa/Bourassa,73,Montréal-Nord,96,4,15,6,148,0,9,3,281,420
Bourassa/Bourassa,74,Montréal-Nord,81,1,7,3,94,1,14,1,202,402
Bourassa/Bourassa,75,Montréal-Nord,113,1,3,0,96,1,4,2,220,365
Bourassa/Bourassa,76,Montréal-Nord,94,2,13,6,110,1,7,6,239,395
Bourassa/Bourassa,77,Montréal-Nord,62,2,14,5,126,0,8,5,222,357
Bourassa/Bourassa,78,Montréal-Nord,68,2,11,4,97,0,8,11,201,459
Bourassa/Bourassa,79,Montréal-Nord,42,2,6,0,85,1,3,6,145,339
Bourassa/Bourassa,80,Montréal-Nord,65,1,2,5,87,1,6,5,172,305
Bourassa/Bourassa,81,Montréal-Nord,72,2,13,6,88,0,8,5,194,429
Bourassa/Bourassa,82,Montréal-Nord,69,1,7,4,91,0,4,4,180,338
Bourassa/Bourassa,83,Montréal-Nord,63,2,9,7,115,0,12,4,212,416
Bourassa/Bourassa,84,Montréal-Nord,99,0,12,3,57,2,11,1,185,399
Bourassa/Bourassa,85,Montréal-Nord,57,1,4,4,61,2,9,5,143,459
Bourassa/Bourassa,86,Montréal-Nord,86,3,4,3,45,0,12,2,155,377
Bourassa/Bourassa,87,Montréal-Nord,76,0,7,0,58,0,3,6,150,399
Bourassa/Bourassa,88,Montréal-Nord,131,1,12,7,70,2,6,7,236,415
Bourassa/Bourassa,89,Montréal-Nord,61,3,14,1,40,0,7,5,131,374
Bourassa/Bourassa,90,Montréal-Nord,96,3,11,1,68,3,7,5,194,300
Bourassa/Bourassa,91,Montréal-Nord,87,0,13,6,49,1,12,3,171,348
Bourassa/Bourassa,92,Montréal-Nord,126,8,16,3,82,1,8,13,257,507
Bourassa/Bourassa,93,Montréal-Nord,77,3,8,0,90,0,10,5,193,445
Bourassa/Bourassa,94,Montréal-Nord,102,3,4,3,64,0,5,6,187,361
Bourassa/Bourassa,95,Montréal-Nord,67,2,5,0,69,1,8,2,154,326
Bourassa/Bourassa,96,Montréal-Nord,79,3,17,3,57,0,8,3,170,376
Bourassa/Bourassa,97,Montréal-Nord,74,2,5,5,92,1,2,0,181,418
Bourassa/Bourassa,98,Montréal-Nord,88,4,13,3,101,1,11,5,226,433
Bourassa/Bourassa,99,Montréal-Nord,59,0,6,4,50,1,4,3,127,346
Bourassa/Bourassa,100,Montréal-Nord,83,3,6,5,85,0,9,10,201,479
Bourassa/Bourassa,101,Montréal-Nord,70,3,5,6,100,0,18,4,206,424
Bourassa/Bourassa,102,Montréal-Nord,160,2,15,8,114,2,14,6,321,598
Bourassa/Bourassa,103,Montréal-Nord,92,5,10,5,84,0,9,4,209,498
Bourassa/Bourassa,104,Montréal-Nord,116,1,11,1,61,1,12,3,206,424
Bourassa/Bourassa,105,Montréal-Nord,91,4,19,1,64,0,7,4,190,395
Bourassa/Bourassa,106,Montréal-Nord,68,2,20,3,72,0,7,5,177,414
Bourassa/Bourassa,107,Montréal-Nord,105,3,8,7,106,1,7,11,248,539
Bourassa/Bourassa,108,Montréal-Nord,91,2,10,4,60,1,1,0,169,293
Bourassa/Bourassa,109,Montréal-Nord,80,4,6,1,78,1,9,8,187,353
Bourassa/Bourassa,110,Montréal-Nord,133,1,8,2,110,1,19,3,277,486
Bourassa/Bourassa,111,Montréal-Nord,110,4,8,1,78,2,10,4,217,406
Bourassa/Bourassa,112,Montréal-Nord,98,4,6,4,80,2,12,2,208,378
Bourassa/Bourassa,113,Montréal-Nord,75,4,8,4,77,1,8,2,179,330
Bourassa/Bourassa,114,Montréal-Nord,100,2,5,5,98,0,8,6,224,394
Bourassa/Bourassa,115,Montréal-Nord,102,3,8,3,81,1,6,5,209,424
Bourassa/Bourassa,116,Montréal-Nord,116,3,15,3,78,1,5,2,223,381
Bourassa/Bourassa,117,Montréal-Nord,112,4,10,6,81,1,4,3,221,436
Bourassa/Bourassa,118,Montréal-Nord,70,1,8,4,93,0,3,4,183,375
Bourassa/Bourassa,119,Montréal-Nord,105,2,6,2,74,0,5,4,198,422
Bourassa/Bourassa,120,Montréal-Nord,71,2,8,3,47,1,6,2,140,316
Bourassa/Bourassa,121,Montréal-Nord,98,1,5,2,62,0,7,1,176,334
Bourassa/Bourassa,122,Montréal-Nord,107,0,11,3,89,3,4,4,221,437
Bourassa/Bourassa,123,Montréal-Nord,72,1,4,2,58,1,5,1,144,390
Bourassa/Bourassa,124,Montréal-Nord,121,3,21,2,104,1,12,4,268,449
Bourassa/Bourassa,125,Montréal-Nord,77,1,6,3,119,1,5,0,212,460
Bourassa/Bourassa,126,Montréal-Nord,98,0,5,4,96,1,11,3,218,411
Bourassa/Bourassa,127,Montréal-Nord,101,1,11,4,127,1,23,5,273,490
Bourassa/Bourassa,128,Montréal-Nord,108,4,11,2,103,2,16,0,246,468
Bourassa/Bourassa,129,Montréal-Nord,113,6,20,3,91,0,6,4,243,395
Bourassa/Bourassa,130,Montréal-Nord,105,1,19,2,103,0,15,5,250,433
Bourassa/Bourassa,131,Montréal-Nord,63,0,3,4,104,0,11,6,191,388
Bourassa/Bourassa,132,Montréal-Nord,115,2,11,3,79,0,7,4,221,470
Bourassa/Bourassa,133,Montréal-Nord,89,1,12,3,109,2,10,3,229,452
Bourassa/Bourassa,134,Montréal-Nord,88,6,12,4,89,0,8,3,210,379
Bourassa/Bourassa,135,Montréal-Nord,105,3,6,2,106,0,10,6,238,434
Bourassa/Bourassa,136,Montréal-Nord,148,1,21,2,112,5,5,6,300,597
Bourassa/Bourassa,137,Montréal-Nord,65,0,13,1,65,0,8,2,154,261
Bourassa/Bourassa,138,Montréal-Nord,78,2,6,4,37,0,7,6,140,183
Bourassa/Bourassa,139,Montréal-Nord,80,2,13,6,96,3,5,6,211,459
Bourassa/Bourassa,140,Montréal-Nord,174,1,30,5,114,20,2,10,356,528
Bourassa/Bourassa,141,Montréal-Nord,70,3,10,2,87,0,12,5,189,419
Bourassa/Bourassa,142,Montréal-Nord,63,0,6,4,87,2,9,4,175,331
Bourassa/Bourassa,143,Montréal-Nord,93,2,10,2,80,2,5,7,201,491
Bourassa/Bourassa,144,Montréal-Nord,102,1,10,3,85,0,11,2,214,406
Bourassa/Bourassa,145,Montréal-Nord,75,0,7,7,63,2,5,7,166,338
Bourassa/Bourassa,146,Montréal-Nord,87,3,19,2,98,0,12,8,229,459
Bourassa/Bourassa,147,Montréal-Nord,98,4,10,9,108,1,6,4,240,440
Bourassa/Bourassa,148,Montréal-Nord,113,3,10,1,75,1,15,3,221,404
Bourassa/Bourassa,149,Montréal-Nord,101,3,15,3,70,1,23,9,225,424
Bourassa/Bourassa,150,Montréal-Nord,135,4,7,2,74,1,11,5,239,441
Bourassa/Bourassa,151,Montréal-Nord,122,4,6,3,82,1,14,6,238,455
Bourassa/Bourassa,152,Montréal-Nord,112,3,12,3,94,1,9,1,235,401
Bourassa/Bourassa,153,Montréal-Nord,179,2,12,3,56,1,14,8,275,457
Bourassa/Bourassa,154,Montréal-Nord,136,2,13,5,79,2,20,4,261,565
Bourassa/Bourassa,155,Montréal-Nord,134,1,14,2,44,0,8,4,207,395
Bourassa/Bourassa,156,Montréal-Nord,84,1,4,2,60,0,8,2,161,320
Bourassa/Bourassa,157,Montréal-Nord,119,1,12,4,76,0,13,9,234,467
Bourassa/Bourassa,158,Montréal-Nord,79,1,11,5,103,0,14,6,219,411
Bourassa/Bourassa,159,Montréal-Nord,70,2,11,0,105,2,12,6,208,351
Bourassa/Bourassa,160,Montréal-Nord,62,2,11,5,69,2,9,2,162,380
Bourassa/Bourassa,161,Montréal,117,1,20,12,196,0,12,8,366,577
Bourassa/Bourassa,162,Montréal,95,2,15,4,113,1,14,6,250,450
Bourassa/Bourassa,163,Montréal,90,3,6,3,87,0,7,6,202,339
Bourassa/Bourassa,164,Montréal,124,0,9,2,45,0,3,3,186,272
Bourassa/Bourassa,165,Montréal,117,1,16,2,39,0,9,3,187,289
Bourassa/Bourassa,166,Montréal,153,2,7,10,52,0,13,7,244,354
Bourassa/Bourassa,167,Montréal,82,1,5,3,75,0,9,2,177,359
Bourassa/Bourassa,168,Montréal,78,2,4,8,98,0,7,2,199,348
Bourassa/Bourassa,169,Montréal,80,0,7,7,99,1,6,6,206,347
Bourassa/Bourassa,170,Montréal,66,5,14,11,144,0,15,7,262,438
Bourassa/Bourassa,171,Montréal,66,1,8,10,68,0,13,2,168,326
Bourassa/Bourassa,172,Montréal,38,0,5,2,33,2,3,1,84,194
Bourassa/Bourassa,173,Montréal,107,2,11,4,33,0,11,2,170,269
Bourassa/Bourassa,400,Montréal,140,3,11,3,90,0,3,12,262,688
Bourassa/Bourassa,401,Montréal,71,0,5,0,47,1,2,4,130,406
Bourassa/Bourassa,402,Montréal,113,1,12,0,71,1,2,8,208,265
Bourassa/Bourassa,403,Montréal,153,1,10,0,65,0,4,6,239,346
Bourassa/Bourassa,404,Montréal-Nord,159,4,12,1,68,0,7,11,262,356
Bourassa/Bourassa,405,Montréal-Nord,115,1,7,2,43,0,0,7,175,276
Bourassa/Bourassa,500,Mobile poll/Bureau itinérant,54,3,5,1,38,0,2,3,106,244
Bourassa/Bourassa,501,Mobile poll/Bureau itinérant,81,5,13,1,26,2,2,11,141,180
Bourassa/Bourassa,600,Montréal,377,4,73,10,233,2,16,13,728,
Bourassa/Bourassa,601,Montréal,152,1,19,4,123,1,8,4,312,
Bourassa/Bourassa,602,Montréal,57,0,14,5,77,0,12,3,168,
Bourassa/Bourassa,603,Montréal,132,3,11,2,109,0,6,10,273,
Bourassa/Bourassa,604,Montréal,150,3,17,8,215,2,11,15,421,
Bourassa/Bourassa,605,Montréal,135,1,18,4,98,3,20,12,291,
Bourassa/Bourassa,606,Montréal,104,3,17,4,129,1,8,3,269,
Bourassa/Bourassa,607,Montréal,145,0,18,2,172,0,13,9,359,
Bourassa/Bourassa,608,Montréal,108,2,18,6,113,0,11,4,262,
Bourassa/Bourassa,609,Montréal,111,2,26,13,148,1,13,7,321,
Bourassa/Bourassa,,Group 1/Groupe 1,32,6,8,4,35,0,3,7,95,165
Bourassa/Bourassa,,Group 2/Groupe 2,578,2,43,9,340,1,20,43,1036,
