District,Poll Number,Poll Name,Lewis Dahlby,George Gidora,Pat Goff,Charley King,James Moore,Kwangyul Peck,Richard Voigt,Rejected Ballots,Total Vote,Electors
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,17A,Port Moody,3,1,0,38,90,98,6,0,236,413
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,17B,Port Moody,0,1,0,12,74,68,7,0,162,327
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,18,Port Moody,1,0,0,33,87,79,6,1,207,392
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,19,Port Moody,1,0,0,44,113,73,6,0,237,364
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,20,Port Moody,1,0,0,29,75,65,7,0,177,288
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,21,Port Moody,0,3,0,53,136,80,13,0,285,452
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,22,Port Moody,1,0,0,59,96,80,18,1,255,436
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,23,Port Moody,2,0,1,78,69,35,17,1,203,321
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,24,Port Moody,Void,,,,,,,,,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,25,Port Moody,1,0,0,72,126,82,18,0,299,499
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,26,Port Moody,2,0,1,44,58,55,10,1,171,269
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,27,Port Moody,1,0,0,83,63,28,16,0,191,380
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,28,Coquitlam,2,1,1,77,75,77,6,2,241,416
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,29,Coquitlam,2,1,0,71,99,84,14,3,274,476
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,30,Coquitlam,0,0,0,53,93,35,7,2,190,319
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,31,Coquitlam,0,0,2,52,97,80,6,0,237,415
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,32,Coquitlam,2,0,3,60,110,40,10,1,226,313
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,33A,Coquitlam,2,3,3,76,103,59,16,2,264,383
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,33B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,33
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,34,Coquitlam,2,1,4,50,63,62,11,2,195,482
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,35,Coquitlam,1,0,0,84,89,32,8,3,217,374
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,36,Coquitlam,0,0,1,54,33,36,12,2,138,284
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,37,Coquitlam,1,0,5,78,61,88,10,0,243,492
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,38,Coquitlam,2,1,0,68,68,46,14,1,200,358
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,39,Coquitlam,4,1,1,38,80,77,8,2,211,319
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,40,Coquitlam,3,0,1,62,137,79,2,2,286,481
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,41,Coquitlam,0,1,1,61,82,52,7,1,205,366
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,42,Coquitlam,2,1,1,100,107,87,14,1,313,460
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,43,Coquitlam,3,3,0,88,104,68,9,4,279,476
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,44,Coquitlam,1,0,1,59,99,59,13,1,233,390
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,45,Coquitlam,2,1,1,71,84,55,14,1,229,317
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,46A,Coquitlam,3,0,1,26,70,60,6,0,166,348
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,46B,Coquitlam,1,0,2,32,54,48,2,2,141,306
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,47,Coquitlam,2,0,1,47,74,73,13,0,210,423
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,48,Coquitlam,0,0,0,20,37,33,2,0,92,145
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,49,Coquitlam,1,0,1,57,93,52,14,1,219,316
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,50,Coquitlam,Merged with No. 49,,,,,,,,,112
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,51A,Coquitlam,0,1,1,35,50,46,3,0,136,348
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,51B,Coquitlam,1,0,0,21,52,39,3,3,119,284
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,52,Coquitlam,3,0,3,76,79,79,12,0,252,465
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,53,Coquitlam,1,0,1,59,43,32,9,0,145,340
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,54,Coquitlam,2,1,2,57,114,68,19,0,263,428
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,55,Coquitlam,1,0,0,80,85,62,14,3,245,480
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,56,Coquitlam,1,1,1,40,60,28,4,1,136,238
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,57,Coquitlam,1,0,0,36,111,70,6,0,224,442
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,58,Coquitlam,0,1,0,66,120,105,10,1,303,515
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,59,Coquitlam,2,0,0,58,121,79,17,0,277,491
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,60,Coquitlam,2,1,0,42,105,122,11,1,284,546
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,61,Coquitlam,0,1,0,63,104,79,8,1,256,513
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,62,Coquitlam,1,1,2,55,79,45,9,5,197,335
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,63,Coquitlam,2,1,1,83,103,70,18,1,279,453
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,64,Coquitlam,1,0,0,37,95,96,14,4,247,414
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,65,Coquitlam,1,0,1,56,126,100,5,0,289,508
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,66,Coquitlam,0,0,0,34,120,97,7,1,259,465
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,67,Coquitlam,1,0,0,26,105,95,9,0,236,396
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,68,Coquitlam,2,0,0,39,109,138,5,2,295,562
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,69A,Coquitlam,2,0,2,14,96,107,4,2,227,448
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,69B,Coquitlam,1,0,1,26,68,65,3,0,164,300
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,70A,Coquitlam,0,0,0,17,88,84,9,0,198,424
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,70B,Coquitlam,1,0,0,8,60,62,4,2,137,289
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,71,Coquitlam,1,0,1,31,113,90,9,0,245,431
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,72,Coquitlam,0,0,1,62,118,129,12,1,323,574
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,73,Coquitlam,0,0,0,19,101,71,9,0,200,449
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,74,Coquitlam,0,0,0,10,68,61,3,0,142,257
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,75,Coquitlam,0,1,1,42,129,87,7,1,268,478
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,76A,Coquitlam,2,0,1,23,110,63,2,0,201,426
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,76B,Coquitlam,1,0,0,27,95,118,13,1,255,355
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,77,Coquitlam,4,0,1,15,104,118,9,1,252,511
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,78,Coquitlam,1,0,0,40,125,123,12,1,302,525
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,79,Coquitlam,1,0,1,19,99,103,8,3,234,502
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,80,Coquitlam,1,0,0,44,84,87,10,0,226,453
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,81,Coquitlam,1,1,1,17,70,109,4,0,203,448
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,82,Coquitlam,1,0,0,16,59,83,2,0,161,389
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,83,Coquitlam,2,0,0,10,103,91,2,1,209,373
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,84,Coquitlam,1,0,0,32,143,96,10,0,282,550
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,85,Coquitlam,0,1,0,44,89,90,7,2,233,460
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,86,Coquitlam,1,3,0,80,69,39,6,0,198,307
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,87,Coquitlam,3,3,1,71,83,44,8,0,213,358
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,88,Coquitlam,1,3,0,53,86,55,6,1,205,370
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,89,Coquitlam,3,0,0,64,117,67,8,0,259,398
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,90,Coquitlam,2,2,0,65,122,74,19,0,284,498
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,91,Coquitlam,1,0,0,35,72,42,6,1,157,245
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,92,Coquitlam,1,0,0,57,94,30,9,0,191,359
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,93,Port Coquitlam,0,0,0,103,118,70,14,0,305,458
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,94,Port Coquitlam,2,1,0,106,69,44,15,2,239,442
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,95,Port Coquitlam,3,0,0,73,95,39,10,0,220,433
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,96,Port Coquitlam,1,0,0,74,95,66,5,1,242,429
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,97,Port Coquitlam,2,0,0,90,106,59,18,1,276,430
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,98,Port Coquitlam,3,0,1,118,92,35,6,1,256,390
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,99,Port Coquitlam,1,2,0,83,118,66,14,0,284,448
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,100,Port Coquitlam,1,0,0,65,98,74,10,0,248,431
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,101,Port Coquitlam,1,0,0,64,71,63,5,2,206,390
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,102,Port Coquitlam,0,0,0,87,82,33,3,1,206,391
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,103,Port Coquitlam,0,1,1,98,102,54,21,0,277,461
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,104,Port Coquitlam,1,0,0,80,99,54,20,0,254,442
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,105,Port Coquitlam,0,1,0,78,97,35,15,1,227,400
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,106,Port Coquitlam,3,1,1,94,98,48,17,0,262,462
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,107,Port Coquitlam,1,0,2,102,81,37,14,1,238,442
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,108,Port Coquitlam,3,0,5,83,86,62,9,0,248,439
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,109,Port Coquitlam,2,1,0,84,75,53,8,2,225,437
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,110,Port Coquitlam,3,0,0,81,90,40,19,1,234,452
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,111,Port Coquitlam,5,1,0,80,120,94,19,0,319,527
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,112,Port Coquitlam,1,1,1,122,109,56,15,1,306,448
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,113,Port Coquitlam,0,2,0,82,78,51,13,3,229,382
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,114,Port Coquitlam,2,0,1,59,62,52,6,0,182,355
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,115,Port Coquitlam,0,0,1,76,61,39,7,1,185,362
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,116,Port Coquitlam,3,1,3,116,119,57,20,0,319,494
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,117,Port Coquitlam,1,0,3,83,78,44,12,0,221,419
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,118,Port Coquitlam,2,0,0,91,43,32,8,0,176,377
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,119,Port Coquitlam,0,0,2,100,69,47,12,0,230,416
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,120,Port Coquitlam,2,1,0,95,57,37,10,4,206,441
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,121,Port Coquitlam,0,0,0,45,36,28,12,1,122,265
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,122,Port Coquitlam,0,0,2,95,62,42,13,2,216,434
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,123,Port Coquitlam,3,1,0,100,103,41,13,0,261,454
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,124,Port Coquitlam,0,0,1,88,55,46,6,0,196,396
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,125,Port Coquitlam,3,0,0,44,84,87,7,0,225,458
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,126,Port Coquitlam,0,0,0,62,57,42,5,1,167,299
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,127,Port Coquitlam,0,1,2,70,70,38,12,0,193,434
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,128,Port Coquitlam,2,0,0,82,66,39,9,3,201,466
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,129,Port Coquitlam,1,2,1,88,103,48,18,3,264,416
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,130,Port Coquitlam,1,0,1,32,65,27,6,0,132,231
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,131,Port Coquitlam,0,2,0,48,70,39,4,0,163,243
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,132A,Port Coquitlam,2,0,1,61,107,56,15,0,242,368
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,132B,Port Coquitlam,2,0,0,38,95,65,3,1,204,313
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,133,Port Coquitlam,0,0,0,109,118,77,7,1,312,558
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,134,Port Coquitlam,0,0,0,23,86,42,8,0,159,284
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,135,Port Coquitlam,1,0,0,45,67,44,7,0,164,259
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,136,Port Coquitlam,3,0,0,38,50,29,7,0,127,241
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,137A,Port Coquitlam,5,0,0,41,84,52,5,1,188,372
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,137B,Port Coquitlam,2,0,0,46,67,61,4,0,180,312
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,138,Port Coquitlam,2,2,2,98,87,56,19,0,266,470
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,139,Port Coquitlam,4,0,0,62,63,42,11,0,182,297
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,140,Port Coquitlam,2,0,0,111,107,74,13,0,307,472
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,141,Port Coquitlam,3,1,1,95,130,53,9,1,293,465
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,142,Port Coquitlam,2,0,0,48,61,31,7,0,149,260
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,143,Port Coquitlam,1,1,0,94,79,34,9,1,219,414
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,144,Port Coquitlam,3,0,0,92,52,38,11,3,199,389
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,145,Port Coquitlam,0,1,0,75,60,52,6,0,194,378
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,146,Port Coquitlam,1,1,0,69,46,25,8,1,151,302
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,147,Port Coquitlam,1,1,0,72,55,25,6,0,160,339
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,148,Port Coquitlam,1,1,0,44,65,44,7,0,162,308
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,149,Port Coquitlam,1,0,1,70,58,34,11,1,176,325
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,150,Port Coquitlam,0,1,0,62,54,37,6,1,161,338
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,151,Port Coquitlam,1,0,0,48,61,29,6,0,145,297
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,152,Port Coquitlam,2,0,2,60,32,30,10,1,137,319
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,153,Port Coquitlam,0,0,0,44,74,46,9,0,173,340
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,154,Port Coquitlam,1,0,0,44,52,37,8,0,142,269
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,155,Port Coquitlam,0,1,0,63,24,32,10,0,130,269
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,156,Port Coquitlam,3,3,1,25,41,39,6,0,118,243
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,157,Port Coquitlam,1,2,1,96,133,71,13,2,319,553
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,158,Port Coquitlam,4,1,0,126,90,59,17,0,297,496
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,159,Port Coquitlam,2,1,0,109,99,63,11,3,288,420
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,160,Port Coquitlam,1,1,0,81,99,63,11,2,258,490
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,161,Port Coquitlam,1,0,0,116,128,42,19,0,306,466
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,162,Port Coquitlam,2,0,0,122,110,60,11,1,306,471
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,163,Port Coquitlam,1,0,2,97,81,27,7,2,217,368
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,164,Port Coquitlam,1,1,0,38,102,83,15,0,240,402
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,165,Port Coquitlam,5,0,0,79,121,73,11,0,289,480
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,166,Port Coquitlam,5,1,0,66,107,74,10,0,263,446
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,167A,Port Coquitlam,1,0,0,50,82,47,6,1,187,340
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,167B,Port Coquitlam,0,0,0,46,86,43,7,0,182,314
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,168,Port Coquitlam,0,0,0,66,166,62,5,0,299,424
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,169,Port Coquitlam,4,0,1,34,152,101,7,0,299,463
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,170,Port Coquitlam,2,0,0,83,149,84,7,1,326,440
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,171,Port Coquitlam,1,1,2,61,125,102,8,1,301,471
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,172,Port Coquitlam,2,4,0,42,112,61,3,0,224,405
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,173,Port Coquitlam,1,0,0,36,79,43,14,0,173,309
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,174,Port Coquitlam,1,0,1,51,111,117,8,0,289,463
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,175,Port Coquitlam,0,0,0,24,119,81,7,0,231,385
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,500,Mobile poll/Bureau itinérant,3,0,2,39,38,17,2,0,101,141
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,501,Mobile poll/Bureau itinérant,1,1,3,38,25,24,2,2,96,115
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,600,Port Moody,1,1,2,110,319,156,21,1,611,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,601,Coquitlam,2,0,0,73,164,72,15,0,326,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,602,Coquitlam,3,1,0,119,321,121,30,8,603,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,603,Coquitlam,2,3,0,45,251,127,9,3,440,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,604,Coquitlam,0,0,0,28,53,18,2,0,101,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,605,Port Coquitlam,4,0,1,167,260,62,25,1,520,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,606,Port Coquitlam,2,0,2,134,227,83,20,2,470,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,607,Port Coquitlam,4,0,0,94,163,63,16,0,340,
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,608,Port Coquitlam,1,0,0,123,249,93,21,1,488,
