District,Poll Number,Poll Name,Charlie Angus,Raymond Chénier,Marsha Gail Kriss,Andrew Van Oosten,Rejected Ballots,Total Vote,Electors
Timmins--James Bay/Timmins--Baie James,24,Frederick,40,51,9,29,0,129,292
Timmins--James Bay/Timmins--Baie James,25,Berylvale,99,85,10,30,3,227,378
Timmins--James Bay/Timmins--Baie James,26,Tunis,Merged with No. 27,,,,,,64
Timmins--James Bay/Timmins--Baie James,27,Norembega,31,15,3,12,0,61,193
Timmins--James Bay/Timmins--Baie James,28,Shillington,58,23,0,21,1,103,151
Timmins--James Bay/Timmins--Baie James,29,Val Gagné,97,75,7,27,0,206,380
Timmins--James Bay/Timmins--Baie James,30,Matheson,88,45,5,62,0,200,452
Timmins--James Bay/Timmins--Baie James,31,Matheson,79,54,1,54,1,189,370
Timmins--James Bay/Timmins--Baie James,32,Mace,51,29,3,40,0,123,251
Timmins--James Bay/Timmins--Baie James,33,Abitibi 70,16,25,1,2,0,44,70
Timmins--James Bay/Timmins--Baie James,34,Holtyre,42,38,1,17,1,99,174
Timmins--James Bay/Timmins--Baie James,35,Ramore,78,71,2,28,1,180,311
Timmins--James Bay/Timmins--Baie James,36,Iroquois Falls,43,22,0,21,0,86,177
Timmins--James Bay/Timmins--Baie James,37,Iroquois Falls,88,45,2,20,1,156,304
Timmins--James Bay/Timmins--Baie James,38,Iroquois Falls,84,68,1,16,0,169,297
Timmins--James Bay/Timmins--Baie James,39,Iroquois Falls,78,43,4,22,1,148,273
Timmins--James Bay/Timmins--Baie James,40,Iroquois Falls,53,50,2,13,3,121,272
Timmins--James Bay/Timmins--Baie James,41,Iroquois Falls,67,46,5,24,1,143,288
Timmins--James Bay/Timmins--Baie James,42,Iroquois Falls,63,54,4,10,0,131,285
Timmins--James Bay/Timmins--Baie James,43,Iroquois Falls,58,70,1,9,1,139,280
Timmins--James Bay/Timmins--Baie James,44,Iroquois Falls,47,53,4,12,0,116,226
Timmins--James Bay/Timmins--Baie James,45,Iroquois Falls,52,47,3,18,0,120,264
Timmins--James Bay/Timmins--Baie James,46,Iroquois Falls,157,117,9,38,3,324,699
Timmins--James Bay/Timmins--Baie James,47,Iroquois Falls,57,34,3,14,0,108,236
Timmins--James Bay/Timmins--Baie James,48,Iroquois Falls,64,28,4,20,1,117,208
Timmins--James Bay/Timmins--Baie James,49,Star--Kamiskotia Lake,11,14,0,5,0,30,82
Timmins--James Bay/Timmins--Baie James,50,Timmins,80,88,5,25,1,199,470
Timmins--James Bay/Timmins--Baie James,51,Timmins,49,80,3,12,0,144,292
Timmins--James Bay/Timmins--Baie James,52,Timmins,52,53,2,7,0,114,262
Timmins--James Bay/Timmins--Baie James,53,Timmins,65,88,2,9,3,167,321
Timmins--James Bay/Timmins--Baie James,54,Timmins,100,102,0,13,1,216,393
Timmins--James Bay/Timmins--Baie James,55,Timmins,92,64,1,13,0,170,344
Timmins--James Bay/Timmins--Baie James,56,Timmins,88,87,3,19,1,198,486
Timmins--James Bay/Timmins--Baie James,57,Timmins,73,76,6,12,1,168,349
Timmins--James Bay/Timmins--Baie James,58,Timmins,107,145,4,29,2,287,585
Timmins--James Bay/Timmins--Baie James,59,Timmins,86,163,4,26,0,279,483
Timmins--James Bay/Timmins--Baie James,60,Timmins,101,132,4,50,0,287,581
Timmins--James Bay/Timmins--Baie James,61,Timmins,67,102,3,17,1,190,435
Timmins--James Bay/Timmins--Baie James,62,Timmins,79,37,1,13,1,131,423
Timmins--James Bay/Timmins--Baie James,63,Timmins,83,88,3,20,0,194,369
Timmins--James Bay/Timmins--Baie James,64,Timmins,58,91,3,11,2,165,310
Timmins--James Bay/Timmins--Baie James,65,Timmins,85,121,3,28,1,238,526
Timmins--James Bay/Timmins--Baie James,66,Timmins,44,68,5,22,1,140,241
Timmins--James Bay/Timmins--Baie James,67,Timmins,67,119,3,46,0,235,405
Timmins--James Bay/Timmins--Baie James,68,Timmins,87,107,7,25,0,226,437
Timmins--James Bay/Timmins--Baie James,69,Timmins,62,90,1,23,1,177,326
Timmins--James Bay/Timmins--Baie James,70,Timmins,85,93,1,23,4,206,320
Timmins--James Bay/Timmins--Baie James,71,Timmins,42,68,0,24,1,135,238
Timmins--James Bay/Timmins--Baie James,72,Timmins,77,134,2,24,1,238,425
Timmins--James Bay/Timmins--Baie James,73,Timmins,85,82,4,22,0,193,347
Timmins--James Bay/Timmins--Baie James,74,Timmins,95,69,2,25,1,192,391
Timmins--James Bay/Timmins--Baie James,75,Timmins,42,24,2,7,0,75,235
Timmins--James Bay/Timmins--Baie James,76,Timmins,62,42,2,12,2,120,370
Timmins--James Bay/Timmins--Baie James,77,Timmins,92,39,3,15,0,149,374
Timmins--James Bay/Timmins--Baie James,78,Timmins,70,61,3,13,1,148,303
Timmins--James Bay/Timmins--Baie James,79,Timmins,45,50,2,7,0,104,228
Timmins--James Bay/Timmins--Baie James,80,Timmins,94,97,4,31,3,229,475
Timmins--James Bay/Timmins--Baie James,81,Timmins,62,80,2,20,0,164,313
Timmins--James Bay/Timmins--Baie James,82,Timmins,28,37,0,10,0,75,126
Timmins--James Bay/Timmins--Baie James,83,Timmins,122,67,1,7,0,197,367
Timmins--James Bay/Timmins--Baie James,84,Timmins,88,77,3,16,0,184,342
Timmins--James Bay/Timmins--Baie James,85,Timmins,74,58,1,11,0,144,324
Timmins--James Bay/Timmins--Baie James,86,Timmins,81,41,2,11,0,135,339
Timmins--James Bay/Timmins--Baie James,87,Timmins,63,77,2,22,2,166,306
Timmins--James Bay/Timmins--Baie James,88,Timmins,65,58,2,21,1,147,330
Timmins--James Bay/Timmins--Baie James,89,Timmins,92,80,2,21,1,196,380
Timmins--James Bay/Timmins--Baie James,90,Timmins,65,70,10,11,2,158,361
Timmins--James Bay/Timmins--Baie James,91,Timmins,66,76,4,26,2,174,368
Timmins--James Bay/Timmins--Baie James,92,Timmins,63,61,3,28,0,155,321
Timmins--James Bay/Timmins--Baie James,93,Timmins,73,54,3,15,2,147,306
Timmins--James Bay/Timmins--Baie James,94,Timmins,76,63,2,12,2,155,344
Timmins--James Bay/Timmins--Baie James,95,Timmins,53,64,5,9,2,133,389
Timmins--James Bay/Timmins--Baie James,96,Timmins,66,29,1,6,1,103,330
Timmins--James Bay/Timmins--Baie James,97,Timmins,50,85,2,14,2,153,294
Timmins--James Bay/Timmins--Baie James,98,Timmins,73,84,0,11,0,168,365
Timmins--James Bay/Timmins--Baie James,99,Timmins,77,62,0,8,0,147,316
Timmins--James Bay/Timmins--Baie James,100,Timmins,78,38,3,23,1,143,343
Timmins--James Bay/Timmins--Baie James,101,Timmins,81,81,5,28,0,195,346
Timmins--James Bay/Timmins--Baie James,102,Timmins,Void,,,,,,
Timmins--James Bay/Timmins--Baie James,103,Timmins,102,52,4,18,0,176,313
Timmins--James Bay/Timmins--Baie James,104,Timmins,75,39,1,13,1,129,230
Timmins--James Bay/Timmins--Baie James,105,Timmins,28,41,2,12,0,83,233
Timmins--James Bay/Timmins--Baie James,106,Timmins,59,28,6,16,1,110,260
Timmins--James Bay/Timmins--Baie James,107,Timmins,41,48,2,11,1,103,326
Timmins--James Bay/Timmins--Baie James,108,Timmins,57,54,1,10,1,123,345
Timmins--James Bay/Timmins--Baie James,109,Timmins,56,39,1,6,0,102,282
Timmins--James Bay/Timmins--Baie James,110,Timmins,82,54,5,8,0,149,387
Timmins--James Bay/Timmins--Baie James,111,Timmins,87,53,4,7,0,151,307
Timmins--James Bay/Timmins--Baie James,112,Timmins,87,80,5,18,0,190,352
Timmins--James Bay/Timmins--Baie James,113,Timmins,82,63,2,9,0,156,340
Timmins--James Bay/Timmins--Baie James,114,Timmins,63,55,0,8,0,126,324
Timmins--James Bay/Timmins--Baie James,115,Timmins,62,31,6,12,0,111,317
Timmins--James Bay/Timmins--Baie James,116,Timmins,72,40,2,12,0,126,289
Timmins--James Bay/Timmins--Baie James,117,Timmins,83,59,3,15,2,162,318
Timmins--James Bay/Timmins--Baie James,118,Timmins,63,57,2,4,0,126,297
Timmins--James Bay/Timmins--Baie James,119,Timmins,86,77,1,19,3,186,366
Timmins--James Bay/Timmins--Baie James,120,Timmins,120,84,6,18,2,230,455
Timmins--James Bay/Timmins--Baie James,121,Timmins,77,93,6,12,0,188,338
Timmins--James Bay/Timmins--Baie James,122,Timmins,120,80,0,12,4,216,365
Timmins--James Bay/Timmins--Baie James,123,Timmins,106,60,4,21,2,193,485
Timmins--James Bay/Timmins--Baie James,124,Timmins,34,48,2,12,0,96,175
Timmins--James Bay/Timmins--Baie James,125,Timmins,101,43,1,20,2,167,418
Timmins--James Bay/Timmins--Baie James,126,Timmins,92,56,4,17,0,169,310
Timmins--James Bay/Timmins--Baie James,127,Timmins,66,55,5,26,0,152,380
Timmins--James Bay/Timmins--Baie James,128,Timmins,124,57,4,36,1,222,474
Timmins--James Bay/Timmins--Baie James,129,Timmins,82,39,4,19,4,148,289
Timmins--James Bay/Timmins--Baie James,130,Timmins,95,64,2,23,0,184,321
Timmins--James Bay/Timmins--Baie James,131,Timmins,49,26,3,4,0,82,169
Timmins--James Bay/Timmins--Baie James,132,Timmins,94,54,2,22,0,172,330
Timmins--James Bay/Timmins--Baie James,133,Timmins,125,50,5,16,0,196,338
Timmins--James Bay/Timmins--Baie James,134,Timmins,78,79,2,34,0,193,405
Timmins--James Bay/Timmins--Baie James,135,Timmins,78,62,2,33,2,177,356
Timmins--James Bay/Timmins--Baie James,136,Timmins,59,33,2,7,0,101,279
Timmins--James Bay/Timmins--Baie James,137,Timmins,136,93,4,60,3,296,507
Timmins--James Bay/Timmins--Baie James,138,Timmins,141,82,4,44,3,274,526
Timmins--James Bay/Timmins--Baie James,139,Timmins,86,55,7,30,0,178,377
Timmins--James Bay/Timmins--Baie James,140,Timmins,93,47,2,25,1,168,343
Timmins--James Bay/Timmins--Baie James,141,Timmins,24,15,2,10,0,51,65
Timmins--James Bay/Timmins--Baie James,142,Timmins,132,34,1,13,1,181,267
Timmins--James Bay/Timmins--Baie James,143,Matachewan,56,47,5,47,0,155,286
Timmins--James Bay/Timmins--Baie James,144,Matachewan,6,8,0,1,0,15,31
Timmins--James Bay/Timmins--Baie James,145,Sesekinika,30,24,3,59,0,116,140
Timmins--James Bay/Timmins--Baie James,146,Kenogami Lake,52,69,3,77,3,204,343
Timmins--James Bay/Timmins--Baie James,147,Dane,74,46,3,41,3,167,263
Timmins--James Bay/Timmins--Baie James,148,Dobie,82,50,3,32,0,167,309
Timmins--James Bay/Timmins--Baie James,149,Larder Lake,73,77,7,29,0,186,331
Timmins--James Bay/Timmins--Baie James,150,Kerns,32,55,2,21,2,112,228
Timmins--James Bay/Timmins--Baie James,151,Virginiatown,75,85,2,50,1,213,369
Timmins--James Bay/Timmins--Baie James,152,Larder Lake,57,54,6,40,0,157,279
Timmins--James Bay/Timmins--Baie James,153A,Kirkland Lake,7,32,0,29,0,68,132
Timmins--James Bay/Timmins--Baie James,153B,Kirkland Lake,Merged with No. 155,,,,,,160
Timmins--James Bay/Timmins--Baie James,154,Kirkland Lake,47,58,5,62,2,174,360
Timmins--James Bay/Timmins--Baie James,155,Kirkland Lake,62,102,4,57,2,227,316
Timmins--James Bay/Timmins--Baie James,156,Kirkland Lake,33,47,3,69,2,154,305
Timmins--James Bay/Timmins--Baie James,157,Kirkland Lake,34,50,3,38,0,125,261
Timmins--James Bay/Timmins--Baie James,158,Kirkland Lake,28,50,2,27,0,107,239
Timmins--James Bay/Timmins--Baie James,159,Kirkland Lake,49,64,0,49,0,162,341
Timmins--James Bay/Timmins--Baie James,160,Kirkland Lake,51,65,1,37,1,155,396
Timmins--James Bay/Timmins--Baie James,161,Kirkland Lake,42,48,0,17,1,108,354
Timmins--James Bay/Timmins--Baie James,162,Kirkland Lake,27,38,0,20,2,87,248
Timmins--James Bay/Timmins--Baie James,163,Kirkland Lake,32,43,1,24,0,100,284
Timmins--James Bay/Timmins--Baie James,164,Kirkland Lake,35,24,1,12,1,73,233
Timmins--James Bay/Timmins--Baie James,165,Kirkland Lake,56,79,3,60,1,199,399
Timmins--James Bay/Timmins--Baie James,166,Kirkland Lake,55,48,1,46,0,150,288
Timmins--James Bay/Timmins--Baie James,167,Kirkland Lake,45,27,3,22,0,97,282
Timmins--James Bay/Timmins--Baie James,168,Kirkland Lake,57,75,3,38,2,175,381
Timmins--James Bay/Timmins--Baie James,169,Kirkland Lake,59,50,3,36,2,150,317
Timmins--James Bay/Timmins--Baie James,170,Kirkland Lake,53,73,4,42,0,172,342
Timmins--James Bay/Timmins--Baie James,171,Kirkland Lake,43,37,1,32,0,113,267
Timmins--James Bay/Timmins--Baie James,172,Kirkland Lake,68,66,12,62,5,213,439
Timmins--James Bay/Timmins--Baie James,173,Kirkland Lake,27,38,1,26,1,93,204
Timmins--James Bay/Timmins--Baie James,174,Gowganda,21,8,3,19,0,51,77
Timmins--James Bay/Timmins--Baie James,175,James,77,54,7,105,0,243,369
Timmins--James Bay/Timmins--Baie James,176,Zeta,43,24,3,35,0,105,143
Timmins--James Bay/Timmins--Baie James,177,Chamberlain,72,17,2,56,0,147,229
Timmins--James Bay/Timmins--Baie James,178,Dack,62,26,4,66,0,158,264
Timmins--James Bay/Timmins--Baie James,179,Englehart,51,36,1,55,2,145,247
Timmins--James Bay/Timmins--Baie James,180,Englehart,82,66,9,82,3,242,426
Timmins--James Bay/Timmins--Baie James,181,Englehart,46,56,8,56,0,166,284
Timmins--James Bay/Timmins--Baie James,182,Englehart,131,59,12,139,0,341,680
Timmins--James Bay/Timmins--Baie James,183,Englehart,67,30,3,45,1,146,250
Timmins--James Bay/Timmins--Baie James,184,Hilliard,77,39,4,48,0,168,302
Timmins--James Bay/Timmins--Baie James,185,Earlton,49,71,2,18,3,143,263
Timmins--James Bay/Timmins--Baie James,186,Earlton,41,98,3,20,3,165,273
Timmins--James Bay/Timmins--Baie James,187,Earlton,65,82,5,24,2,178,325
Timmins--James Bay/Timmins--Baie James,188,Charlton,48,34,8,48,0,138,287
Timmins--James Bay/Timmins--Baie James,189,Cane,79,23,3,27,0,132,268
Timmins--James Bay/Timmins--Baie James,190,Kerns,113,50,6,37,0,206,441
Timmins--James Bay/Timmins--Baie James,191,Hanbury,88,50,1,33,1,173,312
Timmins--James Bay/Timmins--Baie James,192,Brethour,64,89,6,48,1,208,343
Timmins--James Bay/Timmins--Baie James,500,Mobile poll/Bureau itinérant,26,55,5,16,1,103,200
Timmins--James Bay/Timmins--Baie James,501,Mobile poll/Bureau itinérant,12,30,1,16,0,59,72
Timmins--James Bay/Timmins--Baie James,600,James Bay North,16,25,7,11,0,59,
Timmins--James Bay/Timmins--Baie James,601,Smooth Rock Falls,3,1,0,0,0,4,
Timmins--James Bay/Timmins--Baie James,602,Cochrane,127,201,13,72,2,415,
Timmins--James Bay/Timmins--Baie James,603,Matheson,66,45,2,44,0,157,
Timmins--James Bay/Timmins--Baie James,604,Iroquois Falls,190,165,9,85,1,450,
Timmins--James Bay/Timmins--Baie James,605,Timmins,154,283,7,60,0,504,
Timmins--James Bay/Timmins--Baie James,606,Timmins,363,542,13,156,3,1077,
Timmins--James Bay/Timmins--Baie James,607,Timmins,260,296,2,74,10,642,
Timmins--James Bay/Timmins--Baie James,608,Timmins,199,162,11,89,0,461,
Timmins--James Bay/Timmins--Baie James,609,Kirkland Lake,28,28,1,55,0,112,
Timmins--James Bay/Timmins--Baie James,610,Kirkland Lake,159,225,13,152,2,551,
Timmins--James Bay/Timmins--Baie James,611,Timiskaming,69,59,7,67,0,202,
Timmins--James Bay/Timmins--Baie James,,Group 1/Groupe 1,19,36,3,31,1,90,207
Timmins--James Bay/Timmins--Baie James,,Group 2/Groupe 2,132,255,10,84,8,489,
