District,Poll Number,Poll Name,Marc-André Gauthier,Michel Gauthier,Ghislain Lavoie,Michel Mallette,Isabelle Tremblay,Rejected Ballots,Total Vote,Electors
Roberval/Roberval,35,L'Ascension,1,81,9,24,5,5,125,318
Roberval/Roberval,36,L'Ascension,6,71,12,20,1,3,113,249
Roberval/Roberval,37,L'Ascension,Void,,,,,,,
Roberval/Roberval,38,L'Ascension,8,151,31,39,12,3,244,563
Roberval/Roberval,39,L'Ascension,8,112,13,16,1,3,153,319
Roberval/Roberval,40,Lamarche,2,154,19,45,8,5,233,398
Roberval/Roberval,41,Labrecque,13,219,21,38,14,5,310,608
Roberval/Roberval,42,Labrecque,4,105,11,20,5,3,148,343
Roberval/Roberval,43,Saint-Nazaire,11,132,13,39,7,4,206,437
Roberval/Roberval,44,Saint-Nazaire,3,114,14,16,6,3,156,323
Roberval/Roberval,45,Saint-Nazaire,4,131,23,45,13,3,219,374
Roberval/Roberval,46,Saint-Nazaire,8,146,16,21,10,5,206,374
Roberval/Roberval,47,Notre-Dame-de-Lorette,1,47,7,26,3,0,84,170
Roberval/Roberval,48,Saint-Stanislas,2,73,18,42,5,2,142,248
Roberval/Roberval,49,Saint-Eugène,3,117,8,113,1,1,243,467
Roberval/Roberval,50,Dolbeau-Mistassini,7,137,14,77,4,2,241,496
Roberval/Roberval,51,Dolbeau-Mistassini,2,124,5,57,9,4,201,429
Roberval/Roberval,52,Dolbeau-Mistassini,4,141,15,52,4,4,220,427
Roberval/Roberval,53,Dolbeau-Mistassini,1,55,9,47,2,2,116,290
Roberval/Roberval,54,Dolbeau-Mistassini,7,129,22,66,6,4,234,444
Roberval/Roberval,55,Dolbeau-Mistassini,7,113,11,59,4,2,196,388
Roberval/Roberval,56,Dolbeau-Mistassini,13,146,21,102,9,5,296,574
Roberval/Roberval,57,Dolbeau-Mistassini,6,117,12,79,7,4,225,404
Roberval/Roberval,58,Dolbeau-Mistassini,8,103,8,57,2,2,180,355
Roberval/Roberval,59,Dolbeau-Mistassini,5,77,7,35,2,1,127,295
Roberval/Roberval,60,Dolbeau-Mistassini,6,103,8,41,4,3,165,426
Roberval/Roberval,61,Dolbeau-Mistassini,8,75,8,48,7,0,146,349
Roberval/Roberval,62,Dolbeau-Mistassini,5,159,11,56,4,2,237,512
Roberval/Roberval,63,Dolbeau-Mistassini,11,122,11,65,12,8,229,461
Roberval/Roberval,64,Dolbeau-Mistassini,12,122,22,58,10,2,226,421
Roberval/Roberval,65,Dolbeau-Mistassini,8,98,10,40,3,1,160,338
Roberval/Roberval,66,Dolbeau-Mistassini,6,80,7,30,8,0,131,360
Roberval/Roberval,67,Dolbeau-Mistassini,5,130,24,54,7,2,222,486
Roberval/Roberval,68,Dolbeau-Mistassini,5,80,17,56,3,1,162,371
Roberval/Roberval,69,Dolbeau-Mistassini,3,87,20,36,6,1,153,335
Roberval/Roberval,70,Dolbeau-Mistassini,3,123,13,57,4,1,201,380
Roberval/Roberval,71,Dolbeau-Mistassini,7,131,21,45,9,6,219,442
Roberval/Roberval,72,Dolbeau-Mistassini,6,153,17,56,11,2,245,538
Roberval/Roberval,73,Dolbeau-Mistassini,7,118,8,44,5,2,184,428
Roberval/Roberval,74,Dolbeau-Mistassini,6,131,23,49,4,5,218,484
Roberval/Roberval,75,Dolbeau-Mistassini,6,118,13,56,5,4,202,518
Roberval/Roberval,76,Dolbeau-Mistassini,3,164,26,83,13,6,295,556
Roberval/Roberval,77,La Doré,7,83,25,23,9,3,150,277
Roberval/Roberval,78,La Doré,1,89,15,25,17,3,150,269
Roberval/Roberval,79,La Doré,8,132,19,27,8,0,194,344
Roberval/Roberval,80,La Doré,5,102,18,18,7,3,153,287
Roberval/Roberval,81,Saint-Félicien,6,90,13,30,9,3,151,291
Roberval/Roberval,82,Saint-Félicien,11,112,19,34,20,4,200,341
Roberval/Roberval,83,Saint-Félicien,4,117,20,33,17,2,193,357
Roberval/Roberval,84,Saint-Félicien,9,130,32,47,19,7,244,464
Roberval/Roberval,85,Saint-Félicien,10,190,21,57,19,1,298,534
Roberval/Roberval,86,Saint-Félicien,8,62,18,28,9,0,125,259
Roberval/Roberval,87,Saint-Félicien,7,141,22,88,19,7,284,539
Roberval/Roberval,88,Saint-Félicien,6,48,10,41,6,1,112,213
Roberval/Roberval,89,Saint-Félicien,4,87,33,54,23,4,205,411
Roberval/Roberval,90,Saint-Félicien,9,65,13,30,10,0,127,280
Roberval/Roberval,91,Saint-Félicien,4,128,14,65,18,4,233,514
Roberval/Roberval,92,Saint-Félicien,6,79,12,48,15,6,166,356
Roberval/Roberval,93,Saint-Félicien,6,78,19,37,14,2,156,313
Roberval/Roberval,94,Saint-Félicien,4,70,9,47,12,5,147,311
Roberval/Roberval,95,Saint-Félicien,3,100,22,60,10,4,199,386
Roberval/Roberval,96,Saint-Félicien,9,149,24,66,14,5,267,482
Roberval/Roberval,97,Saint-Félicien,10,72,11,33,17,3,146,324
Roberval/Roberval,98,Saint-Félicien,5,116,21,50,10,3,205,391
Roberval/Roberval,99,Saint-Félicien,11,117,29,26,15,5,203,449
Roberval/Roberval,100,Saint-Prime,3,89,4,38,23,3,160,316
Roberval/Roberval,101,Saint-Prime,15,170,28,59,26,6,304,543
Roberval/Roberval,102,Saint-Prime,5,67,7,9,14,5,107,244
Roberval/Roberval,103,Saint-Prime,2,148,22,44,45,3,264,498
Roberval/Roberval,104,Saint-Prime,9,159,20,45,42,0,275,462
Roberval/Roberval,105,Sainte-Hedwidge,6,156,16,22,13,2,215,424
Roberval/Roberval,106,Roberval,9,120,14,50,5,2,200,433
Roberval/Roberval,107,Mashteuiatsh,12,40,7,36,6,1,102,551
Roberval/Roberval,108,Mashteuiatsh,11,63,6,63,13,2,158,763
Roberval/Roberval,109,Roberval,7,96,8,36,7,0,154,288
Roberval/Roberval,110,Roberval,2,84,13,35,9,1,144,333
Roberval/Roberval,111,Roberval,6,112,15,25,6,4,168,370
Roberval/Roberval,112,Roberval,1,68,11,21,6,3,110,216
Roberval/Roberval,113,Roberval,10,97,10,30,11,6,164,390
Roberval/Roberval,114,Roberval,22,142,19,59,21,6,269,474
Roberval/Roberval,115,Roberval,13,108,18,39,10,5,193,418
Roberval/Roberval,116,Roberval,9,97,24,29,9,5,173,344
Roberval/Roberval,117,Roberval,5,81,13,41,7,4,151,318
Roberval/Roberval,118,Roberval,8,68,8,26,4,4,118,310
Roberval/Roberval,119,Roberval,4,83,14,49,14,7,171,392
Roberval/Roberval,120,Roberval,13,82,28,43,13,2,181,305
Roberval/Roberval,121,Roberval,6,87,27,29,6,6,161,322
Roberval/Roberval,122,Roberval,23,114,27,43,10,7,224,410
Roberval/Roberval,123,Roberval,5,107,36,53,12,3,216,393
Roberval/Roberval,124,Roberval,15,129,20,50,15,9,238,454
Roberval/Roberval,125,Roberval,19,156,27,53,20,6,281,573
Roberval/Roberval,126,Roberval,9,103,27,58,15,4,216,422
Roberval/Roberval,127,Roberval,15,141,26,30,8,8,228,406
Roberval/Roberval,128,Roberval,15,105,14,34,12,2,182,385
Roberval/Roberval,129,Roberval,7,120,28,34,19,2,210,442
Roberval/Roberval,130,Sainte-Hedwidge,4,54,5,16,8,0,87,168
Roberval/Roberval,131,Chambord,14,165,13,32,17,4,245,411
Roberval/Roberval,132,Chambord,7,93,8,21,14,2,145,265
Roberval/Roberval,133,Chambord,13,140,13,46,17,5,234,384
Roberval/Roberval,134,Chambord,3,125,3,22,17,5,175,322
Roberval/Roberval,135,Saint-François-de-Sales,10,160,18,49,19,12,268,468
Roberval/Roberval,136,Saint-André,7,114,10,38,47,3,219,481
Roberval/Roberval,137,Saint-François-de-Sales,Void,,,,,,,
Roberval/Roberval,138,Lac-Bouchette,5,139,17,50,9,5,225,414
Roberval/Roberval,139,Lac-Bouchette,4,84,18,25,2,1,134,304
Roberval/Roberval,140,Lac-Bouchette,5,114,13,22,6,3,163,336
Roberval/Roberval,141,Saint-Gédéon,8,130,8,47,7,3,203,341
Roberval/Roberval,142,Saint-Gédéon,12,183,16,71,16,6,304,534
Roberval/Roberval,143,Saint-Gédéon,15,163,13,37,6,2,236,399
Roberval/Roberval,144,Saint-Bruno,3,135,8,31,6,4,187,398
Roberval/Roberval,145,Saint-Bruno,10,171,24,59,14,8,286,493
Roberval/Roberval,146,Saint-Bruno,5,105,14,23,5,5,157,296
Roberval/Roberval,147,Hébertville-Station,4,103,18,20,4,6,155,274
Roberval/Roberval,148,Hébertville-Station,5,121,14,41,4,6,191,312
Roberval/Roberval,149,Saint-Bruno,7,157,18,37,14,13,246,412
Roberval/Roberval,150,Saint-Bruno,8,75,12,24,8,1,128,218
Roberval/Roberval,151,Hébertville-Station,12,134,17,32,5,10,210,401
Roberval/Roberval,152,Saint-Gédéon,6,91,11,17,6,6,137,271
Roberval/Roberval,153,Métabetchouan,5,143,16,31,8,9,212,360
Roberval/Roberval,154,Métabetchouan,5,97,14,34,10,3,163,343
Roberval/Roberval,155,Métabetchouan,2,121,9,18,7,2,159,278
Roberval/Roberval,156,Métabetchouan,2,138,10,39,9,1,199,359
Roberval/Roberval,157,Métabetchouan,5,173,23,55,12,6,274,517
Roberval/Roberval,158,Métabetchouan,8,90,16,39,9,4,166,275
Roberval/Roberval,159,Desbiens,2,110,6,23,10,1,152,267
Roberval/Roberval,160,Desbiens,7,117,13,26,2,1,166,284
Roberval/Roberval,161,Desbiens,11,146,12,41,11,3,224,372
Roberval/Roberval,162,Métabetchouan,6,47,10,16,6,1,86,219
Roberval/Roberval,163,Lac-à-la-Croix,8,108,30,33,6,6,191,355
Roberval/Roberval,164,Hébertville,8,101,15,31,9,7,171,348
Roberval/Roberval,165,Hébertville,7,81,11,26,3,5,133,266
Roberval/Roberval,166,Hébertville,6,67,12,31,5,6,127,230
Roberval/Roberval,167,Hébertville,20,137,37,35,12,8,249,465
Roberval/Roberval,168,Lac-à-la-Croix,8,156,13,39,8,2,226,465
Roberval/Roberval,169,Hébertville,9,203,25,61,16,7,321,547
Roberval/Roberval,500,Mobile poll/Bureau itinérant,4,15,7,13,0,2,41,42
Roberval/Roberval,501,Mobile poll/Bureau itinérant,0,25,5,21,2,3,56,72
Roberval/Roberval,502,Mobile poll/Bureau itinérant,3,27,7,31,3,4,75,109
Roberval/Roberval,503,Mobile poll/Bureau itinérant,7,29,9,35,2,4,86,125
Roberval/Roberval,504,Mobile poll/Bureau itinérant,3,31,11,33,2,1,81,116
Roberval/Roberval,505,Mobile poll/Bureau itinérant,7,33,16,43,6,7,112,197
Roberval/Roberval,506,Mobile poll/Bureau itinérant,4,39,6,51,3,3,106,130
Roberval/Roberval,507,Mobile poll/Bureau itinérant,13,93,18,66,2,8,200,297
Roberval/Roberval,600,Normandin,2,112,16,73,6,2,211,
Roberval/Roberval,601,Saint-Augustin,0,36,4,12,1,0,53,
Roberval/Roberval,602,Ascension-de-Notre-Seigneur,4,80,10,28,1,1,124,
Roberval/Roberval,603,Dolbeau,6,219,27,140,10,2,404,
Roberval/Roberval,604,Mistassini,6,179,20,98,9,2,314,
Roberval/Roberval,605,Saint-Félicien,17,252,49,151,34,7,510,
Roberval/Roberval,606,Saint-Prime,2,49,6,15,13,0,85,
Roberval/Roberval,607,Roberval,12,329,88,123,42,8,602,
Roberval/Roberval,608,Chambord,2,44,5,16,5,1,73,
Roberval/Roberval,609,Saint-Bruno,2,66,7,37,6,1,119,
Roberval/Roberval,610,Métabetchouan--Lac-à-la-Croix,5,133,16,68,3,2,227,
Roberval/Roberval,611,Hébertville,2,61,8,25,2,4,102,
Roberval/Roberval,,Group 1/Groupe 1,3,56,27,31,3,3,123,268
Roberval/Roberval,,Group 2/Groupe 2,7,136,20,77,15,8,263,
