District,Poll Number,Poll Name,Alex Atamanenko,Karine Cyr,Jim Gouk,Scott Leyland,Farlie Paynter,Robert Schuster,Brian Sproule,Doug Stanley,Rejected Ballots,Total Vote,Electors
Southern Interior/Southern Interior,54,West Midway,80,6,162,22,2,4,0,63,0,339,506
Southern Interior/Southern Interior,55,Grand Forks,90,1,128,28,0,1,0,38,0,286,481
Southern Interior/Southern Interior,56,Grand Forks,Void,,,,,,,,,,
Southern Interior/Southern Interior,57,Grand Forks,70,4,60,20,0,5,0,34,0,193,454
Southern Interior/Southern Interior,58,Grand Forks,Void,,,,,,,,,,
Southern Interior/Southern Interior,59,Grand Forks,82,1,94,15,0,1,0,37,0,230,432
Southern Interior/Southern Interior,60,Grand Forks,101,4,103,11,0,5,0,46,0,270,538
Southern Interior/Southern Interior,61A,Grand Forks,93,2,105,32,0,5,0,27,0,264,491
Southern Interior/Southern Interior,61B,Grand Forks,99,2,116,26,0,3,1,30,0,277,515
Southern Interior/Southern Interior,62,Grand Forks,66,3,89,10,0,3,0,38,0,209,380
Southern Interior/Southern Interior,63,Grand Forks,107,2,73,5,1,3,1,25,3,220,350
Southern Interior/Southern Interior,64,Grand Forks,55,0,55,12,0,0,0,14,1,137,249
Southern Interior/Southern Interior,65,Grand Forks,69,3,70,10,1,3,1,22,1,180,354
Southern Interior/Southern Interior,66,Grand Forks,63,4,46,19,1,0,0,25,0,158,280
Southern Interior/Southern Interior,67,Grand Forks,55,1,53,16,1,3,0,14,1,144,300
Southern Interior/Southern Interior,68,Grand Forks,77,4,89,22,0,5,0,28,1,226,375
Southern Interior/Southern Interior,69,Grand Forks,30,3,74,7,0,4,0,25,0,143,217
Southern Interior/Southern Interior,70,Christina,46,1,95,14,1,2,0,38,0,197,363
Southern Interior/Southern Interior,71,Edgewood,111,3,77,15,1,5,0,17,0,229,363
Southern Interior/Southern Interior,72,Castlegar,88,1,75,12,0,3,0,25,2,206,348
Southern Interior/Southern Interior,73,Christina Lake,84,4,117,25,1,2,0,52,0,285,476
Southern Interior/Southern Interior,74,Rossland,33,0,36,18,0,1,0,36,3,127,254
Southern Interior/Southern Interior,75,Rossland,42,2,24,20,0,2,0,32,1,123,213
Southern Interior/Southern Interior,76,Rossland,64,1,50,36,0,1,0,55,1,208,298
Southern Interior/Southern Interior,77,Rossland,52,0,41,43,1,0,0,85,1,223,313
Southern Interior/Southern Interior,78,Rossland,94,0,50,47,1,2,0,50,0,244,353
Southern Interior/Southern Interior,79,Rossland,82,2,63,46,0,1,0,60,0,254,419
Southern Interior/Southern Interior,80,Rossland,72,1,40,31,0,0,0,39,2,185,272
Southern Interior/Southern Interior,81,Rossland,116,1,63,43,0,0,0,96,0,319,469
Southern Interior/Southern Interior,82,Vallican,165,3,49,48,1,1,0,20,0,287,483
Southern Interior/Southern Interior,83,Pass Creek,114,2,43,13,0,1,1,15,0,189,262
Southern Interior/Southern Interior,84,Slocan Park,120,9,40,28,1,0,0,27,0,225,352
Southern Interior/Southern Interior,85,Winlaw,105,3,29,29,0,0,0,9,0,175,282
Southern Interior/Southern Interior,86,Crescent Valley,168,0,54,35,1,1,0,37,0,296,548
Southern Interior/Southern Interior,87,Crescent Valley,76,0,34,8,0,0,0,10,0,128,246
Southern Interior/Southern Interior,88,Shoreacres,101,2,45,7,0,0,0,17,0,172,265
Southern Interior/Southern Interior,89,South Slocan,133,1,90,36,0,1,0,30,0,291,521
Southern Interior/Southern Interior,90,Taghum,107,0,67,30,2,0,0,27,0,233,334
Southern Interior/Southern Interior,91,Castlegar,92,7,44,7,0,3,1,22,1,177,299
Southern Interior/Southern Interior,92,Robson,105,1,78,7,0,0,0,12,0,203,334
Southern Interior/Southern Interior,93,Robson,Void,,,,,,,,,,
Southern Interior/Southern Interior,94,Robson,113,1,70,10,0,1,0,24,0,219,311
Southern Interior/Southern Interior,95,Robson,81,2,60,11,0,1,0,15,0,170,298
Southern Interior/Southern Interior,96,Castlegar,89,1,61,7,3,1,0,16,0,178,296
Southern Interior/Southern Interior,97,Castlegar,117,3,54,5,1,2,0,33,1,216,385
Southern Interior/Southern Interior,98,Castlegar,118,2,43,13,0,2,0,18,5,201,318
Southern Interior/Southern Interior,99,Castlegar,115,2,46,3,0,6,0,19,2,193,350
Southern Interior/Southern Interior,100,Castlegar,103,1,75,3,0,1,0,13,1,197,335
Southern Interior/Southern Interior,101,Castlegar,126,1,122,7,0,1,0,54,1,312,487
Southern Interior/Southern Interior,102,Castlegar,51,2,57,7,0,1,0,26,0,144,261
Southern Interior/Southern Interior,103,Castlegar,119,0,88,9,0,2,0,22,2,242,360
Southern Interior/Southern Interior,104,Castlegar,77,3,71,4,0,1,0,35,0,191,296
Southern Interior/Southern Interior,105,Castlegar,64,0,60,5,0,1,0,17,0,147,258
Southern Interior/Southern Interior,106,Castlegar,102,0,84,9,2,0,0,13,0,210,317
Southern Interior/Southern Interior,107,Castlegar,120,2,162,11,0,3,1,68,1,368,561
Southern Interior/Southern Interior,108,Castlegar,89,1,62,7,0,3,0,21,0,183,315
Southern Interior/Southern Interior,109,Blueberry Creek,127,1,80,13,0,0,0,22,0,243,351
Southern Interior/Southern Interior,110,Blueberry Creek,74,1,82,4,0,4,0,25,0,190,331
Southern Interior/Southern Interior,111,China Creek,102,4,114,9,0,0,1,53,3,286,447
Southern Interior/Southern Interior,112,Oasis,66,0,72,10,1,0,0,35,2,186,292
Southern Interior/Southern Interior,113,Columbia Gardens,51,0,47,9,0,2,0,36,0,145,221
Southern Interior/Southern Interior,114,Warfield,44,0,58,6,0,1,0,54,0,163,240
Southern Interior/Southern Interior,115,Warfield,56,1,64,17,0,0,0,30,0,168,261
Southern Interior/Southern Interior,116,Warfield,61,1,70,9,2,3,0,75,1,222,292
Southern Interior/Southern Interior,117,Warfield,33,2,43,2,0,0,0,57,0,137,188
Southern Interior/Southern Interior,118,Warfield,68,1,44,10,1,0,1,31,1,157,245
Southern Interior/Southern Interior,119,Trail,58,3,65,16,1,2,0,74,0,219,441
Southern Interior/Southern Interior,120,Trail,64,1,61,11,1,1,0,35,0,174,277
Southern Interior/Southern Interior,121,Trail,61,1,68,5,0,1,0,91,0,227,324
Southern Interior/Southern Interior,122,Trail,77,3,66,5,0,2,0,58,2,213,374
Southern Interior/Southern Interior,123,Trail,80,4,49,15,0,3,0,61,2,214,397
Southern Interior/Southern Interior,124,Trail,63,2,47,4,0,1,0,27,1,145,293
Southern Interior/Southern Interior,125,Trail,62,2,38,5,0,1,1,49,2,160,343
Southern Interior/Southern Interior,126,Trail,99,2,59,11,0,4,0,39,1,215,389
Southern Interior/Southern Interior,127,Trail,83,1,73,11,1,4,0,56,1,230,376
Southern Interior/Southern Interior,128,Trail,99,0,52,15,0,2,0,40,2,210,404
Southern Interior/Southern Interior,129A,Trail,98,0,119,9,0,1,0,126,4,357,561
Southern Interior/Southern Interior,129B,Mobile poll/Bureau itinérant,Merged with No. 504,,,,,,,,,,19
Southern Interior/Southern Interior,130,Trail,75,7,84,8,0,2,0,70,5,251,375
Southern Interior/Southern Interior,131,Trail,93,1,54,7,0,0,0,59,1,215,358
Southern Interior/Southern Interior,132,Trail,60,0,93,7,0,1,0,135,2,298,405
Southern Interior/Southern Interior,133,Casino,66,0,38,11,0,1,0,20,1,137,224
Southern Interior/Southern Interior,134,Nakusp,129,3,86,58,1,1,1,32,2,313,461
Southern Interior/Southern Interior,135,New Denver,Void,,,,,,,,,,
Southern Interior/Southern Interior,136,Lardeau,46,0,22,43,0,0,0,7,0,118,194
Southern Interior/Southern Interior,137,Slocan,181,3,47,38,0,5,0,46,1,321,495
Southern Interior/Southern Interior,138,New Denver,47,1,39,31,1,4,0,28,1,152,212
Southern Interior/Southern Interior,139,Silverton,51,1,53,37,0,1,0,23,1,167,249
Southern Interior/Southern Interior,140,Mirror Lake,109,0,97,60,1,1,0,25,2,295,511
Southern Interior/Southern Interior,141,Retallack,102,5,94,33,1,1,0,29,1,266,493
Southern Interior/Southern Interior,142,Shutty Bench,64,0,101,26,1,3,0,31,0,226,351
Southern Interior/Southern Interior,143,Appledale,81,4,27,24,0,2,0,5,1,144,234
Southern Interior/Southern Interior,144,Willow Point,133,1,113,38,1,4,0,49,0,339,516
Southern Interior/Southern Interior,145,Willow Point,86,1,71,28,0,0,0,50,1,237,350
Southern Interior/Southern Interior,146,Long Beach,0,0,0,0,0,0,0,0,0,0,414
Southern Interior/Southern Interior,147,Ainsworth Hot Springs,124,1,176,51,0,1,0,63,0,416,589
Southern Interior/Southern Interior,148A,Willow Point,75,1,99,29,0,0,0,41,1,246,391
Southern Interior/Southern Interior,148B,Willow Point,64,0,76,25,1,0,0,29,0,195,341
Southern Interior/Southern Interior,149,Johnsons Landing,116,3,103,19,1,1,1,54,0,298,506
Southern Interior/Southern Interior,150,Thrums,49,1,19,2,0,0,0,4,0,75,131
Southern Interior/Southern Interior,151,Tarrys,144,1,48,12,0,1,0,22,0,228,377
Southern Interior/Southern Interior,152,Blewett,156,3,135,50,2,0,0,50,0,396,616
Southern Interior/Southern Interior,152-1,Granite,73,1,48,18,2,1,0,16,0,159,261
Southern Interior/Southern Interior,153,Nelson ,52,1,55,20,1,0,0,26,1,156,343
Southern Interior/Southern Interior,154,Procter,125,1,125,32,2,2,0,43,0,330,474
Southern Interior/Southern Interior,155,Nelson,67,0,61,15,0,1,0,25,1,170,306
Southern Interior/Southern Interior,156,Nelson,136,2,86,13,2,1,0,45,0,285,466
Southern Interior/Southern Interior,157,Nelson,119,0,103,11,1,2,1,45,1,283,410
Southern Interior/Southern Interior,158,Nelson,120,1,81,25,2,0,1,58,1,289,446
Southern Interior/Southern Interior,159,Nelson,131,2,83,31,0,1,1,38,1,288,513
Southern Interior/Southern Interior,160,Nelson,105,0,60,12,0,1,0,46,0,224,345
Southern Interior/Southern Interior,161,Nelson,67,3,18,27,0,2,1,22,0,140,295
Southern Interior/Southern Interior,162,Nelson,114,4,36,37,2,0,0,24,0,217,398
Southern Interior/Southern Interior,163,Nelson,93,0,39,28,0,0,0,15,0,175,310
Southern Interior/Southern Interior,164,Nelson,70,0,69,26,0,2,0,37,0,204,354
Southern Interior/Southern Interior,165,Nelson,140,2,61,40,0,0,0,41,1,285,411
Southern Interior/Southern Interior,166,Nelson,112,2,91,16,1,4,0,48,0,274,463
Southern Interior/Southern Interior,167,Nelson,106,0,54,31,0,0,0,32,2,225,365
Southern Interior/Southern Interior,168,Nelson,99,3,50,24,0,0,0,33,1,210,350
Southern Interior/Southern Interior,169,Nelson,118,0,43,23,0,0,0,32,1,217,349
Southern Interior/Southern Interior,170,Nelson,107,1,44,22,0,3,0,20,0,197,281
Southern Interior/Southern Interior,171,Nelson,110,1,58,24,0,2,1,42,0,238,478
Southern Interior/Southern Interior,172,Nelson,161,1,59,32,0,1,0,48,2,304,412
Southern Interior/Southern Interior,173A,Ootischenia,113,0,75,7,0,1,0,27,0,223,390
Southern Interior/Southern Interior,173B,Ootischenia,138,4,85,9,0,2,0,27,1,266,434
Southern Interior/Southern Interior,174,Erie,39,2,35,4,2,6,0,12,1,101,144
Southern Interior/Southern Interior,175,Ymir,85,4,27,34,1,3,0,16,0,170,213
Southern Interior/Southern Interior,176,Park Siding,45,2,39,11,0,0,0,5,0,102,178
Southern Interior/Southern Interior,177,Waneta Junction,46,2,23,5,0,1,0,14,0,91,144
Southern Interior/Southern Interior,178,Montrose,97,1,70,12,0,0,0,62,0,242,363
Southern Interior/Southern Interior,179,Montrose,82,2,59,6,0,0,0,34,0,183,251
Southern Interior/Southern Interior,180,Montrose,60,0,39,5,0,0,0,44,0,148,202
Southern Interior/Southern Interior,181,Fruitvale,72,2,82,13,0,0,1,33,0,203,287
Southern Interior/Southern Interior,182,Fruitvale,129,3,80,16,0,2,1,52,0,283,386
Southern Interior/Southern Interior,183A,Fruitvale,109,1,63,14,0,1,0,64,0,252,408
Southern Interior/Southern Interior,183B,Fruitvale,83,1,71,13,0,1,0,36,1,206,338
Southern Interior/Southern Interior,184,Fruitvale,108,2,71,15,0,3,0,42,1,242,379
Southern Interior/Southern Interior,185,Fruitvale,48,1,48,9,0,1,0,18,1,126,189
Southern Interior/Southern Interior,186,Fruitvale,118,2,89,7,0,1,1,31,0,249,359
Southern Interior/Southern Interior,187,Salmo,67,5,58,6,0,4,0,32,1,173,276
Southern Interior/Southern Interior,188,Salmo,66,1,83,12,0,5,0,30,1,198,278
Southern Interior/Southern Interior,189,Salmo,74,5,69,13,1,5,0,41,0,208,334
Southern Interior/Southern Interior,190,Salmo,85,1,103,11,0,2,1,35,0,238,397
Southern Interior/Southern Interior,500,Mobile poll/Bureau itinérant,4,1,15,0,0,0,0,9,0,29,40
Southern Interior/Southern Interior,501,Mobile poll/Bureau itinérant,15,0,17,2,1,0,0,13,2,50,93
Southern Interior/Southern Interior,502,Mobile poll/Bureau itinérant,5,0,22,5,2,3,0,20,2,59,75
Southern Interior/Southern Interior,503,Mobile poll/Bureau itinérant,6,0,21,5,0,5,0,16,0,53,60
Southern Interior/Southern Interior,504,Mobile poll/Bureau itinérant,10,0,10,4,0,3,0,5,1,33,63
Southern Interior/Southern Interior,505,Mobile poll/Bureau itinérant,8,0,6,2,0,0,0,4,1,21,29
Southern Interior/Southern Interior,506,Mobile poll/Bureau itinérant,9,0,14,6,1,2,1,15,0,48,85
Southern Interior/Southern Interior,600,Princeton,81,1,129,10,1,12,0,59,2,295,
Southern Interior/Southern Interior,601,Keremeos,46,4,143,20,1,4,0,39,1,258,
Southern Interior/Southern Interior,602,Oliver,53,1,251,23,2,3,0,77,2,412,
Southern Interior/Southern Interior,603,Osoyoos,80,5,299,27,0,16,0,98,0,525,
Southern Interior/Southern Interior,604,Grand Forks,148,4,214,22,2,2,1,76,0,469,
Southern Interior/Southern Interior,605,Central Kootenay--Rossland,51,0,51,35,1,2,0,46,0,186,
Southern Interior/Southern Interior,606,Appledale--Krestova,66,0,51,16,0,1,0,17,0,151,
Southern Interior/Southern Interior,607,Castlegar--Kootenay Boundary,206,4,203,25,0,3,0,62,2,505,
Southern Interior/Southern Interior,608,Kaslo--Slocan,96,4,188,57,0,1,0,78,1,425,
Southern Interior/Southern Interior,609,Central Kootenay--Nelson,225,2,191,62,1,4,2,90,3,580,
Southern Interior/Southern Interior,610,Salmo--Trail,185,5,237,37,1,6,0,161,1,633,
Southern Interior/Southern Interior,,Group 1/Groupe 1,17,6,26,6,1,2,1,10,1,70,141
Southern Interior/Southern Interior,,Group 2/Groupe 2,171,1,264,61,1,2,1,104,17,622,
