District,Poll Number,Poll Name,Rick Bonnett,Dale Johnston,Tom Lampman,Brent McKelvie,Tim Robson,Rejected Ballots,Total Vote,Electors
Wetaskiwin/Wetaskiwin,30,North Kavanagh,12,107,7,2,15,0,143,330
Wetaskiwin/Wetaskiwin,31,North Cloverlawn,7,158,16,1,9,0,191,304
Wetaskiwin/Wetaskiwin,32,West Kavanagh,18,141,21,1,4,0,185,285
Wetaskiwin/Wetaskiwin,33,East Kavanagh,21,113,10,2,5,0,151,197
Wetaskiwin/Wetaskiwin,34,Cloverlawn,15,123,14,0,13,0,165,225
Wetaskiwin/Wetaskiwin,35,Mulhurst,33,276,27,2,21,0,359,533
Wetaskiwin/Wetaskiwin,36,Port Bello,14,131,13,1,8,0,167,228
Wetaskiwin/Wetaskiwin,37,Millet,33,246,31,3,25,0,338,538
Wetaskiwin/Wetaskiwin,38,Millet,30,164,21,3,28,0,246,385
Wetaskiwin/Wetaskiwin,39A,Millet,28,137,15,2,20,0,202,464
Wetaskiwin/Wetaskiwin,39B,Millet,27,143,23,2,14,0,209,449
Wetaskiwin/Wetaskiwin,40,Millet,41,199,29,1,29,0,299,483
Wetaskiwin/Wetaskiwin,41,Millet,19,245,31,0,21,2,318,565
Wetaskiwin/Wetaskiwin,42,Wetaskiwin,19,192,23,4,16,2,256,384
Wetaskiwin/Wetaskiwin,43,Gwynne,26,189,21,1,19,0,256,430
Wetaskiwin/Wetaskiwin,44,Wetaskiwin,44,158,25,0,21,0,248,447
Wetaskiwin/Wetaskiwin,45,Wetaskiwin,36,169,11,2,20,1,239,438
Wetaskiwin/Wetaskiwin,46,Wetaskiwin,40,180,14,0,27,2,263,488
Wetaskiwin/Wetaskiwin,47,Wetaskiwin,21,87,11,3,10,1,133,289
Wetaskiwin/Wetaskiwin,48,Wetaskiwin,23,97,16,1,19,0,156,334
Wetaskiwin/Wetaskiwin,49,Wetaskiwin,25,82,18,2,22,0,149,340
Wetaskiwin/Wetaskiwin,50,Wetaskiwin,30,153,24,2,35,0,244,406
Wetaskiwin/Wetaskiwin,51,Wetaskiwin,16,125,12,3,15,0,171,371
Wetaskiwin/Wetaskiwin,52,Wetaskiwin,29,167,13,2,12,1,224,460
Wetaskiwin/Wetaskiwin,53,Wetaskiwin,30,120,2,0,22,0,174,360
Wetaskiwin/Wetaskiwin,54,Wetaskiwin,17,98,18,2,29,0,164,376
Wetaskiwin/Wetaskiwin,55,Wetaskiwin,22,137,11,1,19,0,190,393
Wetaskiwin/Wetaskiwin,56,Wetaskiwin,26,107,14,1,17,1,166,360
Wetaskiwin/Wetaskiwin,57,Wetaskiwin,38,132,8,0,30,1,209,434
Wetaskiwin/Wetaskiwin,58,Wetaskiwin,48,179,20,0,25,1,273,483
Wetaskiwin/Wetaskiwin,59,Wetaskiwin,39,159,11,0,13,0,222,436
Wetaskiwin/Wetaskiwin,60,Wetaskiwin,27,123,12,2,9,0,173,328
Wetaskiwin/Wetaskiwin,61A,Wetaskiwin,30,247,15,0,7,2,301,572
Wetaskiwin/Wetaskiwin,61B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,26
Wetaskiwin/Wetaskiwin,62,Wetaskiwin,33,185,20,2,23,2,265,450
Wetaskiwin/Wetaskiwin,63,Wetaskiwin,23,123,10,0,10,0,166,299
Wetaskiwin/Wetaskiwin,64,Brightview,20,139,14,3,10,1,187,268
Wetaskiwin/Wetaskiwin,65,Loneridge,26,181,14,1,16,0,238,335
Wetaskiwin/Wetaskiwin,66,Falun,19,140,10,0,16,0,185,267
Wetaskiwin/Wetaskiwin,67,Ma-Me-O Beach,28,118,14,1,16,0,177,372
Wetaskiwin/Wetaskiwin,68A,Lakedell,18,178,26,0,12,0,234,340
Wetaskiwin/Wetaskiwin,68B,Lakedell,36,156,18,3,14,0,227,323
Wetaskiwin/Wetaskiwin,69,Fletcher,12,147,6,0,10,0,175,235
Wetaskiwin/Wetaskiwin,70,Angus Ridge,23,122,5,0,5,1,156,205
Wetaskiwin/Wetaskiwin,71,Haultain,7,130,4,0,5,0,146,209
Wetaskiwin/Wetaskiwin,72,Mecca Glen East,12,71,11,0,0,0,94,150
Wetaskiwin/Wetaskiwin,73,Mecca Glen,30,230,9,1,11,0,281,361
Wetaskiwin/Wetaskiwin,74,Ponoka,53,236,14,3,19,0,325,464
Wetaskiwin/Wetaskiwin,75,Ponoka,39,134,14,9,12,0,208,291
Wetaskiwin/Wetaskiwin,76,Ponoka,29,47,17,5,13,3,114,161
Wetaskiwin/Wetaskiwin,77,Ponoka County No. 3,67,195,14,4,24,0,304,574
Wetaskiwin/Wetaskiwin,78,Ponoka County No. 3,22,133,9,3,17,0,184,365
Wetaskiwin/Wetaskiwin,79,Ponoka,66,184,12,5,35,1,303,496
Wetaskiwin/Wetaskiwin,80,Ponoka,41,142,14,3,11,1,212,402
Wetaskiwin/Wetaskiwin,81,Ponoka,60,184,9,2,20,0,275,457
Wetaskiwin/Wetaskiwin,82,Ponoka,73,201,14,4,12,1,305,500
Wetaskiwin/Wetaskiwin,83,Ponoka,46,161,18,8,16,0,249,437
Wetaskiwin/Wetaskiwin,84,Ponoka,28,91,9,6,12,2,148,337
Wetaskiwin/Wetaskiwin,85,Ponoka,20,46,5,4,3,2,80,179
Wetaskiwin/Wetaskiwin,86,Ponoka,44,148,9,1,14,1,217,418
Wetaskiwin/Wetaskiwin,87,Ponoka,37,127,10,0,17,3,194,423
Wetaskiwin/Wetaskiwin,88,Ponoka,42,132,5,1,14,1,195,337
Wetaskiwin/Wetaskiwin,89,Dakota,27,143,2,5,3,0,180,248
Wetaskiwin/Wetaskiwin,90,Ponoka,37,200,10,8,8,0,263,393
Wetaskiwin/Wetaskiwin,91,Ponoka,43,268,21,7,20,0,359,476
Wetaskiwin/Wetaskiwin,92,Crestomere,35,238,13,7,15,1,309,421
Wetaskiwin/Wetaskiwin,93,Homeglen,18,89,6,2,5,0,120,205
Wetaskiwin/Wetaskiwin,94,Iola,21,138,21,3,8,0,191,290
Wetaskiwin/Wetaskiwin,95,Bluffton,38,220,28,9,14,2,311,534
Wetaskiwin/Wetaskiwin,96,Last West,27,238,25,1,11,0,302,450
Wetaskiwin/Wetaskiwin,97,Rimbey,22,225,14,7,22,0,290,429
Wetaskiwin/Wetaskiwin,98,Rimbey,41,272,25,4,33,0,375,576
Wetaskiwin/Wetaskiwin,99,Rimbey,21,124,17,4,19,0,185,310
Wetaskiwin/Wetaskiwin,100,Rimbey,27,97,15,3,6,0,148,352
Wetaskiwin/Wetaskiwin,101A,Rimbey,9,89,13,1,9,0,121,332
Wetaskiwin/Wetaskiwin,101B,Rimbey,15,74,5,3,6,0,103,341
Wetaskiwin/Wetaskiwin,102,Rimbey,29,195,21,4,17,0,266,387
Wetaskiwin/Wetaskiwin,103,Bentley,21,259,16,2,13,1,312,459
Wetaskiwin/Wetaskiwin,104,Bentley,43,226,17,7,20,2,315,613
Wetaskiwin/Wetaskiwin,105,Bentley,29,153,15,4,26,0,227,376
Wetaskiwin/Wetaskiwin,106,Birchcliff,24,170,13,1,20,0,228,342
Wetaskiwin/Wetaskiwin,107,Eckville,15,204,17,3,15,0,254,475
Wetaskiwin/Wetaskiwin,108,Eckville,17,145,4,1,5,0,172,296
Wetaskiwin/Wetaskiwin,109,Eckville,16,175,12,1,15,1,220,516
Wetaskiwin/Wetaskiwin,110,Gilby,12,150,9,1,10,0,182,267
Wetaskiwin/Wetaskiwin,111,North Leslieville,10,141,4,1,9,0,165,231
Wetaskiwin/Wetaskiwin,112,Clearwater No. 99,9,187,10,2,10,0,218,306
Wetaskiwin/Wetaskiwin,113,Hespero,17,152,9,2,13,0,193,275
Wetaskiwin/Wetaskiwin,114,Leslieville,13,285,17,4,13,0,332,559
Wetaskiwin/Wetaskiwin,115,Clearwater No. 99,7,159,10,5,12,0,193,331
Wetaskiwin/Wetaskiwin,116,Condor,14,230,7,1,9,2,263,374
Wetaskiwin/Wetaskiwin,117,Bingley,19,268,20,9,19,0,335,636
Wetaskiwin/Wetaskiwin,118,Garth,29,428,19,6,20,1,503,755
Wetaskiwin/Wetaskiwin,119,Strachan,11,160,18,1,11,0,201,339
Wetaskiwin/Wetaskiwin,120,Dovercourt,11,179,13,0,3,0,206,331
Wetaskiwin/Wetaskiwin,121,Clearwater No. 99,12,255,11,0,17,0,295,517
Wetaskiwin/Wetaskiwin,122,Rocky Mountain House,39,194,7,1,18,0,259,512
Wetaskiwin/Wetaskiwin,123A,Rocky Mountain House,22,124,4,0,10,0,160,268
Wetaskiwin/Wetaskiwin,123B,Rocky Mountain House,23,127,12,3,12,2,179,303
Wetaskiwin/Wetaskiwin,124,Rocky Mountain House,18,148,11,3,19,0,199,442
Wetaskiwin/Wetaskiwin,125,Rocky Mountain House,31,164,14,3,19,0,231,515
Wetaskiwin/Wetaskiwin,126,Rocky Mountain House,19,144,11,0,20,0,194,397
Wetaskiwin/Wetaskiwin,127,Rocky Mountain House,14,144,17,4,27,0,206,477
Wetaskiwin/Wetaskiwin,128,Rocky Mountain House,14,101,12,4,17,0,148,464
Wetaskiwin/Wetaskiwin,129,Rocky Mountain House,18,122,13,2,9,1,165,428
Wetaskiwin/Wetaskiwin,130,Rocky Mountain House,11,70,7,1,11,1,101,224
Wetaskiwin/Wetaskiwin,131,Rocky Mountain House,18,132,11,1,12,1,175,400
Wetaskiwin/Wetaskiwin,132A,Rocky Mountain House,10,84,7,0,13,0,114,310
Wetaskiwin/Wetaskiwin,132B,Rocky Mountain House,13,91,13,2,13,2,134,346
Wetaskiwin/Wetaskiwin,133,Evergreen,21,225,7,2,4,0,259,375
Wetaskiwin/Wetaskiwin,134,Gull Lake,35,157,20,1,14,0,227,338
Wetaskiwin/Wetaskiwin,135,Lacombe,17,210,15,0,10,0,252,344
Wetaskiwin/Wetaskiwin,136,Lacombe,27,237,9,2,18,0,293,443
Wetaskiwin/Wetaskiwin,137,Blackfalds,18,270,12,5,21,0,326,498
Wetaskiwin/Wetaskiwin,138,Blackfalds,27,174,11,0,23,0,235,433
Wetaskiwin/Wetaskiwin,139,Blackfalds,34,248,16,3,25,1,327,570
Wetaskiwin/Wetaskiwin,140A,Blackfalds,20,150,14,4,15,2,205,558
Wetaskiwin/Wetaskiwin,140B,Blackfalds,12,132,7,1,20,1,173,575
Wetaskiwin/Wetaskiwin,141,Blackfalds,26,200,8,3,26,1,264,517
Wetaskiwin/Wetaskiwin,142,Joffre,20,158,10,1,10,0,199,353
Wetaskiwin/Wetaskiwin,143,Lacombe,8,222,8,3,18,0,259,362
Wetaskiwin/Wetaskiwin,144,Lacombe County,38,174,21,1,23,1,258,525
Wetaskiwin/Wetaskiwin,145,Lacombe,33,178,13,2,22,0,248,498
Wetaskiwin/Wetaskiwin,146,Lacombe,33,157,9,1,21,0,221,375
Wetaskiwin/Wetaskiwin,147,Lacombe,25,162,11,4,13,0,215,417
Wetaskiwin/Wetaskiwin,148,Lacombe,22,171,8,0,16,0,217,365
Wetaskiwin/Wetaskiwin,149A,Lacombe,13,108,10,3,18,0,152,315
Wetaskiwin/Wetaskiwin,149B,Lacombe,24,107,11,0,10,0,152,273
Wetaskiwin/Wetaskiwin,150,Lacombe,33,180,18,1,18,1,251,415
Wetaskiwin/Wetaskiwin,151A,Lacombe County,25,117,13,2,20,0,177,306
Wetaskiwin/Wetaskiwin,151B,Lacombe County,29,129,11,4,18,1,192,323
Wetaskiwin/Wetaskiwin,152,Lacombe,34,165,11,1,15,0,226,358
Wetaskiwin/Wetaskiwin,153,Lacombe,24,126,9,5,17,0,181,393
Wetaskiwin/Wetaskiwin,154,Lacombe,25,184,6,4,29,1,249,487
Wetaskiwin/Wetaskiwin,155,Lacombe,15,95,5,1,15,1,132,410
Wetaskiwin/Wetaskiwin,156,Lacombe,29,147,17,1,21,0,215,394
Wetaskiwin/Wetaskiwin,157,Lacombe,34,128,17,2,22,0,203,350
Wetaskiwin/Wetaskiwin,158,Lacombe,36,160,13,2,22,0,233,424
Wetaskiwin/Wetaskiwin,159,Lacombe,29,197,18,2,15,0,261,491
Wetaskiwin/Wetaskiwin,160,Lacombe,43,263,15,2,21,0,344,692
Wetaskiwin/Wetaskiwin,161,Tees,7,156,6,2,10,0,181,267
Wetaskiwin/Wetaskiwin,162,Clive,18,265,11,4,17,1,316,521
Wetaskiwin/Wetaskiwin,163,Haynes,17,140,9,1,10,0,177,286
Wetaskiwin/Wetaskiwin,164,Mirror,29,269,14,2,11,0,325,472
Wetaskiwin/Wetaskiwin,165,Mirror,32,138,18,10,17,0,215,378
Wetaskiwin/Wetaskiwin,166,Alix North,13,100,5,1,7,0,126,201
Wetaskiwin/Wetaskiwin,167,Alix South,17,160,12,0,21,0,210,349
Wetaskiwin/Wetaskiwin,168,Alix South Junction,22,168,11,4,10,2,217,467
Wetaskiwin/Wetaskiwin,169,Louis Bull 138B,40,6,3,0,8,0,57,333
Wetaskiwin/Wetaskiwin,170A,Ermineskin 138,68,9,10,1,6,1,95,366
Wetaskiwin/Wetaskiwin,170B,Ermineskin 138,55,7,5,1,9,0,77,264
Wetaskiwin/Wetaskiwin,171A,Samson,119,22,10,2,14,3,170,449
Wetaskiwin/Wetaskiwin,171B,Samson,120,14,8,2,14,1,159,432
Wetaskiwin/Wetaskiwin,172,Montana 139,13,1,0,0,1,0,15,46
Wetaskiwin/Wetaskiwin,500,Mobile poll/Bureau itinérant,9,46,6,3,5,0,69,188
Wetaskiwin/Wetaskiwin,501,Mobile poll/Bureau itinérant,8,89,5,0,5,4,111,195
Wetaskiwin/Wetaskiwin,502,Mobile poll/Bureau itinérant,11,39,4,0,4,0,58,188
Wetaskiwin/Wetaskiwin,503,Mobile poll/Bureau itinérant,5,66,9,0,5,1,86,175
Wetaskiwin/Wetaskiwin,600,Breton,11,140,11,2,11,1,176,
Wetaskiwin/Wetaskiwin,601,Calmar,26,197,11,0,25,1,260,
Wetaskiwin/Wetaskiwin,602,Wetaskiwin,63,341,21,0,27,1,453,
Wetaskiwin/Wetaskiwin,603,Wetaskiwin Rural,13,225,15,0,14,0,267,
Wetaskiwin/Wetaskiwin,604,Hobbema,12,1,1,0,1,1,16,
Wetaskiwin/Wetaskiwin,605,Ponoka,50,250,10,3,18,0,331,
Wetaskiwin/Wetaskiwin,606,Rimbey,29,320,17,5,18,3,392,
Wetaskiwin/Wetaskiwin,607,Rocky Mountain House,36,387,35,2,39,0,499,
Wetaskiwin/Wetaskiwin,608,Lacombe Urban,43,320,20,2,22,2,409,
Wetaskiwin/Wetaskiwin,609,Lacombe Rural,20,195,5,2,18,0,240,
Wetaskiwin/Wetaskiwin,,Group 1/Groupe 1,29,38,9,1,11,3,91,138
Wetaskiwin/Wetaskiwin,,Group 2/Groupe 2,86,357,30,0,40,10,523,
