District,Poll Number,Poll Name,Raymond Chan,Dale Jackaman,Stephen H.F. Kronstein,Allan Warnke,Alice Wong,Rejected Ballots,Total Vote,Electors
Richmond/Richmond,62A,Richmond,Merged with No. 66A,,,,,,,186
Richmond/Richmond,62B,Richmond,94,30,7,5,83,2,221,440
Richmond/Richmond,63,Richmond,76,24,7,2,81,1,191,341
Richmond/Richmond,64,Richmond,117,66,14,2,107,0,306,579
Richmond/Richmond,65,Richmond,108,41,12,1,68,1,231,474
Richmond/Richmond,66A,Richmond,103,42,8,1,73,2,229,251
Richmond/Richmond,66B,Mobile poll/Bureau itinérant,Merged with No. 19B,,,,,,,27
Richmond/Richmond,67,Richmond,107,10,1,2,53,2,175,447
Richmond/Richmond,68,Richmond,71,24,7,3,46,0,151,386
Richmond/Richmond,69,Richmond,42,32,8,2,35,0,119,305
Richmond/Richmond,70,Richmond,127,11,3,1,71,5,218,631
Richmond/Richmond,71,Richmond,98,15,7,5,51,3,179,469
Richmond/Richmond,72,Richmond,63,34,11,2,36,0,146,386
Richmond/Richmond,73,Richmond,116,51,9,2,101,4,283,429
Richmond/Richmond,74,Richmond,100,42,17,1,66,5,231,509
Richmond/Richmond,75A,Richmond,Merged with No. 73,,,,,,,103
Richmond/Richmond,75B,Richmond,77,49,17,1,95,2,241,538
Richmond/Richmond,76,Richmond,69,36,12,0,57,3,177,387
Richmond/Richmond,77,Richmond,115,43,12,0,70,0,240,539
Richmond/Richmond,78,Richmond,85,57,15,1,64,3,225,469
Richmond/Richmond,79,Richmond,135,32,6,1,99,3,276,602
Richmond/Richmond,80,Richmond,57,14,12,1,52,1,137,325
Richmond/Richmond,81,Richmond,92,17,1,0,70,0,180,406
Richmond/Richmond,82,Richmond,108,23,12,0,65,0,208,514
Richmond/Richmond,83,Richmond,81,43,15,4,62,2,207,354
Richmond/Richmond,84,Richmond,84,23,6,1,72,1,187,359
Richmond/Richmond,85,Richmond,121,36,12,2,85,0,256,581
Richmond/Richmond,86,Richmond,110,17,3,1,51,3,185,473
Richmond/Richmond,87,Richmond,74,23,4,0,62,4,167,477
Richmond/Richmond,88,Richmond,157,29,6,2,89,1,284,586
Richmond/Richmond,89,Richmond,77,35,8,2,60,0,182,361
Richmond/Richmond,90,Richmond,109,38,7,4,69,2,229,480
Richmond/Richmond,91,Richmond,96,30,7,2,65,1,201,422
Richmond/Richmond,92,Richmond,86,33,9,0,81,1,210,588
Richmond/Richmond,93,Richmond,152,54,12,1,75,0,294,603
Richmond/Richmond,94,Richmond,132,26,5,0,80,4,247,544
Richmond/Richmond,95,Richmond,155,16,11,0,95,3,280,544
Richmond/Richmond,96,Richmond,56,21,2,0,60,1,140,328
Richmond/Richmond,97,Richmond,67,39,6,2,42,0,156,363
Richmond/Richmond,98,Richmond,Void,,,,,,,
Richmond/Richmond,99,Richmond,42,55,27,2,49,0,175,377
Richmond/Richmond,100A,Richmond,82,31,7,0,45,0,165,492
Richmond/Richmond,100B,Richmond,96,25,6,4,48,0,179,321
Richmond/Richmond,101,Richmond,Merged with No. 100B,,,,,,,170
Richmond/Richmond,102,Richmond,107,21,9,2,45,2,186,485
Richmond/Richmond,103,Richmond,77,37,7,1,75,1,198,536
Richmond/Richmond,104,Richmond,60,26,8,1,30,2,127,298
Richmond/Richmond,105,Richmond,171,26,10,1,102,0,310,623
Richmond/Richmond,106,Richmond,98,34,7,1,87,3,230,494
Richmond/Richmond,107,Richmond,153,38,18,3,100,4,316,601
Richmond/Richmond,108,Richmond,130,29,11,1,115,0,286,602
Richmond/Richmond,109,Richmond,140,19,14,0,89,0,262,462
Richmond/Richmond,110,Richmond,143,14,12,2,104,0,275,529
Richmond/Richmond,111,Richmond,159,35,8,0,126,1,329,538
Richmond/Richmond,112,Richmond,90,59,6,5,76,1,237,413
Richmond/Richmond,113,Richmond,109,44,12,2,64,2,233,360
Richmond/Richmond,114,Richmond,138,56,15,5,68,2,284,449
Richmond/Richmond,115,Richmond,90,49,16,6,76,1,238,389
Richmond/Richmond,116,Richmond,91,54,7,1,51,2,206,383
Richmond/Richmond,117,Richmond,161,67,29,6,114,0,377,547
Richmond/Richmond,118,Richmond,101,62,11,2,86,1,263,480
Richmond/Richmond,119,Richmond,57,41,11,2,59,0,170,370
Richmond/Richmond,120,Richmond,97,41,15,5,65,0,223,375
Richmond/Richmond,121,Richmond,113,41,7,2,105,3,271,493
Richmond/Richmond,122,Richmond,121,31,10,2,102,1,267,614
Richmond/Richmond,123,Richmond,108,67,17,3,63,1,259,443
Richmond/Richmond,124,Richmond,109,73,13,5,64,2,266,462
Richmond/Richmond,125,Richmond,79,15,8,1,81,2,186,331
Richmond/Richmond,126,Richmond,151,37,16,3,120,1,328,577
Richmond/Richmond,127,Richmond,143,14,14,1,110,2,284,543
Richmond/Richmond,128,Richmond,148,17,8,1,101,3,278,343
Richmond/Richmond,129,Richmond,66,5,1,5,72,0,149,285
Richmond/Richmond,130,Richmond,131,16,12,4,117,0,280,503
Richmond/Richmond,131A,Richmond,Merged with No. 128,,,,,,,145
Richmond/Richmond,131B,Richmond,143,24,10,0,104,0,281,476
Richmond/Richmond,132,Richmond,139,44,15,2,102,1,303,548
Richmond/Richmond,133,Richmond,116,32,8,4,94,3,257,553
Richmond/Richmond,134,Richmond,128,26,6,3,99,0,262,553
Richmond/Richmond,135,Richmond,112,15,10,1,78,0,216,433
Richmond/Richmond,136,Richmond,105,38,14,2,84,2,245,522
Richmond/Richmond,137,Richmond,114,29,5,12,113,3,276,563
Richmond/Richmond,138,Richmond,117,27,9,1,85,1,240,483
Richmond/Richmond,139,Richmond,102,52,14,5,99,4,276,439
Richmond/Richmond,140,Richmond,82,66,8,5,80,1,242,375
Richmond/Richmond,141,Richmond,137,90,12,6,85,0,330,585
Richmond/Richmond,142,Richmond,94,65,10,3,71,2,245,470
Richmond/Richmond,143,Richmond,122,35,16,1,101,1,276,525
Richmond/Richmond,144,Richmond,108,50,13,0,87,1,259,428
Richmond/Richmond,145,Richmond,87,48,8,4,74,0,221,426
Richmond/Richmond,146,Richmond,161,33,10,1,95,1,301,557
Richmond/Richmond,147,Richmond,147,59,13,5,122,4,350,568
Richmond/Richmond,148,Richmond,117,37,11,2,66,1,234,431
Richmond/Richmond,149,Richmond,166,29,16,0,98,0,309,506
Richmond/Richmond,150,Richmond,128,28,10,4,114,1,285,520
Richmond/Richmond,151,Richmond,110,30,16,0,90,2,248,453
Richmond/Richmond,152,Richmond,129,48,12,3,88,1,281,515
Richmond/Richmond,153,Richmond,99,28,5,1,77,3,213,422
Richmond/Richmond,154,Richmond,97,37,13,3,87,1,238,443
Richmond/Richmond,155,Richmond,70,25,6,2,75,2,180,353
Richmond/Richmond,156,Richmond,128,35,13,1,79,1,257,459
Richmond/Richmond,157,Richmond,94,20,2,1,58,2,177,352
Richmond/Richmond,158,Richmond,84,37,9,0,72,0,202,351
Richmond/Richmond,159,Richmond,90,10,4,3,77,1,185,354
Richmond/Richmond,160,Richmond,62,25,7,23,57,1,175,305
Richmond/Richmond,500,Mobile poll/Bureau itinérant,18,25,1,5,21,2,72,267
Richmond/Richmond,501,Mobile poll/Bureau itinérant,45,22,4,0,36,1,108,131
Richmond/Richmond,600,Richmond,173,44,12,1,218,0,448,
Richmond/Richmond,601,Richmond,164,62,15,1,229,1,472,
Richmond/Richmond,602,Richmond,212,77,12,1,304,0,606,
Richmond/Richmond,603,Richmond,198,66,14,11,190,5,484,
Richmond/Richmond,604,Richmond,225,49,11,5,256,1,547,
Richmond/Richmond,605,Richmond,269,75,12,3,227,2,588,
Richmond/Richmond,606,Richmond,174,44,17,5,166,4,410,
Richmond/Richmond,,Group 1/Groupe 1,18,10,5,0,21,3,57,100
Richmond/Richmond,,Group 2/Groupe 2,344,98,32,3,252,9,738,
