District,Poll Number,Poll Name,Dennis Bevington,Ethel Blondin-Andrew,Sean Mandeville,Chris O'Brien,Rejected Ballots,Total Vote,Electors
Western Arctic/Western Arctic,49,Yellowknife,66,39,22,8,0,135,438
Western Arctic/Western Arctic,50,Yellowknife,68,34,24,7,2,135,450
Western Arctic/Western Arctic,51,Yellowknife,71,31,34,6,2,144,469
Western Arctic/Western Arctic,52,Yellowknife,71,37,21,8,0,137,398
Western Arctic/Western Arctic,53,Yellowknife,64,64,41,8,1,178,431
Western Arctic/Western Arctic,54,Yellowknife,65,46,27,10,1,149,410
Western Arctic/Western Arctic,55,Yellowknife,91,58,37,6,0,192,423
Western Arctic/Western Arctic,56,Yellowknife,118,38,40,7,0,203,397
Western Arctic/Western Arctic,57,Yellowknife,104,61,34,17,2,218,431
Western Arctic/Western Arctic,58,Yellowknife,81,43,27,19,0,170,461
Western Arctic/Western Arctic,59,Yellowknife,43,45,21,8,0,117,361
Western Arctic/Western Arctic,60,Yellowknife,116,84,41,24,2,267,554
Western Arctic/Western Arctic,61,Yellowknife,45,35,14,8,0,102,291
Western Arctic/Western Arctic,62,Yellowknife,71,36,32,14,1,154,322
Western Arctic/Western Arctic,63,Yellowknife,136,53,29,18,0,236,410
Western Arctic/Western Arctic,64,Yellowknife,123,83,31,23,0,260,520
Western Arctic/Western Arctic,65,Yellowknife,58,31,18,4,0,111,343
Western Arctic/Western Arctic,66,Detah,12,43,10,0,0,65,131
Western Arctic/Western Arctic,67,Kakisa,4,29,2,0,0,35,43
Western Arctic/Western Arctic,68,Enterprise,14,10,11,1,0,36,64
Western Arctic/Western Arctic,69,Hay River,69,57,53,1,1,181,466
Western Arctic/Western Arctic,70A,Hay River,Merged with No. 73A,,,,,,177
Western Arctic/Western Arctic,70B,Hay River,Merged with No. 73B,,,,,,173
Western Arctic/Western Arctic,71,Hay River,106,106,84,15,0,311,667
Western Arctic/Western Arctic,72,Hay River,57,66,60,7,2,192,399
Western Arctic/Western Arctic,73A,Hay River,94,92,72,8,2,268,399
Western Arctic/Western Arctic,73B,Hay River,84,75,82,8,2,251,402
Western Arctic/Western Arctic,74,Hay River,7,44,6,1,0,58,185
Western Arctic/Western Arctic,75,Fort Resolution,50,95,15,2,1,163,390
Western Arctic/Western Arctic,76,Fort Smith,101,51,12,1,0,165,326
Western Arctic/Western Arctic,77,Fort Smith,146,84,22,2,2,256,509
Western Arctic/Western Arctic,78,Fort Smith,57,46,13,1,0,117,256
Western Arctic/Western Arctic,79,Fort Smith,115,60,15,3,0,193,403
Western Arctic/Western Arctic,80,Fort Smith,121,50,18,3,1,193,354
Western Arctic/Western Arctic,81,Lutselk'e,24,46,3,2,0,75,225
Western Arctic/Western Arctic,600,Mould Bay,2,4,0,0,0,6,
Western Arctic/Western Arctic,601,Mould Bay,25,28,25,7,0,85,
Western Arctic/Western Arctic,602,Mould Bay,16,21,11,1,2,51,
Western Arctic/Western Arctic,603,Mould Bay,8,6,2,2,0,18,
Western Arctic/Western Arctic,604,Mould Bay,204,152,147,37,1,541,
Western Arctic/Western Arctic,605,Mould Bay,33,21,33,6,0,93,
Western Arctic/Western Arctic,606,Mould Bay,53,30,11,7,1,102,
Western Arctic/Western Arctic,,Group 1/Groupe 1,39,67,15,6,6,133,177
Western Arctic/Western Arctic,,Group 2/Groupe 2,129,141,77,20,1,368,
