District,Poll Number,Poll Name,Peter Crossley,Noel Lapierre,Rob Merrifield,Eric Stieglitz,Jacob Strydhorst,Rejected Ballots,Total Vote,Electors
Yellowhead/Yellowhead,89,Hinton,18,38,146,9,2,2,215,396
Yellowhead/Yellowhead,90,Hinton,17,20,105,4,0,0,146,279
Yellowhead/Yellowhead,91,Hinton,21,23,78,5,1,0,128,308
Yellowhead/Yellowhead,92,Hinton,25,33,100,12,4,0,174,303
Yellowhead/Yellowhead,93,Hinton,22,42,52,4,2,1,123,302
Yellowhead/Yellowhead,94,Hinton,21,27,60,4,2,1,115,277
Yellowhead/Yellowhead,95,Hinton,15,15,33,6,1,2,72,292
Yellowhead/Yellowhead,96,Hinton,11,40,104,2,2,0,159,373
Yellowhead/Yellowhead,97,Hinton,19,11,53,4,1,0,88,226
Yellowhead/Yellowhead,98,Ansell,7,15,117,13,4,0,156,260
Yellowhead/Yellowhead,99,Yates,12,22,160,9,1,1,205,308
Yellowhead/Yellowhead,100,Ansell,12,9,119,2,0,0,142,235
Yellowhead/Yellowhead,101,Marlboro,11,27,93,7,0,0,138,212
Yellowhead/Yellowhead,102,Bickerdike,16,20,132,6,1,0,175,276
Yellowhead/Yellowhead,103,Wolf Creek,12,20,121,4,0,0,157,281
Yellowhead/Yellowhead,104,Robb,15,9,54,9,0,0,87,183
Yellowhead/Yellowhead,105,Wolf Lake,0,0,0,0,0,4,4,4
Yellowhead/Yellowhead,106,Nordegg (Brazeau),Void,,,,,,,
Yellowhead/Yellowhead,107,Edson,21,23,120,8,2,0,174,371
Yellowhead/Yellowhead,108,Edson,18,20,158,9,0,0,205,549
Yellowhead/Yellowhead,109,Edson,21,14,128,10,2,0,175,329
Yellowhead/Yellowhead,110,Edson,15,14,161,6,2,0,198,345
Yellowhead/Yellowhead,111,Edson,18,19,130,19,1,0,187,464
Yellowhead/Yellowhead,112,Edson,31,19,144,14,1,0,209,417
Yellowhead/Yellowhead,113,Edson,34,25,126,2,1,1,189,404
Yellowhead/Yellowhead,114,Edson,16,23,85,11,4,0,139,325
Yellowhead/Yellowhead,115,Edson,20,27,178,12,4,0,241,478
Yellowhead/Yellowhead,116,Edson,20,18,69,9,0,0,116,311
Yellowhead/Yellowhead,117,Edson,12,15,106,5,1,1,140,420
Yellowhead/Yellowhead,118A,Edson,17,19,129,10,3,1,179,448
Yellowhead/Yellowhead,118B,Edson,19,14,133,13,0,0,179,420
Yellowhead/Yellowhead,119,Edson,13,13,108,11,1,0,146,317
Yellowhead/Yellowhead,120,Edson,17,22,118,13,1,0,171,406
Yellowhead/Yellowhead,121,Haddock,8,19,137,8,6,0,178,235
Yellowhead/Yellowhead,122,McLeod Valley,11,14,113,4,3,0,145,227
Yellowhead/Yellowhead,123,Peers,10,12,179,17,3,2,223,395
Yellowhead/Yellowhead,124,Ansell,10,25,151,10,1,0,197,285
Yellowhead/Yellowhead,125,Carrot Creek,11,13,149,13,5,0,191,290
Yellowhead/Yellowhead,126,Niton Junction,7,15,101,6,10,0,139,214
Yellowhead/Yellowhead,127,MacKay,16,18,132,13,4,1,184,353
Yellowhead/Yellowhead,128,Ravine,15,13,89,6,6,0,129,189
Yellowhead/Yellowhead,129,Wildwood,10,12,106,10,1,1,140,224
Yellowhead/Yellowhead,130,Wildwood,25,25,149,18,2,0,219,416
Yellowhead/Yellowhead,131,Styal,17,18,157,8,0,2,202,329
Yellowhead/Yellowhead,132,Evansburg,22,11,128,4,1,0,166,218
Yellowhead/Yellowhead,133,Mayerthorpe,17,27,189,5,2,0,240,390
Yellowhead/Yellowhead,134A,Mayerthorpe,23,28,200,22,1,3,277,580
Yellowhead/Yellowhead,134B,Mayerthorpe,18,27,170,8,8,1,232,532
Yellowhead/Yellowhead,135,Mayerthorpe,9,20,109,3,2,2,145,255
Yellowhead/Yellowhead,136,Rochfort Bridge,18,12,102,8,5,1,146,252
Yellowhead/Yellowhead,137,Sangudo,17,31,164,5,4,0,221,337
Yellowhead/Yellowhead,138,Sangudo,29,31,206,22,5,1,294,524
Yellowhead/Yellowhead,139,Stanger,9,7,62,5,0,0,83,111
Yellowhead/Yellowhead,140,Cherhill,18,25,123,11,6,0,183,369
Yellowhead/Yellowhead,141,Glenevis,20,16,173,10,5,1,225,345
Yellowhead/Yellowhead,142,Rich Valley,25,25,190,13,4,0,257,386
Yellowhead/Yellowhead,143,Noyes Crossing,14,11,80,9,0,0,114,177
Yellowhead/Yellowhead,144,Noyes Crossing,17,23,103,11,4,0,158,270
Yellowhead/Yellowhead,145,Onoway,28,17,212,17,2,1,277,516
Yellowhead/Yellowhead,146,Ross Haven,30,30,159,23,4,0,246,544
Yellowhead/Yellowhead,147,Alexis 133,132,8,15,4,1,1,161,396
Yellowhead/Yellowhead,148,Darwell,34,18,171,12,2,0,237,339
Yellowhead/Yellowhead,149,Ross Haven,33,17,137,21,1,0,209,487
Yellowhead/Yellowhead,150,Lac Ste. Anne,26,23,98,20,4,0,171,337
Yellowhead/Yellowhead,151,Lac Ste. Anne,28,12,86,19,6,0,151,324
Yellowhead/Yellowhead,152A,Lac Ste. Anne ,33,31,139,13,1,0,217,442
Yellowhead/Yellowhead,152B,Lac Ste. Anne ,33,28,134,7,3,0,205,430
Yellowhead/Yellowhead,153,Alberta Beach,13,9,73,7,1,0,103,162
Yellowhead/Yellowhead,154,Alberta Beach,23,17,109,8,1,0,158,332
Yellowhead/Yellowhead,155A,Onoway,20,34,112,13,2,0,181,459
Yellowhead/Yellowhead,155B,Onoway,23,28,121,23,1,0,196,469
Yellowhead/Yellowhead,155C,Onoway,22,21,154,15,6,0,218,480
Yellowhead/Yellowhead,156,Bilby,16,15,56,3,0,0,90,297
Yellowhead/Yellowhead,157,Entwistle,28,33,182,10,6,1,260,487
Yellowhead/Yellowhead,158,Evansburg,27,33,207,13,7,0,287,693
Yellowhead/Yellowhead,159,Entwistle,13,11,81,12,2,1,120,175
Yellowhead/Yellowhead,160,Fallis,42,27,163,14,3,1,250,410
Yellowhead/Yellowhead,161,Kapasiwin,43,22,134,18,9,0,226,308
Yellowhead/Yellowhead,162,Smithfield,10,9,78,16,2,0,115,185
Yellowhead/Yellowhead,163,Smithfield,10,12,59,11,0,0,92,177
Yellowhead/Yellowhead,164,Manly Corner,26,28,120,8,6,1,189,249
Yellowhead/Yellowhead,165,Manly Corner,13,23,95,17,0,0,148,208
Yellowhead/Yellowhead,166A,Betula Beach,22,32,193,22,7,2,278,560
Yellowhead/Yellowhead,166B,Betula Beach,22,33,192,23,7,1,278,613
Yellowhead/Yellowhead,167,Carvel,23,22,186,12,1,2,246,485
Yellowhead/Yellowhead,168,Betula Beach,17,24,167,19,1,0,228,333
Yellowhead/Yellowhead,169,Wabamun 133A,14,7,63,14,3,0,101,471
Yellowhead/Yellowhead,170,Wabamun,28,55,214,27,4,2,330,588
Yellowhead/Yellowhead,171,Seba Beach,34,23,211,14,0,1,283,449
Yellowhead/Yellowhead,172,Horen,14,9,94,7,1,0,125,193
Yellowhead/Yellowhead,173,Moon Lake,10,18,172,8,0,0,208,309
Yellowhead/Yellowhead,174,Tomahawk,19,13,156,14,4,0,206,367
Yellowhead/Yellowhead,175,Keephills,2,5,66,0,0,0,73,143
Yellowhead/Yellowhead,176,Brightbank,27,22,187,20,3,0,259,366
Yellowhead/Yellowhead,177,Cynthia,16,9,98,13,2,0,138,278
Yellowhead/Yellowhead,178,Cynthia,13,14,156,8,3,0,194,309
Yellowhead/Yellowhead,179,Rocky Rapids,18,25,268,9,4,0,324,510
Yellowhead/Yellowhead,180,Drayton Valley,17,21,187,7,3,0,235,430
Yellowhead/Yellowhead,181,Drayton Valley,11,14,194,15,1,0,235,386
Yellowhead/Yellowhead,182,Drayton Valley,8,12,76,7,1,0,104,328
Yellowhead/Yellowhead,183,Violet Grove,8,14,236,6,1,0,265,414
Yellowhead/Yellowhead,184,Baptiste River,0,0,0,0,0,0,0,2
Yellowhead/Yellowhead,185,Sunchild 202,32,4,4,3,0,0,43,153
Yellowhead/Yellowhead,186,O'Chiese 203,67,5,2,0,0,1,75,235
Yellowhead/Yellowhead,187,Drayton Valley,16,15,118,5,4,0,158,572
Yellowhead/Yellowhead,188,Drayton Valley,19,20,117,3,4,0,163,291
Yellowhead/Yellowhead,189,Drayton Valley,15,17,126,12,3,2,175,444
Yellowhead/Yellowhead,190,Drayton Valley,33,31,189,18,0,0,271,458
Yellowhead/Yellowhead,191A,Drayton Valley,10,13,104,7,0,2,136,312
Yellowhead/Yellowhead,191B,Drayton Valley,7,7,100,7,1,1,123,263
Yellowhead/Yellowhead,192,Drayton Valley,19,20,188,13,4,1,245,440
Yellowhead/Yellowhead,193,Drayton Valley,18,13,129,7,3,0,170,362
Yellowhead/Yellowhead,194,Drayton Valley,23,9,134,14,3,1,184,416
Yellowhead/Yellowhead,195,Drayton Valley,16,10,85,5,0,0,116,322
Yellowhead/Yellowhead,196,Drayton Valley,7,11,98,6,1,0,123,293
Yellowhead/Yellowhead,197,Drayton Valley,16,17,98,8,0,0,139,323
Yellowhead/Yellowhead,198,Drayton Valley,16,15,156,3,1,0,191,317
Yellowhead/Yellowhead,400,Jasper Park Lodge,9,9,7,14,1,0,40,77
Yellowhead/Yellowhead,500,Mobile poll/Bureau itinérant,8,3,30,1,1,0,43,58
Yellowhead/Yellowhead,501,Mobile poll/Bureau itinérant,9,11,97,3,9,2,131,271
Yellowhead/Yellowhead,502,Mobile poll/Bureau itinérant,7,1,35,2,0,1,46,53
Yellowhead/Yellowhead,503,Mobile poll/Bureau itinérant,11,5,29,1,2,1,49,80
Yellowhead/Yellowhead,504,Mobile poll/Bureau itinérant,13,4,55,2,0,1,75,105
Yellowhead/Yellowhead,505,Mobile poll/Bureau itinérant,13,8,21,1,1,0,44,52
Yellowhead/Yellowhead,600,Grande Cache--Greenview No. 16,31,26,107,5,4,0,173,
Yellowhead/Yellowhead,601,Fox Creek--Greenview No. 16,2,6,76,2,2,0,88,
Yellowhead/Yellowhead,602,Big Lakes--Swan Hills,4,4,47,2,1,0,58,
Yellowhead/Yellowhead,603,Woodlands County,7,8,119,9,2,0,145,
Yellowhead/Yellowhead,604,Whitecourt,30,22,197,13,1,0,263,
Yellowhead/Yellowhead,605,Barrhead County No. 11,24,13,278,15,18,0,348,
Yellowhead/Yellowhead,606,Jasper,52,73,89,40,2,0,256,
Yellowhead/Yellowhead,607,Old Entrance,7,9,28,4,0,0,48,
Yellowhead/Yellowhead,608,Hinton,72,62,244,25,3,1,407,
Yellowhead/Yellowhead,609,Yellowhead County,11,6,85,4,2,1,109,
Yellowhead/Yellowhead,610,Edson,38,27,194,11,3,1,274,
Yellowhead/Yellowhead,611,Yellowhead County,7,6,95,6,3,0,117,
Yellowhead/Yellowhead,612,Lac Ste. Anne County,49,42,365,34,3,0,493,
Yellowhead/Yellowhead,613,Parkland County--Wabamun 133A,24,29,207,18,3,0,281,
Yellowhead/Yellowhead,614,Brazeau County--O'Chiese 203,17,11,112,5,2,0,147,
Yellowhead/Yellowhead,615,Drayton Valley,16,22,162,13,2,0,215,
Yellowhead/Yellowhead,,Group 1/Groupe 1,23,10,38,6,3,2,82,136
Yellowhead/Yellowhead,,Group 2/Groupe 2,48,47,329,23,8,1,456,
