District,Poll Number,Poll Name,Jovette Cyr,Jean-Claude J.C. D'Amours,Rodolphe Martin,Benoit Violette,Rejected Ballots,Total Vote,Electors
Madawaska--Restigouche/Madawaska--Restigouche,104,Edmundston,5,25,18,35,2,85,272
Madawaska--Restigouche/Madawaska--Restigouche,105,Edmundston,3,77,39,29,3,151,348
Madawaska--Restigouche/Madawaska--Restigouche,106,Edmundston,7,79,43,54,11,194,424
Madawaska--Restigouche/Madawaska--Restigouche,107,Edmundston,4,69,27,55,4,159,331
Madawaska--Restigouche/Madawaska--Restigouche,108,Edmundston,1,51,16,35,1,104,217
Madawaska--Restigouche/Madawaska--Restigouche,109,Edmundston,0,116,36,51,3,206,396
Madawaska--Restigouche/Madawaska--Restigouche,110,Edmundston,5,101,46,45,8,205,489
Madawaska--Restigouche/Madawaska--Restigouche,111,Edmundston,2,47,22,37,3,111,447
Madawaska--Restigouche/Madawaska--Restigouche,112,Edmundston,3,68,34,49,1,155,355
Madawaska--Restigouche/Madawaska--Restigouche,113,Edmundston,6,76,37,45,5,169,347
Madawaska--Restigouche/Madawaska--Restigouche,114,Edmundston,7,89,49,43,7,195,427
Madawaska--Restigouche/Madawaska--Restigouche,115,Edmundston,10,56,30,49,2,147,323
Madawaska--Restigouche/Madawaska--Restigouche,116,Edmundston,4,41,21,29,6,101,268
Madawaska--Restigouche/Madawaska--Restigouche,117,Rivière-Verte,3,60,37,29,5,134,329
Madawaska--Restigouche/Madawaska--Restigouche,118,Rivière-Verte,1,23,30,16,9,79,196
Madawaska--Restigouche/Madawaska--Restigouche,119,Rivière-Verte,4,90,55,63,9,221,455
Madawaska--Restigouche/Madawaska--Restigouche,120,Rivière-Verte,4,69,67,51,8,199,381
Madawaska--Restigouche/Madawaska--Restigouche,121A,Saint-Basile,6,42,37,40,10,135,305
Madawaska--Restigouche/Madawaska--Restigouche,121B,Saint-Basile,7,33,26,24,2,92,226
Madawaska--Restigouche/Madawaska--Restigouche,122,Saint-Basile,6,65,48,38,10,167,353
Madawaska--Restigouche/Madawaska--Restigouche,123,Edmundston,4,85,53,46,4,192,410
Madawaska--Restigouche/Madawaska--Restigouche,124,Edmundston,5,43,28,29,9,114,179
