District,Poll Number,Poll Name,Andrew Faust,Tony J. Karadimas,Jim Karygiannis,D'Arcy Palmer,Wayne Yeechong,Rejected Ballots,Total Vote,Electors
Scarborough--Agincourt/Scarborough--Agincourt,95,Scarborough,20,2,68,9,3,1,103,237
Scarborough--Agincourt/Scarborough--Agincourt,96,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,97,Scarborough,112,6,304,32,3,0,457,853
Scarborough--Agincourt/Scarborough--Agincourt,98,Scarborough,28,5,109,37,3,4,186,527
Scarborough--Agincourt/Scarborough--Agincourt,99,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,100,Scarborough,51,7,153,35,0,1,247,541
Scarborough--Agincourt/Scarborough--Agincourt,101,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,102,Scarborough,24,2,85,30,4,2,147,443
Scarborough--Agincourt/Scarborough--Agincourt,103,Scarborough,20,5,113,36,3,1,178,426
Scarborough--Agincourt/Scarborough--Agincourt,104,Scarborough,47,7,133,26,6,1,220,487
Scarborough--Agincourt/Scarborough--Agincourt,105,Scarborough,67,8,134,16,7,2,234,351
Scarborough--Agincourt/Scarborough--Agincourt,106,Scarborough,77,7,127,34,5,2,252,389
Scarborough--Agincourt/Scarborough--Agincourt,107,Scarborough,59,5,176,36,9,3,288,612
Scarborough--Agincourt/Scarborough--Agincourt,108,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,109,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,110,Scarborough,75,5,166,25,3,2,276,427
Scarborough--Agincourt/Scarborough--Agincourt,111,Scarborough,44,2,160,12,4,1,223,407
Scarborough--Agincourt/Scarborough--Agincourt,112,Scarborough,53,8,141,33,8,3,246,349
Scarborough--Agincourt/Scarborough--Agincourt,113,Scarborough,78,4,169,33,15,3,302,529
Scarborough--Agincourt/Scarborough--Agincourt,114,Scarborough,62,6,180,28,5,5,286,464
