District,Poll Number,Poll Name,Mélanie Archambault,Marc-André Gadoury,Robert Lanctôt,Denise Poirier-Rivard,Rosaire Turcot,Rejected Ballots,Total Vote,Electors
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,80,Châteauguay,11,8,111,100,30,2,262,380
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,81,Châteauguay,14,10,112,117,21,2,276,519
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,82,Châteauguay,5,12,72,141,12,2,244,418
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,83,Châteauguay,7,11,78,120,21,7,244,362
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,84,Mercier,5,3,65,166,4,7,250,410
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,85,Mercier,6,10,48,132,13,11,220,348
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,86,Mercier,10,9,72,220,11,5,327,553
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,87,Mercier,2,17,71,233,8,6,337,518
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,88,Mercier,6,9,57,141,16,4,233,390
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,89,Mercier,9,7,86,238,7,15,362,558
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,90,Mercier,8,7,65,199,3,12,294,447
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,91,Mercier,8,11,77,181,8,15,300,456
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,92,Mercier,6,13,75,204,22,10,330,504
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,93,Mercier,5,11,38,143,8,3,208,355
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,94,Mercier,3,3,46,138,26,7,223,332
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,95,Mercier,7,8,43,134,1,3,196,336
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,96,Mercier,7,6,51,163,6,5,238,366
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,97,Mercier,11,12,65,223,17,8,336,504
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,98,Mercier,4,4,57,199,4,11,279,458
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,99,Mercier,6,13,47,202,16,17,301,480
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,100,Mercier,2,4,56,114,16,7,199,359
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,101,Saint-Isidore,7,4,46,128,5,8,198,310
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,102,Saint-Isidore,4,4,47,146,18,4,223,345
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,103,Saint-Isidore,7,2,31,160,10,5,215,333
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,104,Saint-Isidore,7,8,64,174,12,5,270,388
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,105,Saint-Isidore,8,15,68,182,23,3,299,502
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,106,Kahnawake 14,Merged with No. 65,,,,,,,739
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,107,Sainte-Catherine,12,10,51,212,11,0,296,538
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,108,Sainte-Catherine,6,3,36,149,4,0,198,350
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,109,Sainte-Catherine,6,9,52,147,8,3,225,371
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,110,Sainte-Catherine,5,9,46,145,21,6,232,389
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,111,Sainte-Catherine,9,2,50,83,9,6,159,350
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,112,Sainte-Catherine,6,6,33,169,7,5,226,432
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,113,Sainte-Catherine,5,1,23,107,14,8,158,307
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,114,Sainte-Catherine,9,5,40,108,9,11,182,334
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,115,Sainte-Catherine,10,11,41,210,7,5,284,397
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,116,Sainte-Catherine,8,7,36,149,10,11,221,351
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,117,Sainte-Catherine,3,3,19,82,8,3,118,290
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,118,Sainte-Catherine,16,3,32,155,8,3,217,398
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,119,Sainte-Catherine,7,7,40,139,9,5,207,355
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,120,Sainte-Catherine,6,5,29,98,5,5,148,294
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,121,Sainte-Catherine,6,4,35,109,13,5,172,346
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,122,Sainte-Catherine,3,4,35,189,10,0,241,391
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,123,Sainte-Catherine,6,4,34,117,7,6,174,387
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,124,Sainte-Catherine,10,4,47,149,11,9,230,384
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,125,Sainte-Catherine,15,9,34,194,8,10,270,498
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,126,Sainte-Catherine,4,0,30,132,9,7,182,455
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,127,Sainte-Catherine,8,6,40,151,14,13,232,405
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,128,Sainte-Catherine,8,5,36,168,12,0,229,476
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,129A,Sainte-Catherine,8,4,32,143,4,0,191,369
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,129B,Sainte-Catherine,3,5,41,114,10,10,183,334
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,130,Sainte-Catherine,4,7,38,117,13,6,185,351
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,131,Sainte-Catherine,7,6,48,186,7,6,260,528
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,132,Sainte-Catherine,3,5,21,130,6,5,170,377
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,133,Sainte-Catherine,11,3,86,218,16,11,345,565
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,134,Sainte-Catherine,7,9,62,162,12,7,259,451
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,135,Sainte-Catherine,5,10,62,177,14,8,276,430
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,136,Delson,12,15,43,199,25,6,300,600
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,137,Delson,8,4,32,153,14,6,217,486
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,138,Delson,10,7,40,145,11,8,221,346
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,139,Delson,8,1,34,149,5,4,201,322
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,140,Delson,12,2,50,183,19,5,271,450
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,141,Delson,11,6,83,166,15,2,283,491
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,142,Saint-Constant,8,6,66,188,15,10,293,510
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,143,Saint-Constant,7,8,39,127,11,8,200,465
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,144,Saint-Constant,4,2,40,105,9,4,164,326
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,145,Saint-Constant,4,7,36,158,10,14,229,459
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,146,Saint-Constant,6,5,27,186,7,9,240,364
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,147,Saint-Constant,3,3,42,147,12,5,212,346
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,148,Saint-Constant,4,6,53,151,14,7,235,376
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,149,Saint-Constant,11,6,43,146,14,5,225,363
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,150,Saint-Constant,9,3,49,190,9,3,263,452
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,151,Saint-Constant,10,7,72,174,8,5,276,430
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,152,Saint-Constant,5,9,52,160,19,8,253,397
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,153,Saint-Constant,15,8,64,211,24,4,326,550
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,154,Delson,9,5,20,110,5,7,156,324
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,155,Delson,12,8,60,220,21,7,328,508
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,156,Delson,12,10,62,127,15,1,227,385
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,157,Delson,6,4,79,127,12,2,230,385
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,158,Delson,7,5,74,112,13,8,219,363
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,159,Delson,11,7,67,128,7,4,224,378
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,160,Delson,10,7,55,113,12,4,201,381
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,161,Saint-Constant,10,4,60,154,17,11,256,435
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,162,Saint-Constant,4,10,44,155,11,4,228,386
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,163,Saint-Constant,15,7,69,170,16,8,285,486
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,164,Saint-Constant,10,13,39,166,12,6,246,406
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,165,Saint-Constant,9,9,76,144,7,0,245,443
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,166,Saint-Constant,16,21,91,143,18,2,291,513
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,167,Saint-Constant,7,6,71,191,23,3,301,477
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,168,Saint-Constant,4,4,68,199,8,8,291,458
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,169,Saint-Constant,17,7,70,220,19,8,341,497
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,170,Saint-Constant,18,15,70,191,17,0,311,469
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,171,Saint-Constant,13,7,99,234,18,8,379,606
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,172,Saint-Constant,7,6,55,146,17,8,239,399
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,173,Saint-Constant,2,3,20,95,6,3,129,335
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,174,Saint-Constant,5,5,33,132,2,6,183,459
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,175,Saint-Constant,4,11,67,189,12,7,290,529
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,176A,Saint-Constant,9,1,31,131,11,7,190,332
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,176B,Saint-Constant,5,3,40,133,8,3,192,333
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,177A,Saint-Constant,9,10,55,212,10,5,301,448
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,177B,Saint-Constant,6,9,65,196,12,8,296,455
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,178,Saint-Constant,5,9,32,177,13,7,243,344
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,179,Saint-Constant,12,10,49,160,15,5,251,408
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,180,Saint-Constant,10,11,43,172,14,11,261,423
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,181,Saint-Constant,6,8,71,207,13,12,317,523
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,182,Saint-Constant,18,11,66,157,12,8,272,497
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,183,Saint-Constant,9,6,40,128,8,4,195,369
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,184,Saint-Constant,12,5,45,149,10,11,232,432
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,185,Saint-Constant,13,20,44,141,17,7,242,446
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,186,Saint-Constant,8,5,76,158,11,7,265,454
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,187,Saint-Mathieu,6,6,49,93,9,3,166,301
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,188,Saint-Mathieu,4,5,46,102,10,9,176,297
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,189,Saint-Mathieu,2,10,41,142,8,6,209,365
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,190,Saint-Mathieu,6,7,73,182,30,4,302,524
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,500,Mobile poll/Bureau itinérant,3,1,64,15,2,4,89,133
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,501,Mobile poll/Bureau itinérant,2,2,97,58,9,0,168,215
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,502,Mobile poll/Bureau itinérant,4,3,88,45,6,7,153,188
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,600,Châteauguay,15,11,228,166,60,7,487,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,601,Léry,2,3,31,58,10,1,105,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,602,Châteauguay,11,17,152,232,41,9,462,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,603,Châteauguay,16,25,302,181,66,18,608,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,604,Châteauguay,9,13,158,154,31,5,370,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,605,Mercier,12,14,124,241,34,8,433,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,606,Saint-Isidore,1,0,26,67,4,0,98,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,607,Kahnawake--Sainte-Catherine,17,22,174,439,66,17,735,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,608,Delson,20,22,156,296,57,9,560,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,609,Saint-Constant,15,14,157,363,50,14,613,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,610,Saint-Mathieu,3,2,31,65,16,3,120,
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,,Group 1/Groupe 1,5,4,19,28,24,4,84,156
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,,Group 2/Groupe 2,22,25,176,346,52,21,642,
