District,Poll Number,Poll Name,Marc Boyer,Shirley Chan,Libby Davies,Harvey Grigg,Gloria Anne Kieler,Louis James Lesosky,Ron Plowright,Rejected Ballots,Total Vote,Electors
Vancouver East/Vancouver-Est,25,Vancouver,2,81,129,12,4,0,6,1,235,402
Vancouver East/Vancouver-Est,26,Vancouver,1,71,180,28,3,3,8,3,297,570
Vancouver East/Vancouver-Est,27A,Vancouver,0,61,100,8,2,0,15,1,187,341
Vancouver East/Vancouver-Est,27B,Mobile poll/Bureau itinérant,Merged with No. 17B,,,,,,,,,50
Vancouver East/Vancouver-Est,28,Vancouver,5,87,154,12,1,5,27,2,293,547
Vancouver East/Vancouver-Est,29,Vancouver,3,68,145,10,1,2,10,0,239,453
Vancouver East/Vancouver-Est,30A,Vancouver,0,95,101,13,0,0,11,0,220,432
Vancouver East/Vancouver-Est,30B,Mobile poll/Bureau itinérant,0,71,11,4,3,10,1,3,103,95
Vancouver East/Vancouver-Est,31,Vancouver,2,42,115,14,1,1,18,0,193,387
Vancouver East/Vancouver-Est,32,Vancouver,4,35,185,14,2,2,15,3,260,520
Vancouver East/Vancouver-Est,33,Vancouver,4,40,153,19,1,1,11,0,229,486
Vancouver East/Vancouver-Est,34,Vancouver,1,38,111,19,0,0,12,0,181,273
Vancouver East/Vancouver-Est,35,Vancouver,2,79,157,30,1,1,13,0,283,506
Vancouver East/Vancouver-Est,36,Vancouver,0,39,136,41,0,0,12,0,228,428
Vancouver East/Vancouver-Est,37,Vancouver,6,42,164,28,2,1,8,1,252,406
Vancouver East/Vancouver-Est,38,Vancouver,5,39,161,27,2,0,17,0,251,326
Vancouver East/Vancouver-Est,39,Vancouver,3,40,173,27,0,0,15,2,260,436
Vancouver East/Vancouver-Est,40,Vancouver,3,45,95,10,0,0,12,2,167,375
Vancouver East/Vancouver-Est,41,Vancouver,0,42,142,27,5,0,9,0,225,433
Vancouver East/Vancouver-Est,42,Vancouver,2,38,116,23,0,0,13,1,193,456
Vancouver East/Vancouver-Est,43A,Vancouver,2,26,87,12,1,0,7,5,140,275
Vancouver East/Vancouver-Est,43B,Vancouver,1,43,80,12,2,0,11,0,149,323
Vancouver East/Vancouver-Est,44,Vancouver,2,76,134,23,2,0,13,0,250,404
Vancouver East/Vancouver-Est,45,Vancouver,3,79,87,18,0,1,10,2,200,339
Vancouver East/Vancouver-Est,46,Vancouver,2,62,119,23,2,1,6,0,215,350
Vancouver East/Vancouver-Est,47,Vancouver,3,104,141,30,0,0,18,4,300,497
Vancouver East/Vancouver-Est,48,Vancouver,1,92,123,28,1,3,21,3,272,451
Vancouver East/Vancouver-Est,49,Vancouver,2,103,101,26,1,0,9,0,242,436
Vancouver East/Vancouver-Est,50,Vancouver,5,47,218,15,2,0,15,0,302,511
Vancouver East/Vancouver-Est,51,Vancouver,0,35,86,10,0,0,7,0,138,301
Vancouver East/Vancouver-Est,52A,Vancouver,2,13,105,3,1,1,8,1,134,445
Vancouver East/Vancouver-Est,52B,Mobile poll/Bureau itinérant,0,13,52,10,0,2,3,2,82,116
Vancouver East/Vancouver-Est,53,Vancouver,0,6,70,2,0,0,7,0,85,197
Vancouver East/Vancouver-Est,54,Vancouver,3,42,142,16,1,1,18,1,224,414
Vancouver East/Vancouver-Est,55,Vancouver,4,14,130,10,0,1,32,0,191,367
Vancouver East/Vancouver-Est,56,Vancouver,1,64,174,20,1,0,16,1,277,442
Vancouver East/Vancouver-Est,57,Vancouver,2,49,174,16,0,0,25,3,269,410
Vancouver East/Vancouver-Est,58,Vancouver,1,48,257,18,1,1,32,0,358,506
Vancouver East/Vancouver-Est,59,Vancouver,3,28,172,16,1,0,37,1,258,416
Vancouver East/Vancouver-Est,60,Vancouver,1,24,182,5,0,0,18,4,234,391
Vancouver East/Vancouver-Est,61,Vancouver,1,39,192,16,1,2,16,1,268,414
Vancouver East/Vancouver-Est,62,Vancouver,3,28,132,11,0,0,15,1,190,320
Vancouver East/Vancouver-Est,63,Vancouver,5,52,206,20,0,0,19,1,303,532
Vancouver East/Vancouver-Est,64,Vancouver,2,82,171,25,4,0,17,2,303,519
Vancouver East/Vancouver-Est,65,Vancouver,2,38,216,6,2,0,12,0,276,526
Vancouver East/Vancouver-Est,66,Vancouver,5,43,172,17,1,0,19,4,261,462
Vancouver East/Vancouver-Est,67,Vancouver,0,42,179,18,0,0,17,0,256,434
Vancouver East/Vancouver-Est,68,Vancouver,3,36,180,12,1,2,19,1,254,439
Vancouver East/Vancouver-Est,69,Vancouver,4,60,156,30,5,2,7,2,266,464
Vancouver East/Vancouver-Est,70,Vancouver,1,36,179,16,0,1,22,2,257,448
Vancouver East/Vancouver-Est,71,Vancouver,2,32,162,10,0,0,17,4,227,394
Vancouver East/Vancouver-Est,72,Vancouver,1,28,95,10,0,0,9,0,143,295
Vancouver East/Vancouver-Est,73,Vancouver,4,34,190,5,0,1,7,1,242,361
Vancouver East/Vancouver-Est,74,Vancouver,0,40,149,8,0,1,16,0,214,329
Vancouver East/Vancouver-Est,75,Vancouver,3,72,108,61,0,1,16,1,262,411
Vancouver East/Vancouver-Est,76,Vancouver,4,76,110,41,2,0,8,0,241,430
Vancouver East/Vancouver-Est,77,Vancouver,1,72,100,36,1,1,12,0,223,421
Vancouver East/Vancouver-Est,78,Vancouver,2,95,120,20,2,0,13,3,255,457
Vancouver East/Vancouver-Est,79,Vancouver,2,56,119,17,2,1,8,5,210,370
Vancouver East/Vancouver-Est,80,Vancouver,3,79,165,34,0,1,13,1,296,539
Vancouver East/Vancouver-Est,81,Vancouver,2,112,129,20,0,2,5,2,272,518
Vancouver East/Vancouver-Est,82,Vancouver,4,96,118,20,0,0,4,2,244,488
Vancouver East/Vancouver-Est,83,Vancouver,0,82,96,39,2,0,2,1,222,419
Vancouver East/Vancouver-Est,84,Vancouver,2,42,65,21,2,1,5,1,139,268
Vancouver East/Vancouver-Est,85,Vancouver,1,79,144,39,2,3,6,1,275,509
Vancouver East/Vancouver-Est,86,Vancouver,4,124,74,28,1,1,8,1,241,464
Vancouver East/Vancouver-Est,87,Vancouver,2,79,102,26,0,3,4,0,216,432
Vancouver East/Vancouver-Est,88,Vancouver,3,65,87,21,1,1,12,2,192,423
Vancouver East/Vancouver-Est,89,Vancouver,0,94,79,28,1,2,13,1,218,451
Vancouver East/Vancouver-Est,90,Vancouver,1,16,92,16,2,0,11,1,139,266
Vancouver East/Vancouver-Est,91,Vancouver,2,51,154,17,0,0,21,1,246,337
Vancouver East/Vancouver-Est,92,Vancouver,1,67,137,29,1,0,44,1,280,454
Vancouver East/Vancouver-Est,93,Vancouver,2,56,147,27,1,0,19,4,256,374
Vancouver East/Vancouver-Est,94,Vancouver,1,34,159,24,1,2,12,2,235,388
Vancouver East/Vancouver-Est,95,Vancouver,0,47,132,30,3,0,12,3,227,359
Vancouver East/Vancouver-Est,96,Vancouver,3,41,116,10,1,1,17,0,189,298
Vancouver East/Vancouver-Est,97,Vancouver,3,44,146,19,0,0,12,0,224,385
Vancouver East/Vancouver-Est,98,Vancouver,3,25,95,12,3,0,7,2,147,276
Vancouver East/Vancouver-Est,99,Vancouver,4,39,129,15,1,0,17,0,205,351
Vancouver East/Vancouver-Est,100,Vancouver,7,51,141,14,1,0,24,0,238,431
Vancouver East/Vancouver-Est,101,Vancouver,3,55,131,20,2,0,30,0,241,371
Vancouver East/Vancouver-Est,102,Vancouver,0,30,99,8,0,0,22,2,161,355
Vancouver East/Vancouver-Est,103,Vancouver,0,48,100,24,0,0,11,0,183,347
Vancouver East/Vancouver-Est,104A,Vancouver,0,30,105,14,0,0,6,0,155,577
Vancouver East/Vancouver-Est,104B,Mobile poll/Bureau itinérant,Merged with No. 17C,,,,,,,,,43
Vancouver East/Vancouver-Est,105,Vancouver,1,31,135,25,1,0,23,1,217,391
Vancouver East/Vancouver-Est,106,Vancouver,0,41,136,27,0,1,17,2,224,462
Vancouver East/Vancouver-Est,107,Vancouver,4,46,179,21,1,0,25,0,276,510
Vancouver East/Vancouver-Est,108,Vancouver,2,35,120,17,1,0,17,1,193,364
Vancouver East/Vancouver-Est,109A,Vancouver,1,32,123,17,2,0,18,1,194,316
Vancouver East/Vancouver-Est,109B,Vancouver,3,39,95,21,1,0,13,2,174,289
Vancouver East/Vancouver-Est,110,Vancouver,2,50,141,15,4,0,10,5,227,404
Vancouver East/Vancouver-Est,111,Vancouver,5,55,146,29,0,0,16,1,252,596
Vancouver East/Vancouver-Est,112,Vancouver,2,25,103,18,0,0,8,0,156,400
Vancouver East/Vancouver-Est,113,Vancouver,1,21,79,16,3,1,5,3,129,462
Vancouver East/Vancouver-Est,114,Vancouver,1,37,88,37,1,0,8,1,173,487
Vancouver East/Vancouver-Est,115,Vancouver,1,13,94,8,3,0,11,1,131,236
Vancouver East/Vancouver-Est,116,Vancouver,3,23,150,23,0,0,16,1,216,446
Vancouver East/Vancouver-Est,117,Vancouver,2,25,139,25,1,1,11,1,205,463
Vancouver East/Vancouver-Est,118,Vancouver,3,31,124,22,3,0,23,1,207,518
Vancouver East/Vancouver-Est,119,Vancouver,1,43,113,12,1,0,20,3,193,421
Vancouver East/Vancouver-Est,120,Vancouver,2,46,121,17,0,1,10,1,198,376
Vancouver East/Vancouver-Est,121,Vancouver,1,53,179,27,1,0,34,1,296,531
Vancouver East/Vancouver-Est,122,Vancouver,1,29,84,5,1,1,12,1,134,278
Vancouver East/Vancouver-Est,123,Vancouver,1,54,158,14,2,0,19,3,251,412
Vancouver East/Vancouver-Est,124,Vancouver,0,64,153,15,3,0,29,3,267,578
Vancouver East/Vancouver-Est,125,Vancouver,2,55,176,31,3,1,18,2,288,516
Vancouver East/Vancouver-Est,126,Vancouver,0,56,180,26,0,2,21,0,285,541
Vancouver East/Vancouver-Est,127,Vancouver,2,51,166,19,0,0,12,2,252,492
Vancouver East/Vancouver-Est,128,Vancouver,1,29,195,6,0,1,24,2,258,429
Vancouver East/Vancouver-Est,129,Vancouver,1,43,188,8,3,1,14,0,258,444
Vancouver East/Vancouver-Est,130,Vancouver,0,83,177,24,5,3,18,4,314,549
Vancouver East/Vancouver-Est,131,Vancouver,1,116,173,46,2,1,15,1,355,559
Vancouver East/Vancouver-Est,132,Vancouver,4,114,104,32,2,2,9,2,269,456
Vancouver East/Vancouver-Est,133,Vancouver,0,59,186,24,1,4,20,4,298,466
Vancouver East/Vancouver-Est,134,Vancouver,4,100,181,33,2,1,24,1,346,576
Vancouver East/Vancouver-Est,135,Vancouver,4,115,129,51,2,0,6,3,310,489
Vancouver East/Vancouver-Est,136,Vancouver,2,58,180,32,1,1,30,0,304,494
Vancouver East/Vancouver-Est,137,Vancouver,1,79,124,30,0,3,11,2,250,475
Vancouver East/Vancouver-Est,138,Vancouver,4,102,123,27,1,0,10,1,268,453
Vancouver East/Vancouver-Est,139,Vancouver,1,31,165,14,1,0,14,1,227,402
Vancouver East/Vancouver-Est,140,Vancouver,3,91,159,25,0,0,8,1,287,476
Vancouver East/Vancouver-Est,141A,Vancouver,1,65,74,19,3,0,2,1,165,311
Vancouver East/Vancouver-Est,141B,Vancouver,0,48,86,17,0,2,4,3,160,279
Vancouver East/Vancouver-Est,142,Vancouver,0,18,88,5,1,0,6,1,119,250
Vancouver East/Vancouver-Est,143,Vancouver,1,36,167,26,1,1,11,2,245,468
Vancouver East/Vancouver-Est,144,Vancouver,3,63,159,22,1,0,6,0,254,443
Vancouver East/Vancouver-Est,145A,Vancouver,1,59,56,37,3,2,1,6,165,344
Vancouver East/Vancouver-Est,145B,Vancouver,3,46,72,22,3,0,4,1,151,321
Vancouver East/Vancouver-Est,146,Vancouver,0,79,76,27,2,0,6,1,191,375
Vancouver East/Vancouver-Est,147,Vancouver,2,55,107,13,0,0,13,0,190,400
Vancouver East/Vancouver-Est,148,Vancouver,4,59,149,24,2,1,16,1,256,500
Vancouver East/Vancouver-Est,149,Vancouver,4,123,110,43,1,1,5,1,288,502
Vancouver East/Vancouver-Est,150,Vancouver,1,118,119,37,3,0,4,1,283,528
Vancouver East/Vancouver-Est,151,Vancouver,0,106,90,33,1,2,6,2,240,573
Vancouver East/Vancouver-Est,152,Vancouver,3,65,170,36,1,0,14,1,290,545
Vancouver East/Vancouver-Est,153,Vancouver,2,101,113,29,2,0,4,5,256,453
Vancouver East/Vancouver-Est,154,Vancouver,3,109,108,41,0,0,6,0,267,473
Vancouver East/Vancouver-Est,155,Vancouver,3,141,91,54,2,1,10,3,305,503
Vancouver East/Vancouver-Est,156,Vancouver,0,106,99,27,0,1,5,2,240,413
Vancouver East/Vancouver-Est,157,Vancouver,1,108,125,44,3,1,6,0,288,585
Vancouver East/Vancouver-Est,158,Vancouver,0,105,97,37,1,0,3,7,250,494
Vancouver East/Vancouver-Est,159,Vancouver,1,112,109,51,0,1,5,1,280,500
Vancouver East/Vancouver-Est,160,Vancouver,2,99,99,32,0,1,5,0,238,464
Vancouver East/Vancouver-Est,161,Vancouver,2,63,94,38,3,1,8,5,214,412
Vancouver East/Vancouver-Est,162,Vancouver,1,88,98,34,0,0,8,1,230,443
Vancouver East/Vancouver-Est,163,Vancouver,3,105,61,40,0,2,6,1,218,399
Vancouver East/Vancouver-Est,164,Vancouver,0,71,98,39,1,0,8,0,217,530
Vancouver East/Vancouver-Est,165,Vancouver,1,45,157,30,1,0,6,2,242,536
Vancouver East/Vancouver-Est,500,Mobile poll/Bureau itinérant,1,20,18,8,4,4,1,1,57,86
Vancouver East/Vancouver-Est,501,Mobile poll/Bureau itinérant,3,76,11,4,2,6,0,5,107,153
Vancouver East/Vancouver-Est,502,Mobile poll/Bureau itinérant,1,14,13,4,0,0,2,0,34,190
Vancouver East/Vancouver-Est,503,Mobile poll/Bureau itinérant,1,8,22,11,1,0,5,2,50,61
Vancouver East/Vancouver-Est,504,Mobile poll/Bureau itinérant,1,23,21,7,3,1,1,2,59,71
Vancouver East/Vancouver-Est,600,Vancouver,1,167,228,60,1,1,12,3,473,
Vancouver East/Vancouver-Est,601,Vancouver,6,104,145,21,2,0,11,2,291,
Vancouver East/Vancouver-Est,602,Vancouver,1,55,298,20,1,0,34,1,410,
Vancouver East/Vancouver-Est,603,Vancouver,3,53,233,28,2,0,27,5,351,
Vancouver East/Vancouver-Est,604,Vancouver,3,81,172,52,3,0,19,3,333,
Vancouver East/Vancouver-Est,605,Vancouver,1,70,119,57,0,2,10,0,259,
Vancouver East/Vancouver-Est,606,Vancouver,2,86,210,45,3,0,25,6,377,
Vancouver East/Vancouver-Est,607,Vancouver,1,82,289,61,4,2,34,3,476,
Vancouver East/Vancouver-Est,608,Vancouver,5,88,317,54,6,0,28,10,508,
Vancouver East/Vancouver-Est,,Group 1/Groupe 1,14,42,66,12,3,3,8,5,153,212
Vancouver East/Vancouver-Est,,Group 2/Groupe 2,5,73,302,39,2,1,46,9,477,
