District,Poll Number,Poll Name,Stéphane Chénier,Laura Colella,Payam Eslami,Ricardo Fellicetti,Paul-Alexis François,Massimo Pacetti,Rejected Ballots,Total Vote,Electors
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,65,Saint-Léonard,0,18,12,8,14,191,10,253,414
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,66,Saint-Léonard,2,12,8,5,59,130,6,222,352
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,67,Saint-Léonard,2,21,15,4,46,110,2,200,365
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,68,Saint-Léonard,1,12,10,2,42,144,6,217,376
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,69,Saint-Léonard,0,27,13,4,31,161,1,237,375
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,70,Saint-Léonard,1,20,10,1,58,118,1,209,376
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,71,Saint-Léonard,1,9,6,6,43,109,4,178,363
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,72,Saint-Léonard,1,16,4,6,37,140,0,204,427
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,73,Saint-Léonard,2,12,13,10,19,185,3,244,419
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,74,Saint-Léonard,2,14,6,8,32,187,2,251,430
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,75,Saint-Léonard,0,13,9,1,32,110,4,169,348
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,76,Saint-Léonard,2,10,15,2,30,107,1,167,391
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,77,Saint-Léonard,0,6,11,1,57,103,6,184,372
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,78,Saint-Léonard,0,8,14,4,33,118,8,185,360
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,79,Saint-Léonard,0,7,3,3,28,103,2,146,309
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,80,Saint-Léonard,2,11,12,4,27,114,6,176,380
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,81,Saint-Léonard,4,14,4,8,25,167,2,224,390
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,82,Saint-Léonard,3,15,3,2,35,122,2,182,370
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,83,Saint-Léonard,1,10,10,3,41,127,4,196,351
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,84,Saint-Léonard,1,13,11,4,37,117,5,188,397
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,85,Saint-Léonard,1,8,14,8,42,130,1,204,398
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,86,Saint-Léonard,0,17,18,4,39,149,3,230,431
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,87,Saint-Léonard,0,1,4,4,33,116,0,158,346
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,88,Saint-Léonard,1,18,18,4,20,118,4,183,350
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,89,Saint-Léonard,0,15,7,5,25,148,3,203,373
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,90,Saint-Léonard,1,14,14,4,39,135,5,212,383
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,91,Saint-Léonard,2,15,11,4,54,130,3,219,394
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,92,Saint-Léonard,0,9,11,3,49,121,3,196,417
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,93,Saint-Léonard,0,16,19,9,82,225,5,356,675
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,94,Saint-Léonard,1,9,8,5,58,107,2,190,387
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,95,Saint-Léonard,0,16,15,4,38,138,5,216,370
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,96,Saint-Léonard,0,11,5,11,39,144,2,212,345
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,97,Saint-Léonard,1,18,8,5,62,118,4,216,322
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,98,Saint-Léonard,1,10,12,4,62,134,4,227,323
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,99,Saint-Léonard,3,16,13,2,36,125,3,198,334
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,100,Saint-Léonard,0,13,3,14,37,128,7,202,352
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,101,Saint-Léonard,2,11,7,2,35,132,6,195,355
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,102,Saint-Léonard,3,8,10,3,31,91,5,151,349
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,103,Saint-Léonard,0,12,9,3,36,137,2,199,376
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,104,Saint-Léonard,1,17,13,3,42,133,7,216,374
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,105,Saint-Léonard,0,10,6,10,39,125,2,192,381
