District,Poll Number,Poll Name,Wayne Gates,Ted Mousseau,Rob Nicholson,Victor Pietrangelo,Rejected Ballots,Total Vote,Electors
Niagara Falls/Niagara Falls,86,Niagara Falls,44,7,79,106,3,239,458
Niagara Falls/Niagara Falls,87,Niagara Falls,29,11,39,90,3,172,390
Niagara Falls/Niagara Falls,88,Niagara Falls,33,3,52,62,2,152,345
Niagara Falls/Niagara Falls,89,Niagara Falls,41,7,31,61,1,141,373
Niagara Falls/Niagara Falls,90,Niagara Falls,47,10,39,47,1,144,346
Niagara Falls/Niagara Falls,91,Niagara Falls,35,10,90,80,0,215,430
Niagara Falls/Niagara Falls,92,Niagara Falls,48,6,97,92,0,243,459
Niagara Falls/Niagara Falls,93,Niagara Falls,49,9,65,60,1,184,350
Niagara Falls/Niagara Falls,94,Niagara Falls,37,0,57,45,2,141,302
Niagara Falls/Niagara Falls,95,Niagara Falls,34,11,44,54,0,143,246
Niagara Falls/Niagara Falls,96,Niagara Falls,35,6,62,71,0,174,325
Niagara Falls/Niagara Falls,97,Niagara Falls,66,12,77,75,1,231,456
Niagara Falls/Niagara Falls,98,Niagara Falls,45,10,58,79,0,192,448
Niagara Falls/Niagara Falls,99,Niagara Falls,48,12,52,69,2,183,335
Niagara Falls/Niagara Falls,100,Niagara Falls,50,6,73,71,0,200,311
Niagara Falls/Niagara Falls,101,Niagara Falls,38,7,71,82,3,201,394
Niagara Falls/Niagara Falls,102,Niagara Falls,45,7,71,81,1,205,404
Niagara Falls/Niagara Falls,103,Niagara Falls,28,4,36,53,3,124,230
Niagara Falls/Niagara Falls,104,Niagara Falls,78,10,69,37,2,196,393
Niagara Falls/Niagara Falls,105,Niagara Falls,54,7,38,47,2,148,339
Niagara Falls/Niagara Falls,106,Niagara Falls,43,6,53,47,1,150,288
Niagara Falls/Niagara Falls,107,Niagara Falls,62,5,67,61,2,197,483
Niagara Falls/Niagara Falls,108,Niagara Falls,41,9,62,73,1,186,404
Niagara Falls/Niagara Falls,109,Niagara Falls,57,8,76,60,1,202,457
Niagara Falls/Niagara Falls,110,Niagara Falls,45,3,34,53,2,137,305
Niagara Falls/Niagara Falls,111,Niagara Falls,38,4,25,57,5,129,279
Niagara Falls/Niagara Falls,112,Niagara Falls,72,6,67,63,2,210,552
Niagara Falls/Niagara Falls,113,Niagara Falls,45,6,51,59,0,161,383
Niagara Falls/Niagara Falls,114,Niagara Falls,60,10,81,78,0,229,496
Niagara Falls/Niagara Falls,115,Niagara Falls,44,4,45,41,1,135,355
Niagara Falls/Niagara Falls,116,Niagara Falls,59,7,79,87,1,233,448
Niagara Falls/Niagara Falls,117,Niagara Falls,50,8,33,54,0,145,365
Niagara Falls/Niagara Falls,118,Niagara Falls,66,5,32,64,0,167,427
Niagara Falls/Niagara Falls,119,Niagara Falls,41,1,39,33,0,114,331
Niagara Falls/Niagara Falls,120,Niagara Falls,29,7,44,53,0,133,409
Niagara Falls/Niagara Falls,121,Niagara Falls,26,2,24,21,0,73,349
Niagara Falls/Niagara Falls,122,Niagara Falls,39,7,57,47,0,150,340
Niagara Falls/Niagara Falls,123,Niagara Falls,59,7,48,51,1,166,399
Niagara Falls/Niagara Falls,124,Niagara Falls,73,2,46,55,4,180,413
Niagara Falls/Niagara Falls,125,Niagara Falls,63,10,44,45,1,163,330
Niagara Falls/Niagara Falls,126,Niagara Falls,34,9,49,49,1,142,320
Niagara Falls/Niagara Falls,127,Niagara Falls,64,7,53,68,3,195,409
Niagara Falls/Niagara Falls,128,Niagara Falls,42,9,34,42,1,128,301
Niagara Falls/Niagara Falls,129,Niagara Falls,25,4,42,59,0,130,379
Niagara Falls/Niagara Falls,130,Niagara Falls,38,11,49,58,0,156,381
Niagara Falls/Niagara Falls,131A,Niagara Falls,51,14,56,50,2,173,325
Niagara Falls/Niagara Falls,131B,Mobile poll/Bureau itinérant,Merged with No. 67B,,,,,,88
Niagara Falls/Niagara Falls,132,Niagara Falls,42,4,40,67,2,155,321
Niagara Falls/Niagara Falls,133,Niagara Falls,47,7,42,51,3,150,334
Niagara Falls/Niagara Falls,134,Niagara Falls,30,7,44,43,1,125,299
Niagara Falls/Niagara Falls,135,Niagara Falls,43,4,29,37,1,114,328
Niagara Falls/Niagara Falls,136,Niagara Falls,37,8,57,55,1,158,383
Niagara Falls/Niagara Falls,137,Niagara Falls,23,5,34,49,0,111,253
Niagara Falls/Niagara Falls,138,Niagara Falls,26,9,32,53,3,123,334
Niagara Falls/Niagara Falls,139,Niagara Falls,76,13,72,108,6,275,504
Niagara Falls/Niagara Falls,140,Niagara Falls,49,3,47,65,4,168,298
Niagara Falls/Niagara Falls,141,Niagara Falls,55,12,107,116,2,292,497
Niagara Falls/Niagara Falls,142,Niagara Falls,40,3,49,35,2,129,271
Niagara Falls/Niagara Falls,143,Niagara Falls,52,5,65,82,0,204,414
Niagara Falls/Niagara Falls,144,Niagara Falls,71,6,56,53,4,190,403
Niagara Falls/Niagara Falls,145,Niagara Falls,40,7,70,49,1,167,394
Niagara Falls/Niagara Falls,146,Niagara Falls,47,8,50,49,2,156,358
Niagara Falls/Niagara Falls,147,Niagara Falls,19,7,51,65,0,142,321
Niagara Falls/Niagara Falls,148A,Niagara Falls,90,10,112,128,1,341,618
Niagara Falls/Niagara Falls,148B,Mobile poll/Bureau itinérant,15,5,28,27,2,77,194
Niagara Falls/Niagara Falls,149,Niagara Falls,27,4,17,24,0,72,176
Niagara Falls/Niagara Falls,150,Niagara Falls,91,12,75,95,3,276,594
Niagara Falls/Niagara Falls,151,Niagara Falls,75,8,48,82,2,215,433
Niagara Falls/Niagara Falls,152,Niagara Falls,60,8,50,79,3,200,332
Niagara Falls/Niagara Falls,153,Niagara Falls,66,6,49,45,3,169,318
Niagara Falls/Niagara Falls,154,Niagara Falls,59,7,31,44,1,142,382
Niagara Falls/Niagara Falls,155,Niagara Falls,53,3,63,79,2,200,333
Niagara Falls/Niagara Falls,156,Niagara Falls,43,9,35,61,0,148,323
Niagara Falls/Niagara Falls,157,Niagara Falls,77,5,81,84,2,249,475
Niagara Falls/Niagara Falls,158,Niagara Falls,55,9,42,80,2,188,360
Niagara Falls/Niagara Falls,159,Niagara Falls,44,5,46,108,0,203,336
Niagara Falls/Niagara Falls,160,Niagara Falls,59,8,62,83,0,212,357
Niagara Falls/Niagara Falls,161,Niagara Falls,75,9,34,37,3,158,332
Niagara Falls/Niagara Falls,162,Niagara Falls,42,5,50,52,0,149,355
Niagara Falls/Niagara Falls,163,Niagara Falls,76,7,57,60,3,203,422
