District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,19B,Powell River,0,7,0,65,91,32,0,195,340
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,20,Powell River,2,14,0,66,116,39,2,239,399
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,21,Powell River,1,4,0,56,99,46,1,207,382
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,22,Powell River,0,22,0,79,90,42,0,233,376
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,23,Powell River,4,8,1,68,83,48,0,212,334
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,24,Powell River,0,9,2,59,91,55,2,218,352
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,25,Powell River,2,13,2,76,119,53,0,265,445
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,26,Powell River,1,10,2,58,111,47,0,229,385
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,27,Powell River,1,5,2,89,111,57,2,267,436
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,28,Powell River,1,13,2,71,120,81,0,288,434
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,29,Powell River,0,7,0,97,104,79,0,287,444
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,30,Powell River,1,12,1,111,86,90,0,301,506
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,31,Vananda,0,18,0,51,96,23,0,188,317
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,32,Myrtle Point,3,12,0,64,81,58,1,219,334
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,33,Myrtle Point,1,14,0,112,127,72,0,326,533
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,34,Myrtle Point,0,16,0,56,101,26,0,199,313
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,35,Brew Bay,6,19,0,85,119,45,0,274,452
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,36,Gillies Bay,0,44,1,82,138,65,0,330,491
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,37A,Irvines Landing,1,21,0,90,36,41,0,189,300
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,37B,Irvines Landing,0,15,0,71,51,39,0,176,290
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,38,Egmont,2,13,0,39,54,14,2,124,186
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,39,Halfmoon Bay,1,33,0,50,49,37,0,170,303
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,40A,Madeira Park,3,16,0,93,51,27,1,191,298
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,40B,Madeira Park,2,12,0,81,55,38,2,190,309
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,41,Madeira Park,2,23,0,87,44,44,0,200,329
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,42,Madeira Park,3,21,0,70,57,37,0,188,278
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,43A,Halfmoon Bay,1,16,0,91,41,44,0,193,319
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,43B,Halfmoon Bay,0,24,0,89,46,53,0,212,337
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,44A,Halfmoon Bay,1,33,0,65,102,37,0,238,370
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,44B,Halfmoon Bay,4,26,0,87,66,37,0,220,348
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,45,Halfmoon Bay,0,32,0,90,62,70,0,254,437
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,46,Sechelt,2,14,0,57,35,51,0,159,260
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,47,Sechelt,1,25,0,88,66,53,1,234,373
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,48A,Sechelt,1,17,0,74,61,41,0,194,298
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,48B,Sechelt,1,8,2,76,69,48,1,205,325
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,49,Sechelt,1,33,0,162,77,87,0,360,580
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,50A,Sechelt,1,16,0,55,29,39,0,140,288
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,50B,Sechelt,0,20,0,54,37,51,0,162,285
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,51,Sechelt,4,24,0,55,64,68,0,215,370
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,52,Sechelt,2,21,0,82,98,81,0,284,487
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,53,Sechelt,3,24,0,54,79,42,1,203,355
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,54A,Sechelt,5,33,0,88,71,39,0,236,380
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,54B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,37
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,55,Sechelt,2,15,0,76,68,46,0,207,382
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,56,Sechelt,1,15,0,14,118,19,0,167,334
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,57,Selma Park,1,15,1,108,78,54,0,257,407
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,58,Selma Park,1,12,0,105,70,84,0,272,446
