District,Poll Number,Poll Name,Andrée Champagne,Joëlle Chevrier,Michel Gaudette,Bruno Godbout,Yvan Loubier,Rejected Ballots,Total Vote,Electors
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,17,Saint-Théodore-d'Acton,30,7,49,4,111,9,210,362
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,18,Saint-Théodore-d'Acton,37,4,52,5,125,8,231,342
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,19A,Saint-André-d'Acton,53,3,47,2,112,2,219,368
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,19B,Saint-André-d'Acton,16,2,43,4,90,1,156,275
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,20,Acton Vale,34,3,50,3,172,9,271,504
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,21,Acton Vale,40,8,60,3,134,10,255,370
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,22A,Acton Vale,25,4,37,4,115,4,189,321
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,22B,Acton Vale,25,5,26,3,82,5,146,271
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,23,Acton Vale,42,7,66,3,136,8,262,438
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,24,Acton Vale,26,6,38,2,107,3,182,390
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,25,Acton Vale,31,7,55,3,133,7,236,491
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,26,Acton Vale,22,4,51,6,160,11,254,485
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,27,Acton Vale,49,10,38,11,130,5,243,477
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,28,Saint-André-d'Acton,35,8,37,2,133,9,224,485
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,29,Sainte-Christine,32,6,30,3,100,5,176,287
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,30,Sainte-Christine,17,2,30,5,109,5,168,283
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,31,Saint-Liboire,39,2,57,8,191,5,302,494
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,32,Saint-Liboire,31,4,47,1,190,9,282,504
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,33A,Saint-Liboire,18,2,43,2,106,3,174,278
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,33B,Saint-Liboire,24,4,44,8,104,5,189,316
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,34,Saint-Liboire,47,6,67,9,208,7,344,503
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,35,Upton,14,2,63,0,82,2,163,271
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,36A,Upton,35,2,38,5,81,2,163,303
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,36B,Upton,26,4,22,2,93,7,154,301
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,37,Upton,36,4,57,1,94,4,196,290
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,38,Upton,34,9,39,5,153,5,245,389
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,39,Saint-André-d'Acton,31,7,46,2,130,5,221,423
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,40,Saint-André-d'Acton,30,2,29,6,131,7,205,424
