District,Poll Number,Poll Name,Lorraine Auclair,Catherine Brousseau,François Côté,Monique Guay,Christian Marcoux,Marcel Poirier,Rejected Ballots,Total Vote,Electors
Rivière-du-Nord/Rivière-du-Nord,137,Saint-Jérôme,57,12,11,220,1,2,6,309,591
Rivière-du-Nord/Rivière-du-Nord,138,Bellefeuille,47,9,7,149,5,8,3,228,541
Rivière-du-Nord/Rivière-du-Nord,139,Bellefeuille,54,23,8,246,3,12,9,355,601
Rivière-du-Nord/Rivière-du-Nord,140,Bellefeuille,52,29,9,187,2,6,11,296,521
Rivière-du-Nord/Rivière-du-Nord,141,Saint-Jérôme,86,22,2,176,2,5,7,300,503
Rivière-du-Nord/Rivière-du-Nord,142,Bellefeuille,31,11,3,121,2,5,7,180,425
Rivière-du-Nord/Rivière-du-Nord,143,Bellefeuille,57,11,6,154,2,6,5,241,485
Rivière-du-Nord/Rivière-du-Nord,144,Bellefeuille,47,21,12,157,0,9,7,253,384
Rivière-du-Nord/Rivière-du-Nord,145,Bellefeuille,42,6,7,143,3,7,8,216,341
Rivière-du-Nord/Rivière-du-Nord,146,Bellefeuille,45,5,14,188,3,10,2,267,431
Rivière-du-Nord/Rivière-du-Nord,147A,Bellefeuille,71,18,2,174,2,8,8,283,465
Rivière-du-Nord/Rivière-du-Nord,147B,Bellefeuille,74,12,9,164,1,6,7,273,392
Rivière-du-Nord/Rivière-du-Nord,148,Bellefeuille,68,14,9,292,0,9,4,396,665
Rivière-du-Nord/Rivière-du-Nord,149,Bellefeuille,45,12,10,165,3,3,5,243,604
Rivière-du-Nord/Rivière-du-Nord,150,Bellefeuille,35,14,7,139,2,2,2,201,378
Rivière-du-Nord/Rivière-du-Nord,151,Bellefeuille,21,17,7,150,1,6,8,210,339
Rivière-du-Nord/Rivière-du-Nord,152,Bellefeuille,32,6,8,160,2,1,4,213,382
Rivière-du-Nord/Rivière-du-Nord,153,Bellefeuille,44,18,5,216,2,9,0,294,559
Rivière-du-Nord/Rivière-du-Nord,154,Bellefeuille,48,13,14,186,2,8,11,282,521
Rivière-du-Nord/Rivière-du-Nord,155,Bellefeuille,23,20,11,116,2,7,3,182,344
Rivière-du-Nord/Rivière-du-Nord,156,Bellefeuille,38,22,14,176,4,9,5,268,438
Rivière-du-Nord/Rivière-du-Nord,157,Bellefeuille,45,22,8,181,1,4,11,272,500
Rivière-du-Nord/Rivière-du-Nord,158,Bellefeuille,50,24,10,179,1,3,13,280,540
Rivière-du-Nord/Rivière-du-Nord,159,Saint-Colomban,54,16,6,187,4,5,4,276,547
Rivière-du-Nord/Rivière-du-Nord,160,Saint-Colomban,76,36,4,204,0,9,9,338,549
Rivière-du-Nord/Rivière-du-Nord,161,Saint-Colomban,33,17,7,188,2,10,6,263,469
Rivière-du-Nord/Rivière-du-Nord,162,Saint-Colomban,51,23,13,259,9,14,9,378,657
Rivière-du-Nord/Rivière-du-Nord,163,Saint-Colomban,27,14,15,151,1,5,8,221,417
Rivière-du-Nord/Rivière-du-Nord,164,Saint-Colomban,21,2,6,167,0,6,4,206,387
Rivière-du-Nord/Rivière-du-Nord,165,Saint-Colomban,16,14,9,130,0,3,6,178,324
Rivière-du-Nord/Rivière-du-Nord,166,Saint-Colomban,24,10,9,144,5,9,7,208,348
Rivière-du-Nord/Rivière-du-Nord,167,Saint-Colomban,22,2,7,107,3,3,0,144,254
Rivière-du-Nord/Rivière-du-Nord,168,Saint-Colomban,31,29,6,167,0,10,7,250,462
Rivière-du-Nord/Rivière-du-Nord,169,Saint-Colomban,22,5,3,68,0,4,3,105,205
Rivière-du-Nord/Rivière-du-Nord,170,Saint-Colomban,33,29,8,188,1,5,1,265,551
Rivière-du-Nord/Rivière-du-Nord,171,Saint-Colomban,24,3,10,85,3,4,6,135,272
Rivière-du-Nord/Rivière-du-Nord,172,Saint-Colomban,45,15,7,166,4,11,2,250,465
Rivière-du-Nord/Rivière-du-Nord,173,Saint-Colomban,32,21,16,182,2,7,7,267,582
Rivière-du-Nord/Rivière-du-Nord,500,Mobile poll/Bureau itinérant,48,3,0,31,2,2,2,88,166
Rivière-du-Nord/Rivière-du-Nord,501,Mobile poll/Bureau itinérant,41,14,5,32,0,1,6,99,146
Rivière-du-Nord/Rivière-du-Nord,600,Saint-Hippolyte,103,19,8,204,2,10,8,354,
Rivière-du-Nord/Rivière-du-Nord,601,Prévost,67,35,9,269,2,12,1,395,
Rivière-du-Nord/Rivière-du-Nord,602,Sainte-Sophie,66,11,6,250,0,3,3,339,
Rivière-du-Nord/Rivière-du-Nord,603,Saint-Jérôme,132,47,13,264,0,10,16,482,
Rivière-du-Nord/Rivière-du-Nord,604,Saint-Jérôme,157,37,7,269,2,0,19,491,
Rivière-du-Nord/Rivière-du-Nord,605,Saint-Jérôme,131,31,7,255,3,8,6,441,
Rivière-du-Nord/Rivière-du-Nord,606,Saint-Jérôme,89,33,13,208,3,5,0,351,
Rivière-du-Nord/Rivière-du-Nord,607,Saint-Jérôme,153,29,10,289,8,5,16,510,
Rivière-du-Nord/Rivière-du-Nord,608,Saint-Jérôme,100,33,14,270,3,8,5,433,
Rivière-du-Nord/Rivière-du-Nord,609,Saint-Colomban,63,24,12,201,2,5,3,310,
Rivière-du-Nord/Rivière-du-Nord,,Group 1/Groupe 1,15,13,3,30,9,0,4,74,127
Rivière-du-Nord/Rivière-du-Nord,,Group 2/Groupe 2,504,53,22,646,10,16,0,1251,
