District,Poll Number,Poll Name,Brunie Brunie,Jean Crowder,Harold Henn,Lloyd Macilquham,Dave Quist,Jeffrey Ian Warr,Rejected Ballots,Total Vote,Electors
Nanaimo--Cowichan/Nanaimo--Cowichan,48,Nanaimo,0,99,17,48,53,0,1,218,348
Nanaimo--Cowichan/Nanaimo--Cowichan,49,Nanaimo,2,138,26,47,106,1,0,320,530
Nanaimo--Cowichan/Nanaimo--Cowichan,50,Nanaimo,2,131,19,42,82,2,1,279,504
Nanaimo--Cowichan/Nanaimo--Cowichan,51,Nanaimo,0,86,18,26,53,3,0,186,369
Nanaimo--Cowichan/Nanaimo--Cowichan,52,Nanaimo,1,113,16,33,59,2,0,224,355
Nanaimo--Cowichan/Nanaimo--Cowichan,53,Nanaimo,2,62,7,5,22,1,0,99,229
Nanaimo--Cowichan/Nanaimo--Cowichan,54,Nanaimo,0,68,17,25,46,0,0,156,236
Nanaimo--Cowichan/Nanaimo--Cowichan,55,Nanaimo,0,118,15,48,78,0,1,260,455
Nanaimo--Cowichan/Nanaimo--Cowichan,56,Nanaimo,0,55,8,32,45,0,0,140,224
Nanaimo--Cowichan/Nanaimo--Cowichan,57,Nanaimo,0,108,14,52,71,1,0,246,395
Nanaimo--Cowichan/Nanaimo--Cowichan,58,Nanaimo,0,106,23,38,57,0,0,224,457
Nanaimo--Cowichan/Nanaimo--Cowichan,59,Nanaimo,1,78,16,34,58,1,0,188,320
Nanaimo--Cowichan/Nanaimo--Cowichan,60,Nanaimo,2,100,26,21,32,0,1,182,275
Nanaimo--Cowichan/Nanaimo--Cowichan,61,Nanaimo,3,113,24,39,43,1,0,223,489
Nanaimo--Cowichan/Nanaimo--Cowichan,62,Nanaimo,1,118,40,23,35,0,0,217,427
Nanaimo--Cowichan/Nanaimo--Cowichan,63,Nanaimo,2,83,18,58,69,2,1,233,541
Nanaimo--Cowichan/Nanaimo--Cowichan,64,Nanaimo,2,79,20,35,33,1,0,170,451
Nanaimo--Cowichan/Nanaimo--Cowichan,65,Nanaimo,0,156,19,42,105,0,0,322,523
Nanaimo--Cowichan/Nanaimo--Cowichan,66,Nanaimo,1,118,19,38,55,4,0,235,464
Nanaimo--Cowichan/Nanaimo--Cowichan,67,Nanaimo,1,82,11,20,31,0,1,146,345
Nanaimo--Cowichan/Nanaimo--Cowichan,68,Nanaimo,2,87,12,23,54,1,1,180,313
Nanaimo--Cowichan/Nanaimo--Cowichan,69,Nanaimo,0,108,18,29,39,2,0,196,391
Nanaimo--Cowichan/Nanaimo--Cowichan,70,Nanaimo,6,125,21,23,39,1,0,215,434
Nanaimo--Cowichan/Nanaimo--Cowichan,71,Nanaimo,0,109,29,36,41,6,0,221,408
Nanaimo--Cowichan/Nanaimo--Cowichan,72,Nanaimo,0,102,12,14,29,0,0,157,326
Nanaimo--Cowichan/Nanaimo--Cowichan,73,Nanaimo,2,103,15,21,50,2,0,193,394
Nanaimo--Cowichan/Nanaimo--Cowichan,74,Nanaimo,0,80,17,29,46,0,0,172,253
Nanaimo--Cowichan/Nanaimo--Cowichan,75A,Nanaimo,2,94,7,25,41,0,1,170,276
Nanaimo--Cowichan/Nanaimo--Cowichan,75B,Nanaimo,1,104,12,27,34,1,1,180,302
Nanaimo--Cowichan/Nanaimo--Cowichan,76,Nanaimo,5,145,25,40,76,2,0,293,542
Nanaimo--Cowichan/Nanaimo--Cowichan,77,Nanaimo,1,127,22,16,34,3,1,204,439
Nanaimo--Cowichan/Nanaimo--Cowichan,78,Nanaimo,6,81,10,22,46,2,1,168,349
Nanaimo--Cowichan/Nanaimo--Cowichan,79,Nanaimo,2,102,22,16,25,1,0,168,435
Nanaimo--Cowichan/Nanaimo--Cowichan,80,Nanaimo,0,79,2,3,3,0,1,88,181
Nanaimo--Cowichan/Nanaimo--Cowichan,81,Nanaimo,1,139,19,50,96,0,0,305,527
Nanaimo--Cowichan/Nanaimo--Cowichan,82,Nanaimo,1,51,11,13,25,0,0,101,170
Nanaimo--Cowichan/Nanaimo--Cowichan,83,Nanaimo,0,86,6,19,76,0,0,187,282
Nanaimo--Cowichan/Nanaimo--Cowichan,84,Nanaimo,1,74,4,28,43,0,0,150,242
Nanaimo--Cowichan/Nanaimo--Cowichan,85A,Nanaimo,0,73,11,15,47,0,0,146,234
Nanaimo--Cowichan/Nanaimo--Cowichan,85B,Nanaimo,0,106,29,38,89,1,0,263,477
Nanaimo--Cowichan/Nanaimo--Cowichan,86,Nanaimo,0,68,11,20,57,0,0,156,262
Nanaimo--Cowichan/Nanaimo--Cowichan,87,Nanaimo,0,60,12,34,69,2,0,177,260
Nanaimo--Cowichan/Nanaimo--Cowichan,88,Nanaimo,2,124,19,50,108,2,0,305,482
Nanaimo--Cowichan/Nanaimo--Cowichan,89A,Gabriola Island 5,0,87,22,26,58,1,0,194,302
Nanaimo--Cowichan/Nanaimo--Cowichan,89B,Gabriola Island 5,0,97,19,35,48,1,0,200,300
Nanaimo--Cowichan/Nanaimo--Cowichan,90A,Gabriola Island ,1,89,14,32,52,3,0,191,294
Nanaimo--Cowichan/Nanaimo--Cowichan,90B,Gabriola Island ,1,107,18,22,47,3,1,199,307
Nanaimo--Cowichan/Nanaimo--Cowichan,91A,Gabriola Island ,0,104,28,51,48,1,0,232,334
Nanaimo--Cowichan/Nanaimo--Cowichan,91B,Gabriola Island ,1,94,14,28,37,3,0,177,318
Nanaimo--Cowichan/Nanaimo--Cowichan,92,Gabriola Island ,2,198,38,67,73,5,2,385,569
Nanaimo--Cowichan/Nanaimo--Cowichan,93,Gabriola Island ,3,133,28,56,54,2,1,277,455
Nanaimo--Cowichan/Nanaimo--Cowichan,94,Lyacksun 3,0,16,14,8,17,0,0,55,64
Nanaimo--Cowichan/Nanaimo--Cowichan,95,Thetis Island,0,65,38,20,88,2,0,213,286
Nanaimo--Cowichan/Nanaimo--Cowichan,96,Bush Creek,0,69,11,20,55,1,0,156,258
Nanaimo--Cowichan/Nanaimo--Cowichan,97,Michael & Manana Lakes,1,106,23,54,109,1,0,294,441
Nanaimo--Cowichan/Nanaimo--Cowichan,98,Yellow Point,0,142,41,55,112,1,0,351,542
Nanaimo--Cowichan/Nanaimo--Cowichan,99,Chemainus 13,0,165,4,6,8,0,0,183,349
Nanaimo--Cowichan/Nanaimo--Cowichan,100A,Ladysmith,1,218,35,68,139,1,1,463,714
Nanaimo--Cowichan/Nanaimo--Cowichan,100B,Mobile poll/Bureau itinérant,Merged with No. 46B,,,,,,,,43
Nanaimo--Cowichan/Nanaimo--Cowichan,101A,Ladysmith,0,105,11,32,80,0,4,232,333
Nanaimo--Cowichan/Nanaimo--Cowichan,101B,Ladysmith,0,61,13,29,70,1,0,174,284
Nanaimo--Cowichan/Nanaimo--Cowichan,102,Ladysmith,0,94,13,49,91,0,0,247,353
Nanaimo--Cowichan/Nanaimo--Cowichan,103,Ladysmith,1,125,27,49,96,1,1,300,496
Nanaimo--Cowichan/Nanaimo--Cowichan,104,Ladysmith,1,176,27,17,93,2,4,320,460
Nanaimo--Cowichan/Nanaimo--Cowichan,105,Ladysmith,1,106,16,35,44,4,0,206,330
Nanaimo--Cowichan/Nanaimo--Cowichan,106,Ladysmith,1,141,21,60,102,2,0,327,516
Nanaimo--Cowichan/Nanaimo--Cowichan,107,Ladysmith,1,157,28,46,94,0,0,326,474
Nanaimo--Cowichan/Nanaimo--Cowichan,108,Ladysmith,2,132,18,50,92,0,2,296,444
Nanaimo--Cowichan/Nanaimo--Cowichan,109,Ladysmith,0,86,10,50,87,0,0,233,374
Nanaimo--Cowichan/Nanaimo--Cowichan,110,Ladysmith,2,76,15,47,89,1,1,231,350
Nanaimo--Cowichan/Nanaimo--Cowichan,111,Saltair,1,75,8,54,101,0,1,240,368
Nanaimo--Cowichan/Nanaimo--Cowichan,112,Saltair,1,93,19,34,90,1,1,239,383
Nanaimo--Cowichan/Nanaimo--Cowichan,113,Saltair,1,98,17,41,116,0,0,273,437
Nanaimo--Cowichan/Nanaimo--Cowichan,114,Saltair,3,92,7,31,100,1,0,234,359
Nanaimo--Cowichan/Nanaimo--Cowichan,115A,North Cowichan,2,135,19,61,190,2,0,409,589
Nanaimo--Cowichan/Nanaimo--Cowichan,115B,Mobile poll/Bureau itinérant,Merged with No. 502A,,,,,,,,12
Nanaimo--Cowichan/Nanaimo--Cowichan,116,North Cowichan,0,126,7,38,118,0,2,291,444
Nanaimo--Cowichan/Nanaimo--Cowichan,117A,Chemainus,0,89,11,40,93,1,0,234,334
Nanaimo--Cowichan/Nanaimo--Cowichan,117B,Chemainus,1,96,3,34,70,2,0,206,298
Nanaimo--Cowichan/Nanaimo--Cowichan,118,Chemainus,3,143,25,43,110,3,1,328,459
Nanaimo--Cowichan/Nanaimo--Cowichan,119,Osborn Bay,2,122,15,50,127,0,1,317,479
Nanaimo--Cowichan/Nanaimo--Cowichan,120,Osborn Bay,0,143,10,25,97,1,0,276,455
Nanaimo--Cowichan/Nanaimo--Cowichan,121,North Cowichan,1,113,16,36,94,1,1,262,399
Nanaimo--Cowichan/Nanaimo--Cowichan,122,Somenos,1,105,12,35,92,5,1,251,422
Nanaimo--Cowichan/Nanaimo--Cowichan,123,Westholme,2,83,13,21,90,3,0,212,362
Nanaimo--Cowichan/Nanaimo--Cowichan,124,Tent Island 8,0,68,0,0,3,0,0,71,115
Nanaimo--Cowichan/Nanaimo--Cowichan,125,Crofton,0,145,26,47,114,0,1,333,497
Nanaimo--Cowichan/Nanaimo--Cowichan,126,Crofton,1,125,11,31,79,0,1,248,362
Nanaimo--Cowichan/Nanaimo--Cowichan,127,Crofton,2,135,22,52,157,0,0,368,513
Nanaimo--Cowichan/Nanaimo--Cowichan,128,North Cowichan,1,127,22,41,102,2,2,297,490
Nanaimo--Cowichan/Nanaimo--Cowichan,129,Somenos,0,101,19,41,97,2,2,262,408
Nanaimo--Cowichan/Nanaimo--Cowichan,130,Somenos,1,150,11,55,70,1,1,289,513
Nanaimo--Cowichan/Nanaimo--Cowichan,131A,Somenos,0,68,5,34,88,1,0,196,292
Nanaimo--Cowichan/Nanaimo--Cowichan,131B,Somenos,0,65,4,35,91,1,1,197,275
Nanaimo--Cowichan/Nanaimo--Cowichan,132,Somenos,1,139,7,52,127,1,1,328,500
Nanaimo--Cowichan/Nanaimo--Cowichan,133,Hayward,1,69,4,20,27,1,0,122,244
Nanaimo--Cowichan/Nanaimo--Cowichan,134,Hayward,1,97,14,27,63,4,1,207,490
Nanaimo--Cowichan/Nanaimo--Cowichan,135,Hayward,0,103,7,64,75,0,1,250,400
Nanaimo--Cowichan/Nanaimo--Cowichan,136,North Cowichan,1,126,8,45,147,3,2,332,513
Nanaimo--Cowichan/Nanaimo--Cowichan,137,Maple Bay,1,150,19,63,117,3,1,354,490
Nanaimo--Cowichan/Nanaimo--Cowichan,138,North Cowichan,0,73,5,43,112,1,0,234,322
Nanaimo--Cowichan/Nanaimo--Cowichan,139,North Cowichan,0,91,7,53,87,2,0,240,338
Nanaimo--Cowichan/Nanaimo--Cowichan,140,North Cowichan,3,145,13,59,148,1,1,370,515
Nanaimo--Cowichan/Nanaimo--Cowichan,141,North Cowichan,0,31,14,11,27,0,0,83,144
Nanaimo--Cowichan/Nanaimo--Cowichan,142,North Cowichan,0,92,11,54,119,1,0,277,405
Nanaimo--Cowichan/Nanaimo--Cowichan,143,North Cowichan,0,43,6,26,64,1,0,140,194
Nanaimo--Cowichan/Nanaimo--Cowichan,144,North Cowichan,0,68,10,38,111,3,0,230,356
Nanaimo--Cowichan/Nanaimo--Cowichan,145,North Cowichan,0,81,6,48,74,0,0,209,337
Nanaimo--Cowichan/Nanaimo--Cowichan,146,North Cowichan,0,105,3,87,134,0,0,329,488
Nanaimo--Cowichan/Nanaimo--Cowichan,147,Maple Bay,1,94,15,68,105,0,1,284,451
Nanaimo--Cowichan/Nanaimo--Cowichan,148,Paldi,1,111,6,21,86,0,1,226,332
Nanaimo--Cowichan/Nanaimo--Cowichan,149,Sahtlam,0,154,21,45,122,2,1,345,562
Nanaimo--Cowichan/Nanaimo--Cowichan,150,Hayward,2,135,6,42,57,2,0,244,478
Nanaimo--Cowichan/Nanaimo--Cowichan,151,Hayward,1,136,8,31,49,0,1,226,463
Nanaimo--Cowichan/Nanaimo--Cowichan,152,Hayward,0,126,7,30,88,3,1,255,420
Nanaimo--Cowichan/Nanaimo--Cowichan,153,Hayward,1,75,8,23,57,0,1,165,351
Nanaimo--Cowichan/Nanaimo--Cowichan,154,Hayward,0,83,11,22,49,1,0,166,379
Nanaimo--Cowichan/Nanaimo--Cowichan,155,Hayward,0,80,8,21,58,2,0,169,335
Nanaimo--Cowichan/Nanaimo--Cowichan,156,Hayward,2,179,12,39,84,3,0,319,566
Nanaimo--Cowichan/Nanaimo--Cowichan,157,Hayward,1,107,5,50,58,5,3,229,372
Nanaimo--Cowichan/Nanaimo--Cowichan,158,Duncan,0,119,14,39,67,4,0,243,405
Nanaimo--Cowichan/Nanaimo--Cowichan,159,Duncan,1,100,3,37,58,0,0,199,423
Nanaimo--Cowichan/Nanaimo--Cowichan,160,Hayward,1,116,8,27,55,1,0,208,365
Nanaimo--Cowichan/Nanaimo--Cowichan,161,Hayward,0,106,4,26,74,0,1,211,327
Nanaimo--Cowichan/Nanaimo--Cowichan,162,Hayward,1,109,3,26,50,2,0,191,295
Nanaimo--Cowichan/Nanaimo--Cowichan,163,Hayward,0,94,20,23,77,0,1,215,317
Nanaimo--Cowichan/Nanaimo--Cowichan,164,Cowichan 1,Merged with No. 165,,,,,,,,53
Nanaimo--Cowichan/Nanaimo--Cowichan,165,Cowichan 1,0,96,7,8,17,1,0,129,211
Nanaimo--Cowichan/Nanaimo--Cowichan,166,Duncan,0,132,6,38,68,5,3,252,452
Nanaimo--Cowichan/Nanaimo--Cowichan,167A,Duncan,1,75,6,21,46,1,0,150,278
Nanaimo--Cowichan/Nanaimo--Cowichan,167B,Duncan,1,68,4,23,39,2,1,138,283
Nanaimo--Cowichan/Nanaimo--Cowichan,168,Duncan,0,127,12,26,75,1,0,241,398
Nanaimo--Cowichan/Nanaimo--Cowichan,169,Duncan,2,62,7,23,32,1,1,128,281
Nanaimo--Cowichan/Nanaimo--Cowichan,170,Duncan,1,104,7,40,84,1,1,238,435
Nanaimo--Cowichan/Nanaimo--Cowichan,171A,Duncan,2,61,4,35,37,0,1,140,291
Nanaimo--Cowichan/Nanaimo--Cowichan,171B,Duncan,1,65,8,23,48,0,0,145,303
Nanaimo--Cowichan/Nanaimo--Cowichan,172,Cowichan 1,0,3,0,0,4,0,0,7,22
Nanaimo--Cowichan/Nanaimo--Cowichan,173,Eagle Heights,0,110,14,24,71,1,0,220,430
Nanaimo--Cowichan/Nanaimo--Cowichan,174,Cowichan 1,0,64,5,20,59,0,0,148,261
Nanaimo--Cowichan/Nanaimo--Cowichan,175,Duncan,2,132,8,44,74,2,1,263,419
Nanaimo--Cowichan/Nanaimo--Cowichan,176,Cowichan 1,Merged with No. 179,,,,,,,,84
Nanaimo--Cowichan/Nanaimo--Cowichan,177,Cowichan 1,0,48,0,6,10,0,0,64,136
Nanaimo--Cowichan/Nanaimo--Cowichan,178,Deerholme,1,82,22,37,80,0,1,223,360
Nanaimo--Cowichan/Nanaimo--Cowichan,179,Cowichan 1,0,64,4,8,7,0,0,83,182
Nanaimo--Cowichan/Nanaimo--Cowichan,180,Cowichan 1,0,72,0,7,9,0,0,88,195
Nanaimo--Cowichan/Nanaimo--Cowichan,181,Eagle Heights,Merged with No. 180,,,,,,,,13
Nanaimo--Cowichan/Nanaimo--Cowichan,182,Eagle Heights,2,108,16,39,63,0,0,228,499
Nanaimo--Cowichan/Nanaimo--Cowichan,183,Cowichan Station,0,154,14,49,98,3,0,318,460
Nanaimo--Cowichan/Nanaimo--Cowichan,184,Cowichan Station,1,118,23,49,77,1,0,269,356
Nanaimo--Cowichan/Nanaimo--Cowichan,185,Cowichan Bay,0,46,13,32,35,0,0,126,197
Nanaimo--Cowichan/Nanaimo--Cowichan,186,Cowichan Bay,Merged with No. 187,,,,,,,,5
Nanaimo--Cowichan/Nanaimo--Cowichan,187,Cowichan Bay,2,91,15,38,67,1,1,215,315
Nanaimo--Cowichan/Nanaimo--Cowichan,188A,Cowichan Station,1,70,9,22,41,0,0,143,177
Nanaimo--Cowichan/Nanaimo--Cowichan,188B,Cowichan Station,Merged with No. 209,,,,,,,,202
Nanaimo--Cowichan/Nanaimo--Cowichan,189,Cobble Hill,0,90,24,68,88,1,2,273,417
Nanaimo--Cowichan/Nanaimo--Cowichan,190,Cowichan Bay,1,146,22,44,89,0,0,302,432
Nanaimo--Cowichan/Nanaimo--Cowichan,191,Cowichan Bay,0,111,14,23,83,0,2,233,348
Nanaimo--Cowichan/Nanaimo--Cowichan,192,Cowichan Bay,0,92,5,29,62,1,0,189,278
Nanaimo--Cowichan/Nanaimo--Cowichan,193,Cowichan Bay,1,117,16,62,91,0,0,287,405
Nanaimo--Cowichan/Nanaimo--Cowichan,194,Cobble Hill,1,55,7,51,99,0,0,213,372
Nanaimo--Cowichan/Nanaimo--Cowichan,195,Cobble Hill,0,76,16,48,49,1,2,192,349
Nanaimo--Cowichan/Nanaimo--Cowichan,196,Cobble Hill,0,123,28,56,103,1,1,312,558
Nanaimo--Cowichan/Nanaimo--Cowichan,197,Cobble Hill,1,91,15,34,66,0,0,207,348
Nanaimo--Cowichan/Nanaimo--Cowichan,198,Cobble Hill--Hatch Point 12,1,152,17,83,108,0,1,362,528
Nanaimo--Cowichan/Nanaimo--Cowichan,199,Hatch Point 12,2,113,22,78,118,2,1,336,540
Nanaimo--Cowichan/Nanaimo--Cowichan,200,Hatch Point 12,0,47,11,100,176,0,0,334,408
Nanaimo--Cowichan/Nanaimo--Cowichan,201,Hatch Point 12,0,24,4,79,208,0,2,317,376
Nanaimo--Cowichan/Nanaimo--Cowichan,202A,Shawnigan Lake,0,111,51,77,108,3,0,350,589
Nanaimo--Cowichan/Nanaimo--Cowichan,202B,Shawnigan Lake,Merged with No. 184,,,,,,,,87
Nanaimo--Cowichan/Nanaimo--Cowichan,203,Shawnigan Lake,1,132,17,80,78,0,2,310,476
Nanaimo--Cowichan/Nanaimo--Cowichan,204,Shawnigan Lake,2,125,20,69,112,1,0,329,500
Nanaimo--Cowichan/Nanaimo--Cowichan,205,Shawnigan Lake,2,107,20,51,108,3,0,291,467
Nanaimo--Cowichan/Nanaimo--Cowichan,206,Cliffside,1,133,34,65,93,3,0,329,563
Nanaimo--Cowichan/Nanaimo--Cowichan,207,Shawnigan Lake,1,132,27,63,105,0,2,330,505
Nanaimo--Cowichan/Nanaimo--Cowichan,208,Shawnigan,3,110,24,44,61,2,1,245,441
Nanaimo--Cowichan/Nanaimo--Cowichan,209,Shawnigan,0,120,16,41,98,0,0,275,305
Nanaimo--Cowichan/Nanaimo--Cowichan,210,Cobble Hill,1,122,33,82,134,0,0,372,554
Nanaimo--Cowichan/Nanaimo--Cowichan,211,Mill Bay,0,65,12,29,66,0,0,172,278
Nanaimo--Cowichan/Nanaimo--Cowichan,212,Mill Bay,0,107,22,96,146,0,0,371,581
Nanaimo--Cowichan/Nanaimo--Cowichan,213,Hatch Point 12,0,66,21,58,105,2,0,252,423
Nanaimo--Cowichan/Nanaimo--Cowichan,214,Mill Bay,0,103,14,77,111,2,1,308,460
Nanaimo--Cowichan/Nanaimo--Cowichan,215,Mill Bay,1,86,15,78,111,0,0,291,435
Nanaimo--Cowichan/Nanaimo--Cowichan,216,Malahat,1,85,35,32,73,2,0,228,398
Nanaimo--Cowichan/Nanaimo--Cowichan,500,Mobile poll/Bureau itinérant,0,26,2,13,13,0,0,54,78
Nanaimo--Cowichan/Nanaimo--Cowichan,501,Mobile poll/Bureau itinérant,4,45,8,17,18,0,1,93,141
Nanaimo--Cowichan/Nanaimo--Cowichan,502A,Mobile poll/Bureau itinérant,1,21,2,9,11,0,1,45,37
Nanaimo--Cowichan/Nanaimo--Cowichan,502B,Mobile poll/Bureau itinérant,Merged with No. 46B,,,,,,,,21
Nanaimo--Cowichan/Nanaimo--Cowichan,503A,Mobile poll/Bureau itinérant,6,31,4,14,16,7,4,82,126
Nanaimo--Cowichan/Nanaimo--Cowichan,503B,Mobile poll/Bureau itinérant,2,15,2,11,18,0,2,50,55
Nanaimo--Cowichan/Nanaimo--Cowichan,504,Mobile poll/Bureau itinérant,1,27,6,15,23,0,5,77,190
Nanaimo--Cowichan/Nanaimo--Cowichan,600,Lake Cowichan,0,78,6,18,77,0,0,179,
Nanaimo--Cowichan/Nanaimo--Cowichan,601,Nanaimo (Regional District),1,127,20,36,104,0,0,288,
Nanaimo--Cowichan/Nanaimo--Cowichan,602,Nanaimo,3,168,33,67,154,2,1,428,
Nanaimo--Cowichan/Nanaimo--Cowichan,603,Nanaimo,1,210,38,100,163,1,1,514,
Nanaimo--Cowichan/Nanaimo--Cowichan,604,Nanaimo,3,198,22,51,117,1,0,392,
Nanaimo--Cowichan/Nanaimo--Cowichan,605,Gabriola Island 5,0,102,25,47,54,0,0,228,
Nanaimo--Cowichan/Nanaimo--Cowichan,606,Ladysmith,1,193,38,93,293,0,1,619,
Nanaimo--Cowichan/Nanaimo--Cowichan,607,North Cowichan,0,122,26,64,264,0,0,476,
Nanaimo--Cowichan/Nanaimo--Cowichan,608,Duncan,3,298,34,94,309,1,0,739,
Nanaimo--Cowichan/Nanaimo--Cowichan,609,Cowichan Station,2,117,12,48,134,3,0,316,
Nanaimo--Cowichan/Nanaimo--Cowichan,610,Cowichan Bay,1,76,11,47,186,0,0,321,
Nanaimo--Cowichan/Nanaimo--Cowichan,611,Shawnigan Lake,0,80,20,31,100,0,0,231,
Nanaimo--Cowichan/Nanaimo--Cowichan,612,Mill Bay,2,55,11,50,124,0,1,243,
Nanaimo--Cowichan/Nanaimo--Cowichan,,Group 1/Groupe 1,4,42,17,37,48,2,3,153,323
Nanaimo--Cowichan/Nanaimo--Cowichan,,Group 2/Groupe 2,3,303,44,140,307,3,10,810,
