District,Poll Number,Poll Name,Sam Cino,Tony DePaulo,Fred Eisenberger,Bob Mann,Richard Safka,Tony Valeri,Rejected Ballots,Total Vote,Electors
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,60,Hamilton,3,86,39,0,6,52,1,187,345
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,61,Hamilton,3,60,38,0,9,37,0,147,307
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,62,Hamilton,1,81,23,2,6,38,0,151,394
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,63,Hamilton,2,60,30,0,7,49,0,148,329
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,64,Hamilton,1,103,45,0,9,58,0,216,393
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,65,Hamilton,1,98,43,2,9,61,3,217,390
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,66,Hamilton,2,108,38,0,8,51,2,209,369
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,67,Hamilton,2,95,54,0,4,56,0,211,379
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,68,Hamilton,3,119,41,0,2,66,0,231,476
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,69,Hamilton,3,63,46,0,2,49,0,163,283
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,70,Hamilton,1,99,30,1,3,57,0,191,424
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,71,Hamilton,3,89,30,0,10,59,1,192,342
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,72,Hamilton,0,82,36,0,2,54,0,174,343
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,73,Hamilton,2,105,37,1,9,66,2,222,397
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,74,Hamilton,1,114,57,1,13,80,3,269,433
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,75,Hamilton,0,97,46,0,5,70,0,218,402
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,76,Hamilton,2,126,64,3,1,71,0,267,446
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,77,Hamilton,1,79,49,0,3,64,0,196,381
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,78,Hamilton,4,81,61,0,10,78,1,235,407
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,79,Hamilton,0,113,65,1,5,82,0,266,429
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,80,Hamilton,0,94,44,0,9,42,0,189,305
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,81,Hamilton,1,75,56,1,6,72,1,212,350
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,82,Hamilton,2,108,57,0,12,66,0,245,345
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,83,Hamilton,0,97,55,0,16,82,3,253,357
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,84,Hamilton,2,68,22,0,2,45,1,140,361
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,85,Hamilton,2,82,90,2,4,97,3,280,514
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,86,Hamilton,0,29,58,1,2,124,1,215,353
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,87,Hamilton,3,45,32,2,4,51,2,139,361
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,88,Hamilton,0,62,37,1,9,50,1,160,429
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,89,Hamilton,0,47,32,1,4,55,1,140,333
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,90,Hamilton,1,60,42,1,0,66,0,170,371
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,91,Hamilton,2,66,27,3,0,20,0,118,440
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,92,Hamilton,1,58,32,1,6,127,1,226,362
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,93,Hamilton,2,75,60,1,5,118,3,264,484
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,94,Hamilton,1,55,46,1,6,77,0,186,379
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,95,Hamilton,1,57,70,2,2,116,4,252,464
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,96,Hamilton,1,43,51,0,3,45,0,143,319
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,97,Hamilton,1,60,42,1,5,90,1,200,326
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,98,Hamilton,0,57,57,0,4,95,2,215,383
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,99,Hamilton,0,38,35,0,4,94,0,171,334
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,100,Hamilton,0,38,58,0,6,85,0,187,313
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,101,Hamilton,2,56,60,0,7,100,1,226,351
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,102,Hamilton,1,82,67,2,6,105,3,266,420
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,103,Hamilton,2,94,80,0,3,83,3,265,472
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,104,Hamilton,1,47,24,0,1,40,2,115,280
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,105,Hamilton,0,56,28,1,3,63,1,152,337
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,106,Hamilton,1,78,33,1,2,85,0,200,429
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,107,Hamilton,0,23,24,1,2,41,0,91,164
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,108,Stoney Creek,1,75,95,1,5,149,0,326,594
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,109,Hamilton,1,57,61,0,2,131,6,258,380
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,110,Hamilton,4,39,50,3,2,122,0,220,355
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,111,Hamilton,0,51,47,0,6,101,2,207,348
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,112,Hamilton,0,57,30,2,0,93,1,183,367
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,113,Hamilton,1,47,32,0,2,37,0,119,313
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,114,Hamilton,0,46,34,0,6,69,4,159,404
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,115,Hamilton,4,43,41,0,6,55,0,149,307
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,116,Hamilton,1,90,46,1,10,47,1,196,568
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,117,Hamilton,3,44,65,0,6,186,3,307,452
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,118,Hamilton,2,66,57,6,7,240,4,382,604
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,119,Hamilton,3,19,17,2,2,48,1,92,155
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,120,Hamilton,2,86,44,0,3,49,1,185,457
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,121,Hamilton,3,83,29,1,6,32,0,154,419
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,122,Hamilton,2,62,23,1,5,100,1,194,337
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,123,Hamilton,3,68,28,0,2,78,0,179,467
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,124,Hamilton,1,68,29,2,5,122,0,227,435
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,125,Hamilton,3,49,21,0,0,102,2,177,295
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,126,Hamilton,4,97,40,0,2,82,0,225,546
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,127,Hamilton,1,67,14,2,5,32,0,121,320
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,128,Hamilton,2,59,11,0,1,62,3,138,389
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,129,Hamilton,3,81,10,4,4,29,1,132,362
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,130,Hamilton,1,77,39,0,5,64,1,187,345
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,131,Hamilton,4,70,40,2,9,56,0,181,350
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,132,Hamilton,1,48,27,2,3,33,0,114,314
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,133,Hamilton,0,27,9,0,2,27,0,65,240
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,134,Hamilton,0,100,63,1,11,52,0,227,518
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,135,Hamilton,5,94,47,1,5,141,0,293,451
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,136,Hamilton,3,110,47,1,3,87,0,251,434
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,137,Hamilton,2,90,50,1,7,125,0,275,456
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,138,Hamilton,1,60,30,0,5,114,0,210,294
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,139,Hamilton,2,34,41,0,10,101,0,188,415
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,140,Stoney Creek,1,51,31,0,8,44,2,137,465
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,141,Stoney Creek,0,50,37,0,6,51,0,144,358
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,142,Stoney Creek,1,49,56,0,8,108,3,225,331
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,143,Stoney Creek,1,45,53,0,10,94,2,205,337
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,144,Stoney Creek,0,23,36,0,5,56,5,125,231
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,145,Stoney Creek,3,31,48,0,2,76,4,164,409
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,146,Stoney Creek,0,47,37,2,7,51,1,145,325
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,147,Stoney Creek,1,49,70,0,10,79,2,211,383
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,148,Stoney Creek,1,61,99,3,9,129,4,306,484
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,149,Stoney Creek,2,67,77,2,10,69,2,229,481
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,150,Stoney Creek,0,32,15,1,3,16,0,67,264
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,151,Stoney Creek,1,71,86,1,11,84,3,257,428
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,152,Stoney Creek,0,42,39,1,0,80,2,164,300
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,153,Stoney Creek,1,60,36,0,2,62,4,165,333
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,154,Stoney Creek,2,54,54,0,13,63,4,190,327
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,155,Stoney Creek,1,54,47,1,8,65,0,176,311
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,156,Stoney Creek,2,55,41,1,3,171,11,284,401
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,157,Stoney Creek,2,61,38,0,10,105,1,217,360
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,158,Stoney Creek,2,52,77,0,7,127,3,268,396
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,159,Stoney Creek,2,38,73,4,5,65,0,187,380
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,160,Stoney Creek,1,54,63,1,8,87,0,214,399
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,161,Stoney Creek,4,40,52,1,10,98,0,205,344
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,162,Stoney Creek,0,67,52,2,5,65,0,191,328
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,163,Stoney Creek,2,38,66,0,6,104,0,216,364
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,164,Stoney Creek,1,50,70,0,6,78,1,206,373
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,165,Stoney Creek,0,27,29,0,7,49,0,112,173
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,166,Stoney Creek,2,80,81,1,5,111,2,282,405
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,167,Stoney Creek,1,93,94,0,8,142,0,338,703
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,168,Stoney Creek,1,74,47,1,4,148,6,281,433
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,169,Stoney Creek,2,74,54,0,5,75,3,213,365
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,170,Stoney Creek,1,53,38,3,18,70,0,183,317
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,171,Stoney Creek,2,77,35,0,2,102,1,219,352
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,172,Stoney Creek,4,89,57,0,5,162,2,319,474
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,173,Stoney Creek,3,55,40,0,3,174,2,277,456
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,174,Stoney Creek,0,46,17,0,2,111,2,178,282
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,175,Stoney Creek,0,60,31,1,6,131,3,232,374
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,176A,Stoney Creek,2,56,36,0,3,138,3,238,389
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,176B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,1
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,177,Stoney Creek,4,43,29,1,6,65,2,150,316
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,178,Stoney Creek,1,54,45,1,11,146,1,259,444
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,179,Stoney Creek,1,65,52,1,6,91,3,219,418
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,180,Stoney Creek,1,84,78,0,8,128,3,302,515
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,181,Stoney Creek,2,77,96,1,11,161,1,349,605
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,182,Stoney Creek,2,123,67,1,11,175,1,380,677
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,183,Stoney Creek,3,45,34,0,4,121,0,207,366
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,184,Stoney Creek,0,50,31,0,0,79,1,161,372
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,185,Stoney Creek,3,90,61,2,4,227,1,388,583
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,186,Stoney Creek,0,46,32,2,1,78,0,159,240
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,187,Stoney Creek,6,89,54,1,14,132,3,299,557
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,188,Stoney Creek,1,80,26,0,2,74,0,183,351
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,189,Stoney Creek,4,96,70,1,6,103,2,282,452
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,190,Stoney Creek,6,63,31,0,12,155,1,268,400
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,191,Stoney Creek,3,45,59,0,13,142,0,262,377
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,192,Stoney Creek,5,48,17,1,3,128,1,203,349
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,193,Stoney Creek,1,62,40,0,17,113,2,235,420
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,194,Stoney Creek,3,37,76,0,9,195,0,320,459
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,195,Stoney Creek,2,44,46,0,13,188,2,295,455
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,196,Stoney Creek,4,75,58,0,11,145,0,293,458
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,197,Stoney Creek,2,43,31,0,3,60,2,141,320
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,198,Stoney Creek,2,53,60,0,9,147,2,273,422
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,199,Stoney Creek,2,55,74,1,6,167,2,307,542
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,200,Stoney Creek,2,42,57,0,0,165,2,268,466
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,201,Stoney Creek,2,73,53,0,10,114,2,254,481
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,202,Stoney Creek,2,53,33,2,11,71,0,172,364
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,203,Stoney Creek,0,36,108,0,8,118,1,271,534
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,204,Stoney Creek,4,32,109,0,4,109,0,258,476
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,205,Stoney Creek,0,20,29,0,2,34,0,85,125
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,206,Stoney Creek,2,71,72,1,7,102,1,256,453
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,207,Stoney Creek,0,44,75,0,15,143,2,279,440
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,208A,Stoney Creek,1,43,64,0,4,103,3,218,403
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,208B,Stoney Creek,1,33,74,0,11,107,1,227,408
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,209,Stoney Creek,0,24,19,0,4,48,0,95,176
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,210,Stoney Creek,1,45,41,0,4,92,1,184,335
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,211,Stoney Creek,3,69,69,1,6,99,1,248,433
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,212A,Stoney Creek,1,44,75,0,18,119,1,258,385
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,212B,Stoney Creek,1,38,103,0,8,125,1,276,408
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,400,Hamilton,1,102,35,1,4,29,3,175,375
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,401,Hamilton,0,78,46,0,2,58,2,186,311
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,402,Hamilton,1,85,43,5,4,57,5,200,234
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,403,Hamilton,10,90,52,0,7,59,4,222,385
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,404,Hamilton,1,53,20,1,1,34,0,110,381
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,405,Stoney Creek,0,63,101,0,21,99,1,285,416
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,500,Mobile poll/Bureau itinérant,0,12,16,2,0,30,2,62,155
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,501,Mobile poll/Bureau itinérant,1,12,20,3,3,37,3,79,247
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,600,Hamilton,1,147,33,1,9,51,1,243,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,601,Hamilton,1,112,54,0,8,35,1,211,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,602,Hamilton,0,144,72,0,6,52,1,275,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,603,Hamilton,3,200,141,1,11,140,1,497,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,604,Hamilton,1,114,144,2,5,176,3,445,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,605,Hamilton,1,98,99,1,3,131,0,333,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,606,Hamilton,0,108,47,1,5,65,0,226,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,607,Stoney Creek,5,186,247,2,19,305,3,767,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,608,Stoney Creek,5,115,151,0,8,175,2,456,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,609,Stoney Creek,0,78,207,0,17,210,2,514,
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,,Group 1/Groupe 1,0,13,16,0,2,30,0,61,183
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,,Group 2/Groupe 2,1,241,183,1,15,203,4,648,
