District,Poll Number,Poll Name,Denis A. Carrière,Joe Comuzzi,Bruce Hyer,Carl Rose,Bev Sarafin,Rejected Ballots,Total Vote,Electors
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,22A,Greenstone,7,49,41,5,30,0,132,283
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,22B,Greenstone,3,41,37,6,34,1,122,281
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,23,Greenstone,6,62,45,2,50,3,168,343
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,24,Greenstone,4,47,33,6,42,0,132,249
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,25,Greenstone,3,75,53,4,20,1,156,337
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,26,Long Lake 58,4,36,8,3,4,2,57,179
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,27,Greenstone,3,78,54,3,33,0,171,384
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,28,Longlac,6,69,53,1,15,0,144,280
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,29,Ginoogaming First Nation 77,3,20,7,0,1,0,31,98
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,30,Longlac,3,90,64,4,37,2,200,403
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,31,Greenstone,1,17,9,2,10,0,39,160
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,32,Toimela,3,79,78,7,90,0,257,466
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,33,Kaministiquia,10,73,63,7,54,5,212,466
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,34,Gorham,5,73,75,14,68,0,235,385
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,35,Gorham,2,55,33,10,15,0,115,240
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,36A,Gorham,1,61,38,5,27,1,133,321
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,36B,Gorham,8,42,52,4,19,0,125,310
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,37,MacGregor,0,28,26,5,28,0,87,126
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,38,MacGregor,4,132,82,9,92,1,320,535
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,39,MacGregor,Void,,,,,,,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,40,MacGregor,5,111,62,20,84,1,283,480
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,41,McIntyre Bay 54,2,83,47,11,47,0,190,371
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,42,Pass Lake,3,66,60,12,25,1,167,266
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,43,Thunder Bay,1,43,54,22,50,3,173,321
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,44,Thunder Bay,1,72,77,17,59,1,227,420
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,45,Thunder Bay,5,91,62,13,76,2,249,448
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,46,Thunder Bay,1,123,53,1,58,5,241,491
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,47,Thunder Bay,3,74,43,3,42,1,166,331
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,48,Thunder Bay,2,92,51,8,59,2,214,417
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,49,Thunder Bay,5,66,46,4,40,1,162,342
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,50,Thunder Bay,2,97,66,5,72,0,242,468
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,51,Thunder Bay,4,48,28,3,34,1,118,250
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,52,Thunder Bay,2,56,27,14,32,0,131,298
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,53,Thunder Bay,3,52,41,9,15,1,121,330
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,54,Thunder Bay,3,50,48,6,15,0,122,303
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,55,Thunder Bay,2,75,52,6,41,0,176,449
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,56,Thunder Bay,2,46,34,4,21,2,109,354
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,57,Thunder Bay,4,55,49,9,32,0,149,473
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,58,Thunder Bay,3,101,50,8,45,1,208,398
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,59,Thunder Bay,3,118,52,7,40,2,222,464
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,60,Thunder Bay,3,146,62,8,51,2,272,409
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,61A,Thunder Bay,3,72,39,5,49,1,169,295
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,61B,Thunder Bay,1,75,49,11,27,0,163,292
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,62A,Thunder Bay,0,78,23,2,35,2,140,255
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,62B,Thunder Bay,2,75,32,3,43,4,159,252
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,63,Thunder Bay,4,95,54,2,42,1,198,372
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,64,Thunder Bay,5,121,64,8,38,3,239,444
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,65,Thunder Bay,0,88,49,5,42,3,187,376
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,66,Thunder Bay,5,65,64,6,22,1,163,494
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,67,Thunder Bay,0,116,50,6,37,1,210,364
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,68,Thunder Bay,4,80,49,18,22,1,174,389
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,69,Thunder Bay,3,82,48,3,36,2,174,347
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,70,Thunder Bay,2,92,46,16,33,0,189,339
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,71,Thunder Bay,0,99,35,5,22,0,161,259
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,72,Thunder Bay,5,91,54,6,31,1,188,325
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,73,Thunder Bay,2,94,55,6,30,0,187,307
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,74,Thunder Bay,1,72,53,9,32,0,167,346
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,75,Thunder Bay,7,48,53,2,30,1,141,326
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,76,Thunder Bay,1,86,71,12,48,0,218,439
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,77,Thunder Bay,2,78,88,15,33,1,217,396
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,78,Thunder Bay,3,71,62,6,41,1,184,409
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,79,Thunder Bay,3,73,62,9,33,0,180,356
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,80,Thunder Bay,8,74,60,6,31,1,180,380
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,81,Thunder Bay,2,74,35,9,20,0,140,301
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,82A,Thunder Bay,1,41,38,12,14,1,107,241
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,82B,Thunder Bay,2,34,33,8,16,0,93,252
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,83,Thunder Bay,3,34,46,3,19,0,105,176
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,84,Thunder Bay,2,60,33,7,32,1,135,295
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,85,Thunder Bay,1,117,71,4,48,0,241,499
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,86,Thunder Bay,2,82,61,6,43,4,198,394
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,87,Thunder Bay,2,84,94,17,40,1,238,397
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,88,Thunder Bay,1,79,57,4,29,0,170,383
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,89,Thunder Bay,0,71,63,10,58,1,203,383
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,90,Thunder Bay,4,76,32,6,26,1,145,299
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,91A,Thunder Bay,0,52,34,3,19,0,108,260
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,91B,Thunder Bay,3,41,33,2,27,1,107,252
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,92,Thunder Bay,0,73,49,9,40,1,172,322
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,93,Thunder Bay,2,106,79,8,34,2,231,420
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,94,Thunder Bay,1,100,47,13,53,1,215,361
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,95,Thunder Bay,2,107,54,10,54,2,229,395
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,96,Thunder Bay,7,67,61,11,28,1,175,361
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,97,Thunder Bay,3,67,58,17,13,1,159,340
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,98,Thunder Bay,5,77,72,23,22,1,200,394
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,99,Thunder Bay,2,103,80,13,31,2,231,433
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,100,Thunder Bay,2,60,42,9,14,0,127,328
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,101,Thunder Bay,5,35,41,9,22,2,114,380
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,102,Thunder Bay,3,65,52,11,28,1,160,310
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,103,Thunder Bay,4,83,51,16,33,1,188,419
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,104,Thunder Bay,4,128,74,19,62,1,288,475
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,105,Thunder Bay,2,116,42,14,45,1,220,328
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,106A,Thunder Bay,1,70,40,8,13,0,132,247
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,106B,Thunder Bay,1,57,51,7,18,1,135,249
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,107,Thunder Bay,4,64,46,4,30,0,148,290
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,108,Thunder Bay,2,72,58,10,17,2,161,341
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,109,Thunder Bay,2,69,50,12,31,1,165,366
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,110,Thunder Bay,1,72,52,8,31,1,165,323
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,111,Thunder Bay,0,56,64,7,15,0,142,307
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,112,Thunder Bay,1,56,58,8,35,4,162,340
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,113,Thunder Bay,1,52,28,7,5,3,96,188
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,114,Thunder Bay,2,42,35,4,10,0,93,259
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,115,Thunder Bay,2,60,53,6,32,0,153,315
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,116,Thunder Bay,4,139,34,10,64,0,251,478
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,117,Thunder Bay,6,80,42,3,39,0,170,296
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,118,Thunder Bay,1,83,34,17,41,0,176,359
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,119,Thunder Bay,0,165,46,6,77,1,295,475
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,120,Thunder Bay,2,69,40,1,50,1,163,294
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,121,Thunder Bay,3,72,57,10,33,0,175,378
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,122,Thunder Bay,1,72,34,0,25,1,133,284
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,123,Thunder Bay,0,66,56,9,10,1,142,287
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,124,Thunder Bay,1,68,41,7,15,0,132,232
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,125,Thunder Bay,3,53,35,9,19,0,119,271
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,126,Thunder Bay,1,36,29,13,17,2,98,204
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,127,Thunder Bay,1,75,35,9,30,1,151,396
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,128,Thunder Bay,1,38,9,3,17,1,69,176
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,129,Thunder Bay,3,32,18,4,12,2,71,273
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,130,Thunder Bay,2,80,21,3,40,2,148,279
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,131,Thunder Bay,2,60,42,7,33,2,146,342
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,132,Thunder Bay,0,44,25,6,6,4,85,144
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,133,Thunder Bay,0,54,57,12,18,0,141,344
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,134,Thunder Bay,2,58,48,4,28,1,141,343
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,135,Thunder Bay,1,74,52,4,10,3,144,394
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,136,Thunder Bay,6,86,41,4,12,1,150,308
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,137A,Thunder Bay,1,78,28,7,50,1,165,258
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,137B,Thunder Bay,1,66,35,6,33,0,141,262
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,138,Thunder Bay,2,126,49,6,60,2,245,496
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,139,Thunder Bay,1,82,27,4,35,0,149,316
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,140A,Thunder Bay,0,59,27,1,28,1,116,251
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,140B,Thunder Bay,0,66,27,3,21,1,118,252
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,141,Thunder Bay,2,88,50,7,35,0,182,301
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,142,Thunder Bay,2,54,29,7,39,0,131,246
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,143,Thunder Bay,0,49,35,6,34,0,124,196
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,144,Thunder Bay,5,69,69,6,23,1,173,422
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,145,Thunder Bay,4,68,34,8,42,1,157,314
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,146,Thunder Bay,2,70,64,16,30,1,183,395
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,147,Thunder Bay,2,87,93,7,25,1,215,449
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,148,Thunder Bay,4,59,53,7,25,3,151,345
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,149,Thunder Bay,6,51,59,15,27,1,159,350
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,150,Thunder Bay,1,93,39,12,34,1,180,362
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,151,Thunder Bay,1,62,45,13,29,2,152,335
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,152A,Thunder Bay,0,82,48,3,35,1,169,289
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,152B,Thunder Bay,2,80,48,7,24,0,161,293
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,153,Thunder Bay,5,80,60,10,27,1,183,391
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,154,Thunder Bay,2,95,37,9,23,1,167,317
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,155,Thunder Bay,0,69,50,12,33,1,165,300
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,156,Thunder Bay,5,133,56,22,47,0,263,419
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,157,Thunder Bay,1,42,44,15,13,0,115,260
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,158,Thunder Bay,5,44,38,7,23,1,118,282
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,159,Thunder Bay,3,66,42,13,44,1,169,331
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,160,Thunder Bay,2,119,50,18,47,0,236,410
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,161,Thunder Bay,5,58,48,19,11,2,143,381
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,162,Thunder Bay,0,60,46,7,16,1,130,303
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,163A,Rossport,5,4,17,1,1,0,28,48
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,163B,Rossport,5,29,34,2,10,0,80,141
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,164,Schreiber,12,51,37,5,29,1,135,297
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,165,Schreiber,10,42,28,2,24,2,108,232
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,166,Schreiber,4,52,48,5,29,1,139,279
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,167,Schreiber,7,38,33,5,43,0,126,247
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,168,Terrace Bay,11,59,82,14,44,1,211,370
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,169,Terrace Bay,12,77,68,12,41,0,210,369
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,170,Terrace Bay,5,40,42,2,26,1,116,239
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,171,Terrace Bay,8,61,68,5,53,1,196,393
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,172,Heron Bay,0,5,1,0,1,0,7,29
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,172-1,Jackfish,0,4,7,0,3,0,14,16
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,173,Pic River,10,64,42,6,4,1,127,246
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,174,Marathon,5,64,46,17,44,1,177,351
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,175,Marathon,8,65,49,5,28,1,156,329
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,176,Marathon,3,72,35,6,36,1,153,329
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,177,Marathon,3,63,45,10,53,1,175,324
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,178,Marathon,2,40,43,10,35,0,130,250
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,179,Marathon,3,94,68,11,75,0,251,482
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,180,Marathon,3,53,73,7,54,0,190,352
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,181,Marathon,7,61,48,5,45,1,167,476
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,400,Thunder Bay,Merged with No. 120,,,,,,,61
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,401,Thunder Bay,2,43,11,1,5,4,66,148
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,402,Thunder Bay,3,24,9,0,6,1,43,98
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,500,Mobile poll/Bureau itinérant,0,38,6,1,4,4,53,165
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,501,Mobile poll/Bureau itinérant,0,25,11,4,12,1,53,145
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,600,Armstrong,1,14,10,1,5,0,31,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,601,Nipigon,1,65,54,2,43,0,165,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,602,Beardmore,2,12,6,2,12,0,34,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,603,Nakina,2,18,5,1,5,0,31,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,604,Geraldton,1,65,37,4,43,4,154,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,605,Longlac,3,47,13,1,10,1,75,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,606,Thunder Bay,2,58,52,5,52,0,169,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,607,Thunder Bay,0,47,31,1,46,4,129,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,608,Thunder Bay,1,58,36,7,54,0,156,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,609,Thunder Bay,1,215,141,15,111,2,485,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,610,Thunder Bay,1,209,163,16,136,1,526,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,611,Thunder Bay,6,123,92,17,71,1,310,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,612,Thunder Bay,5,189,104,23,143,6,470,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,613,Red Rock,2,20,25,6,13,0,66,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,614,Thunder Bay,5,307,142,27,119,0,600,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,615,Schreiber,4,55,44,7,33,0,143,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,616,Terrace Bay,7,43,37,3,32,0,122,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,617,Marathon,6,101,75,10,62,2,256,
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,,Group 1/Groupe 1,16,48,9,6,37,5,121,219
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,,Group 2/Groupe 2,1,289,138,30,124,9,591,
