District,Poll Number,Poll Name,Roger Carter,Peter Davison,Daniel Dufresne,Miguel Figueroa,Maria Minna,Nick Nikopoulos,Edward Slota,Peter Tabuns,Rejected Ballots,Total Vote,Electors
Beaches--East York/Beaches--East York,46,East York,1,4,0,0,105,24,1,62,1,198,440
Beaches--East York/Beaches--East York,47,East York,1,9,0,0,114,44,1,77,0,246,459
Beaches--East York/Beaches--East York,48,East York,0,7,2,0,129,54,0,78,0,270,432
Beaches--East York/Beaches--East York,49,East York,0,4,1,1,116,35,0,75,1,233,432
Beaches--East York/Beaches--East York,50,East York,0,14,1,0,119,37,1,66,1,239,400
Beaches--East York/Beaches--East York,51,East York,0,5,2,0,93,34,0,46,1,181,314
Beaches--East York/Beaches--East York,52,East York,0,8,1,2,126,23,0,58,0,218,359
Beaches--East York/Beaches--East York,53,East York,0,14,0,0,97,18,0,93,0,222,371
Beaches--East York/Beaches--East York,54,East York,0,9,1,0,76,31,0,59,1,177,277
Beaches--East York/Beaches--East York,55,East York,0,10,0,0,69,26,1,77,0,183,373
Beaches--East York/Beaches--East York,56,East York,0,13,3,0,95,17,0,95,3,226,390
Beaches--East York/Beaches--East York,57,East York,1,9,3,1,115,30,1,84,1,245,386
Beaches--East York/Beaches--East York,58,East York,1,11,4,3,87,36,0,62,0,204,409
Beaches--East York/Beaches--East York,59,East York,0,5,0,0,73,15,0,82,0,175,330
Beaches--East York/Beaches--East York,60,East York,0,13,2,0,57,15,0,48,0,135,262
Beaches--East York/Beaches--East York,61,East York,0,17,2,0,82,33,0,84,0,218,361
Beaches--East York/Beaches--East York,62,East York,2,9,2,4,87,21,2,96,1,224,368
Beaches--East York/Beaches--East York,63,East York,0,14,7,0,111,40,0,93,2,267,432
Beaches--East York/Beaches--East York,64,East York,0,10,0,0,96,20,0,69,2,197,331
Beaches--East York/Beaches--East York,65,East York,0,14,2,2,121,32,0,91,0,262,406
Beaches--East York/Beaches--East York,66,East York,0,13,7,0,117,45,0,102,1,285,445
Beaches--East York/Beaches--East York,67,East York,0,7,1,0,107,12,0,78,2,207,456
Beaches--East York/Beaches--East York,68,East York,0,1,0,1,71,24,2,48,4,151,457
Beaches--East York/Beaches--East York,69,East York,0,8,0,0,39,37,0,52,1,137,299
Beaches--East York/Beaches--East York,70,East York,0,4,0,0,51,33,2,58,1,149,303
Beaches--East York/Beaches--East York,71,East York,1,9,1,2,101,28,0,59,2,203,477
Beaches--East York/Beaches--East York,72,East York,0,0,1,0,98,17,0,59,1,176,382
Beaches--East York/Beaches--East York,73,East York,0,6,1,1,95,40,0,67,0,210,422
Beaches--East York/Beaches--East York,74,East York,0,10,4,1,117,16,0,107,2,257,407
Beaches--East York/Beaches--East York,75,Toronto,0,14,4,0,124,37,0,102,0,281,472
Beaches--East York/Beaches--East York,76,Toronto,0,6,0,0,130,21,0,71,0,228,453
Beaches--East York/Beaches--East York,77,Toronto,0,11,3,0,102,18,0,99,3,236,384
Beaches--East York/Beaches--East York,78,Toronto,0,7,0,0,44,9,0,62,0,122,292
Beaches--East York/Beaches--East York,79A,Toronto,0,2,2,0,101,24,0,61,0,190,467
Beaches--East York/Beaches--East York,79B,Toronto,0,5,1,0,95,19,0,44,0,164,401
Beaches--East York/Beaches--East York,80,Toronto,1,5,3,0,92,9,0,52,1,163,388
Beaches--East York/Beaches--East York,81,Toronto,Void,,,,,,,,,,
Beaches--East York/Beaches--East York,82,Toronto,1,15,2,0,117,32,0,92,2,261,597
Beaches--East York/Beaches--East York,83,East York,0,13,1,0,52,14,0,30,1,111,216
Beaches--East York/Beaches--East York,84,East York,0,8,3,0,70,30,0,59,0,170,386
Beaches--East York/Beaches--East York,85,East York,0,9,2,1,131,34,0,111,0,288,439
Beaches--East York/Beaches--East York,86,East York,0,23,3,0,98,31,1,91,0,247,455
Beaches--East York/Beaches--East York,87,East York,1,13,2,0,95,36,1,84,1,233,472
Beaches--East York/Beaches--East York,88,Toronto,2,10,0,0,123,16,1,64,1,217,335
Beaches--East York/Beaches--East York,89,Toronto,0,12,2,0,121,19,0,110,0,264,385
Beaches--East York/Beaches--East York,90,Toronto,0,10,4,0,131,19,0,97,7,268,460
Beaches--East York/Beaches--East York,91,Toronto,1,11,1,0,135,28,0,75,0,251,432
Beaches--East York/Beaches--East York,92,Toronto,0,10,2,0,106,10,0,47,1,176,376
Beaches--East York/Beaches--East York,93,Toronto,1,11,1,0,116,28,3,81,2,243,476
Beaches--East York/Beaches--East York,94,Toronto,0,19,1,1,106,33,1,71,3,235,373
Beaches--East York/Beaches--East York,95,Toronto,0,18,1,0,103,36,1,98,3,260,400
Beaches--East York/Beaches--East York,96,Toronto,2,21,1,0,125,24,0,88,0,261,422
Beaches--East York/Beaches--East York,97,Toronto,0,21,5,0,112,20,0,113,0,271,471
Beaches--East York/Beaches--East York,98,Toronto,0,14,0,0,84,24,0,86,1,209,352
Beaches--East York/Beaches--East York,99,Toronto,0,8,1,0,105,17,1,69,0,201,315
Beaches--East York/Beaches--East York,100,Toronto,0,6,0,0,115,26,0,90,1,238,418
Beaches--East York/Beaches--East York,101,Toronto,0,16,4,0,97,21,0,76,2,216,342
Beaches--East York/Beaches--East York,102,Toronto,0,11,2,0,111,23,1,93,0,241,399
Beaches--East York/Beaches--East York,103,Toronto,0,13,3,0,122,14,0,70,2,224,438
Beaches--East York/Beaches--East York,104,Toronto,0,6,0,1,141,37,2,71,5,263,483
Beaches--East York/Beaches--East York,105,Toronto,0,16,0,2,102,32,0,95,2,249,368
Beaches--East York/Beaches--East York,106,Toronto,0,18,3,1,85,35,0,94,1,237,424
Beaches--East York/Beaches--East York,107,Toronto,0,10,2,1,108,29,0,87,1,238,365
Beaches--East York/Beaches--East York,108,Toronto,0,14,3,0,96,30,0,97,1,241,345
Beaches--East York/Beaches--East York,109,Toronto,0,11,1,0,108,20,0,79,1,220,322
Beaches--East York/Beaches--East York,110,Toronto,0,12,5,1,95,27,0,91,2,233,405
Beaches--East York/Beaches--East York,111,Toronto,0,15,3,0,73,18,1,104,2,216,379
Beaches--East York/Beaches--East York,112,Toronto,0,12,3,0,84,36,0,65,1,201,320
Beaches--East York/Beaches--East York,113,Toronto,0,9,2,0,88,31,0,75,0,205,318
Beaches--East York/Beaches--East York,114,Toronto,0,17,5,1,99,26,1,80,1,230,336
Beaches--East York/Beaches--East York,115,Toronto,2,10,2,1,96,39,1,108,2,261,600
Beaches--East York/Beaches--East York,116,Toronto,1,13,4,1,88,31,1,60,1,200,333
Beaches--East York/Beaches--East York,117,Toronto,0,13,1,0,122,40,0,89,2,267,400
Beaches--East York/Beaches--East York,118,Toronto,0,10,0,0,86,30,0,89,0,215,370
Beaches--East York/Beaches--East York,119,Toronto,0,10,2,0,84,18,1,57,1,173,285
Beaches--East York/Beaches--East York,120,Toronto,0,8,4,0,118,23,0,58,0,211,283
Beaches--East York/Beaches--East York,121,Toronto,0,7,4,1,106,21,0,91,2,232,431
Beaches--East York/Beaches--East York,122,Toronto,0,10,0,0,82,29,0,80,0,201,303
Beaches--East York/Beaches--East York,123,Toronto,0,13,3,1,87,28,0,85,1,218,366
Beaches--East York/Beaches--East York,124,Toronto,0,9,2,0,93,34,0,101,0,239,345
Beaches--East York/Beaches--East York,125,Toronto,0,7,4,0,110,44,0,87,1,253,371
Beaches--East York/Beaches--East York,126,Toronto,0,22,4,0,136,43,2,80,0,287,407
Beaches--East York/Beaches--East York,127,Toronto,0,12,2,0,95,54,0,117,1,281,412
Beaches--East York/Beaches--East York,128,Toronto,0,14,1,0,82,11,1,83,3,195,320
Beaches--East York/Beaches--East York,129,Toronto,0,7,4,1,131,25,0,101,0,269,449
Beaches--East York/Beaches--East York,130,Toronto,0,16,6,0,145,32,0,107,0,306,465
Beaches--East York/Beaches--East York,131,Toronto,0,3,1,0,112,32,0,105,0,253,396
Beaches--East York/Beaches--East York,132,Toronto,0,4,1,1,112,34,0,111,2,265,418
Beaches--East York/Beaches--East York,133,Toronto,0,8,2,0,90,29,0,107,1,237,428
Beaches--East York/Beaches--East York,134,Toronto,0,21,4,1,102,23,2,84,1,238,356
Beaches--East York/Beaches--East York,135,Toronto,0,16,1,0,83,14,0,79,0,193,312
Beaches--East York/Beaches--East York,136,Toronto,0,7,1,0,90,29,1,105,1,234,400
Beaches--East York/Beaches--East York,137,Toronto,0,7,4,0,82,29,2,79,2,205,346
Beaches--East York/Beaches--East York,138,Toronto,0,10,0,0,94,27,2,103,1,237,341
Beaches--East York/Beaches--East York,139,Toronto,0,16,2,0,103,18,0,100,0,239,435
Beaches--East York/Beaches--East York,140,Toronto,0,10,1,1,117,31,0,84,0,244,389
Beaches--East York/Beaches--East York,141,Toronto,1,12,5,0,91,29,3,99,0,240,465
Beaches--East York/Beaches--East York,142,Toronto,0,18,1,0,117,39,0,93,1,269,439
Beaches--East York/Beaches--East York,143,Toronto,0,12,4,0,85,38,0,104,0,243,403
Beaches--East York/Beaches--East York,144,Toronto,0,9,4,0,114,28,0,79,1,235,385
Beaches--East York/Beaches--East York,145,Toronto,1,14,0,0,77,26,0,96,3,217,433
Beaches--East York/Beaches--East York,146,Toronto,0,10,5,0,141,19,1,97,0,273,445
Beaches--East York/Beaches--East York,147,Toronto,0,10,3,0,123,26,0,111,0,273,431
Beaches--East York/Beaches--East York,148,Toronto,0,7,2,0,133,39,0,98,0,279,414
Beaches--East York/Beaches--East York,149,Toronto,0,14,4,1,78,23,1,87,0,208,303
Beaches--East York/Beaches--East York,150,Toronto,0,11,0,0,116,23,0,59,1,210,343
Beaches--East York/Beaches--East York,151,Toronto,0,9,3,0,89,24,0,65,0,190,238
Beaches--East York/Beaches--East York,152,Toronto,0,15,0,0,105,32,0,59,1,212,364
Beaches--East York/Beaches--East York,153,Toronto,4,11,1,1,117,30,2,65,1,232,422
Beaches--East York/Beaches--East York,154,Toronto,0,11,5,0,112,29,1,74,0,232,377
Beaches--East York/Beaches--East York,155,Toronto,1,17,1,1,123,43,0,73,0,259,380
Beaches--East York/Beaches--East York,156,Toronto,0,14,0,1,137,48,0,67,1,268,376
Beaches--East York/Beaches--East York,157,Toronto,0,15,2,1,139,41,1,61,0,260,424
Beaches--East York/Beaches--East York,158,Toronto,0,12,2,0,116,51,1,90,0,272,446
Beaches--East York/Beaches--East York,159,Toronto,0,15,2,0,81,48,1,52,0,199,349
Beaches--East York/Beaches--East York,160,Toronto,0,10,1,0,93,47,2,54,0,207,349
Beaches--East York/Beaches--East York,161,Toronto,0,15,0,0,108,34,0,78,0,235,392
Beaches--East York/Beaches--East York,162,Toronto,0,15,1,0,101,28,0,73,0,218,360
Beaches--East York/Beaches--East York,163,Toronto,0,22,0,0,99,37,0,62,2,222,395
Beaches--East York/Beaches--East York,164,Toronto,0,11,0,0,123,20,1,55,1,211,315
Beaches--East York/Beaches--East York,165,Toronto,1,19,1,0,133,48,2,72,1,277,431
Beaches--East York/Beaches--East York,166,Toronto,0,13,3,0,134,25,1,88,1,265,439
Beaches--East York/Beaches--East York,167,Toronto,0,25,2,1,202,55,0,121,0,406,626
Beaches--East York/Beaches--East York,168,Toronto,0,3,0,0,43,10,0,17,0,73,108
Beaches--East York/Beaches--East York,169,Toronto,0,15,1,0,223,89,0,59,2,389,614
Beaches--East York/Beaches--East York,170,Toronto,0,7,3,0,99,35,0,34,0,178,256
Beaches--East York/Beaches--East York,171,Toronto,0,11,2,1,128,62,0,31,3,238,351
Beaches--East York/Beaches--East York,172,Toronto,0,14,5,0,113,52,0,77,0,261,387
Beaches--East York/Beaches--East York,173,Toronto,0,11,1,0,89,30,1,85,1,218,317
Beaches--East York/Beaches--East York,174,Toronto,0,14,3,0,131,30,0,97,1,276,472
Beaches--East York/Beaches--East York,175,Toronto,0,20,7,0,84,59,0,67,4,241,430
Beaches--East York/Beaches--East York,176,Toronto,1,8,0,0,81,28,0,49,0,167,304
Beaches--East York/Beaches--East York,177,Toronto,0,8,0,0,75,45,0,73,1,202,332
Beaches--East York/Beaches--East York,178,Toronto,0,23,1,0,110,35,0,75,1,245,396
Beaches--East York/Beaches--East York,179,Toronto,0,6,2,0,57,28,0,70,1,164,268
Beaches--East York/Beaches--East York,180,Toronto,0,12,2,0,86,25,0,59,0,184,332
Beaches--East York/Beaches--East York,181,Toronto,0,20,5,0,60,34,1,63,1,184,310
Beaches--East York/Beaches--East York,182,Toronto,0,15,0,0,110,36,1,60,0,222,369
Beaches--East York/Beaches--East York,400,East York,0,0,1,0,73,15,1,36,1,127,224
Beaches--East York/Beaches--East York,401,East York,0,11,0,0,233,34,0,70,0,348,646
Beaches--East York/Beaches--East York,402,East York,0,5,0,0,146,6,0,43,1,201,438
Beaches--East York/Beaches--East York,403,East York,0,6,0,0,79,6,0,20,3,114,293
Beaches--East York/Beaches--East York,404,East York,0,2,0,0,80,9,1,25,2,119,271
Beaches--East York/Beaches--East York,405,East York,0,8,0,1,114,32,1,42,0,198,427
Beaches--East York/Beaches--East York,406,East York,0,8,2,1,124,16,0,22,0,173,344
Beaches--East York/Beaches--East York,407,East York,1,3,1,0,213,29,0,42,6,295,518
Beaches--East York/Beaches--East York,408,East York,1,7,0,0,154,18,0,42,0,222,431
Beaches--East York/Beaches--East York,600,East York,0,9,0,0,153,97,0,99,1,359,
Beaches--East York/Beaches--East York,601,East York,0,16,3,0,296,69,0,140,3,527,
Beaches--East York/Beaches--East York,602,East York,1,22,3,0,263,106,0,189,0,584,
Beaches--East York/Beaches--East York,603,East York,1,17,2,1,257,62,0,184,1,525,
Beaches--East York/Beaches--East York,604,Toronto,0,47,1,0,230,69,0,215,2,564,
Beaches--East York/Beaches--East York,605,Toronto,0,15,3,0,222,55,0,183,1,479,
Beaches--East York/Beaches--East York,606,Toronto,1,23,1,2,160,55,1,158,1,402,
Beaches--East York/Beaches--East York,607,Toronto,0,36,3,0,334,130,0,270,2,775,
Beaches--East York/Beaches--East York,608,Toronto,0,25,2,0,169,89,2,126,0,413,
Beaches--East York/Beaches--East York,,Group 1/Groupe 1,1,4,3,0,36,16,0,32,0,92,138
Beaches--East York/Beaches--East York,,Group 2/Groupe 2,0,17,0,0,182,53,1,183,11,447,
