District,Poll Number,Poll Name,Jean-François Barbe,Michel Binette,Claude Drouin,Philippe Giguère,Alain Guay,Rejected Ballots,Total Vote,Electors
Beauce/Beauce,134,Saint-Jean-de-la-Lande,32,3,36,8,18,1,98,144
Beauce/Beauce,135,Saint-Jean-de-la-Lande,101,4,67,3,39,5,219,349
Beauce/Beauce,136,Saint-Simon-les-Mines,56,6,91,5,43,5,206,333
Beauce/Beauce,137,Notre-Dame-des-Pins,99,7,100,6,23,5,240,382
Beauce/Beauce,138,Notre-Dame-des-Pins,70,4,63,2,35,2,176,305
Beauce/Beauce,139,Notre-Dame-des-Pins,19,2,27,0,9,2,59,93
Beauce/Beauce,140,Saint-Georges-Est,101,6,105,7,45,6,270,482
Beauce/Beauce,141,Saint-Georges-Est,71,5,65,8,40,6,195,375
Beauce/Beauce,142,Saint-Georges-Est,125,2,81,8,54,3,273,534
Beauce/Beauce,143,Saint-Georges-Est,94,9,56,6,39,10,214,450
Beauce/Beauce,144,Saint-Georges,123,8,136,7,40,7,321,557
Beauce/Beauce,145,Saint-Georges,108,2,92,4,44,7,257,507
Beauce/Beauce,146,Saint-Georges,81,2,125,10,40,2,260,418
Beauce/Beauce,147,Saint-Georges,84,7,89,7,45,11,243,511
Beauce/Beauce,148,Saint-Georges,2,0,15,2,0,3,22,74
Beauce/Beauce,149,Saint-Georges,90,6,77,4,18,5,200,373
Beauce/Beauce,150,Saint-Georges,45,4,51,6,15,2,123,309
Beauce/Beauce,151,Saint-Georges,96,4,161,4,23,5,293,538
Beauce/Beauce,152,Saint-Georges,95,4,87,3,40,0,229,468
Beauce/Beauce,153,Saint-Georges,67,1,95,3,27,4,197,420
Beauce/Beauce,154,Saint-Georges,52,3,63,6,21,2,147,370
Beauce/Beauce,155,Saint-Georges,55,2,32,5,9,0,103,311
Beauce/Beauce,156,Saint-Georges,76,9,77,7,17,4,190,442
Beauce/Beauce,157,Saint-Georges,85,7,83,7,32,8,222,477
Beauce/Beauce,158,Saint-Georges,64,2,60,0,24,6,156,366
Beauce/Beauce,159,Saint-Georges,61,9,54,6,15,2,147,305
Beauce/Beauce,160,Saint-Georges,80,6,92,7,35,7,227,499
Beauce/Beauce,161,Saint-Georges,90,9,97,6,30,2,234,425
Beauce/Beauce,162,Saint-Georges,70,2,64,0,24,0,160,314
Beauce/Beauce,163,Saint-Georges,97,3,54,3,11,4,172,359
Beauce/Beauce,164,Saint-Georges,92,4,88,3,24,1,212,381
Beauce/Beauce,165,Saint-Georges,90,6,81,9,41,4,231,404
Beauce/Beauce,166,Saint-Georges,83,4,74,4,30,8,203,338
Beauce/Beauce,167,Saint-Georges,89,11,110,5,32,10,257,422
Beauce/Beauce,168,Saint-Georges,77,6,160,5,28,8,284,432
Beauce/Beauce,169A,Saint-Georges,69,4,70,3,31,2,179,335
Beauce/Beauce,169B,Saint-Georges,72,5,70,9,29,4,189,343
Beauce/Beauce,170,Saint-Georges,75,5,63,6,49,8,206,398
Beauce/Beauce,171,Saint-Georges,73,8,76,5,33,4,199,381
Beauce/Beauce,172,Saint-Georges-Est,81,7,65,9,37,5,204,364
Beauce/Beauce,173,Saint-Georges-Est,101,1,74,9,33,3,221,409
Beauce/Beauce,174,Saint-Georges-Est,48,4,33,7,33,9,134,278
Beauce/Beauce,175,Saint-Philibert,71,16,44,11,29,12,183,277
Beauce/Beauce,176,Saint-Côme-de-Kennebec,37,2,28,2,25,2,96,203
Beauce/Beauce,177,Saint-Côme-de-Kennebec,73,6,55,9,39,10,192,426
Beauce/Beauce,178,Saint-Côme-de-Kennebec,96,4,68,11,33,3,215,459
Beauce/Beauce,179,Saint-Côme-de-Kennebec,95,9,108,7,31,2,252,505
Beauce/Beauce,180,Saint-Côme-de-Kennebec,72,2,73,12,36,7,202,404
Beauce/Beauce,181,Saint-Côme-de-Kennebec,91,8,63,5,48,3,218,411
Beauce/Beauce,182,Saint-Zacharie,63,6,62,3,25,3,162,356
Beauce/Beauce,183,Saint-Zacharie,65,10,41,4,30,3,153,273
Beauce/Beauce,184,Saint-Zacharie,66,2,55,1,21,7,152,295
Beauce/Beauce,185,Saint-Zacharie,48,9,64,3,20,5,149,262
Beauce/Beauce,186,Saint-Zacharie,71,2,42,4,33,3,155,315
Beauce/Beauce,187,La Guadeloupe,69,2,122,5,43,7,248,439
Beauce/Beauce,188,La Guadeloupe,68,3,76,1,34,2,184,368
Beauce/Beauce,189,La Guadeloupe,61,8,56,2,19,3,149,275
Beauce/Beauce,190,La Guadeloupe,59,5,65,3,22,8,162,329
Beauce/Beauce,191,Saint-Évariste-de-Forsyth,103,3,114,8,24,5,257,475
Beauce/Beauce,192,Saint-Honoré,50,4,55,0,38,0,147,295
Beauce/Beauce,193,Shenley,79,3,105,6,34,5,232,371
Beauce/Beauce,194,Shenley,80,7,137,5,42,7,278,443
Beauce/Beauce,195,Saint-Honoré,31,1,38,3,12,2,87,161
Beauce/Beauce,196,Saint-Hilaire-de-Dorset,12,0,29,0,6,0,47,75
Beauce/Beauce,197,Saint-Martin,126,2,70,2,37,4,241,458
Beauce/Beauce,198,Saint-Martin,116,7,53,6,19,12,213,366
Beauce/Beauce,199,Saint-Martin,61,7,56,6,16,7,153,326
Beauce/Beauce,200,Saint-Martin,125,7,70,5,38,7,252,491
Beauce/Beauce,201,Saint-Martin,75,2,66,4,30,4,181,335
Beauce/Beauce,202,Saint-René,93,4,72,5,21,16,211,455
Beauce/Beauce,203,Saint-Théophile,52,8,102,5,46,1,214,360
Beauce/Beauce,204,Saint-Théophile,41,5,52,2,28,0,128,245
Beauce/Beauce,205,Béland,52,1,78,4,25,7,167,373
Beauce/Beauce,206,Saint-Gédéon,95,2,118,6,23,3,247,516
Beauce/Beauce,207,Saint-Gédéon,91,3,149,12,42,11,308,525
Beauce/Beauce,208,Saint-Gédéon,76,6,120,7,30,6,245,448
Beauce/Beauce,209,Gayhurst-Partie-Sud-Est,46,3,55,1,10,2,117,254
Beauce/Beauce,210,Risborough,69,7,79,5,45,4,209,383
Beauce/Beauce,211,Risborough,67,8,48,4,17,5,149,305
Beauce/Beauce,212,Saint-Robert-Bellarmin,78,6,88,12,27,2,213,499
Beauce/Beauce,400,Saint-Georges,27,3,85,1,7,2,125,146
Beauce/Beauce,500,Mobile poll/Bureau itinérant,2,0,32,0,5,6,45,116
Beauce/Beauce,501,Mobile poll/Bureau itinérant,4,1,34,0,7,0,46,106
Beauce/Beauce,502,Mobile poll/Bureau itinérant,2,1,23,2,4,1,33,77
Beauce/Beauce,503,Mobile poll/Bureau itinérant,8,1,30,1,8,3,51,94
Beauce/Beauce,504,Mobile poll/Bureau itinérant,17,1,74,4,11,2,109,217
Beauce/Beauce,505,Mobile poll/Bureau itinérant,10,1,44,1,7,2,65,83
Beauce/Beauce,506,Mobile poll/Bureau itinérant,12,0,24,2,11,0,49,118
Beauce/Beauce,507,Mobile poll/Bureau itinérant,10,2,34,0,4,0,50,91
Beauce/Beauce,508,Mobile poll/Bureau itinérant,12,1,29,0,2,2,46,123
Beauce/Beauce,509,Mobile poll/Bureau itinérant,10,0,24,1,5,3,43,48
Beauce/Beauce,600,Saint-Isidore,33,0,68,6,19,1,127,
Beauce/Beauce,601,Saint-Benard--Saint-Elzéar,7,0,12,0,10,1,30,
Beauce/Beauce,602,Sainte-Marie,140,6,257,11,78,7,499,
Beauce/Beauce,603,Frampton--Saint-Odilon-de-Cranbourne,19,1,36,6,8,1,71,
Beauce/Beauce,604,Saints-Anges--Vallée-Jonction,38,2,55,4,8,1,108,
Beauce/Beauce,605,Saint-Frédéric,26,1,23,1,7,0,58,
Beauce/Beauce,606,Saint-Joseph-de-Beauce--Saint-Joseph-des-Érables,72,6,85,1,24,2,190,
Beauce/Beauce,607,Beauceville,91,3,184,9,46,6,339,
Beauce/Beauce,608,Saint-Prosper,76,5,51,9,41,9,191,
Beauce/Beauce,609,Saint-Benoît,17,0,36,0,10,2,65,
Beauce/Beauce,610,Saint-Georges, V,146,3,216,6,62,8,441,
Beauce/Beauce,611,Saint-Georges, V,154,8,231,11,54,10,468,
Beauce/Beauce,612,Saint-Georges--Saint-Philibert,72,2,77,5,18,1,175,
Beauce/Beauce,613,Saint-Côme-Linière--Saint-Zacharie,45,4,77,2,29,4,161,
Beauce/Beauce,614,Saint-Martin, P,58,2,67,2,13,0,142,
Beauce/Beauce,615,Saint-Gédéon,45,3,72,2,6,1,129,
Beauce/Beauce,,Group 1/Groupe 1,29,3,36,1,26,4,99,183
Beauce/Beauce,,Group 2/Groupe 2,128,2,165,4,39,3,341,
