District,Poll Number,Poll Name,Loftus Cuddy,Jim Harris,Jack Layton,Dennis Mills,Marcell Rodden,Scott Yee,Rejected Ballots,Total Vote,Electors
Toronto--Danforth/Toronto--Danforth,159,Toronto,17,13,114,93,0,2,2,241,432
Toronto--Danforth/Toronto--Danforth,160,Toronto,23,14,103,69,0,3,4,216,360
Toronto--Danforth/Toronto--Danforth,161,Toronto,8,11,71,79,0,0,1,170,326
Toronto--Danforth/Toronto--Danforth,162,Toronto,12,10,77,64,0,3,3,169,244
Toronto--Danforth/Toronto--Danforth,163,Toronto,7,9,143,86,0,3,2,250,504
Toronto--Danforth/Toronto--Danforth,164,Toronto,13,7,123,87,0,1,0,231,463
Toronto--Danforth/Toronto--Danforth,165,Toronto,13,14,164,115,0,0,1,307,525
Toronto--Danforth/Toronto--Danforth,166,Toronto,13,17,175,107,1,3,1,317,483
Toronto--Danforth/Toronto--Danforth,167,Toronto,6,9,130,124,1,0,1,271,443
Toronto--Danforth/Toronto--Danforth,168,Toronto,10,7,137,79,0,1,1,235,474
Toronto--Danforth/Toronto--Danforth,169,Toronto,22,15,124,93,0,5,1,260,503
Toronto--Danforth/Toronto--Danforth,170,Toronto,6,9,88,90,0,0,0,193,427
Toronto--Danforth/Toronto--Danforth,171,Toronto,14,5,131,92,0,3,0,245,455
Toronto--Danforth/Toronto--Danforth,172,Toronto,22,12,98,82,0,1,1,216,394
Toronto--Danforth/Toronto--Danforth,173,Toronto,20,17,145,93,0,1,1,277,496
Toronto--Danforth/Toronto--Danforth,174,Toronto,21,23,160,112,0,2,1,319,559
Toronto--Danforth/Toronto--Danforth,175,Toronto,18,21,127,100,2,4,1,273,572
Toronto--Danforth/Toronto--Danforth,176,Toronto,18,7,108,78,0,4,0,215,398
Toronto--Danforth/Toronto--Danforth,177,Toronto,17,16,117,86,0,4,2,242,434
Toronto--Danforth/Toronto--Danforth,178,Toronto,15,6,114,78,0,2,0,215,385
Toronto--Danforth/Toronto--Danforth,179,Toronto,27,10,118,96,0,3,1,255,509
Toronto--Danforth/Toronto--Danforth,180,Toronto,11,4,103,55,0,0,1,174,363
Toronto--Danforth/Toronto--Danforth,400,Toronto,4,1,14,39,1,0,1,60,104
Toronto--Danforth/Toronto--Danforth,401,Toronto,11,2,19,30,1,0,0,63,96
Toronto--Danforth/Toronto--Danforth,600,Toronto,34,18,248,244,3,3,0,550,
Toronto--Danforth/Toronto--Danforth,601,Toronto,67,29,243,236,0,0,0,575,
Toronto--Danforth/Toronto--Danforth,602,Toronto,40,17,205,139,1,1,0,403,
Toronto--Danforth/Toronto--Danforth,603,Toronto,29,44,396,275,1,0,1,746,
Toronto--Danforth/Toronto--Danforth,604,Toronto,25,23,256,195,3,0,3,505,
Toronto--Danforth/Toronto--Danforth,605,Toronto,43,22,347,221,0,3,2,638,
Toronto--Danforth/Toronto--Danforth,606,Toronto,26,37,326,158,0,1,3,551,
Toronto--Danforth/Toronto--Danforth,607,Toronto,27,17,261,108,0,7,4,424,
Toronto--Danforth/Toronto--Danforth,608,Toronto,37,29,260,161,0,4,2,493,
Toronto--Danforth/Toronto--Danforth,,Group 1/Groupe 1,10,22,31,17,1,4,5,90,135
Toronto--Danforth/Toronto--Danforth,,Group 2/Groupe 2,48,40,500,343,0,1,0,932,
