District,Poll Number,Poll Name,Colleen Beaumier,Tom Bose,Tony Clement,Sanjeev Goel,Chris Moise,Rejected Ballots,Total Vote,Electors
Brampton West/Brampton-Ouest,161A,Brampton,63,0,40,4,16,1,124,291
Brampton West/Brampton-Ouest,161B,Brampton,55,1,41,6,36,0,139,307
Brampton West/Brampton-Ouest,162,Brampton,118,1,111,20,21,3,274,414
Brampton West/Brampton-Ouest,163,Brampton,94,3,111,10,21,1,240,452
Brampton West/Brampton-Ouest,164,Brampton,52,2,62,2,20,0,138,289
Brampton West/Brampton-Ouest,165,Brampton,84,1,139,9,27,0,260,424
Brampton West/Brampton-Ouest,166,Brampton,102,4,116,2,14,1,239,353
Brampton West/Brampton-Ouest,167,Brampton,94,4,151,9,16,0,274,423
Brampton West/Brampton-Ouest,168,Brampton,104,1,131,7,18,6,267,474
Brampton West/Brampton-Ouest,169,Brampton,130,4,77,2,31,0,244,453
Brampton West/Brampton-Ouest,170,Brampton,59,2,78,10,43,1,193,428
Brampton West/Brampton-Ouest,171A,Brampton,93,1,37,5,6,2,144,303
Brampton West/Brampton-Ouest,171B,Brampton,77,1,31,5,23,2,139,277
Brampton West/Brampton-Ouest,172,Brampton,133,0,74,9,22,1,239,460
Brampton West/Brampton-Ouest,173,Brampton,73,1,50,8,15,0,147,307
Brampton West/Brampton-Ouest,174,Brampton,68,2,42,3,18,0,133,350
Brampton West/Brampton-Ouest,175,Brampton,87,1,73,5,18,1,185,354
Brampton West/Brampton-Ouest,176,Brampton,91,2,72,2,24,3,194,443
Brampton West/Brampton-Ouest,177,Brampton,124,1,71,9,27,3,235,500
Brampton West/Brampton-Ouest,178A,Brampton,69,2,61,1,9,0,142,272
Brampton West/Brampton-Ouest,178B,Brampton,77,1,39,1,8,1,127,242
Brampton West/Brampton-Ouest,179,Brampton,122,1,121,2,11,2,259,448
Brampton West/Brampton-Ouest,180A,Brampton,66,1,66,4,8,0,145,288
Brampton West/Brampton-Ouest,180B,Brampton,50,3,59,11,14,0,137,283
Brampton West/Brampton-Ouest,181,Brampton,109,4,62,5,21,1,202,444
Brampton West/Brampton-Ouest,182,Brampton,95,1,73,15,18,0,202,438
Brampton West/Brampton-Ouest,183,Brampton,120,5,74,12,18,0,229,478
Brampton West/Brampton-Ouest,184,Brampton,92,5,50,8,21,0,176,399
Brampton West/Brampton-Ouest,185,Brampton,139,0,83,8,13,0,243,493
Brampton West/Brampton-Ouest,186,Brampton,118,2,56,1,17,3,197,470
Brampton West/Brampton-Ouest,187,Brampton,100,1,45,3,21,1,171,459
Brampton West/Brampton-Ouest,188,Brampton,101,3,77,6,23,1,211,437
Brampton West/Brampton-Ouest,189,Brampton,128,2,97,15,25,1,268,506
Brampton West/Brampton-Ouest,190,Brampton,123,4,68,9,39,2,245,524
Brampton West/Brampton-Ouest,191,Brampton,122,0,59,2,12,8,203,506
Brampton West/Brampton-Ouest,192,Brampton,97,1,50,5,16,1,170,356
Brampton West/Brampton-Ouest,193,Brampton,101,1,47,2,19,1,171,464
Brampton West/Brampton-Ouest,194,Brampton,56,2,88,6,14,4,170,250
Brampton West/Brampton-Ouest,195,Brampton,82,2,87,21,27,0,219,354
Brampton West/Brampton-Ouest,196A,Brampton,76,0,73,10,11,1,171,322
Brampton West/Brampton-Ouest,196B,Brampton,60,0,72,6,11,4,153,260
Brampton West/Brampton-Ouest,197,Brampton,58,2,69,8,21,0,158,311
Brampton West/Brampton-Ouest,198,Brampton,110,1,54,7,24,0,196,381
Brampton West/Brampton-Ouest,199A,Brampton,98,0,23,6,6,0,133,267
Brampton West/Brampton-Ouest,199B,Brampton,90,0,28,4,3,3,128,259
Brampton West/Brampton-Ouest,200,Brampton,129,1,64,2,26,2,224,491
Brampton West/Brampton-Ouest,201A,Brampton,103,0,20,2,8,3,136,298
Brampton West/Brampton-Ouest,201B,Brampton,108,0,15,0,4,0,127,266
Brampton West/Brampton-Ouest,202,Brampton,170,2,43,3,4,6,228,439
Brampton West/Brampton-Ouest,203A,Brampton,113,0,45,5,11,1,175,343
Brampton West/Brampton-Ouest,203B,Brampton,133,2,51,4,18,1,209,391
Brampton West/Brampton-Ouest,204,Brampton,122,1,63,4,13,1,204,428
Brampton West/Brampton-Ouest,205,Brampton,124,0,63,2,15,0,204,454
Brampton West/Brampton-Ouest,206,Brampton,125,1,63,3,8,1,201,441
Brampton West/Brampton-Ouest,207,Brampton,66,0,63,5,7,3,144,378
Brampton West/Brampton-Ouest,208,Brampton,143,0,65,7,16,1,232,499
Brampton West/Brampton-Ouest,209A,Brampton,80,1,51,5,11,2,150,291
Brampton West/Brampton-Ouest,209B,Brampton,110,2,30,5,13,1,161,294
Brampton West/Brampton-Ouest,210A,Brampton,100,1,83,9,15,0,208,427
Brampton West/Brampton-Ouest,210B,Brampton,99,0,87,4,13,1,204,418
Brampton West/Brampton-Ouest,400,Brampton,46,1,43,2,15,0,107,303
Brampton West/Brampton-Ouest,401,Brampton,45,1,47,12,17,1,123,316
Brampton West/Brampton-Ouest,402,Brampton,39,2,33,1,14,1,90,281
Brampton West/Brampton-Ouest,403,Brampton,42,1,32,7,20,1,103,300
Brampton West/Brampton-Ouest,404,Brampton,43,0,30,7,15,0,95,304
Brampton West/Brampton-Ouest,405,Brampton,42,0,24,2,7,1,76,257
Brampton West/Brampton-Ouest,406,Brampton,58,3,144,1,15,2,223,487
Brampton West/Brampton-Ouest,407,Brampton,36,1,113,2,4,6,162,213
Brampton West/Brampton-Ouest,408,Brampton,39,2,97,1,11,1,151,194
Brampton West/Brampton-Ouest,500,Mobile poll/Bureau itinérant,22,1,11,3,4,0,41,338
Brampton West/Brampton-Ouest,600,Brampton,75,0,108,8,11,1,203,
Brampton West/Brampton-Ouest,601,Brampton,197,3,293,15,39,3,550,
Brampton West/Brampton-Ouest,602,Brampton,167,3,203,6,32,2,413,
Brampton West/Brampton-Ouest,603,Brampton,156,1,171,1,32,7,368,
Brampton West/Brampton-Ouest,604,Brampton,87,2,132,5,18,1,245,
Brampton West/Brampton-Ouest,605,Brampton,181,1,258,17,51,1,509,
Brampton West/Brampton-Ouest,606,Brampton,156,1,254,15,28,3,457,
Brampton West/Brampton-Ouest,607,Brampton,287,4,422,24,64,3,804,
Brampton West/Brampton-Ouest,608,Brampton,224,2,316,25,33,0,600,
Brampton West/Brampton-Ouest,609,Brampton,503,4,381,15,46,5,954,
Brampton West/Brampton-Ouest,,Group 1/Groupe 1,27,2,24,1,7,1,62,124
Brampton West/Brampton-Ouest,,Group 2/Groupe 2,318,7,283,35,64,0,707,
