District,Poll Number,Poll Name,Trevor Grover,Phillip K. Liesemer,Keith Purdy,Lee Richardson,Julia Turnbull,Rejected Ballots,Total Vote,Electors
Calgary South Centre/Calgary-Centre-Sud,34,Calgary,0,11,13,71,37,0,132,292
Calgary South Centre/Calgary-Centre-Sud,35,Calgary,0,14,8,46,27,0,95,231
Calgary South Centre/Calgary-Centre-Sud,36,Calgary,1,23,17,207,71,1,320,572
Calgary South Centre/Calgary-Centre-Sud,37,Calgary,3,22,14,66,41,0,146,333
Calgary South Centre/Calgary-Centre-Sud,38,Calgary,0,23,27,115,62,0,227,381
Calgary South Centre/Calgary-Centre-Sud,39,Calgary,1,19,7,83,47,0,157,242
Calgary South Centre/Calgary-Centre-Sud,40,Calgary,1,18,22,109,59,0,209,436
Calgary South Centre/Calgary-Centre-Sud,41,Calgary,2,22,14,93,51,0,182,416
Calgary South Centre/Calgary-Centre-Sud,42,Calgary,0,18,23,91,41,1,174,394
Calgary South Centre/Calgary-Centre-Sud,43,Calgary,1,18,16,93,26,0,154,253
Calgary South Centre/Calgary-Centre-Sud,44,Calgary,4,24,20,95,75,1,219,410
Calgary South Centre/Calgary-Centre-Sud,45,Calgary,1,30,19,82,52,0,184,348
Calgary South Centre/Calgary-Centre-Sud,46,Calgary,2,25,25,80,55,0,187,340
Calgary South Centre/Calgary-Centre-Sud,47,Calgary,0,31,17,104,53,0,205,373
Calgary South Centre/Calgary-Centre-Sud,48,Calgary,4,19,16,111,39,0,189,364
Calgary South Centre/Calgary-Centre-Sud,49,Calgary,0,25,16,90,57,4,192,419
Calgary South Centre/Calgary-Centre-Sud,50,Calgary,0,22,18,136,94,0,270,427
Calgary South Centre/Calgary-Centre-Sud,51,Calgary,0,22,14,131,49,2,218,380
Calgary South Centre/Calgary-Centre-Sud,52,Calgary,0,10,14,144,68,2,238,379
Calgary South Centre/Calgary-Centre-Sud,53,Calgary,0,29,14,119,47,1,210,366
Calgary South Centre/Calgary-Centre-Sud,54,Calgary,0,16,9,92,66,2,185,516
Calgary South Centre/Calgary-Centre-Sud,55,Calgary,4,10,16,63,44,0,137,387
Calgary South Centre/Calgary-Centre-Sud,56,Calgary,1,25,17,55,46,1,145,343
Calgary South Centre/Calgary-Centre-Sud,57,Calgary,2,20,21,63,45,1,152,421
Calgary South Centre/Calgary-Centre-Sud,58,Calgary,0,26,35,64,53,0,178,450
Calgary South Centre/Calgary-Centre-Sud,59,Calgary,0,22,23,32,36,0,113,246
Calgary South Centre/Calgary-Centre-Sud,60,Calgary,1,25,17,51,66,0,160,406
Calgary South Centre/Calgary-Centre-Sud,61,Calgary,2,16,17,40,50,0,125,270
Calgary South Centre/Calgary-Centre-Sud,62,Calgary,0,12,15,43,53,1,124,327
Calgary South Centre/Calgary-Centre-Sud,63,Calgary,1,26,17,84,91,0,219,454
Calgary South Centre/Calgary-Centre-Sud,64,Calgary,3,9,19,47,46,0,124,278
Calgary South Centre/Calgary-Centre-Sud,65,Calgary,1,24,19,92,77,1,214,401
Calgary South Centre/Calgary-Centre-Sud,66,Calgary,0,13,10,166,112,0,301,451
Calgary South Centre/Calgary-Centre-Sud,67,Calgary,1,34,37,92,62,1,227,433
Calgary South Centre/Calgary-Centre-Sud,68,Calgary,0,21,13,46,30,0,110,268
Calgary South Centre/Calgary-Centre-Sud,69,Calgary,1,25,8,100,63,1,198,318
Calgary South Centre/Calgary-Centre-Sud,70,Calgary,0,22,14,60,50,0,146,286
Calgary South Centre/Calgary-Centre-Sud,71,Calgary,2,24,9,76,58,0,169,344
Calgary South Centre/Calgary-Centre-Sud,72,Calgary,2,23,20,112,68,0,225,435
Calgary South Centre/Calgary-Centre-Sud,73,Calgary,1,39,18,105,63,0,226,392
Calgary South Centre/Calgary-Centre-Sud,74,Calgary,0,22,16,68,42,0,148,372
Calgary South Centre/Calgary-Centre-Sud,75,Calgary,0,26,13,113,86,0,238,458
Calgary South Centre/Calgary-Centre-Sud,76,Calgary,1,24,18,109,98,1,251,418
Calgary South Centre/Calgary-Centre-Sud,77,Calgary,1,14,10,99,50,0,174,447
Calgary South Centre/Calgary-Centre-Sud,78A,Calgary,7,11,10,110,78,0,216,508
Calgary South Centre/Calgary-Centre-Sud,78B,Calgary,3,9,10,106,67,0,195,452
Calgary South Centre/Calgary-Centre-Sud,79A,Calgary,0,18,14,61,48,0,141,310
Calgary South Centre/Calgary-Centre-Sud,79B,Calgary,2,14,9,56,44,0,125,360
Calgary South Centre/Calgary-Centre-Sud,80,Calgary,0,10,13,64,61,0,148,252
Calgary South Centre/Calgary-Centre-Sud,81,Calgary,0,4,1,12,13,0,30,54
Calgary South Centre/Calgary-Centre-Sud,82,Calgary,0,22,26,100,70,0,218,612
Calgary South Centre/Calgary-Centre-Sud,83,Calgary,1,12,20,41,39,2,115,312
Calgary South Centre/Calgary-Centre-Sud,84,Calgary,1,11,18,70,47,0,147,320
Calgary South Centre/Calgary-Centre-Sud,85,Calgary,0,16,13,79,52,0,160,399
Calgary South Centre/Calgary-Centre-Sud,86,Calgary,2,14,17,40,39,0,112,369
Calgary South Centre/Calgary-Centre-Sud,87,Calgary,0,13,11,47,33,0,104,376
Calgary South Centre/Calgary-Centre-Sud,88,Calgary,0,5,10,30,26,1,72,243
Calgary South Centre/Calgary-Centre-Sud,89,Calgary,4,15,23,67,77,1,187,510
Calgary South Centre/Calgary-Centre-Sud,90,Calgary,11,12,7,31,188,3,252,649
Calgary South Centre/Calgary-Centre-Sud,91A,Calgary,6,18,15,60,62,1,162,410
Calgary South Centre/Calgary-Centre-Sud,91B,Calgary,9,24,31,64,48,0,176,370
Calgary South Centre/Calgary-Centre-Sud,92,Calgary,4,8,14,79,67,3,175,448
Calgary South Centre/Calgary-Centre-Sud,93A,Calgary,0,18,22,59,29,0,128,530
Calgary South Centre/Calgary-Centre-Sud,93B,Mobile poll/Bureau itinérant,2,15,16,34,20,2,89,135
Calgary South Centre/Calgary-Centre-Sud,94,Mobile poll/Bureau itinérant,5,18,22,135,95,6,281,517
Calgary South Centre/Calgary-Centre-Sud,95,Calgary,1,37,30,64,74,0,206,488
Calgary South Centre/Calgary-Centre-Sud,96,Calgary,1,25,36,97,100,1,260,491
Calgary South Centre/Calgary-Centre-Sud,97,Calgary,0,34,14,91,81,0,220,453
Calgary South Centre/Calgary-Centre-Sud,98,Calgary,1,22,37,90,95,0,245,463
Calgary South Centre/Calgary-Centre-Sud,99,Calgary,1,11,15,36,37,0,100,240
Calgary South Centre/Calgary-Centre-Sud,100,Calgary,1,22,17,93,65,0,198,459
Calgary South Centre/Calgary-Centre-Sud,101,Calgary,0,17,18,88,75,2,200,355
Calgary South Centre/Calgary-Centre-Sud,102,Calgary,1,10,11,121,69,2,214,429
Calgary South Centre/Calgary-Centre-Sud,103,Calgary,0,21,17,35,55,0,128,349
Calgary South Centre/Calgary-Centre-Sud,104,Calgary,0,30,21,90,90,0,231,456
Calgary South Centre/Calgary-Centre-Sud,105,Calgary,0,26,36,102,120,3,287,616
Calgary South Centre/Calgary-Centre-Sud,106,Calgary,0,32,33,72,75,1,213,517
Calgary South Centre/Calgary-Centre-Sud,107,Calgary,0,28,15,73,87,0,203,473
Calgary South Centre/Calgary-Centre-Sud,108,Calgary,0,18,28,60,43,0,149,320
Calgary South Centre/Calgary-Centre-Sud,109,Calgary,1,26,22,67,56,1,173,413
Calgary South Centre/Calgary-Centre-Sud,110,Calgary,2,15,16,79,72,0,184,350
Calgary South Centre/Calgary-Centre-Sud,111,Calgary,1,41,22,81,73,0,218,484
Calgary South Centre/Calgary-Centre-Sud,112,Calgary,0,20,10,38,46,0,114,419
Calgary South Centre/Calgary-Centre-Sud,113,Calgary,2,30,30,131,102,0,295,678
Calgary South Centre/Calgary-Centre-Sud,114,Calgary,0,8,8,37,43,0,96,321
Calgary South Centre/Calgary-Centre-Sud,115,Calgary,2,14,31,58,52,2,159,405
Calgary South Centre/Calgary-Centre-Sud,116,Calgary,0,24,23,77,74,1,199,544
Calgary South Centre/Calgary-Centre-Sud,117A,Calgary,0,19,13,44,53,0,129,268
Calgary South Centre/Calgary-Centre-Sud,117B,Mobile poll/Bureau itinérant,Merged with No. 182B,,,,,,,141
Calgary South Centre/Calgary-Centre-Sud,118,Calgary,2,13,11,55,34,0,115,451
Calgary South Centre/Calgary-Centre-Sud,119,Calgary,3,30,22,62,66,0,183,324
Calgary South Centre/Calgary-Centre-Sud,120,Calgary,2,34,20,51,58,1,166,328
Calgary South Centre/Calgary-Centre-Sud,121,Calgary,1,24,26,79,79,0,209,484
Calgary South Centre/Calgary-Centre-Sud,122,Calgary,1,34,28,82,85,1,231,451
Calgary South Centre/Calgary-Centre-Sud,123,Calgary,2,44,43,58,101,2,250,533
Calgary South Centre/Calgary-Centre-Sud,124,Calgary,0,27,14,35,56,1,133,244
Calgary South Centre/Calgary-Centre-Sud,125,Calgary,0,11,5,146,85,1,248,403
Calgary South Centre/Calgary-Centre-Sud,126,Calgary,2,27,21,61,77,0,188,395
Calgary South Centre/Calgary-Centre-Sud,127,Calgary,2,35,20,90,122,1,270,542
Calgary South Centre/Calgary-Centre-Sud,128,Calgary,3,30,16,199,134,0,382,630
Calgary South Centre/Calgary-Centre-Sud,129,Calgary,0,38,33,93,72,1,237,500
Calgary South Centre/Calgary-Centre-Sud,130,Calgary,0,28,25,106,83,1,243,497
Calgary South Centre/Calgary-Centre-Sud,131,Calgary,0,14,14,168,89,0,285,483
Calgary South Centre/Calgary-Centre-Sud,132,Calgary,0,18,5,88,43,0,154,253
Calgary South Centre/Calgary-Centre-Sud,133,Calgary,1,11,8,77,62,0,159,239
Calgary South Centre/Calgary-Centre-Sud,134,Calgary,1,20,5,161,104,1,292,433
Calgary South Centre/Calgary-Centre-Sud,135,Calgary,1,15,2,141,90,2,251,394
Calgary South Centre/Calgary-Centre-Sud,136,Calgary,3,18,11,79,68,0,179,365
Calgary South Centre/Calgary-Centre-Sud,137,Calgary,0,39,23,91,80,1,234,489
Calgary South Centre/Calgary-Centre-Sud,138,Calgary,1,20,20,84,47,1,173,375
Calgary South Centre/Calgary-Centre-Sud,139,Calgary,1,42,20,85,60,1,209,486
Calgary South Centre/Calgary-Centre-Sud,140,Calgary,0,45,28,64,59,0,196,410
Calgary South Centre/Calgary-Centre-Sud,141,Calgary,4,48,18,84,55,0,209,371
Calgary South Centre/Calgary-Centre-Sud,142,Calgary,1,25,15,51,42,1,135,319
Calgary South Centre/Calgary-Centre-Sud,143,Calgary,0,15,22,54,42,0,133,284
Calgary South Centre/Calgary-Centre-Sud,144,Calgary,0,21,21,32,34,0,108,242
Calgary South Centre/Calgary-Centre-Sud,145,Calgary,0,22,27,79,61,0,189,430
Calgary South Centre/Calgary-Centre-Sud,146,Calgary,0,33,12,42,45,0,132,256
Calgary South Centre/Calgary-Centre-Sud,147,Calgary,1,25,33,65,66,1,191,402
Calgary South Centre/Calgary-Centre-Sud,148,Calgary,0,4,1,50,38,0,93,176
Calgary South Centre/Calgary-Centre-Sud,149,Calgary,0,19,6,135,106,0,266,445
Calgary South Centre/Calgary-Centre-Sud,150,Calgary,0,33,17,58,74,1,183,387
Calgary South Centre/Calgary-Centre-Sud,151,Calgary,0,16,14,49,63,1,143,317
Calgary South Centre/Calgary-Centre-Sud,152,Calgary,3,36,32,77,59,1,208,489
Calgary South Centre/Calgary-Centre-Sud,153,Calgary,1,23,17,39,54,2,136,329
Calgary South Centre/Calgary-Centre-Sud,154,Calgary,1,51,26,91,78,0,247,512
Calgary South Centre/Calgary-Centre-Sud,155,Calgary,1,23,14,83,57,0,178,394
Calgary South Centre/Calgary-Centre-Sud,156,Calgary,3,13,25,45,30,0,116,324
Calgary South Centre/Calgary-Centre-Sud,157,Calgary,0,25,25,92,53,0,195,443
Calgary South Centre/Calgary-Centre-Sud,158,Calgary,0,38,17,97,104,0,256,525
Calgary South Centre/Calgary-Centre-Sud,159,Calgary,1,15,11,167,75,3,272,422
Calgary South Centre/Calgary-Centre-Sud,160,Calgary,0,15,3,141,74,0,233,372
Calgary South Centre/Calgary-Centre-Sud,161,Calgary,0,12,2,94,45,0,153,243
Calgary South Centre/Calgary-Centre-Sud,162,Calgary,1,15,16,124,34,0,190,475
Calgary South Centre/Calgary-Centre-Sud,163,Calgary,1,22,24,114,34,2,197,427
Calgary South Centre/Calgary-Centre-Sud,164,Calgary,2,16,24,151,56,0,249,411
Calgary South Centre/Calgary-Centre-Sud,165,Calgary,1,12,18,136,28,1,196,324
Calgary South Centre/Calgary-Centre-Sud,166,Calgary,0,19,28,165,68,0,280,437
Calgary South Centre/Calgary-Centre-Sud,167,Calgary,0,8,21,136,63,3,231,370
Calgary South Centre/Calgary-Centre-Sud,168,Calgary,2,22,19,149,52,0,244,479
Calgary South Centre/Calgary-Centre-Sud,169,Calgary,0,17,19,118,58,3,215,390
Calgary South Centre/Calgary-Centre-Sud,170,Calgary,3,21,17,159,48,0,248,376
Calgary South Centre/Calgary-Centre-Sud,171,Calgary,6,30,27,210,50,2,325,538
Calgary South Centre/Calgary-Centre-Sud,172,Calgary,1,19,17,205,73,3,318,544
Calgary South Centre/Calgary-Centre-Sud,173,Calgary,1,29,30,152,78,2,292,538
Calgary South Centre/Calgary-Centre-Sud,174,Calgary,2,23,28,138,64,1,256,370
Calgary South Centre/Calgary-Centre-Sud,175,Calgary,0,21,31,138,59,1,250,356
Calgary South Centre/Calgary-Centre-Sud,176,Calgary,3,37,34,220,109,0,403,764
Calgary South Centre/Calgary-Centre-Sud,177,Calgary,2,15,11,129,55,1,213,497
Calgary South Centre/Calgary-Centre-Sud,178,Calgary,Void,,,,,,,
Calgary South Centre/Calgary-Centre-Sud,179,Calgary,1,56,23,202,110,1,393,597
Calgary South Centre/Calgary-Centre-Sud,180,Calgary,0,16,6,49,36,1,108,246
Calgary South Centre/Calgary-Centre-Sud,181,Calgary,0,2,1,29,9,0,41,243
Calgary South Centre/Calgary-Centre-Sud,182A,Calgary,1,36,30,124,116,0,307,549
Calgary South Centre/Calgary-Centre-Sud,182B,Mobile poll/Bureau itinérant,8,7,7,124,53,7,206,136
Calgary South Centre/Calgary-Centre-Sud,183,Calgary,0,41,19,213,157,0,430,700
Calgary South Centre/Calgary-Centre-Sud,184,Calgary,0,28,26,109,59,1,223,406
Calgary South Centre/Calgary-Centre-Sud,185,Calgary,0,32,20,83,47,0,182,330
Calgary South Centre/Calgary-Centre-Sud,186,Calgary,0,32,24,98,52,0,206,401
Calgary South Centre/Calgary-Centre-Sud,187,Calgary,0,21,8,64,38,0,131,227
Calgary South Centre/Calgary-Centre-Sud,188,Calgary,0,23,13,106,45,0,187,322
Calgary South Centre/Calgary-Centre-Sud,189,Calgary,0,20,17,105,65,0,207,383
Calgary South Centre/Calgary-Centre-Sud,190,Calgary,0,15,5,131,72,1,224,341
Calgary South Centre/Calgary-Centre-Sud,191,Calgary,0,31,10,133,80,0,254,386
Calgary South Centre/Calgary-Centre-Sud,192,Calgary,1,25,4,117,88,0,235,364
Calgary South Centre/Calgary-Centre-Sud,193,Calgary,0,8,3,202,102,0,315,470
Calgary South Centre/Calgary-Centre-Sud,194,Calgary,0,18,10,160,87,0,275,432
Calgary South Centre/Calgary-Centre-Sud,195,Calgary,1,23,14,129,74,0,241,350
Calgary South Centre/Calgary-Centre-Sud,196,Calgary,0,28,13,97,47,0,185,314
Calgary South Centre/Calgary-Centre-Sud,197,Calgary,1,29,19,105,74,2,230,355
Calgary South Centre/Calgary-Centre-Sud,198,Calgary,2,16,19,101,37,1,176,311
Calgary South Centre/Calgary-Centre-Sud,199,Calgary,2,28,19,105,55,0,209,358
Calgary South Centre/Calgary-Centre-Sud,200,Calgary,0,21,13,129,61,0,224,384
Calgary South Centre/Calgary-Centre-Sud,201,Calgary,1,9,14,135,49,1,209,380
Calgary South Centre/Calgary-Centre-Sud,202,Calgary,2,15,16,133,43,0,209,322
Calgary South Centre/Calgary-Centre-Sud,203,Calgary,0,19,13,134,44,1,211,321
Calgary South Centre/Calgary-Centre-Sud,204,Calgary,0,21,6,167,97,0,291,469
Calgary South Centre/Calgary-Centre-Sud,205,Calgary,0,16,5,146,95,1,263,448
Calgary South Centre/Calgary-Centre-Sud,206,Calgary,0,26,14,78,22,0,140,358
Calgary South Centre/Calgary-Centre-Sud,207,Calgary,2,32,5,176,87,0,302,461
Calgary South Centre/Calgary-Centre-Sud,208,Calgary,1,5,9,59,31,0,105,344
Calgary South Centre/Calgary-Centre-Sud,209,Calgary,0,12,17,74,34,0,137,272
Calgary South Centre/Calgary-Centre-Sud,210,Calgary,0,20,13,166,60,2,261,358
Calgary South Centre/Calgary-Centre-Sud,211,Calgary,0,10,10,221,55,0,296,464
Calgary South Centre/Calgary-Centre-Sud,212,Calgary,0,24,15,129,50,0,218,415
Calgary South Centre/Calgary-Centre-Sud,213,Calgary,2,14,24,106,47,0,193,400
Calgary South Centre/Calgary-Centre-Sud,214,Calgary,1,17,14,130,45,0,207,365
Calgary South Centre/Calgary-Centre-Sud,215,Calgary,0,10,16,111,41,1,179,348
Calgary South Centre/Calgary-Centre-Sud,216,Calgary,2,15,17,81,31,0,146,263
Calgary South Centre/Calgary-Centre-Sud,217,Calgary,1,12,10,72,24,1,120,246
Calgary South Centre/Calgary-Centre-Sud,218,Calgary,1,5,18,101,33,0,158,289
Calgary South Centre/Calgary-Centre-Sud,219,Calgary,1,7,6,89,31,0,134,336
Calgary South Centre/Calgary-Centre-Sud,220,Calgary,0,4,10,69,44,0,127,253
Calgary South Centre/Calgary-Centre-Sud,221,Calgary,0,17,5,190,85,2,299,462
Calgary South Centre/Calgary-Centre-Sud,222,Calgary,2,18,7,144,33,0,204,355
Calgary South Centre/Calgary-Centre-Sud,500,Mobile poll/Bureau itinérant,4,0,10,73,30,4,121,174
Calgary South Centre/Calgary-Centre-Sud,501,Mobile poll/Bureau itinérant,1,2,4,67,24,1,99,101
Calgary South Centre/Calgary-Centre-Sud,502,Mobile poll/Bureau itinérant,0,5,8,71,28,1,113,164
Calgary South Centre/Calgary-Centre-Sud,503,Mobile poll/Bureau itinérant,2,3,3,68,21,1,98,137
Calgary South Centre/Calgary-Centre-Sud,504,Mobile poll/Bureau itinérant,0,4,8,50,20,1,83,148
Calgary South Centre/Calgary-Centre-Sud,505,Mobile poll/Bureau itinérant,1,1,2,53,28,0,85,117
Calgary South Centre/Calgary-Centre-Sud,506,Mobile poll/Bureau itinérant,1,0,5,31,14,1,52,55
Calgary South Centre/Calgary-Centre-Sud,600,Calgary,1,17,25,240,63,3,349,
Calgary South Centre/Calgary-Centre-Sud,601,Calgary,1,20,32,253,85,2,393,
Calgary South Centre/Calgary-Centre-Sud,602,Calgary,0,30,28,231,92,0,381,
Calgary South Centre/Calgary-Centre-Sud,603,Calgary,1,42,46,211,156,2,458,
Calgary South Centre/Calgary-Centre-Sud,604,Calgary,1,24,38,254,170,3,490,
Calgary South Centre/Calgary-Centre-Sud,605,Calgary,0,41,44,193,140,0,418,
Calgary South Centre/Calgary-Centre-Sud,606,Calgary,2,30,23,248,158,2,463,
Calgary South Centre/Calgary-Centre-Sud,607,Calgary,1,36,18,204,118,0,377,
Calgary South Centre/Calgary-Centre-Sud,608,Calgary,2,21,45,304,96,0,468,
Calgary South Centre/Calgary-Centre-Sud,609,Calgary,1,50,23,267,117,0,458,
Calgary South Centre/Calgary-Centre-Sud,610,Calgary,0,35,17,238,111,0,401,
Calgary South Centre/Calgary-Centre-Sud,,Group 1/Groupe 1,2,20,14,116,86,6,244,509
Calgary South Centre/Calgary-Centre-Sud,,Group 2/Groupe 2,8,104,125,578,374,36,1225,
