District,Poll Number,Poll Name,Carol Lee Chapman,Bev Collins,Douglas Gook,Dick Harris,Mike Orr,Jeff Paetkau,Gurbux Saini,Rick Smith,Rejected Ballots,Total Vote,Electors
Cariboo--Prince George/Cariboo--Prince George,27B,Kersley,0,2,1,118,0,1,19,36,2,179,274
Cariboo--Prince George/Cariboo--Prince George,28,Kersley,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,29,Quesnel,1,0,15,126,0,0,31,61,2,236,428
Cariboo--Prince George/Cariboo--Prince George,30,Quesnel,0,0,4,92,1,0,18,53,0,168,320
Cariboo--Prince George/Cariboo--Prince George,31,Quesnel,0,6,7,96,3,0,36,92,0,240,426
Cariboo--Prince George/Cariboo--Prince George,32,Quesnel,2,3,8,82,3,5,32,48,0,183,298
Cariboo--Prince George/Cariboo--Prince George,33,Quesnel,1,3,13,102,1,1,50,63,1,235,436
Cariboo--Prince George/Cariboo--Prince George,34,Quesnel,0,1,6,76,0,0,40,53,0,176,336
Cariboo--Prince George/Cariboo--Prince George,35,Quesnel,0,8,13,104,2,1,45,100,1,274,462
Cariboo--Prince George/Cariboo--Prince George,36A,Quesnel,0,2,3,62,0,0,15,53,0,135,249
Cariboo--Prince George/Cariboo--Prince George,36B,Quesnel,1,2,6,73,0,0,19,38,2,141,265
Cariboo--Prince George/Cariboo--Prince George,37A,Quesnel,0,3,5,74,0,0,30,33,0,145,267
Cariboo--Prince George/Cariboo--Prince George,37B,Quesnel,0,1,5,80,2,0,33,27,0,148,259
Cariboo--Prince George/Cariboo--Prince George,38A,Quesnel,1,1,3,61,3,1,35,60,0,165,274
Cariboo--Prince George/Cariboo--Prince George,38B,Quesnel,0,0,3,101,2,0,30,41,0,177,279
Cariboo--Prince George/Cariboo--Prince George,39,Quesnel,0,0,4,78,1,1,37,41,0,162,226
Cariboo--Prince George/Cariboo--Prince George,40,Quesnel,0,2,6,108,2,0,47,72,0,237,392
Cariboo--Prince George/Cariboo--Prince George,41,Quesnel,0,1,0,66,1,1,41,42,0,152,287
Cariboo--Prince George/Cariboo--Prince George,42,Barlow,Merged with No. 43,,,,,,,,,,194
Cariboo--Prince George/Cariboo--Prince George,43,Barlow,1,4,5,132,3,0,37,82,0,264,260
Cariboo--Prince George/Cariboo--Prince George,44,Quesnel,0,2,12,115,0,0,43,70,1,243,470
Cariboo--Prince George/Cariboo--Prince George,45,Quesnel,0,1,4,113,4,1,28,40,0,191,381
Cariboo--Prince George/Cariboo--Prince George,46,Quesnel,0,1,6,77,4,1,30,55,1,175,327
Cariboo--Prince George/Cariboo--Prince George,47,Quesnel,0,0,2,44,0,0,36,39,0,121,287
Cariboo--Prince George/Cariboo--Prince George,48,Quesnel,0,1,9,64,2,1,41,60,0,178,415
Cariboo--Prince George/Cariboo--Prince George,49,Quesnel,0,1,6,69,2,1,32,69,0,180,413
Cariboo--Prince George/Cariboo--Prince George,50,Quesnel,0,2,10,52,8,0,45,50,4,171,342
Cariboo--Prince George/Cariboo--Prince George,51,Quesnel,0,2,5,55,1,1,40,57,0,161,315
Cariboo--Prince George/Cariboo--Prince George,52,Quesnel,0,1,3,63,1,1,72,73,1,215,379
Cariboo--Prince George/Cariboo--Prince George,53,Quesnel,1,1,3,50,1,0,16,36,0,108,244
Cariboo--Prince George/Cariboo--Prince George,54,Quesnel,0,2,6,67,0,0,47,77,0,199,344
Cariboo--Prince George/Cariboo--Prince George,55,Quesnel,2,1,7,69,0,0,46,39,1,165,312
Cariboo--Prince George/Cariboo--Prince George,56,Quesnel,1,2,10,95,2,0,40,56,1,207,352
Cariboo--Prince George/Cariboo--Prince George,57,Quesnel,1,6,2,90,2,0,48,73,0,222,340
Cariboo--Prince George/Cariboo--Prince George,58,Quesnel,0,1,5,114,3,0,44,52,1,220,373
Cariboo--Prince George/Cariboo--Prince George,59,Dog Creek,0,1,3,149,0,0,19,24,0,196,340
Cariboo--Prince George/Cariboo--Prince George,60,Vanderhoof,1,1,10,134,1,1,22,23,2,195,344
Cariboo--Prince George/Cariboo--Prince George,61,Six Mile Meadow 6,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,62,Chilco,0,4,9,158,3,0,25,25,0,224,344
Cariboo--Prince George/Cariboo--Prince George,63,Vanderhoof,0,1,10,138,0,1,56,28,4,238,391
Cariboo--Prince George/Cariboo--Prince George,64,Vanderhoof,0,3,9,81,1,1,18,30,1,144,289
Cariboo--Prince George/Cariboo--Prince George,65,Vanderhoof,0,0,6,181,1,0,25,20,2,235,342
Cariboo--Prince George/Cariboo--Prince George,66,Vanderhoof,0,0,7,126,2,0,40,24,0,199,340
Cariboo--Prince George/Cariboo--Prince George,67,Vanderhoof,0,5,10,151,4,0,55,54,0,279,478
Cariboo--Prince George/Cariboo--Prince George,68A,Vanderhoof,0,0,5,84,0,1,16,18,1,125,349
Cariboo--Prince George/Cariboo--Prince George,68B,Vanderhoof,0,2,14,74,0,1,23,7,0,121,350
Cariboo--Prince George/Cariboo--Prince George,69,Vanderhoof,0,0,8,102,0,1,54,23,1,189,338
Cariboo--Prince George/Cariboo--Prince George,70,Vanderhoof,0,0,5,96,0,1,22,8,0,132,192
Cariboo--Prince George/Cariboo--Prince George,71,Nulki,1,1,5,44,1,1,18,34,0,105,308
Cariboo--Prince George/Cariboo--Prince George,72,Weneez,0,1,8,105,1,0,18,16,0,149,267
Cariboo--Prince George/Cariboo--Prince George,73,Mapes,0,1,5,77,0,0,13,10,0,106,214
Cariboo--Prince George/Cariboo--Prince George,74,Finmoore,0,0,9,83,1,2,26,40,2,163,292
Cariboo--Prince George/Cariboo--Prince George,75,Telachick,0,0,3,36,2,0,11,19,0,71,163
Cariboo--Prince George/Cariboo--Prince George,76,Nechako,0,2,6,62,1,0,15,10,0,96,147
Cariboo--Prince George/Cariboo--Prince George,77,Nechako,0,0,13,71,4,0,54,51,0,193,307
Cariboo--Prince George/Cariboo--Prince George,78,Prince George,0,4,6,78,0,2,35,26,0,151,271
Cariboo--Prince George/Cariboo--Prince George,79A,Prince George,0,1,5,66,0,0,27,36,1,136,257
Cariboo--Prince George/Cariboo--Prince George,79B,Prince George,1,2,5,62,1,0,30,28,2,131,280
Cariboo--Prince George/Cariboo--Prince George,80,Prince George,0,3,11,90,4,0,21,51,0,180,331
Cariboo--Prince George/Cariboo--Prince George,81,Prince George,0,0,0,49,1,0,16,19,1,86,177
Cariboo--Prince George/Cariboo--Prince George,82,Prince George,0,2,4,95,3,1,28,52,0,185,376
Cariboo--Prince George/Cariboo--Prince George,83A,Prince George,0,0,8,75,0,0,24,31,1,139,288
Cariboo--Prince George/Cariboo--Prince George,83B,Prince George,0,2,3,80,0,1,35,21,0,142,303
Cariboo--Prince George/Cariboo--Prince George,84,Prince George,1,6,12,107,1,0,34,40,0,201,401
Cariboo--Prince George/Cariboo--Prince George,85,Prince George,1,0,3,121,2,0,69,48,0,244,488
Cariboo--Prince George/Cariboo--Prince George,86,Prince George,0,0,2,115,3,2,65,47,1,235,439
Cariboo--Prince George/Cariboo--Prince George,87,Prince George,0,2,4,46,1,0,27,35,0,115,231
Cariboo--Prince George/Cariboo--Prince George,88,Prince George,0,4,10,103,1,2,62,51,2,235,380
Cariboo--Prince George/Cariboo--Prince George,89,Prince George,1,1,7,54,0,0,14,27,0,104,248
Cariboo--Prince George/Cariboo--Prince George,90,Prince George,1,1,5,72,0,3,30,50,0,162,266
Cariboo--Prince George/Cariboo--Prince George,91,Prince George,0,2,9,70,1,2,32,35,0,151,261
Cariboo--Prince George/Cariboo--Prince George,92,Prince George,0,6,7,96,0,2,53,54,1,219,370
Cariboo--Prince George/Cariboo--Prince George,93,Prince George,0,0,2,85,1,0,44,20,2,154,299
Cariboo--Prince George/Cariboo--Prince George,94,Prince George,0,2,2,73,1,1,27,23,0,129,213
Cariboo--Prince George/Cariboo--Prince George,95,Prince George,2,2,11,78,3,1,46,67,1,211,396
Cariboo--Prince George/Cariboo--Prince George,96,Prince George,0,3,6,74,0,1,45,52,2,183,350
Cariboo--Prince George/Cariboo--Prince George,97,Prince George,0,2,19,104,2,1,47,49,0,224,420
Cariboo--Prince George/Cariboo--Prince George,98,Prince George,0,1,5,101,2,2,49,51,1,212,363
Cariboo--Prince George/Cariboo--Prince George,99,Prince George,1,1,3,82,1,0,36,55,0,179,356
Cariboo--Prince George/Cariboo--Prince George,100,Prince George,0,5,7,120,0,0,41,88,3,264,453
Cariboo--Prince George/Cariboo--Prince George,101,Prince George,0,2,6,99,3,0,52,61,0,223,395
Cariboo--Prince George/Cariboo--Prince George,102,Prince George,0,2,16,97,1,0,46,54,0,216,388
Cariboo--Prince George/Cariboo--Prince George,103,Nechako,1,2,14,163,2,3,64,61,0,310,510
Cariboo--Prince George/Cariboo--Prince George,104,Mud River,0,7,10,72,0,0,30,44,0,163,287
Cariboo--Prince George/Cariboo--Prince George,105,Mud River,0,1,3,59,1,0,21,13,0,98,192
Cariboo--Prince George/Cariboo--Prince George,106A,Beaverley,0,0,4,80,2,0,26,37,0,149,250
Cariboo--Prince George/Cariboo--Prince George,106B,Beaverley,0,2,7,56,3,0,23,19,0,110,266
Cariboo--Prince George/Cariboo--Prince George,107,Baldy Hughes,1,0,2,31,0,0,18,12,0,64,144
Cariboo--Prince George/Cariboo--Prince George,108,Hixon,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,109,Buckhorn,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,110A,Prince George,1,0,3,66,0,1,33,39,1,144,259
Cariboo--Prince George/Cariboo--Prince George,110B,Prince George,0,1,2,67,0,1,38,18,1,128,238
Cariboo--Prince George/Cariboo--Prince George,111,Prince George,1,4,3,118,0,3,50,40,0,219,418
Cariboo--Prince George/Cariboo--Prince George,112,Prince George,0,0,8,83,1,0,27,42,1,162,268
Cariboo--Prince George/Cariboo--Prince George,113,Prince George,1,1,5,103,0,4,65,50,0,229,426
Cariboo--Prince George/Cariboo--Prince George,114,Prince George,1,1,7,59,1,1,20,51,0,141,270
Cariboo--Prince George/Cariboo--Prince George,115,Prince George,0,0,10,64,3,0,38,37,0,152,310
Cariboo--Prince George/Cariboo--Prince George,116,Prince George,0,1,4,77,3,0,30,47,1,163,342
Cariboo--Prince George/Cariboo--Prince George,117,Prince George,1,1,5,66,0,2,41,38,3,157,298
Cariboo--Prince George/Cariboo--Prince George,118,Prince George,2,2,5,50,0,0,40,43,1,143,324
Cariboo--Prince George/Cariboo--Prince George,119,Prince George,1,0,9,63,4,1,33,41,0,152,322
Cariboo--Prince George/Cariboo--Prince George,120,Prince George,0,0,1,53,0,0,33,60,0,147,306
Cariboo--Prince George/Cariboo--Prince George,121,Prince George,0,1,10,40,0,0,18,41,0,110,296
Cariboo--Prince George/Cariboo--Prince George,122,Prince George,0,3,5,77,0,0,29,44,0,158,285
Cariboo--Prince George/Cariboo--Prince George,123,Prince George,0,4,9,97,1,0,41,67,0,219,362
Cariboo--Prince George/Cariboo--Prince George,124,Prince George,0,3,5,63,0,0,26,46,1,144,263
Cariboo--Prince George/Cariboo--Prince George,125,Prince George,0,1,4,32,2,0,14,35,0,88,292
Cariboo--Prince George/Cariboo--Prince George,126A,Prince George,0,1,11,37,0,0,12,41,0,102,243
Cariboo--Prince George/Cariboo--Prince George,126B,Prince George,1,4,6,58,0,1,18,28,1,117,246
Cariboo--Prince George/Cariboo--Prince George,127,Prince George,2,6,5,59,0,0,48,64,0,184,331
Cariboo--Prince George/Cariboo--Prince George,128,Prince George,1,2,11,84,1,1,52,73,1,226,436
Cariboo--Prince George/Cariboo--Prince George,129,Prince George,0,4,9,78,3,0,42,79,0,215,365
Cariboo--Prince George/Cariboo--Prince George,130,Prince George,1,2,6,81,3,1,44,72,3,213,406
Cariboo--Prince George/Cariboo--Prince George,131,Prince George,0,0,20,71,1,2,71,66,1,232,396
Cariboo--Prince George/Cariboo--Prince George,132,Prince George,0,1,9,71,3,2,54,56,0,196,372
Cariboo--Prince George/Cariboo--Prince George,133,Prince George,0,0,6,29,1,0,7,34,1,78,233
Cariboo--Prince George/Cariboo--Prince George,134,Prince George,0,2,13,76,2,0,36,57,0,186,434
Cariboo--Prince George/Cariboo--Prince George,135,Prince George,0,1,7,46,0,1,22,46,3,126,314
Cariboo--Prince George/Cariboo--Prince George,136,Prince George,0,3,6,74,4,1,46,62,3,199,369
Cariboo--Prince George/Cariboo--Prince George,137,Prince George,0,1,5,67,0,0,41,41,0,155,283
Cariboo--Prince George/Cariboo--Prince George,138,Prince George,0,3,9,90,2,1,57,53,0,215,413
Cariboo--Prince George/Cariboo--Prince George,139,Prince George,0,1,2,56,4,1,36,35,0,135,285
Cariboo--Prince George/Cariboo--Prince George,140,Prince George,1,2,12,46,0,0,34,46,0,141,280
Cariboo--Prince George/Cariboo--Prince George,141,Prince George,0,0,9,34,0,0,26,33,0,102,229
Cariboo--Prince George/Cariboo--Prince George,142A,Prince George,0,2,10,53,1,2,30,44,0,142,319
Cariboo--Prince George/Cariboo--Prince George,142B,Prince George,1,3,5,56,2,1,30,37,0,135,288
Cariboo--Prince George/Cariboo--Prince George,143,Prince George,1,2,6,100,1,1,51,73,2,237,458
Cariboo--Prince George/Cariboo--Prince George,144A,Prince George,0,0,2,53,0,0,54,22,0,131,248
Cariboo--Prince George/Cariboo--Prince George,144B,Prince George,0,0,2,57,1,0,59,27,2,148,246
Cariboo--Prince George/Cariboo--Prince George,145,Prince George,0,4,4,56,0,0,15,33,0,112,231
Cariboo--Prince George/Cariboo--Prince George,146,Prince George,0,1,7,84,0,1,18,54,0,165,308
Cariboo--Prince George/Cariboo--Prince George,147,Prince George,1,0,11,50,0,3,19,51,0,135,354
Cariboo--Prince George/Cariboo--Prince George,148,Prince George,0,1,6,44,1,0,19,48,0,119,328
Cariboo--Prince George/Cariboo--Prince George,149,Prince George,1,7,14,63,3,2,44,75,1,210,473
Cariboo--Prince George/Cariboo--Prince George,150,Prince George,0,2,5,39,0,1,14,33,1,95,266
Cariboo--Prince George/Cariboo--Prince George,151,Prince George,1,5,17,41,2,1,44,64,0,175,363
Cariboo--Prince George/Cariboo--Prince George,152,Prince George,0,7,14,63,1,2,51,62,1,201,349
Cariboo--Prince George/Cariboo--Prince George,153,Prince George,0,0,4,74,1,0,20,43,1,143,282
Cariboo--Prince George/Cariboo--Prince George,154,Prince George,0,2,11,69,1,0,27,58,0,168,487
Cariboo--Prince George/Cariboo--Prince George,155,Prince George,0,1,8,34,1,1,15,48,2,110,347
Cariboo--Prince George/Cariboo--Prince George,156,Prince George,0,0,3,22,0,1,8,19,2,55,131
Cariboo--Prince George/Cariboo--Prince George,157,Prince George,1,3,17,61,0,0,19,48,0,149,391
Cariboo--Prince George/Cariboo--Prince George,158,Prince George,0,1,9,66,3,0,36,51,3,169,329
Cariboo--Prince George/Cariboo--Prince George,159,Prince George,0,3,6,44,2,2,19,38,1,115,274
Cariboo--Prince George/Cariboo--Prince George,160,Prince George,0,2,15,68,1,0,21,67,1,175,409
Cariboo--Prince George/Cariboo--Prince George,161,Prince George,1,2,8,71,2,0,26,50,0,160,364
Cariboo--Prince George/Cariboo--Prince George,162,Prince George,0,2,9,75,4,1,42,79,0,212,402
Cariboo--Prince George/Cariboo--Prince George,163,Prince George,0,3,3,71,2,2,24,53,1,159,398
Cariboo--Prince George/Cariboo--Prince George,164,Prince George,1,1,11,111,1,3,48,61,0,237,400
Cariboo--Prince George/Cariboo--Prince George,165,Prince George,0,1,7,64,1,0,37,42,0,152,262
Cariboo--Prince George/Cariboo--Prince George,166,Prince George,0,4,9,47,0,1,19,36,0,116,240
Cariboo--Prince George/Cariboo--Prince George,167,Prince George,0,2,4,66,2,0,43,30,1,148,292
Cariboo--Prince George/Cariboo--Prince George,168,Prince George,1,1,5,73,0,2,32,62,1,177,344
Cariboo--Prince George/Cariboo--Prince George,169,Prince George,0,1,18,77,2,2,32,44,0,176,441
Cariboo--Prince George/Cariboo--Prince George,170,Prince George,0,1,1,82,1,3,38,48,1,175,357
Cariboo--Prince George/Cariboo--Prince George,171,Prince George,0,0,6,58,1,1,44,39,0,149,239
Cariboo--Prince George/Cariboo--Prince George,172,Prince George,0,2,10,137,4,1,51,58,0,263,482
Cariboo--Prince George/Cariboo--Prince George,173,Riske Creek,0,1,0,37,18,0,7,15,0,78,174
Cariboo--Prince George/Cariboo--Prince George,174,Williams Lake,1,2,7,68,5,0,19,29,0,131,227
Cariboo--Prince George/Cariboo--Prince George,175,McLeese Lake,1,2,8,92,5,1,22,40,0,171,327
Cariboo--Prince George/Cariboo--Prince George,176,Big Lake Ranch,0,4,18,89,5,2,26,62,1,207,357
Cariboo--Prince George/Cariboo--Prince George,177,Likely,0,3,17,81,2,0,31,31,0,165,282
Cariboo--Prince George/Cariboo--Prince George,178,Horsefly,0,2,19,156,2,4,43,44,1,271,414
Cariboo--Prince George/Cariboo--Prince George,179,Horsefly,0,0,5,37,0,0,12,18,0,72,92
Cariboo--Prince George/Cariboo--Prince George,180,Miocene,0,0,15,84,6,0,30,43,1,179,269
Cariboo--Prince George/Cariboo--Prince George,181,Soda Creek,0,0,5,35,0,0,27,37,0,104,209
Cariboo--Prince George/Cariboo--Prince George,182,Williams Lake,0,4,18,132,8,0,44,68,3,277,488
Cariboo--Prince George/Cariboo--Prince George,183,Williams Lake,0,3,8,101,10,1,44,53,0,220,432
Cariboo--Prince George/Cariboo--Prince George,184,Pine Valley,0,3,8,38,0,1,14,25,0,89,170
Cariboo--Prince George/Cariboo--Prince George,185,Dugan Lake,0,0,4,64,1,0,13,14,0,96,162
Cariboo--Prince George/Cariboo--Prince George,186,Williams Lake,0,1,8,35,4,0,32,43,0,123,304
Cariboo--Prince George/Cariboo--Prince George,187A,Williams Lake,0,1,5,29,3,0,28,34,0,100,244
Cariboo--Prince George/Cariboo--Prince George,187B,Williams Lake,0,2,12,59,2,1,19,34,0,129,250
Cariboo--Prince George/Cariboo--Prince George,188,Williams Lake,0,2,8,65,4,0,44,36,0,159,309
Cariboo--Prince George/Cariboo--Prince George,189,Williams Lake,0,1,9,103,2,0,65,43,1,224,344
Cariboo--Prince George/Cariboo--Prince George,190A,Williams Lake,0,1,7,93,1,0,44,60,0,206,350
Cariboo--Prince George/Cariboo--Prince George,190B,Williams Lake,0,4,5,96,0,0,49,58,0,212,377
Cariboo--Prince George/Cariboo--Prince George,191,Williams Lake,0,0,9,56,5,0,42,39,0,151,326
Cariboo--Prince George/Cariboo--Prince George,192,Williams Lake,2,0,2,59,2,0,23,40,1,129,272
Cariboo--Prince George/Cariboo--Prince George,193A,Williams Lake,1,1,2,54,2,0,52,53,3,168,282
Cariboo--Prince George/Cariboo--Prince George,193B,Williams Lake,0,1,7,28,1,2,28,30,0,97,245
Cariboo--Prince George/Cariboo--Prince George,193C,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,,,25
Cariboo--Prince George/Cariboo--Prince George,194,Williams Lake,1,2,5,83,2,0,46,77,0,216,374
Cariboo--Prince George/Cariboo--Prince George,195,Williams Lake,0,3,3,85,2,0,77,40,1,211,333
Cariboo--Prince George/Cariboo--Prince George,196,Williams Lake,0,0,10,81,3,1,43,47,0,185,329
Cariboo--Prince George/Cariboo--Prince George,197,Williams Lake,0,1,6,92,3,0,48,65,4,219,435
Cariboo--Prince George/Cariboo--Prince George,198,Williams Lake,0,0,7,73,3,0,33,29,0,145,260
Cariboo--Prince George/Cariboo--Prince George,199,Williams Lake,0,1,4,68,0,0,48,63,0,184,359
Cariboo--Prince George/Cariboo--Prince George,200,Williams Lake,1,4,2,85,2,1,45,59,2,201,388
Cariboo--Prince George/Cariboo--Prince George,201,Williams Lake,0,0,6,51,5,0,49,38,2,151,285
Cariboo--Prince George/Cariboo--Prince George,202,Williams Lake,2,1,5,64,7,1,22,32,0,134,291
Cariboo--Prince George/Cariboo--Prince George,203,Williams Lake,0,0,5,44,0,0,21,10,0,80,181
Cariboo--Prince George/Cariboo--Prince George,204,Williams Lake,0,1,6,50,2,0,20,41,0,120,293
Cariboo--Prince George/Cariboo--Prince George,205,Williams Lake,0,0,5,78,2,0,49,62,1,197,399
Cariboo--Prince George/Cariboo--Prince George,206,Williams Lake,1,1,8,82,8,1,55,53,0,209,414
Cariboo--Prince George/Cariboo--Prince George,207,Williams Lake,0,1,4,82,3,0,45,51,0,186,386
Cariboo--Prince George/Cariboo--Prince George,208,Williams Lake,0,2,10,117,4,0,55,54,1,243,424
Cariboo--Prince George/Cariboo--Prince George,209,South Williams Lake,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,210A,Williams Lake,1,0,5,82,10,0,27,33,0,158,282
Cariboo--Prince George/Cariboo--Prince George,210B,Williams Lake,1,0,7,67,1,0,21,39,0,136,281
Cariboo--Prince George/Cariboo--Prince George,211A,Williams Lake,0,0,4,53,5,0,22,23,0,107,230
Cariboo--Prince George/Cariboo--Prince George,211B,Williams Lake,0,1,2,49,1,0,28,30,0,111,230
Cariboo--Prince George/Cariboo--Prince George,212,Williams Lake,0,1,2,97,3,0,30,39,1,173,297
Cariboo--Prince George/Cariboo--Prince George,213,Chimney Creek 5,0,1,11,98,3,0,29,54,1,197,300
Cariboo--Prince George/Cariboo--Prince George,214,Springhouse,0,1,13,114,6,0,48,43,0,225,407
Cariboo--Prince George/Cariboo--Prince George,215,Springhouse,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,216,Alkali Lake,0,2,10,15,7,0,25,40,0,99,253
Cariboo--Prince George/Cariboo--Prince George,217,Dog Creek,0,1,5,12,1,0,9,27,1,56,97
Cariboo--Prince George/Cariboo--Prince George,218,Williams Lake,2,0,7,57,2,0,36,22,0,126,194
Cariboo--Prince George/Cariboo--Prince George,219,150 Mile House,0,1,8,69,4,0,31,49,0,162,317
Cariboo--Prince George/Cariboo--Prince George,220,150 Mile House,0,3,8,162,3,2,63,60,1,302,457
Cariboo--Prince George/Cariboo--Prince George,221A,Dugan Lake,0,1,9,118,3,0,30,41,0,202,399
Cariboo--Prince George/Cariboo--Prince George,221B,Dugan Lake,0,1,9,109,3,0,26,51,1,200,389
Cariboo--Prince George/Cariboo--Prince George,500,Mobile poll/Bureau itinérant,0,0,1,20,0,0,5,4,2,32,40
Cariboo--Prince George/Cariboo--Prince George,501,Mobile poll/Bureau itinérant,1,1,2,21,1,1,8,17,2,54,54
Cariboo--Prince George/Cariboo--Prince George,502,Mobile poll/Bureau itinérant,2,0,1,11,2,0,4,9,1,30,67
Cariboo--Prince George/Cariboo--Prince George,503,Mobile poll/Bureau itinérant,2,0,0,13,1,0,12,11,0,39,42
Cariboo--Prince George/Cariboo--Prince George,600,Hagensborg,0,0,1,20,0,0,4,10,0,35,
Cariboo--Prince George/Cariboo--Prince George,601,Chilcotin,0,1,1,23,1,0,5,6,0,37,
Cariboo--Prince George/Cariboo--Prince George,602,Quesnel,1,0,16,196,1,2,45,114,3,378,
Cariboo--Prince George/Cariboo--Prince George,603,Quesnel,1,1,6,59,0,0,39,61,0,167,
Cariboo--Prince George/Cariboo--Prince George,604,Vanderhoof,0,0,8,152,0,0,25,19,2,206,
Cariboo--Prince George/Cariboo--Prince George,605,Prince George,2,1,19,327,4,1,99,119,1,573,
Cariboo--Prince George/Cariboo--Prince George,606,Prince George,1,4,31,403,1,2,177,204,4,827,
Cariboo--Prince George/Cariboo--Prince George,607,Williams Lake,1,3,13,213,7,0,114,70,0,421,
Cariboo--Prince George/Cariboo--Prince George,608,Williams Lake,1,3,8,204,4,0,76,93,4,393,
Cariboo--Prince George/Cariboo--Prince George,,Group 1/Groupe 1,0,1,6,38,1,0,21,20,3,90,176
Cariboo--Prince George/Cariboo--Prince George,,Group 2/Groupe 2,0,3,39,372,12,3,111,163,10,713,
