District,Poll Number,Poll Name,Pierrette Bellefeuille,Alain Charette,Pierre Laliberté,Christian Legeais,Marcel Proulx,Gail Walker,Rejected Ballots,Total Vote,Electors
Hull--Aylmer/Hull--Aylmer,62,Aylmer,29,52,45,1,139,26,1,293,502
Hull--Aylmer/Hull--Aylmer,63A,Aylmer,46,43,24,0,79,7,2,201,322
Hull--Aylmer/Hull--Aylmer,63B,Aylmer,21,41,20,0,73,13,0,168,302
Hull--Aylmer/Hull--Aylmer,64A,Aylmer,15,19,20,1,53,13,0,121,272
Hull--Aylmer/Hull--Aylmer,64B,Aylmer,10,29,26,0,61,7,0,133,311
Hull--Aylmer/Hull--Aylmer,65,Aylmer,41,61,32,1,101,21,2,259,490
Hull--Aylmer/Hull--Aylmer,66,Hull,13,100,24,0,104,13,1,255,362
Hull--Aylmer/Hull--Aylmer,67,Hull,4,119,27,0,124,14,4,292,429
Hull--Aylmer/Hull--Aylmer,68,Hull,13,102,28,1,92,15,0,251,379
Hull--Aylmer/Hull--Aylmer,69,Hull,4,83,14,0,83,7,1,192,326
Hull--Aylmer/Hull--Aylmer,70,Hull,3,86,17,0,68,15,2,191,300
Hull--Aylmer/Hull--Aylmer,71,Hull,15,128,28,1,156,10,4,342,515
Hull--Aylmer/Hull--Aylmer,72,Hull,12,143,32,0,99,14,4,304,479
Hull--Aylmer/Hull--Aylmer,73,Hull,10,111,29,1,93,9,6,259,487
Hull--Aylmer/Hull--Aylmer,74,Hull,11,92,15,0,73,12,2,205,371
Hull--Aylmer/Hull--Aylmer,75,Hull,13,95,23,1,64,13,5,214,426
Hull--Aylmer/Hull--Aylmer,76A,Hull,7,55,8,0,52,3,1,126,261
Hull--Aylmer/Hull--Aylmer,76B,Hull,5,59,12,0,62,12,0,150,304
Hull--Aylmer/Hull--Aylmer,77,Hull,14,131,41,0,82,15,2,285,412
Hull--Aylmer/Hull--Aylmer,78,Hull,10,67,20,0,58,13,0,168,354
Hull--Aylmer/Hull--Aylmer,79,Hull,13,100,34,1,101,15,1,265,492
Hull--Aylmer/Hull--Aylmer,80,Hull,18,110,27,0,61,18,7,241,407
Hull--Aylmer/Hull--Aylmer,81,Hull,8,72,36,0,96,22,3,237,347
Hull--Aylmer/Hull--Aylmer,82,Hull,5,79,12,1,62,12,1,172,318
Hull--Aylmer/Hull--Aylmer,83,Hull,16,75,17,0,75,4,3,190,379
Hull--Aylmer/Hull--Aylmer,84,Hull,15,30,28,0,66,2,2,143,356
Hull--Aylmer/Hull--Aylmer,85,Hull,14,73,11,0,46,7,2,153,434
Hull--Aylmer/Hull--Aylmer,86,Hull,7,40,6,0,32,7,3,95,222
Hull--Aylmer/Hull--Aylmer,87A,Hull,12,66,30,0,79,10,1,198,486
Hull--Aylmer/Hull--Aylmer,87B,Hull,23,76,19,4,85,7,3,217,490
Hull--Aylmer/Hull--Aylmer,88,Hull,Merged with No. 87A,,,,,,,,3
Hull--Aylmer/Hull--Aylmer,89,Hull,5,92,16,0,54,5,5,177,432
Hull--Aylmer/Hull--Aylmer,90,Hull,4,88,16,1,39,10,1,159,327
Hull--Aylmer/Hull--Aylmer,91,Hull,6,42,15,0,51,1,1,116,336
Hull--Aylmer/Hull--Aylmer,92,Hull,13,124,33,0,87,13,1,271,420
Hull--Aylmer/Hull--Aylmer,93,Hull,11,119,16,0,99,6,0,251,400
Hull--Aylmer/Hull--Aylmer,94,Hull,12,55,22,0,73,3,4,169,360
Hull--Aylmer/Hull--Aylmer,95,Hull,4,60,19,3,117,7,2,212,377
Hull--Aylmer/Hull--Aylmer,96,Hull,18,87,16,0,96,6,1,224,404
Hull--Aylmer/Hull--Aylmer,97,Hull,4,45,10,1,42,3,0,105,374
Hull--Aylmer/Hull--Aylmer,98,Hull,11,105,18,3,74,4,5,220,360
Hull--Aylmer/Hull--Aylmer,99,Hull,15,96,24,1,82,5,0,223,418
Hull--Aylmer/Hull--Aylmer,100,Hull,15,89,22,0,114,7,2,249,373
Hull--Aylmer/Hull--Aylmer,101,Hull,11,89,14,1,58,10,1,184,331
Hull--Aylmer/Hull--Aylmer,102,Hull,9,67,20,0,80,6,0,182,345
Hull--Aylmer/Hull--Aylmer,103,Hull,3,60,28,2,84,10,3,190,409
Hull--Aylmer/Hull--Aylmer,104,Hull,10,56,19,2,93,5,0,185,352
Hull--Aylmer/Hull--Aylmer,105,Hull,10,44,11,0,63,7,2,137,289
Hull--Aylmer/Hull--Aylmer,106,Hull,10,55,14,0,52,4,1,136,291
Hull--Aylmer/Hull--Aylmer,107,Hull,8,28,7,0,41,1,2,87,270
Hull--Aylmer/Hull--Aylmer,108,Hull,12,77,30,1,108,7,6,241,370
Hull--Aylmer/Hull--Aylmer,109,Hull,10,90,12,1,78,9,0,200,356
Hull--Aylmer/Hull--Aylmer,110,Hull,7,29,12,0,42,4,2,96,367
Hull--Aylmer/Hull--Aylmer,111,Hull,7,15,18,0,37,3,0,80,330
Hull--Aylmer/Hull--Aylmer,112,Hull,20,76,17,0,102,12,1,228,390
Hull--Aylmer/Hull--Aylmer,113,Hull,9,74,22,0,80,8,2,195,296
Hull--Aylmer/Hull--Aylmer,114,Hull,19,94,11,0,99,10,1,234,377
Hull--Aylmer/Hull--Aylmer,115,Hull,8,40,9,0,72,8,2,139,326
Hull--Aylmer/Hull--Aylmer,116,Hull,6,53,11,0,64,5,3,142,320
Hull--Aylmer/Hull--Aylmer,117,Hull,14,59,12,0,63,4,0,152,354
Hull--Aylmer/Hull--Aylmer,118,Hull,4,60,14,0,123,7,5,213,409
Hull--Aylmer/Hull--Aylmer,119,Hull,16,58,10,0,124,5,3,216,383
Hull--Aylmer/Hull--Aylmer,120,Hull,7,44,14,0,40,6,1,112,244
Hull--Aylmer/Hull--Aylmer,121,Hull,6,57,11,1,71,8,0,154,305
Hull--Aylmer/Hull--Aylmer,122,Hull,10,63,23,2,58,6,2,164,341
Hull--Aylmer/Hull--Aylmer,123,Hull,15,69,17,0,96,5,0,202,483
Hull--Aylmer/Hull--Aylmer,124,Hull,5,28,5,0,50,5,0,93,231
Hull--Aylmer/Hull--Aylmer,125,Hull,7,54,10,0,71,10,1,153,351
Hull--Aylmer/Hull--Aylmer,126,Hull,13,43,6,1,66,8,4,141,356
Hull--Aylmer/Hull--Aylmer,127,Hull,16,118,50,0,110,12,6,312,508
Hull--Aylmer/Hull--Aylmer,128A,Hull,17,110,24,1,116,15,3,286,475
Hull--Aylmer/Hull--Aylmer,128B,Hull,14,109,32,0,129,11,2,297,535
Hull--Aylmer/Hull--Aylmer,129,Hull,9,82,19,0,70,8,4,192,401
Hull--Aylmer/Hull--Aylmer,130A,Hull,6,93,25,0,62,7,3,196,317
Hull--Aylmer/Hull--Aylmer,130B,Hull,11,79,22,0,71,6,1,190,342
Hull--Aylmer/Hull--Aylmer,131,Hull,9,81,23,0,84,12,4,213,425
Hull--Aylmer/Hull--Aylmer,132,Hull,13,139,33,0,71,11,1,268,428
Hull--Aylmer/Hull--Aylmer,133,Hull,5,111,10,0,57,7,3,193,325
Hull--Aylmer/Hull--Aylmer,134A,Hull,3,59,18,0,61,5,2,148,286
Hull--Aylmer/Hull--Aylmer,134B,Hull,9,70,17,0,61,4,0,161,294
Hull--Aylmer/Hull--Aylmer,135,Hull,11,98,22,0,101,9,1,242,347
Hull--Aylmer/Hull--Aylmer,136,Hull,11,139,45,1,119,22,11,348,542
Hull--Aylmer/Hull--Aylmer,137,Hull,8,68,16,0,68,7,2,169,365
Hull--Aylmer/Hull--Aylmer,138,Hull,9,80,14,0,49,8,4,164,354
Hull--Aylmer/Hull--Aylmer,139,Hull,9,73,15,0,90,8,0,195,345
Hull--Aylmer/Hull--Aylmer,140,Hull,12,69,23,0,59,5,2,170,358
Hull--Aylmer/Hull--Aylmer,141,Hull,16,85,13,0,96,7,1,218,413
Hull--Aylmer/Hull--Aylmer,142,Hull,5,63,11,0,88,6,3,176,356
Hull--Aylmer/Hull--Aylmer,143,Hull,7,99,22,0,77,11,3,219,347
Hull--Aylmer/Hull--Aylmer,144,Hull,10,86,18,1,78,14,2,209,385
Hull--Aylmer/Hull--Aylmer,145,Hull,14,80,20,0,80,11,5,210,369
Hull--Aylmer/Hull--Aylmer,146,Hull,14,93,29,0,110,7,2,255,423
Hull--Aylmer/Hull--Aylmer,147,Hull,17,107,50,1,124,9,0,308,521
Hull--Aylmer/Hull--Aylmer,148,Hull,13,118,36,1,121,11,1,301,530
Hull--Aylmer/Hull--Aylmer,149,Hull,15,83,37,0,65,16,0,216,346
Hull--Aylmer/Hull--Aylmer,150,Hull,9,93,45,0,85,12,1,245,387
Hull--Aylmer/Hull--Aylmer,151,Hull,9,112,54,2,103,11,2,293,481
Hull--Aylmer/Hull--Aylmer,152,Hull,6,32,4,0,18,0,0,60,135
Hull--Aylmer/Hull--Aylmer,153,Hull,3,47,18,1,50,3,2,124,351
Hull--Aylmer/Hull--Aylmer,154,Hull,7,97,15,1,76,20,1,217,426
Hull--Aylmer/Hull--Aylmer,155,Hull,5,65,12,2,50,8,2,144,323
Hull--Aylmer/Hull--Aylmer,156,Hull,5,86,19,0,53,16,1,180,425
Hull--Aylmer/Hull--Aylmer,157,Hull,14,77,13,1,51,11,1,168,382
Hull--Aylmer/Hull--Aylmer,158,Hull,10,93,19,1,66,8,3,200,416
Hull--Aylmer/Hull--Aylmer,159,Hull,5,57,13,2,80,9,4,170,355
Hull--Aylmer/Hull--Aylmer,160,Hull,9,70,17,0,71,4,3,174,417
Hull--Aylmer/Hull--Aylmer,161,Hull,11,73,15,0,64,11,3,177,421
Hull--Aylmer/Hull--Aylmer,162,Hull,7,53,11,0,71,9,1,152,447
Hull--Aylmer/Hull--Aylmer,163,Hull,7,67,15,0,30,7,1,127,388
Hull--Aylmer/Hull--Aylmer,164,Hull,13,61,13,0,54,12,2,155,298
Hull--Aylmer/Hull--Aylmer,165,Hull,23,59,40,0,93,11,2,228,489
Hull--Aylmer/Hull--Aylmer,166,Hull,6,62,19,1,81,7,4,180,429
Hull--Aylmer/Hull--Aylmer,167,Hull,15,44,17,0,63,6,0,145,336
Hull--Aylmer/Hull--Aylmer,168,Hull,27,66,24,0,86,10,6,219,393
Hull--Aylmer/Hull--Aylmer,169A,Hull,8,44,13,0,53,4,5,127,258
Hull--Aylmer/Hull--Aylmer,169B,Hull,11,50,20,0,45,8,2,136,318
Hull--Aylmer/Hull--Aylmer,170,Hull,9,43,8,0,42,2,1,105,299
Hull--Aylmer/Hull--Aylmer,171,Hull,6,63,18,0,53,8,4,152,471
Hull--Aylmer/Hull--Aylmer,172,Hull,13,67,21,0,73,7,3,184,472
Hull--Aylmer/Hull--Aylmer,173,Hull,13,52,14,0,98,3,1,181,312
Hull--Aylmer/Hull--Aylmer,174,Hull,6,57,20,0,46,8,6,143,342
Hull--Aylmer/Hull--Aylmer,175,Hull,11,55,30,0,56,13,2,167,385
Hull--Aylmer/Hull--Aylmer,176,Hull,8,40,20,1,31,8,0,108,311
Hull--Aylmer/Hull--Aylmer,177,Hull,5,64,13,1,54,11,0,148,385
Hull--Aylmer/Hull--Aylmer,178,Hull,11,45,14,2,54,11,0,137,456
Hull--Aylmer/Hull--Aylmer,179,Hull,8,58,6,0,52,3,3,130,373
Hull--Aylmer/Hull--Aylmer,180,Hull,2,32,6,0,66,4,0,110,359
Hull--Aylmer/Hull--Aylmer,181,Hull,11,39,8,2,67,13,2,142,477
Hull--Aylmer/Hull--Aylmer,182,Hull,10,40,21,0,66,5,1,143,374
Hull--Aylmer/Hull--Aylmer,183,Hull,7,35,34,1,66,3,3,149,483
Hull--Aylmer/Hull--Aylmer,184,Hull,6,45,16,0,37,12,3,119,289
Hull--Aylmer/Hull--Aylmer,185,Hull,8,47,17,0,47,15,4,138,313
Hull--Aylmer/Hull--Aylmer,186A,Hull,15,46,16,0,44,6,0,127,287
Hull--Aylmer/Hull--Aylmer,186B,Hull,9,47,24,1,50,10,1,142,297
Hull--Aylmer/Hull--Aylmer,187,Hull,16,59,32,0,106,8,2,223,351
Hull--Aylmer/Hull--Aylmer,188A,Hull,9,64,26,0,100,3,1,203,361
Hull--Aylmer/Hull--Aylmer,188B,Hull,11,61,18,0,101,3,2,196,369
Hull--Aylmer/Hull--Aylmer,189,Hull,14,125,33,1,118,13,1,305,445
Hull--Aylmer/Hull--Aylmer,190,Hull,13,110,44,1,73,23,2,266,407
Hull--Aylmer/Hull--Aylmer,191,Hull,10,99,27,0,53,6,1,196,314
Hull--Aylmer/Hull--Aylmer,192,Hull,7,78,34,0,56,11,1,187,345
Hull--Aylmer/Hull--Aylmer,193,Hull,7,47,23,0,63,6,0,146,341
Hull--Aylmer/Hull--Aylmer,194,Hull,9,43,18,2,62,5,5,144,440
Hull--Aylmer/Hull--Aylmer,195,Hull,13,71,22,1,92,16,0,215,363
Hull--Aylmer/Hull--Aylmer,196,Hull,13,100,33,0,63,17,3,229,420
Hull--Aylmer/Hull--Aylmer,197,Hull,4,88,20,0,82,16,1,211,415
Hull--Aylmer/Hull--Aylmer,400,Aylmer,19,10,8,0,97,1,1,136,187
Hull--Aylmer/Hull--Aylmer,401,Hull,3,15,4,1,33,0,0,56,144
Hull--Aylmer/Hull--Aylmer,402,Hull,13,50,17,0,87,4,2,173,361
Hull--Aylmer/Hull--Aylmer,403,Hull,9,35,4,0,98,1,1,148,186
Hull--Aylmer/Hull--Aylmer,500,Mobile poll/Bureau itinérant,18,10,5,2,59,0,1,95,155
Hull--Aylmer/Hull--Aylmer,501,Mobile poll/Bureau itinérant,6,26,4,0,89,3,8,136,220
Hull--Aylmer/Hull--Aylmer,502,Mobile poll/Bureau itinérant,10,31,7,1,99,5,1,154,233
Hull--Aylmer/Hull--Aylmer,503,Mobile poll/Bureau itinérant,2,15,2,0,36,0,1,56,120
Hull--Aylmer/Hull--Aylmer,600,Gatineau,63,138,63,0,216,26,2,508,
Hull--Aylmer/Hull--Aylmer,601,Gatineau,46,75,39,1,165,16,1,343,
Hull--Aylmer/Hull--Aylmer,602,Gatineau,71,125,68,0,251,21,4,540,
Hull--Aylmer/Hull--Aylmer,603,Gatineau,31,65,28,1,129,14,2,270,
Hull--Aylmer/Hull--Aylmer,604,Gatineau,37,246,37,0,219,25,4,568,
Hull--Aylmer/Hull--Aylmer,605,Gatineau,26,154,28,0,205,12,3,428,
Hull--Aylmer/Hull--Aylmer,606,Gatineau,37,139,32,1,159,13,6,387,
Hull--Aylmer/Hull--Aylmer,607,Gatineau,21,153,39,0,146,19,2,380,
Hull--Aylmer/Hull--Aylmer,608,Gatineau,27,155,53,1,127,27,4,394,
Hull--Aylmer/Hull--Aylmer,609,Gatineau,41,118,48,1,154,14,3,379,
Hull--Aylmer/Hull--Aylmer,610,Gatineau,18,112,50,0,128,15,2,325,
Hull--Aylmer/Hull--Aylmer,,Group 1/Groupe 1,71,53,27,1,84,24,12,272,513
Hull--Aylmer/Hull--Aylmer,,Group 2/Groupe 2,39,191,74,1,220,28,6,559,
