District,Poll Number,Poll Name,Susan L. Green,Alexis MacDonald,Peter G. MacKay,Rebecca Mosher,Rejected Ballots,Total Vote,Electors
Central Nova/Nova-Centre,160,Port Bickerton,38,49,77,7,0,171,283
Central Nova/Nova-Centre,161,Necum Teuch,36,38,37,5,0,116,191
Central Nova/Nova-Centre,162,Moser River,31,46,59,2,0,138,227
Central Nova/Nova-Centre,163,Port Dufferin--Beaver Harbour--West Quoddy,34,47,65,3,1,150,258
Central Nova/Nova-Centre,164,Sheet Harbour,59,46,100,1,0,206,365
Central Nova/Nova-Centre,165A,Sheet Harbour,42,27,56,8,4,137,261
Central Nova/Nova-Centre,165B,Sheet Harbour,28,32,53,2,2,117,201
Central Nova/Nova-Centre,166,Sheet Harbour,52,36,51,7,1,147,250
Central Nova/Nova-Centre,167A,Spry Harbour--Mushaboom,28,25,47,1,3,104,159
Central Nova/Nova-Centre,167B,Spry Harbour--Mushaboom,19,25,21,0,0,65,108
Central Nova/Nova-Centre,168,Mooseland,7,18,11,4,0,40,52
Central Nova/Nova-Centre,169,Tangier--Spry Harbour,36,42,48,4,1,131,256
Central Nova/Nova-Centre,170,East Ship Harbour--Pleasant Harbour,60,46,40,5,2,153,260
Central Nova/Nova-Centre,171,Lake Charlotte,26,39,35,1,1,102,236
Central Nova/Nova-Centre,172,Ship Harbour,53,57,60,4,1,175,254
Central Nova/Nova-Centre,173,Clam Harbour,38,56,47,2,1,144,279
Central Nova/Nova-Centre,174,East Jeddore,57,78,117,9,0,261,410
Central Nova/Nova-Centre,500,Mobile poll/Bureau itinérant,34,21,44,3,2,104,184
Central Nova/Nova-Centre,501,Mobile poll/Bureau itinérant,16,7,26,1,0,50,67
Central Nova/Nova-Centre,502,Mobile poll/Bureau itinérant,27,15,54,1,0,97,215
Central Nova/Nova-Centre,503,Mobile poll/Bureau itinérant,40,12,54,1,6,113,170
Central Nova/Nova-Centre,504,Mobile poll/Bureau itinérant,14,6,14,0,1,35,59
Central Nova/Nova-Centre,600,River John,18,11,21,2,0,52,
Central Nova/Nova-Centre,601,Pictou,91,73,107,3,0,274,
Central Nova/Nova-Centre,602,Trenton,31,31,68,3,0,133,
Central Nova/Nova-Centre,603,Westville,49,51,72,6,0,178,
Central Nova/Nova-Centre,604,Stellarton,28,22,73,1,1,125,
Central Nova/Nova-Centre,605,New Glasgow,95,62,167,6,3,333,
Central Nova/Nova-Centre,606,Plymouth,55,45,122,3,0,225,
Central Nova/Nova-Centre,607,Thorburn,52,33,78,3,1,167,
Central Nova/Nova-Centre,608,Beech Hill,129,121,189,13,2,454,
Central Nova/Nova-Centre,609,Antigonish,145,63,120,8,3,339,
Central Nova/Nova-Centre,610,Tracadie,23,16,38,3,0,80,
Central Nova/Nova-Centre,611,Sherbrooke,36,12,42,2,0,92,
Central Nova/Nova-Centre,612,Sheet Harbour,56,42,73,2,0,173,
Central Nova/Nova-Centre,613,East Ship Harbour,22,20,36,3,0,81,
Central Nova/Nova-Centre,,Group 1/Groupe 1,32,19,87,8,4,150,355
Central Nova/Nova-Centre,,Group 2/Groupe 2,137,82,188,10,14,431,
