District,Poll Number,Poll Name,Stéphane d'Amours,Nicole Demers,Alain Giguère,Pierre Lafleur,Pierre Losier-Côté,Damien Pichereau,Rejected Ballots,Total Vote,Electors
Laval/Laval,42,Laval,30,133,8,80,4,8,4,267,406
Laval/Laval,43,Laval,9,106,6,81,0,3,4,209,335
Laval/Laval,44,Laval,21,164,8,110,0,4,7,314,438
Laval/Laval,45,Laval,14,154,19,101,1,10,3,302,435
Laval/Laval,46,Laval,12,83,8,90,1,6,6,206,380
Laval/Laval,47,Laval,26,119,15,93,4,5,6,268,458
Laval/Laval,48,Laval,11,100,6,55,6,1,7,186,436
Laval/Laval,49,Laval,13,134,11,81,1,6,1,247,422
Laval/Laval,50,Laval,15,82,13,58,6,6,4,184,373
Laval/Laval,51,Laval,12,80,10,51,3,6,4,166,334
Laval/Laval,52,Laval,15,72,3,89,1,5,8,193,330
Laval/Laval,53,Laval,19,128,15,112,3,4,3,284,486
Laval/Laval,54,Laval,20,95,5,89,0,8,3,220,379
Laval/Laval,55,Laval,12,90,14,84,2,6,6,214,351
Laval/Laval,56,Laval,19,94,6,102,1,4,4,230,420
Laval/Laval,57,Laval,Void,,,,,,,,
Laval/Laval,58,Laval,15,100,11,111,3,2,3,245,407
Laval/Laval,59,Laval,21,80,8,108,3,3,0,223,363
Laval/Laval,60,Laval,11,101,6,113,4,6,1,242,395
Laval/Laval,61,Laval,16,84,9,97,2,6,3,217,348
Laval/Laval,62,Laval,14,85,8,103,0,7,4,221,346
Laval/Laval,63,Laval,8,112,7,94,4,4,0,229,352
Laval/Laval,64,Laval,10,98,13,80,6,3,8,218,412
Laval/Laval,65,Laval,16,81,11,91,5,4,9,217,479
Laval/Laval,66,Laval,11,90,10,109,0,12,6,238,366
Laval/Laval,67,Laval,17,120,17,109,2,3,2,270,438
Laval/Laval,68,Laval,11,117,6,28,2,6,4,174,411
Laval/Laval,69,Laval,9,133,4,39,1,6,9,201,359
Laval/Laval,70,Laval,5,123,6,33,4,3,7,181,413
Laval/Laval,71,Laval,8,114,9,101,1,9,10,252,409
Laval/Laval,72,Laval,16,128,7,54,2,4,7,218,391
Laval/Laval,73,Laval,5,120,8,36,1,5,3,178,347
Laval/Laval,74,Laval,7,76,6,79,1,7,2,178,302
Laval/Laval,75,Laval,17,110,5,56,2,7,5,202,381
Laval/Laval,76,Laval,7,107,14,53,3,5,6,195,435
Laval/Laval,77,Laval,14,168,8,54,5,7,9,265,482
Laval/Laval,78,Laval,8,88,8,54,1,4,13,176,309
Laval/Laval,79,Laval,19,159,10,72,3,2,5,270,582
Laval/Laval,80,Laval,9,63,11,153,0,3,5,244,399
Laval/Laval,81,Laval,14,105,19,123,1,11,3,276,479
Laval/Laval,82,Laval,7,103,12,82,1,2,15,222,476
Laval/Laval,83,Laval,7,63,3,41,2,2,1,119,216
Laval/Laval,84,Laval,7,138,15,91,2,11,0,264,566
Laval/Laval,85,Laval,9,113,1,36,3,3,6,171,412
Laval/Laval,86,Laval,13,146,7,94,3,3,2,268,471
Laval/Laval,87,Laval,14,75,11,66,1,5,0,172,402
Laval/Laval,88,Laval,17,94,8,30,4,3,6,162,339
Laval/Laval,89,Laval,21,85,9,119,0,4,8,246,459
Laval/Laval,90,Laval,9,66,6,115,2,4,7,209,385
Laval/Laval,91,Laval,9,42,0,21,0,1,0,73,136
Laval/Laval,92,Laval,15,94,8,103,0,2,2,224,397
Laval/Laval,93,Laval,20,77,3,121,1,5,4,231,407
Laval/Laval,94,Laval,19,60,7,115,1,2,9,213,419
Laval/Laval,95,Laval,21,75,9,103,1,6,5,220,383
Laval/Laval,96,Laval,12,67,4,74,0,2,6,165,313
Laval/Laval,97,Laval,27,70,13,76,2,1,5,194,420
Laval/Laval,98,Laval,4,130,8,30,1,0,7,180,434
Laval/Laval,99,Laval,13,89,4,95,4,5,5,215,417
Laval/Laval,100,Laval,9,95,10,38,1,6,5,164,334
Laval/Laval,101,Laval,14,99,12,65,1,9,4,204,405
Laval/Laval,102,Laval,7,78,2,113,2,5,0,207,337
Laval/Laval,103,Laval,17,85,10,102,4,4,0,222,389
Laval/Laval,104,Laval,13,158,3,39,3,6,12,234,416
Laval/Laval,105,Laval,14,114,7,34,1,3,10,183,327
Laval/Laval,106,Laval,7,103,9,50,0,4,9,182,351
Laval/Laval,107,Laval,3,127,3,41,4,2,7,187,365
Laval/Laval,108,Laval,15,144,20,77,5,4,7,272,609
Laval/Laval,109,Laval,11,92,2,62,1,5,9,182,315
Laval/Laval,110,Laval,23,207,19,107,2,8,12,378,725
Laval/Laval,111,Laval,14,92,14,116,2,4,8,250,376
Laval/Laval,112,Laval,8,98,9,36,1,1,2,155,377
Laval/Laval,113,Laval,11,104,5,60,1,6,5,192,386
Laval/Laval,114,Laval,12,127,5,45,2,3,3,197,404
Laval/Laval,115,Laval,2,124,4,27,2,2,8,169,361
Laval/Laval,116,Laval,9,107,6,44,1,5,3,175,372
Laval/Laval,117,Laval,17,131,5,57,3,4,8,225,414
Laval/Laval,118,Laval,2,64,4,45,0,8,3,126,224
Laval/Laval,119,Laval,9,124,17,70,3,10,4,237,441
Laval/Laval,120,Laval,7,108,9,77,3,7,7,218,329
Laval/Laval,121,Laval,17,91,8,86,1,11,5,219,356
Laval/Laval,122,Laval,9,85,8,95,3,13,6,219,368
Laval/Laval,123,Laval,17,105,12,87,1,1,2,225,357
Laval/Laval,124,Laval,15,90,6,91,2,3,8,215,395
Laval/Laval,125,Laval,5,89,6,58,0,4,1,163,374
Laval/Laval,126,Laval,20,103,12,86,2,8,4,235,428
Laval/Laval,127,Laval,10,89,5,46,3,6,5,164,389
Laval/Laval,128,Laval,7,75,7,62,2,5,3,161,322
Laval/Laval,129,Laval,7,104,7,94,1,7,3,223,393
Laval/Laval,130,Laval,13,81,2,80,0,1,8,185,366
Laval/Laval,131,Laval,6,128,3,38,0,8,2,185,477
Laval/Laval,132,Laval,8,127,9,35,2,1,5,187,516
Laval/Laval,133,Laval,12,100,3,52,2,6,4,179,384
Laval/Laval,134,Laval,9,88,6,90,4,3,5,205,303
Laval/Laval,135,Laval,5,69,5,37,4,5,5,130,241
Laval/Laval,136,Laval,10,127,10,45,2,4,0,198,372
Laval/Laval,137,Laval,12,131,14,64,1,5,4,231,438
Laval/Laval,138,Laval,18,135,11,49,2,4,4,223,367
Laval/Laval,139,Laval,9,108,12,36,1,5,4,175,322
Laval/Laval,140,Laval,8,91,8,89,1,11,2,210,405
Laval/Laval,141,Laval,10,106,9,84,2,4,5,220,348
Laval/Laval,142,Laval,4,65,4,68,2,2,2,147,222
Laval/Laval,143,Laval,16,118,8,55,4,2,3,206,443
Laval/Laval,144,Laval,5,77,9,43,2,5,5,146,331
Laval/Laval,145,Laval,13,138,6,104,3,9,8,281,548
Laval/Laval,146,Laval,7,84,7,49,0,2,1,150,392
Laval/Laval,147,Laval,7,108,1,48,2,2,12,180,450
Laval/Laval,148,Laval,11,86,7,58,2,3,1,168,412
Laval/Laval,149,Laval,18,99,6,36,1,5,2,167,284
Laval/Laval,150,Laval,8,122,9,97,0,6,6,248,382
Laval/Laval,151,Laval,12,65,4,55,3,4,3,146,316
Laval/Laval,152,Laval,14,163,3,69,3,9,2,263,411
Laval/Laval,153,Laval,19,139,16,56,1,8,7,246,403
Laval/Laval,154,Laval,17,171,13,102,1,3,12,319,530
Laval/Laval,155,Laval,31,140,9,36,3,7,4,230,432
Laval/Laval,156,Laval,18,112,9,48,5,3,2,197,382
Laval/Laval,157,Laval,12,143,12,41,3,3,3,217,379
Laval/Laval,158,Laval,13,114,16,69,1,4,3,220,366
Laval/Laval,159,Laval,23,59,9,115,2,3,8,219,336
Laval/Laval,160,Laval,11,100,20,74,4,2,3,214,335
Laval/Laval,161,Laval,12,93,9,87,3,6,0,210,331
Laval/Laval,162,Laval,11,87,9,90,1,4,1,203,347
Laval/Laval,163,Laval,21,152,11,93,2,8,5,292,431
Laval/Laval,164,Laval,23,111,13,110,4,4,5,270,427
Laval/Laval,165,Laval,22,145,6,116,7,3,6,305,478
Laval/Laval,166,Laval,15,71,11,55,4,5,5,166,338
Laval/Laval,167,Laval,8,110,9,63,1,6,7,204,373
Laval/Laval,168,Laval,14,103,27,89,2,3,2,240,387
Laval/Laval,169,Laval,3,60,18,105,6,11,4,207,337
Laval/Laval,170,Laval,8,56,5,123,3,5,1,201,402
Laval/Laval,171,Laval,12,54,8,109,3,0,7,193,342
Laval/Laval,172,Laval,11,41,11,165,1,4,1,234,400
Laval/Laval,173,Laval,12,71,17,115,1,13,8,237,528
Laval/Laval,174,Laval,7,83,14,68,0,4,3,179,339
Laval/Laval,175,Laval,6,34,7,73,4,3,3,130,275
Laval/Laval,176,Laval,26,95,10,121,2,8,6,268,401
Laval/Laval,177A,Laval,5,37,4,36,1,0,2,85,172
Laval/Laval,177B,Laval,7,22,4,25,0,2,4,64,143
Laval/Laval,177C,Laval,11,57,7,90,0,4,0,169,275
Laval/Laval,178,Laval,23,82,12,90,1,5,4,217,397
Laval/Laval,179,Laval,5,60,7,93,1,5,2,173,331
Laval/Laval,180,Laval,21,95,8,56,2,3,5,190,364
Laval/Laval,181,Laval,8,140,4,54,5,10,3,224,445
Laval/Laval,182,Laval,18,78,4,118,0,2,9,229,387
Laval/Laval,183,Laval,11,96,11,80,2,7,4,211,417
Laval/Laval,184,Laval,34,112,10,169,0,4,5,334,614
Laval/Laval,185,Laval,12,109,11,105,2,3,8,250,608
Laval/Laval,186,Laval,13,98,12,90,3,5,3,224,424
Laval/Laval,187,Laval,18,99,8,50,1,4,1,181,381
Laval/Laval,188,Laval,6,73,5,51,1,3,2,141,331
Laval/Laval,189,Laval,18,77,8,76,2,3,4,188,437
Laval/Laval,190,Laval,10,76,4,70,3,4,3,170,389
Laval/Laval,191,Laval,7,56,2,26,1,2,1,95,219
Laval/Laval,192,Laval,6,65,12,82,2,3,3,173,356
Laval/Laval,193,Laval,12,76,6,48,2,4,6,154,405
Laval/Laval,194,Laval,7,52,14,94,4,4,7,182,430
Laval/Laval,195,Laval,29,119,12,99,3,5,10,277,637
Laval/Laval,196,Laval,11,105,14,79,6,7,4,226,485
Laval/Laval,400,Laval,16,119,15,151,3,4,14,322,489
Laval/Laval,401,Laval,14,68,9,183,3,1,13,291,360
Laval/Laval,402,Laval,12,91,6,154,2,2,3,270,398
Laval/Laval,403,Laval,14,95,7,118,1,5,6,246,401
Laval/Laval,404,Laval,9,19,10,21,1,0,2,62,163
Laval/Laval,500,Mobile poll/Bureau itinérant,12,25,3,53,2,1,16,112,211
Laval/Laval,600,Laval-Ouest,36,246,13,182,2,7,16,502,
Laval/Laval,601,Laval-Ouest,46,266,10,149,4,4,11,490,
Laval/Laval,602,Laval,35,182,12,141,4,12,9,395,
Laval/Laval,603,Laval,47,218,10,212,1,5,9,502,
Laval/Laval,604,Laval,21,124,14,170,1,1,5,336,
Laval/Laval,605,Laval,34,245,9,138,3,6,9,444,
Laval/Laval,606,Laval,23,176,9,99,1,2,11,321,
Laval/Laval,607,Laval,16,178,12,154,3,7,9,379,
Laval/Laval,608,Laval,31,253,23,179,4,15,11,516,
Laval/Laval,609,Laval,28,105,10,129,5,6,5,288,
Laval/Laval,610,Laval,49,126,10,193,5,4,3,390,
Laval/Laval,,Group 1/Groupe 1,23,28,1,30,4,0,11,97,167
Laval/Laval,,Group 2/Groupe 2,72,396,32,356,1,13,31,901,
