District,Poll Number,Poll Name,Omar Aktouf,Yan Lacombe,Jean Lapierre,Shaun Perceval-Maxwell,François Rebello,Marc Rousseau,Linda Sullivan,Rejected Ballots,Total Vote,Electors
Outremont/Outremont,42,Outremont,46,1,158,15,126,20,2,3,371,358
Outremont/Outremont,43,Outremont,30,4,120,12,113,17,0,2,298,583
Outremont/Outremont,44,Outremont,14,1,125,6,55,15,0,2,218,334
Outremont/Outremont,45,Outremont,13,0,98,11,91,8,0,2,223,426
Outremont/Outremont,46,Outremont,Merged with No. 42,,,,,,,,,262
Outremont/Outremont,47,Outremont,15,2,69,13,100,14,1,1,215,426
Outremont/Outremont,48,Outremont,19,1,77,8,78,15,0,2,200,417
Outremont/Outremont,49,Outremont,22,1,76,7,69,15,0,0,190,469
Outremont/Outremont,50,Outremont,28,0,53,7,85,9,0,1,183,377
Outremont/Outremont,51,Montréal,12,0,110,4,19,7,2,0,154,475
Outremont/Outremont,52,Montréal,15,3,94,3,23,24,5,4,171,542
Outremont/Outremont,53,Outremont,45,0,68,14,129,12,0,3,271,522
Outremont/Outremont,54,Outremont,42,0,68,11,182,11,0,3,317,555
Outremont/Outremont,55,Outremont,18,0,55,8,177,9,0,3,270,452
Outremont/Outremont,56,Outremont,27,0,41,11,110,5,0,1,195,354
Outremont/Outremont,57,Outremont,27,1,73,5,119,10,0,0,235,413
Outremont/Outremont,58,Outremont,12,0,78,7,73,5,1,0,176,398
Outremont/Outremont,59,Outremont,18,1,59,3,93,12,0,1,187,424
Outremont/Outremont,60,Outremont,24,0,59,2,131,7,1,1,225,377
Outremont/Outremont,61,Outremont,22,2,71,11,127,14,1,2,250,412
Outremont/Outremont,62,Outremont,23,1,88,8,166,9,0,2,297,522
Outremont/Outremont,63A,Montréal,7,1,91,1,10,15,1,0,126,375
Outremont/Outremont,63B,Montréal,9,1,103,7,13,15,3,4,155,445
Outremont/Outremont,64,Outremont,25,4,55,13,138,6,0,3,244,412
Outremont/Outremont,65,Outremont,42,2,47,21,107,2,0,1,222,387
Outremont/Outremont,66,Outremont,38,2,43,10,120,10,0,2,225,374
Outremont/Outremont,67,Outremont,29,0,76,12,145,12,0,2,276,459
Outremont/Outremont,68,Outremont,19,1,66,7,128,10,0,3,234,385
Outremont/Outremont,69,Outremont,24,1,44,2,131,8,0,0,210,377
Outremont/Outremont,70,Outremont,15,0,215,3,77,12,4,11,337,492
Outremont/Outremont,71,Outremont,20,1,101,9,115,18,1,0,265,455
Outremont/Outremont,72,Outremont,25,0,99,15,124,32,1,2,298,575
Outremont/Outremont,73,Outremont,21,1,105,9,147,15,0,3,301,527
Outremont/Outremont,74,Outremont,21,2,107,6,91,19,0,2,248,428
Outremont/Outremont,75,Outremont,27,1,78,14,129,15,0,2,266,448
Outremont/Outremont,76,Outremont,16,1,127,15,55,22,0,4,240,394
Outremont/Outremont,77,Outremont,14,1,119,5,107,19,0,2,267,443
Outremont/Outremont,78,Outremont,25,2,95,8,84,15,1,4,234,427
Outremont/Outremont,79,Outremont,8,2,120,4,50,17,0,4,205,465
Outremont/Outremont,80,Montréal,Merged with No. 81,,,,,,,,,132
Outremont/Outremont,81,Montréal,19,2,144,7,11,29,1,0,213,343
Outremont/Outremont,82,Montréal,12,2,108,1,21,21,0,1,166,513
Outremont/Outremont,83,Montréal,14,2,124,5,21,34,2,2,204,516
Outremont/Outremont,84,Montréal,14,2,123,6,32,37,0,5,219,550
Outremont/Outremont,85,Montréal,6,0,92,3,31,30,0,2,164,501
Outremont/Outremont,86,Montréal,24,0,85,0,40,10,0,1,160,314
Outremont/Outremont,87,Montréal,5,0,147,4,18,27,0,3,204,465
Outremont/Outremont,88,Montréal,19,3,249,5,22,19,0,1,318,501
Outremont/Outremont,89,Montréal,25,2,163,9,133,14,2,1,349,337
Outremont/Outremont,90,Montréal,8,0,150,3,54,21,0,3,239,480
Outremont/Outremont,91,Montréal,17,1,119,3,55,22,3,2,222,465
Outremont/Outremont,92,Outremont,9,1,81,8,75,17,0,2,193,352
Outremont/Outremont,93,Montréal,41,3,48,10,170,3,0,2,277,293
Outremont/Outremont,94,Montréal,26,0,59,6,83,3,0,1,178,362
Outremont/Outremont,95,Montréal,Merged with No. 93,,,,,,,,,244
Outremont/Outremont,96,Outremont,22,0,55,10,104,7,0,3,201,363
Outremont/Outremont,97,Montréal,Merged with No. 89,,,,,,,,,295
Outremont/Outremont,98,Montréal,29,2,60,7,153,10,2,3,266,286
Outremont/Outremont,99,Montréal,16,4,71,13,91,11,1,2,209,397
Outremont/Outremont,100,Montréal,15,0,127,3,25,25,0,0,195,464
Outremont/Outremont,101,Montréal,25,1,105,7,35,18,0,1,192,518
Outremont/Outremont,102,Montréal,18,5,73,2,41,13,0,0,152,423
Outremont/Outremont,103,Montréal,23,1,112,6,58,10,2,3,215,596
Outremont/Outremont,104,Montréal,25,0,81,4,60,21,1,2,194,547
Outremont/Outremont,105,Montréal,35,3,160,3,22,25,2,4,254,517
Outremont/Outremont,106,Montréal,7,2,92,1,7,12,0,0,121,338
Outremont/Outremont,107,Montréal,18,1,163,2,19,15,0,4,222,474
Outremont/Outremont,108,Montréal,20,3,159,5,40,23,2,6,258,559
Outremont/Outremont,109,Montréal,21,5,203,3,12,17,1,2,264,586
Outremont/Outremont,110,Montréal,27,2,221,9,25,31,1,11,327,671
Outremont/Outremont,111,Montréal,36,2,84,5,91,13,2,2,235,562
Outremont/Outremont,112,Montréal,17,0,53,12,50,12,1,4,149,344
Outremont/Outremont,113,Montréal,20,1,49,6,81,7,0,3,167,318
Outremont/Outremont,114,Montréal,24,1,79,6,86,10,1,0,207,363
Outremont/Outremont,115,Montréal,22,3,23,10,116,4,0,2,180,349
Outremont/Outremont,116,Montréal,Merged with No. 98,,,,,,,,,217
Outremont/Outremont,117,Montréal,21,1,58,7,107,5,0,2,201,334
Outremont/Outremont,118,Montréal,30,0,69,12,66,11,1,2,191,448
Outremont/Outremont,119,Montréal,30,0,88,4,61,10,0,2,195,401
Outremont/Outremont,120,Montréal,27,1,121,3,60,27,1,2,242,484
Outremont/Outremont,121,Montréal,23,4,123,4,45,18,0,5,222,512
Outremont/Outremont,122,Montréal,45,1,139,6,53,23,0,6,273,540
Outremont/Outremont,123,Montréal,31,3,88,9,71,14,2,0,218,480
Outremont/Outremont,124,Montréal,15,3,68,4,45,10,0,1,146,413
Outremont/Outremont,125,Montréal,15,0,86,2,28,8,1,1,141,378
Outremont/Outremont,126,Montréal,43,0,65,10,147,6,0,4,275,512
Outremont/Outremont,127,Montréal,29,2,132,9,57,21,1,3,254,551
Outremont/Outremont,128,Montréal,33,1,94,2,42,13,0,4,189,396
Outremont/Outremont,129,Montréal,31,0,60,5,81,14,1,1,193,367
Outremont/Outremont,130,Montréal,19,3,96,4,51,13,1,4,191,419
Outremont/Outremont,131,Montréal,32,1,169,2,34,22,0,3,263,565
Outremont/Outremont,132,Montréal,34,2,81,11,62,14,1,3,208,429
Outremont/Outremont,133,Montréal,23,0,41,6,93,5,0,0,168,386
Outremont/Outremont,134,Montréal,27,1,69,6,108,6,0,1,218,406
Outremont/Outremont,135,Montréal,24,1,30,9,102,9,0,4,179,335
Outremont/Outremont,136,Montréal,12,1,82,3,39,10,0,1,148,339
Outremont/Outremont,137,Montréal,10,0,58,8,42,9,1,1,129,334
Outremont/Outremont,138,Montréal,14,0,70,6,18,10,1,2,121,314
Outremont/Outremont,139,Montréal,22,2,164,15,22,17,0,2,244,446
Outremont/Outremont,140,Montréal,6,0,109,9,12,11,2,0,149,310
Outremont/Outremont,141,Montréal,7,2,108,3,5,15,0,0,140,304
Outremont/Outremont,142,Montréal,22,3,86,6,26,10,2,1,156,409
Outremont/Outremont,143,Montréal,19,1,98,5,29,9,0,1,162,427
Outremont/Outremont,144,Montréal,33,4,121,11,89,26,0,3,287,588
Outremont/Outremont,145,Montréal,40,2,78,5,70,10,0,2,207,398
Outremont/Outremont,146,Montréal,18,0,97,12,38,18,0,2,185,342
Outremont/Outremont,147,Montréal,22,1,123,11,76,18,3,2,256,407
Outremont/Outremont,148,Montréal,6,0,84,7,22,10,0,2,131,245
Outremont/Outremont,149,Montréal,16,1,121,5,40,19,0,3,205,382
Outremont/Outremont,150,Montréal,16,2,98,6,37,15,0,1,175,337
Outremont/Outremont,151,Montréal,39,1,121,5,108,29,1,2,306,584
Outremont/Outremont,152,Montréal,22,0,62,5,45,7,0,4,145,363
Outremont/Outremont,153,Montréal,22,1,69,14,102,21,0,1,230,435
Outremont/Outremont,154,Montréal,10,1,124,7,45,18,5,3,213,460
Outremont/Outremont,155,Montréal,44,4,136,8,68,20,1,2,283,647
Outremont/Outremont,156,Montréal,31,2,97,9,53,12,0,2,206,464
Outremont/Outremont,500A,Mobile poll/Bureau itinérant,1,1,27,2,0,4,4,3,42,132
Outremont/Outremont,500B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,,,84
Outremont/Outremont,501,Mobile poll/Bureau itinérant,4,0,33,1,7,4,1,2,52,89
Outremont/Outremont,502,Mobile poll/Bureau itinérant,6,0,44,1,20,5,1,0,77,72
Outremont/Outremont,503,Mobile poll/Bureau itinérant,1,0,20,0,1,1,1,0,24,81
Outremont/Outremont,600,Montréal,120,0,134,33,211,20,1,3,522,
Outremont/Outremont,601,Montréal,89,4,180,37,205,28,2,8,553,
Outremont/Outremont,602,Montréal,54,1,149,16,285,38,0,5,548,
Outremont/Outremont,603,Montréal,31,1,398,16,195,70,3,4,718,
Outremont/Outremont,604,Montréal,283,188,28,49,0,15,4,2,569,
Outremont/Outremont,605,Montréal,68,1,180,10,202,33,0,2,496,
Outremont/Outremont,606,Montréal,37,4,242,16,95,40,1,3,438,
Outremont/Outremont,,Group 1/Groupe 1,18,3,30,9,21,14,0,5,100,173
Outremont/Outremont,,Group 2/Groupe 2,188,6,335,43,409,41,1,15,1038,
