District,Poll Number,Poll Name,Dave Batters,Dick Proctor,Brian Rands,Harold Stephan,John Williams,Rejected Ballots,Total Vote,Electors
Palliser/Palliser,49,Moose Jaw,46,68,4,1,22,6,147,342
Palliser/Palliser,50,Moose Jaw,41,68,6,0,23,1,139,283
Palliser/Palliser,51,Moose Jaw,95,78,3,5,29,1,211,404
Palliser/Palliser,52,Moose Jaw,73,92,2,3,28,0,198,375
Palliser/Palliser,53,Moose Jaw,50,62,5,4,22,0,143,319
Palliser/Palliser,54,Moose Jaw,38,45,2,1,15,0,101,294
Palliser/Palliser,55,Moose Jaw,117,87,2,4,43,2,255,481
Palliser/Palliser,56,Moose Jaw,60,74,2,0,32,0,168,351
Palliser/Palliser,57,Moose Jaw,83,79,2,1,37,1,203,405
Palliser/Palliser,58,Moose Jaw,97,77,5,1,47,0,227,415
Palliser/Palliser,59,Moose Jaw,57,54,2,5,15,0,133,266
Palliser/Palliser,60,Moose Jaw,68,84,6,2,26,1,187,365
Palliser/Palliser,61,Moose Jaw,53,52,5,5,22,0,137,352
Palliser/Palliser,62,Moose Jaw,66,65,3,2,19,0,155,360
Palliser/Palliser,63,Moose Jaw,77,94,2,1,34,2,210,375
Palliser/Palliser,64,Moose Jaw,88,89,7,7,43,1,235,409
Palliser/Palliser,65,Moose Jaw,52,68,2,6,21,3,152,315
Palliser/Palliser,66,Moose Jaw,56,94,5,1,27,0,183,396
Palliser/Palliser,67,Moose Jaw,76,112,5,4,48,1,246,525
Palliser/Palliser,68,Moose Jaw,75,79,3,3,22,0,182,348
Palliser/Palliser,69,Moose Jaw,102,91,5,4,32,0,234,375
Palliser/Palliser,70,Moose Jaw,56,56,7,2,26,1,148,285
Palliser/Palliser,71,Moose Jaw,69,120,2,5,26,2,224,396
Palliser/Palliser,72,Drinkwater,134,27,3,5,33,0,202,299
Palliser/Palliser,73,Keystown,83,26,3,0,24,0,136,169
Palliser/Palliser,74,Pense,192,55,7,3,39,1,297,433
Palliser/Palliser,75,Regina,93,53,4,2,104,0,256,354
Palliser/Palliser,76,Briercrest,150,41,3,3,16,1,214,249
Palliser/Palliser,77,Rouleau,188,58,2,3,41,0,292,418
Palliser/Palliser,78,Wilcox,93,23,5,0,54,0,175,278
Palliser/Palliser,79,Regina,34,97,6,1,49,1,188,361
Palliser/Palliser,80,Regina,26,109,8,2,36,0,181,358
Palliser/Palliser,81,Regina,16,76,12,0,40,0,144,331
Palliser/Palliser,82,Regina,33,147,18,2,57,0,257,415
Palliser/Palliser,83,Regina,37,157,15,1,65,0,275,419
Palliser/Palliser,84,Regina,51,134,10,5,107,0,307,442
Palliser/Palliser,85,Regina,46,132,19,0,70,0,267,443
Palliser/Palliser,86,Regina,30,149,24,3,63,0,269,446
Palliser/Palliser,87,Regina,34,112,15,2,50,1,214,426
Palliser/Palliser,88,Regina,29,167,14,0,52,3,265,425
Palliser/Palliser,89,Regina,51,158,11,1,82,1,304,456
Palliser/Palliser,90,Regina,65,165,5,1,63,1,300,498
Palliser/Palliser,91,Regina,46,152,6,0,82,0,286,442
Palliser/Palliser,92,Regina,49,119,5,3,46,1,223,379
Palliser/Palliser,93,Regina,51,103,9,3,101,1,268,410
Palliser/Palliser,94,Regina,49,92,14,1,86,1,243,363
Palliser/Palliser,95,Regina,50,121,8,0,96,2,277,406
Palliser/Palliser,96,Regina,58,81,4,1,71,1,216,329
Palliser/Palliser,97,Regina,63,86,7,0,88,0,244,361
Palliser/Palliser,98,Regina,44,84,6,0,46,0,180,320
Palliser/Palliser,99,Regina,25,76,8,0,66,0,175,342
Palliser/Palliser,100,Regina,50,100,11,0,76,0,237,368
Palliser/Palliser,101,Regina,75,121,6,1,90,0,293,443
Palliser/Palliser,102,Regina,58,102,8,0,73,0,241,359
Palliser/Palliser,103,Regina,44,84,10,0,91,0,229,382
Palliser/Palliser,104,Regina,60,89,12,1,78,1,241,343
Palliser/Palliser,105,Regina,82,66,6,1,110,0,265,387
Palliser/Palliser,106,Regina,64,73,10,2,109,1,259,426
Palliser/Palliser,107,Regina,55,103,7,1,86,1,253,401
Palliser/Palliser,108,Regina,72,78,10,1,99,1,261,399
Palliser/Palliser,109,Regina,43,51,6,1,57,1,159,321
Palliser/Palliser,110,Regina,42,58,1,2,50,1,154,404
Palliser/Palliser,111,Regina,79,71,6,0,85,0,241,355
Palliser/Palliser,112,Regina,61,96,11,3,76,0,247,375
Palliser/Palliser,113,Regina,77,65,3,3,119,2,269,413
Palliser/Palliser,114,Regina,33,56,7,2,41,0,139,277
Palliser/Palliser,115,Regina,49,49,7,2,79,0,186,369
Palliser/Palliser,116,Regina,90,79,6,1,121,0,297,444
Palliser/Palliser,117,Regina,97,83,5,1,85,0,271,383
Palliser/Palliser,118,Regina,82,55,3,0,107,0,247,357
Palliser/Palliser,119,Regina,78,104,5,0,119,0,306,423
Palliser/Palliser,120,Regina,66,76,5,1,109,0,257,379
Palliser/Palliser,121,Regina,70,70,8,1,104,0,253,398
Palliser/Palliser,122,Regina,53,59,0,0,133,0,245,369
Palliser/Palliser,123,Regina,60,59,2,3,121,0,245,399
Palliser/Palliser,124,Regina,66,73,7,0,96,1,243,374
Palliser/Palliser,125,Regina,64,68,4,0,88,0,224,360
Palliser/Palliser,126,Regina,110,54,8,1,96,0,269,377
Palliser/Palliser,127,Regina,100,82,5,2,140,1,330,534
Palliser/Palliser,128,Regina,102,66,4,1,127,0,300,463
Palliser/Palliser,129,Regina,58,45,7,1,69,1,181,316
Palliser/Palliser,130,Regina,80,73,3,1,125,0,282,400
Palliser/Palliser,131,Old Wives,89,21,1,2,16,0,129,161
Palliser/Palliser,132,Mossbank,132,53,3,3,35,3,229,321
Palliser/Palliser,133,Ardill,57,12,0,0,23,0,92,135
Palliser/Palliser,134,Avonlea,105,29,2,2,46,1,185,263
Palliser/Palliser,135,Avonlea,152,60,2,1,24,1,240,345
Palliser/Palliser,400,Moose Jaw,Merged with No. 123,,,,,,,2
Palliser/Palliser,401,Regina,Void,,,,,,,
Palliser/Palliser,500,Mobile poll/Bureau itinérant,13,17,3,2,9,6,50,134
Palliser/Palliser,501,Mobile poll/Bureau itinérant,27,55,2,7,25,2,118,199
Palliser/Palliser,502,Mobile poll/Bureau itinérant,21,32,2,2,23,2,82,426
Palliser/Palliser,503,Mobile poll/Bureau itinérant,21,37,2,2,19,0,81,111
Palliser/Palliser,504,Mobile poll/Bureau itinérant,8,13,1,0,26,2,50,162
Palliser/Palliser,505,Mobile poll/Bureau itinérant,14,28,1,2,21,3,69,185
Palliser/Palliser,506,Mobile poll/Bureau itinérant,18,28,1,2,18,1,68,212
Palliser/Palliser,600,Caronport,91,10,4,11,4,0,120,
Palliser/Palliser,601,Moose Jaw,290,212,5,7,85,0,599,
Palliser/Palliser,602,Moose Jaw,135,125,5,4,55,0,324,
Palliser/Palliser,603,Moose Jaw,120,139,7,7,44,1,318,
Palliser/Palliser,604,Rouleau,43,8,2,1,6,0,60,
Palliser/Palliser,605,Regina,78,208,21,1,98,0,406,
Palliser/Palliser,606,Regina,125,168,12,2,148,0,455,
Palliser/Palliser,607,Regina,175,98,10,1,149,0,433,
Palliser/Palliser,608,Crestwynd,13,2,1,0,2,0,18,
Palliser/Palliser,,Group 1/Groupe 1,63,21,6,1,27,2,120,280
Palliser/Palliser,,Group 2/Groupe 2,170,207,19,9,130,15,550,
