District,Poll Number,Poll Name,Claudette Bradshaw,Judith Hamel,Hélène Lapointe,Jean LeBlanc,Rejected Ballots,Total Vote,Electors
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,85,Moncton,99,6,25,47,3,180,304
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,86,Moncton,164,22,29,60,5,280,542
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,87,Moncton,113,15,33,48,2,211,425
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,88,Moncton,105,10,10,57,0,182,326
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,89,Moncton,98,14,26,55,0,193,367
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,90,Moncton,91,6,31,101,1,230,375
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,91,Moncton,62,8,30,41,1,142,382
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,92,Moncton,78,12,15,93,1,199,349
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,93,Moncton,91,6,20,61,2,180,390
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,94,Moncton,78,11,37,83,2,211,376
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,95,Moncton,134,5,16,85,1,241,441
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,96,Moncton,89,5,24,32,0,150,365
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,97,Moncton,120,12,32,34,0,198,420
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,98,Moncton,101,8,23,29,1,162,379
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,99,Moncton,144,8,42,37,0,231,499
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,100,Moncton,108,9,23,23,0,163,397
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,101,Moncton,111,15,35,20,0,181,416
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,102,Moncton,91,17,31,40,0,179,426
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,103,Moncton,108,15,24,20,0,167,346
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,104,Moncton,121,15,32,31,0,199,398
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,105,Moncton,81,11,15,13,0,120,318
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,106,Moncton,100,12,25,17,1,155,365
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,107,Moncton,61,10,27,21,3,122,333
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,108,Moncton,72,6,15,13,0,106,308
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,109,Moncton,63,5,15,22,1,106,307
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,110,Moncton,74,11,34,17,0,136,403
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,111,Moncton,102,6,18,27,0,153,399
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,112,Moncton,108,14,27,27,3,179,426
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,113A,Moncton,50,10,11,23,0,94,254
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,113B,Moncton,58,9,18,22,1,108,280
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,114,Moncton,83,11,9,43,1,147,366
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,115,Moncton,105,8,29,40,4,186,461
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,116,Moncton,79,10,32,36,0,157,424
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,117A,Moncton,58,11,11,33,1,114,277
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,117B,Moncton,79,8,21,41,1,150,286
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,118,Moncton,102,14,30,55,0,201,370
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,119,Moncton,109,8,24,59,0,200,362
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,120,Moncton,75,4,6,43,1,129,215
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,121,Moncton,102,5,18,77,1,203,356
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,122,Moncton,145,7,20,97,4,273,463
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,123A,Moncton,95,6,16,52,1,170,288
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,123B,Moncton,88,3,15,54,0,160,298
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,124A,Moncton,99,4,24,47,1,175,295
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,124B,Moncton,103,7,23,63,1,197,298
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,125,Moncton,106,10,34,69,2,221,371
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,126,Moncton,87,6,25,33,1,152,353
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,127,Riverview,133,11,32,93,1,270,532
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,128,Riverview,153,9,33,96,1,292,516
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,129,Riverview,70,14,27,71,1,183,343
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,130,Riverview,72,10,46,56,1,185,379
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,131,Riverview,92,7,32,51,1,183,307
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,132,Riverview,91,8,27,66,3,195,354
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,133,Riverview,93,12,25,82,1,213,486
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,134,Riverview,65,9,22,48,2,146,267
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,135,Riverview,130,17,37,99,0,283,486
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,136,Riverview,90,5,28,58,3,184,324
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,137,Riverview,94,4,22,42,1,163,302
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,138,Riverview,122,7,23,108,0,260,426
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,139,Riverview,77,8,23,69,1,178,360
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,140,Riverview,101,7,25,68,0,201,446
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,141,Riverview,133,19,28,104,1,285,472
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,142,Riverview,106,11,27,71,1,216,359
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,143,Riverview,132,7,21,85,3,248,385
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,144,Riverview,86,9,16,75,1,187,354
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,145,Riverview,119,12,21,94,3,249,429
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,146,Riverview,98,9,29,63,0,199,386
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,147,Dieppe,150,13,32,37,3,235,469
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,148,Dieppe,177,7,34,21,5,244,399
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,149,Dieppe,75,3,10,13,2,103,250
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,150,Dieppe,138,10,23,26,4,201,343
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,151,Dieppe,228,12,28,41,1,310,518
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,152A,Dieppe,196,6,21,42,0,265,371
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,152B,Dieppe,167,8,17,16,2,210,327
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,153,Dieppe,213,18,24,34,2,291,490
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,154,Dieppe,229,9,42,43,2,325,554
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,155,Dieppe,205,17,34,59,3,318,533
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,156A,Dieppe,116,2,23,23,1,165,338
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,156B,Dieppe,78,11,38,23,2,152,339
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,157,Dieppe,106,10,20,21,0,157,377
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,158,Dieppe,116,6,28,30,2,182,352
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,159,Dieppe,138,5,21,16,2,182,278
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,160,Dieppe,175,15,18,18,2,228,326
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,161A,Dieppe,151,14,23,26,1,215,384
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,161B,Dieppe,176,13,24,35,1,249,372
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,162A,Dieppe,125,12,14,37,1,189,322
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,162B,Dieppe,120,7,20,27,0,174,307
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,163,Dieppe,273,13,56,44,3,389,568
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,164,Dieppe,219,13,31,32,2,297,430
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,165A,Dieppe,185,8,7,33,1,234,367
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,165B,Dieppe,165,7,14,29,2,217,331
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,166,Dieppe,245,12,50,52,5,364,605
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,167,Dieppe,173,14,41,43,4,275,452
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,168,Dieppe,129,11,24,41,4,209,357
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,169,Dieppe,126,10,28,35,1,200,338
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,400,Moncton,150,8,19,90,0,267,372
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,500,Mobile poll/Bureau itinérant,70,2,5,25,0,102,175
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,501,Mobile poll/Bureau itinérant,44,0,8,18,0,70,123
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,502,Mobile poll/Bureau itinérant,78,1,4,25,0,108,148
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,503,Mobile poll/Bureau itinérant,49,4,5,21,0,79,126
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,504,Mobile poll/Bureau itinérant,51,8,6,29,2,96,235
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,505,Mobile poll/Bureau itinérant,34,2,2,17,0,55,148
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,506,Mobile poll/Bureau itinérant,60,5,3,23,4,95,163
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,507,Mobile poll/Bureau itinérant,68,2,4,33,1,108,166
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,600,Moncton,356,17,58,187,2,620,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,601,Moncton,329,13,57,157,0,556,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,602,Moncton,309,23,45,112,5,494,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,603,Moncton,572,24,107,240,12,955,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,604,Moncton,450,39,57,223,5,774,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,605,Riverview,324,27,42,236,2,631,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,606,Moncton,625,35,68,139,7,874,
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,,Group 1/Groupe 1,84,6,13,63,7,173,369
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,,Group 2/Groupe 2,357,19,56,175,8,615,
