District,Poll Number,Poll Name,Simon Black,Jeff Brownridge,Bob Dechert,David Greig,Carolyn Parrish,Rejected Ballots,Total Vote,Electors
Mississauga--Erindale/Mississauga--Erindale,33,Mississauga,18,8,64,2,133,3,228,483
Mississauga--Erindale/Mississauga--Erindale,34,Mississauga,23,17,47,1,115,1,204,416
Mississauga--Erindale/Mississauga--Erindale,35,Mississauga,27,9,43,2,111,1,193,488
Mississauga--Erindale/Mississauga--Erindale,36,Mississauga,36,4,60,5,65,2,172,441
Mississauga--Erindale/Mississauga--Erindale,37,Mississauga,25,5,63,0,115,1,209,419
Mississauga--Erindale/Mississauga--Erindale,38,Mississauga,20,8,61,0,116,1,206,378
Mississauga--Erindale/Mississauga--Erindale,39,Mississauga,22,10,81,0,120,1,234,372
Mississauga--Erindale/Mississauga--Erindale,40,Mississauga,11,11,85,0,83,3,193,337
Mississauga--Erindale/Mississauga--Erindale,41,Mississauga,21,8,68,1,148,2,248,507
Mississauga--Erindale/Mississauga--Erindale,42,Mississauga,36,3,43,1,174,1,258,669
Mississauga--Erindale/Mississauga--Erindale,43,Mississauga,49,16,61,0,75,2,203,452
Mississauga--Erindale/Mississauga--Erindale,44,Mississauga,26,15,86,1,91,1,220,480
Mississauga--Erindale/Mississauga--Erindale,45,Mississauga,22,10,59,0,84,1,176,290
Mississauga--Erindale/Mississauga--Erindale,46,Mississauga,29,6,62,0,102,1,200,334
Mississauga--Erindale/Mississauga--Erindale,47,Mississauga,16,16,68,0,107,1,208,329
Mississauga--Erindale/Mississauga--Erindale,48,Mississauga,6,4,23,1,94,1,129,296
Mississauga--Erindale/Mississauga--Erindale,49,Mississauga,24,8,58,0,114,2,206,407
Mississauga--Erindale/Mississauga--Erindale,50,Mississauga,21,7,68,1,96,1,194,373
Mississauga--Erindale/Mississauga--Erindale,51,Mississauga,16,14,41,0,87,0,158,308
Mississauga--Erindale/Mississauga--Erindale,52,Mississauga,18,6,35,1,71,2,133,262
Mississauga--Erindale/Mississauga--Erindale,53,Mississauga,19,14,78,0,91,0,202,462
Mississauga--Erindale/Mississauga--Erindale,54,Mississauga,12,4,63,0,79,3,161,423
Mississauga--Erindale/Mississauga--Erindale,55,Mississauga,20,8,77,1,125,0,231,421
Mississauga--Erindale/Mississauga--Erindale,56,Mississauga,43,13,71,3,102,0,232,422
Mississauga--Erindale/Mississauga--Erindale,57,Mississauga,33,4,75,0,88,2,202,370
Mississauga--Erindale/Mississauga--Erindale,58,Mississauga,42,4,69,1,76,2,194,305
Mississauga--Erindale/Mississauga--Erindale,59,Mississauga,48,12,76,1,128,2,267,448
Mississauga--Erindale/Mississauga--Erindale,60,Mississauga,28,5,43,1,89,1,167,342
Mississauga--Erindale/Mississauga--Erindale,61,Mississauga,13,9,76,1,93,1,193,311
Mississauga--Erindale/Mississauga--Erindale,62,Mississauga,20,22,87,1,88,1,219,393
Mississauga--Erindale/Mississauga--Erindale,63,Mississauga,20,24,103,0,119,0,266,440
Mississauga--Erindale/Mississauga--Erindale,64,Mississauga,7,13,70,0,84,0,174,294
Mississauga--Erindale/Mississauga--Erindale,65,Mississauga,18,13,163,0,185,0,379,613
Mississauga--Erindale/Mississauga--Erindale,66,Mississauga,10,8,5,0,17,0,40,135
Mississauga--Erindale/Mississauga--Erindale,67,Mississauga,11,11,78,0,176,0,276,467
Mississauga--Erindale/Mississauga--Erindale,68,Mississauga,8,7,148,2,169,0,334,503
Mississauga--Erindale/Mississauga--Erindale,69,Mississauga,23,11,63,0,127,0,224,419
Mississauga--Erindale/Mississauga--Erindale,70,Mississauga,21,13,62,0,83,2,181,349
Mississauga--Erindale/Mississauga--Erindale,71,Mississauga,31,5,63,0,89,1,189,476
Mississauga--Erindale/Mississauga--Erindale,72,Mississauga,26,7,28,0,23,0,84,253
Mississauga--Erindale/Mississauga--Erindale,73,Mississauga,18,18,130,0,124,0,290,493
Mississauga--Erindale/Mississauga--Erindale,74,Mississauga,8,5,57,0,127,1,198,378
Mississauga--Erindale/Mississauga--Erindale,75,Mississauga,20,10,83,0,124,3,240,385
Mississauga--Erindale/Mississauga--Erindale,76,Mississauga,20,8,98,2,165,4,297,524
Mississauga--Erindale/Mississauga--Erindale,77,Mississauga,10,8,75,0,111,0,204,341
Mississauga--Erindale/Mississauga--Erindale,78,Mississauga,26,12,111,0,157,0,306,435
Mississauga--Erindale/Mississauga--Erindale,79,Mississauga,21,12,92,0,159,0,284,437
Mississauga--Erindale/Mississauga--Erindale,80,Mississauga,3,4,44,0,48,1,100,191
Mississauga--Erindale/Mississauga--Erindale,81,Mississauga,17,10,80,0,183,0,290,444
Mississauga--Erindale/Mississauga--Erindale,82,Mississauga,27,8,98,0,170,3,306,527
Mississauga--Erindale/Mississauga--Erindale,83,Mississauga,15,7,56,0,127,1,206,370
Mississauga--Erindale/Mississauga--Erindale,84,Mississauga,38,15,91,1,134,3,282,481
Mississauga--Erindale/Mississauga--Erindale,85,Mississauga,36,10,91,0,136,0,273,443
Mississauga--Erindale/Mississauga--Erindale,86,Mississauga,34,24,105,0,197,4,364,503
Mississauga--Erindale/Mississauga--Erindale,87,Mississauga,20,13,139,0,173,2,347,482
Mississauga--Erindale/Mississauga--Erindale,88,Mississauga,28,7,67,1,135,0,238,472
Mississauga--Erindale/Mississauga--Erindale,89,Mississauga,47,1,28,0,81,0,157,467
Mississauga--Erindale/Mississauga--Erindale,90,Mississauga,16,7,73,0,149,1,246,414
Mississauga--Erindale/Mississauga--Erindale,91,Mississauga,18,5,53,0,134,1,211,372
Mississauga--Erindale/Mississauga--Erindale,92,Mississauga,17,7,49,0,75,1,149,274
Mississauga--Erindale/Mississauga--Erindale,93,Mississauga,16,3,49,0,114,1,183,365
Mississauga--Erindale/Mississauga--Erindale,94,Mississauga,19,9,39,0,107,0,174,324
Mississauga--Erindale/Mississauga--Erindale,95,Mississauga,32,5,96,1,190,3,327,530
Mississauga--Erindale/Mississauga--Erindale,96,Mississauga,22,14,56,2,141,3,238,452
Mississauga--Erindale/Mississauga--Erindale,97,Mississauga,17,7,29,0,65,0,118,248
Mississauga--Erindale/Mississauga--Erindale,98,Mississauga,14,5,37,1,128,1,186,343
Mississauga--Erindale/Mississauga--Erindale,99,Mississauga,14,6,56,0,123,1,200,380
Mississauga--Erindale/Mississauga--Erindale,100,Mississauga,29,13,105,0,165,1,313,608
Mississauga--Erindale/Mississauga--Erindale,101,Mississauga,51,5,112,2,180,5,355,680
Mississauga--Erindale/Mississauga--Erindale,102,Mississauga,20,11,122,2,189,3,347,598
Mississauga--Erindale/Mississauga--Erindale,103,Mississauga,36,12,97,0,173,2,320,591
Mississauga--Erindale/Mississauga--Erindale,104,Mississauga,33,3,96,0,168,1,301,535
Mississauga--Erindale/Mississauga--Erindale,105,Mississauga,38,12,76,0,133,0,259,580
Mississauga--Erindale/Mississauga--Erindale,106,Mississauga,27,10,109,0,181,0,327,624
Mississauga--Erindale/Mississauga--Erindale,107,Mississauga,30,7,83,0,126,1,247,398
Mississauga--Erindale/Mississauga--Erindale,108,Mississauga,21,5,142,1,240,3,412,748
Mississauga--Erindale/Mississauga--Erindale,109,Mississauga,15,8,79,1,121,0,224,437
Mississauga--Erindale/Mississauga--Erindale,110,Mississauga,13,3,67,0,117,1,201,381
Mississauga--Erindale/Mississauga--Erindale,111,Mississauga,12,8,64,0,115,1,200,432
Mississauga--Erindale/Mississauga--Erindale,112,Mississauga,9,2,26,1,95,2,135,285
Mississauga--Erindale/Mississauga--Erindale,113,Mississauga,29,1,52,0,168,2,252,588
Mississauga--Erindale/Mississauga--Erindale,114,Mississauga,30,6,85,0,177,0,298,615
Mississauga--Erindale/Mississauga--Erindale,115,Mississauga,62,16,82,2,225,1,388,726
Mississauga--Erindale/Mississauga--Erindale,116,Mississauga,19,8,39,0,95,0,161,345
Mississauga--Erindale/Mississauga--Erindale,117,Mississauga,37,11,126,1,255,1,431,759
Mississauga--Erindale/Mississauga--Erindale,118,Mississauga,11,6,75,0,100,0,192,402
Mississauga--Erindale/Mississauga--Erindale,119,Mississauga,29,6,52,1,95,1,184,368
Mississauga--Erindale/Mississauga--Erindale,120,Mississauga,34,9,92,3,183,0,321,661
Mississauga--Erindale/Mississauga--Erindale,121,Mississauga,23,10,113,2,276,4,428,753
Mississauga--Erindale/Mississauga--Erindale,122,Mississauga,27,13,102,0,243,2,387,922
Mississauga--Erindale/Mississauga--Erindale,123,Mississauga,24,3,55,0,88,1,171,384
Mississauga--Erindale/Mississauga--Erindale,124,Mississauga,25,5,84,0,135,1,250,597
Mississauga--Erindale/Mississauga--Erindale,125,Mississauga,16,5,60,1,78,1,161,400
Mississauga--Erindale/Mississauga--Erindale,126A,Mississauga,23,10,46,0,110,2,191,387
Mississauga--Erindale/Mississauga--Erindale,126B,Mississauga,14,3,47,0,139,2,205,457
Mississauga--Erindale/Mississauga--Erindale,127,Mississauga,20,10,95,2,138,1,266,474
Mississauga--Erindale/Mississauga--Erindale,128,Mississauga,28,5,29,1,132,3,198,343
Mississauga--Erindale/Mississauga--Erindale,129,Mississauga,19,10,64,0,152,3,248,415
Mississauga--Erindale/Mississauga--Erindale,130,Mississauga,23,9,77,0,77,1,187,357
Mississauga--Erindale/Mississauga--Erindale,131,Mississauga,26,9,65,0,102,2,204,342
Mississauga--Erindale/Mississauga--Erindale,132,Mississauga,22,7,81,0,105,0,215,377
Mississauga--Erindale/Mississauga--Erindale,133,Mississauga,21,21,103,0,140,1,286,436
Mississauga--Erindale/Mississauga--Erindale,134,Mississauga,35,15,77,2,161,1,291,669
Mississauga--Erindale/Mississauga--Erindale,135,Mississauga,12,3,47,1,79,2,144,291
Mississauga--Erindale/Mississauga--Erindale,136,Mississauga,25,7,98,1,177,2,310,545
Mississauga--Erindale/Mississauga--Erindale,137,Mississauga,25,11,83,2,187,2,310,733
Mississauga--Erindale/Mississauga--Erindale,138,Mississauga,36,7,77,1,191,0,312,585
Mississauga--Erindale/Mississauga--Erindale,139,Mississauga,29,16,93,0,146,1,285,517
Mississauga--Erindale/Mississauga--Erindale,140,Mississauga,29,14,58,0,75,0,176,347
Mississauga--Erindale/Mississauga--Erindale,141,Mississauga,16,5,46,0,56,0,123,245
Mississauga--Erindale/Mississauga--Erindale,142,Mississauga,24,8,42,0,83,0,157,251
Mississauga--Erindale/Mississauga--Erindale,143,Mississauga,18,22,89,0,166,0,295,515
Mississauga--Erindale/Mississauga--Erindale,144,Mississauga,32,14,94,0,115,1,256,403
Mississauga--Erindale/Mississauga--Erindale,145,Mississauga,18,12,98,1,112,0,241,354
Mississauga--Erindale/Mississauga--Erindale,146A,Mississauga,16,3,82,0,152,0,253,528
Mississauga--Erindale/Mississauga--Erindale,146B,Mississauga,34,6,97,1,163,0,301,596
Mississauga--Erindale/Mississauga--Erindale,147A,Mississauga,18,6,62,1,134,0,221,435
Mississauga--Erindale/Mississauga--Erindale,147B,Mississauga,20,5,78,0,140,0,243,463
Mississauga--Erindale/Mississauga--Erindale,148,Mississauga,24,10,54,1,121,0,210,372
Mississauga--Erindale/Mississauga--Erindale,149,Mississauga,17,6,38,0,111,0,172,298
Mississauga--Erindale/Mississauga--Erindale,150,Mississauga,15,9,36,1,116,0,177,307
Mississauga--Erindale/Mississauga--Erindale,151,Mississauga,13,6,66,1,122,1,209,361
Mississauga--Erindale/Mississauga--Erindale,152,Mississauga,21,8,102,1,121,0,253,442
Mississauga--Erindale/Mississauga--Erindale,153,Mississauga,29,7,46,0,100,0,182,333
Mississauga--Erindale/Mississauga--Erindale,154,Mississauga,11,9,52,9,139,2,222,320
Mississauga--Erindale/Mississauga--Erindale,155,Mississauga,33,9,72,1,152,1,268,462
Mississauga--Erindale/Mississauga--Erindale,156,Mississauga,18,9,91,2,158,0,278,533
Mississauga--Erindale/Mississauga--Erindale,157,Mississauga,17,14,74,1,149,2,257,470
Mississauga--Erindale/Mississauga--Erindale,158,Mississauga,32,7,81,0,143,2,265,430
Mississauga--Erindale/Mississauga--Erindale,159,Mississauga,17,3,48,0,54,2,124,248
Mississauga--Erindale/Mississauga--Erindale,160,Mississauga,12,13,57,2,81,1,166,289
Mississauga--Erindale/Mississauga--Erindale,161,Mississauga,70,6,84,1,138,3,302,690
Mississauga--Erindale/Mississauga--Erindale,162,Mississauga,10,10,64,1,111,1,197,393
Mississauga--Erindale/Mississauga--Erindale,163,Mississauga,10,3,19,0,28,1,61,169
Mississauga--Erindale/Mississauga--Erindale,163-1,Mississauga,35,5,38,0,67,0,145,393
Mississauga--Erindale/Mississauga--Erindale,164,Mississauga,12,4,29,0,63,0,108,241
Mississauga--Erindale/Mississauga--Erindale,165,Mississauga,27,9,60,2,69,1,168,415
Mississauga--Erindale/Mississauga--Erindale,166,Mississauga,20,7,34,0,42,0,103,304
Mississauga--Erindale/Mississauga--Erindale,167,Mississauga,29,9,77,1,103,1,220,344
Mississauga--Erindale/Mississauga--Erindale,168,Mississauga,11,7,47,0,67,0,132,252
Mississauga--Erindale/Mississauga--Erindale,169,Mississauga,25,12,41,0,66,0,144,275
Mississauga--Erindale/Mississauga--Erindale,170,Mississauga,25,11,72,1,85,2,196,330
Mississauga--Erindale/Mississauga--Erindale,171,Mississauga,5,6,82,0,79,0,172,286
Mississauga--Erindale/Mississauga--Erindale,172,Mississauga,33,9,72,0,152,4,270,486
Mississauga--Erindale/Mississauga--Erindale,173,Mississauga,13,6,45,0,54,1,119,251
Mississauga--Erindale/Mississauga--Erindale,174,Mississauga,44,10,96,2,154,1,307,567
Mississauga--Erindale/Mississauga--Erindale,175,Mississauga,34,3,48,0,80,0,165,317
Mississauga--Erindale/Mississauga--Erindale,176,Mississauga,33,10,82,0,125,7,257,436
Mississauga--Erindale/Mississauga--Erindale,177,Mississauga,39,17,72,1,129,2,260,411
Mississauga--Erindale/Mississauga--Erindale,178,Mississauga,42,10,61,0,96,3,212,402
Mississauga--Erindale/Mississauga--Erindale,179,Mississauga,26,18,81,1,106,1,233,391
Mississauga--Erindale/Mississauga--Erindale,180,Mississauga,33,18,121,2,119,0,293,465
Mississauga--Erindale/Mississauga--Erindale,181,Mississauga,29,23,79,0,87,0,218,376
Mississauga--Erindale/Mississauga--Erindale,182,Mississauga,19,14,78,0,91,0,202,302
Mississauga--Erindale/Mississauga--Erindale,183,Mississauga,14,5,37,2,79,1,138,309
Mississauga--Erindale/Mississauga--Erindale,184,Mississauga,21,4,50,0,84,1,160,307
Mississauga--Erindale/Mississauga--Erindale,185,Mississauga,30,10,64,3,157,2,266,525
Mississauga--Erindale/Mississauga--Erindale,186,Mississauga,23,9,100,4,158,6,300,472
Mississauga--Erindale/Mississauga--Erindale,187,Mississauga,27,11,102,0,142,3,285,570
Mississauga--Erindale/Mississauga--Erindale,188,Mississauga,30,7,73,0,218,2,330,562
Mississauga--Erindale/Mississauga--Erindale,189,Mississauga,16,8,65,1,107,1,198,393
Mississauga--Erindale/Mississauga--Erindale,190,Mississauga,15,8,28,1,69,2,123,250
Mississauga--Erindale/Mississauga--Erindale,191,Mississauga,13,1,53,0,66,2,135,241
Mississauga--Erindale/Mississauga--Erindale,192,Mississauga,35,2,55,1,133,1,227,424
Mississauga--Erindale/Mississauga--Erindale,193,Mississauga,22,10,55,0,128,0,215,415
Mississauga--Erindale/Mississauga--Erindale,194,Mississauga,38,7,81,1,210,6,343,588
Mississauga--Erindale/Mississauga--Erindale,195,Mississauga,22,10,73,0,133,3,241,426
Mississauga--Erindale/Mississauga--Erindale,500,Mobile poll/Bureau itinérant,9,2,56,1,55,5,128,266
Mississauga--Erindale/Mississauga--Erindale,600,Mississauga,47,7,281,3,358,1,697,
Mississauga--Erindale/Mississauga--Erindale,601,Mississauga--Erindale,52,25,366,0,393,0,836,
Mississauga--Erindale/Mississauga--Erindale,602,Mississauga,45,21,366,0,322,4,758,
Mississauga--Erindale/Mississauga--Erindale,603,Mississauga,49,19,289,1,464,4,826,
Mississauga--Erindale/Mississauga--Erindale,604,Mississauga,45,17,289,2,415,2,770,
Mississauga--Erindale/Mississauga--Erindale,605,Mississauga,54,18,265,1,395,3,736,
Mississauga--Erindale/Mississauga--Erindale,606,Mississauga,68,28,343,1,280,1,721,
Mississauga--Erindale/Mississauga--Erindale,607,Mississauga,62,11,184,3,186,1,447,
Mississauga--Erindale/Mississauga--Erindale,,Group 1/Groupe 1,7,3,26,0,40,3,79,128
Mississauga--Erindale/Mississauga--Erindale,,Group 2/Groupe 2,34,13,159,0,237,1,444,
