District,Poll Number,Poll Name,Norman E Doyle,Walter Noel,Janine Piller,Scott Vokey,Rejected Ballots,Total Vote,Electors
St. John's North/St. John's-Nord,124A,St. John's,59,48,38,3,0,148,366
St. John's North/St. John's-Nord,124B,St. John's,54,63,28,2,0,147,361
St. John's North/St. John's-Nord,125,St. John's,48,76,37,9,0,170,305
St. John's North/St. John's-Nord,126A,St. John's,45,42,51,3,2,143,290
St. John's North/St. John's-Nord,126B,St. John's,44,33,64,4,2,147,300
St. John's North/St. John's-Nord,127,St. John's,51,38,77,8,0,174,316
St. John's North/St. John's-Nord,128,St. John's,48,74,78,11,0,211,348
St. John's North/St. John's-Nord,129,St. John's,61,42,53,2,0,158,291
St. John's North/St. John's-Nord,130,St. John's,36,68,90,7,0,201,387
St. John's North/St. John's-Nord,131,St. John's,40,43,46,7,0,136,259
St. John's North/St. John's-Nord,132,St. John's,39,44,30,8,3,124,366
St. John's North/St. John's-Nord,133,St. John's,71,67,54,5,0,197,366
St. John's North/St. John's-Nord,134,St. John's,48,39,48,7,0,142,316
St. John's North/St. John's-Nord,135,St. John's,52,37,33,1,0,123,290
St. John's North/St. John's-Nord,136,St. John's,57,48,57,1,2,165,302
St. John's North/St. John's-Nord,137,St. John's,59,51,29,1,0,140,278
St. John's North/St. John's-Nord,138,St. John's,37,48,38,4,1,128,312
St. John's North/St. John's-Nord,139,Conception Bay South,149,119,52,11,0,331,576
St. John's North/St. John's-Nord,140,Conception Bay South,83,81,54,7,0,225,522
St. John's North/St. John's-Nord,141,Conception Bay South,106,93,50,8,0,257,488
St. John's North/St. John's-Nord,142,Conception Bay South,86,89,51,6,0,232,421
St. John's North/St. John's-Nord,143,Conception Bay South,62,61,17,4,1,145,324
St. John's North/St. John's-Nord,144,Conception Bay South,63,69,36,6,0,174,393
St. John's North/St. John's-Nord,145,Conception Bay South,90,89,46,3,1,229,528
St. John's North/St. John's-Nord,146,Conception Bay South,78,64,49,5,0,196,401
St. John's North/St. John's-Nord,147A,Conception Bay South,63,31,29,0,0,123,297
St. John's North/St. John's-Nord,147B,Conception Bay South,57,65,27,4,0,153,332
St. John's North/St. John's-Nord,148,Conception Bay South,76,109,35,2,0,222,559
St. John's North/St. John's-Nord,149,Conception Bay South,57,34,49,2,0,142,353
St. John's North/St. John's-Nord,150,Conception Bay South,98,48,22,9,0,177,326
St. John's North/St. John's-Nord,151,Conception Bay South,Void,,,,,,
St. John's North/St. John's-Nord,152,Conception Bay South,70,40,27,0,2,139,348
St. John's North/St. John's-Nord,153A,Conception Bay South,55,70,34,1,0,160,356
St. John's North/St. John's-Nord,153B,Conception Bay South,63,58,19,3,1,144,326
St. John's North/St. John's-Nord,154,Conception Bay South,77,56,32,2,0,167,465
St. John's North/St. John's-Nord,155,Conception Bay South,25,13,12,0,1,51,197
St. John's North/St. John's-Nord,600,Torbay,139,61,55,5,1,261,
St. John's North/St. John's-Nord,601,Wabana,84,23,15,2,0,124,
St. John's North/St. John's-Nord,602,St. Phillips,130,121,57,5,0,313,
St. John's North/St. John's-Nord,603,St. John's,285,183,75,9,2,554,
St. John's North/St. John's-Nord,604,St. John's,209,192,73,12,1,487,
St. John's North/St. John's-Nord,605,St. John's,146,115,60,8,0,329,
St. John's North/St. John's-Nord,606,St. John's,50,61,66,3,0,180,
St. John's North/St. John's-Nord,607,Conception Bay South,154,118,53,8,1,334,
St. John's North/St. John's-Nord,,Group 1/Groupe 1,122,53,14,9,6,204,525
St. John's North/St. John's-Nord,,Group 2/Groupe 2,290,257,79,11,7,644,
