District,Poll Number,Poll Name,Fiorindo Agi,Gary Anderson,Moe Kovatch,Tom Lukiwski,Larry Spencer,Rejected Ballots,Total Vote,Electors
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,52,Regina,7,56,67,53,7,1,191,386
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,53,Regina,2,81,61,49,3,0,196,377
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,54,Regina,2,74,71,70,10,0,227,358
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,55,Regina,7,94,82,54,19,0,256,421
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,56,Regina,6,67,70,72,13,1,229,469
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,57,Regina,4,50,42,44,5,0,145,306
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,58,Regina,2,67,58,58,8,0,193,389
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,59,Regina,9,65,71,44,16,0,205,342
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,60,Regina,9,59,95,58,10,1,232,497
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,61,Regina,10,79,84,59,7,0,239,435
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,62,Regina,5,60,72,57,9,0,203,403
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,63,Regina,4,62,112,72,11,0,261,495
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,64,Regina,6,56,46,45,4,0,157,312
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,65,Regina,6,68,75,70,11,0,230,402
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,66A,Regina,0,60,55,68,2,0,185,275
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,66B,Regina,1,60,51,63,1,0,176,269
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,67,Regina,4,121,65,76,12,0,278,437
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,68,Regina,6,90,50,51,15,0,212,358
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,69,Regina,3,94,68,68,6,2,241,393
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,70,Regina,5,102,62,71,9,0,249,411
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,71,Regina,6,48,57,48,3,0,162,391
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,72,Regina,3,73,66,71,4,1,218,386
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,73,Regina,6,91,62,74,10,0,243,494
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,74,Regina,3,48,29,35,9,0,124,243
