District,Poll Number,Poll Name,Brent Bouteiller,Mike Chong,Noel Duignan,Bruce Hood,Pat Woode,Rejected Ballots,Total Vote,Electors
Wellington--Halton Hills/Wellington--Halton Hills,37C,Centre Wellington,10,162,47,114,5,3,341,538
Wellington--Halton Hills/Wellington--Halton Hills,38,Centre Wellington,16,111,41,112,7,3,290,440
Wellington--Halton Hills/Wellington--Halton Hills,39,Centre Wellington,16,84,28,70,2,0,200,350
Wellington--Halton Hills/Wellington--Halton Hills,40,Centre Wellington,16,66,23,48,3,1,157,315
Wellington--Halton Hills/Wellington--Halton Hills,41,Centre Wellington,17,63,35,68,4,2,189,358
Wellington--Halton Hills/Wellington--Halton Hills,42,Centre Wellington,14,105,41,83,5,0,248,476
Wellington--Halton Hills/Wellington--Halton Hills,43,Centre Wellington,16,121,41,96,3,0,277,463
Wellington--Halton Hills/Wellington--Halton Hills,44,Centre Wellington,11,109,30,69,4,0,223,434
Wellington--Halton Hills/Wellington--Halton Hills,45,Eramosa,7,92,29,88,4,0,220,294
Wellington--Halton Hills/Wellington--Halton Hills,46,Eramosa,21,136,38,115,9,1,320,426
Wellington--Halton Hills/Wellington--Halton Hills,47,Eramosa,17,114,23,109,6,3,272,401
Wellington--Halton Hills/Wellington--Halton Hills,48,Eramosa,23,64,14,85,10,0,196,287
Wellington--Halton Hills/Wellington--Halton Hills,49,Rockwood,21,110,38,112,14,0,295,471
Wellington--Halton Hills/Wellington--Halton Hills,50,Rockwood,19,88,33,81,2,0,223,410
Wellington--Halton Hills/Wellington--Halton Hills,51,Rockwood,30,86,35,106,5,0,262,342
Wellington--Halton Hills/Wellington--Halton Hills,52A,Rockwood,15,144,38,138,8,0,343,514
Wellington--Halton Hills/Wellington--Halton Hills,52B,Rockwood,Merged with No. 51,,,,,,,158
Wellington--Halton Hills/Wellington--Halton Hills,53,Rockwood,18,150,31,151,15,1,366,554
Wellington--Halton Hills/Wellington--Halton Hills,54,Eramosa,17,94,42,92,0,0,245,331
Wellington--Halton Hills/Wellington--Halton Hills,55,Eramosa,24,105,48,119,3,0,299,448
Wellington--Halton Hills/Wellington--Halton Hills,56,Guelph,Merged with No. 57,,,,,,,193
Wellington--Halton Hills/Wellington--Halton Hills,57,Guelph,12,68,19,108,8,1,216,235
Wellington--Halton Hills/Wellington--Halton Hills,58,Guelph,21,105,24,154,22,4,330,503
Wellington--Halton Hills/Wellington--Halton Hills,59,Ennotville,10,95,12,57,6,1,181,277
Wellington--Halton Hills/Wellington--Halton Hills,60,Pilkington,12,62,31,81,8,0,194,316
Wellington--Halton Hills/Wellington--Halton Hills,61,Guelph,14,96,35,77,6,0,228,347
Wellington--Halton Hills/Wellington--Halton Hills,62,Guelph,18,109,27,165,9,4,332,476
Wellington--Halton Hills/Wellington--Halton Hills,63,Guelph,10,132,22,139,3,4,310,443
Wellington--Halton Hills/Wellington--Halton Hills,64,Guelph,25,90,37,109,13,2,276,483
Wellington--Halton Hills/Wellington--Halton Hills,65,Erin,30,132,32,110,2,2,308,460
Wellington--Halton Hills/Wellington--Halton Hills,66,Erin,16,66,18,64,1,2,167,309
Wellington--Halton Hills/Wellington--Halton Hills,67,Erin,17,124,34,74,1,0,250,447
Wellington--Halton Hills/Wellington--Halton Hills,68,Erin,12,59,18,46,1,0,136,264
Wellington--Halton Hills/Wellington--Halton Hills,69,Erin,31,137,29,176,2,3,378,582
Wellington--Halton Hills/Wellington--Halton Hills,70,Erin,14,123,26,94,6,2,265,423
Wellington--Halton Hills/Wellington--Halton Hills,71,Erin,13,117,43,106,1,1,281,496
Wellington--Halton Hills/Wellington--Halton Hills,72,Erin,21,114,39,123,1,0,298,459
Wellington--Halton Hills/Wellington--Halton Hills,73,Erin,18,93,20,107,1,1,240,394
Wellington--Halton Hills/Wellington--Halton Hills,74,Erin,35,102,37,95,5,1,275,478
Wellington--Halton Hills/Wellington--Halton Hills,75,Erin,25,110,39,55,5,0,234,396
Wellington--Halton Hills/Wellington--Halton Hills,76,Erin,11,76,19,77,1,0,184,282
Wellington--Halton Hills/Wellington--Halton Hills,77,Erin,36,176,28,137,3,2,382,532
Wellington--Halton Hills/Wellington--Halton Hills,78A,Erin,25,84,16,64,2,0,191,380
Wellington--Halton Hills/Wellington--Halton Hills,78B,Erin,18,90,20,72,2,0,202,422
Wellington--Halton Hills/Wellington--Halton Hills,79,Erin,22,107,38,105,2,1,275,422
Wellington--Halton Hills/Wellington--Halton Hills,80,Erin,14,106,31,99,11,0,261,360
Wellington--Halton Hills/Wellington--Halton Hills,81,Erin,12,70,24,72,4,0,182,288
Wellington--Halton Hills/Wellington--Halton Hills,82,Erin,18,104,16,90,4,1,233,336
Wellington--Halton Hills/Wellington--Halton Hills,83,Halton Hills,23,183,38,128,5,0,377,501
Wellington--Halton Hills/Wellington--Halton Hills,84,Halton Hills,20,192,25,123,5,0,365,550
Wellington--Halton Hills/Wellington--Halton Hills,85,Halton Hills,17,111,29,71,5,2,235,346
Wellington--Halton Hills/Wellington--Halton Hills,86,Halton Hills,15,131,28,125,0,2,301,501
Wellington--Halton Hills/Wellington--Halton Hills,87A,Halton Hills,Merged with No. 108,,,,,,,168
Wellington--Halton Hills/Wellington--Halton Hills,87B,Halton Hills,16,128,38,110,7,0,299,471
Wellington--Halton Hills/Wellington--Halton Hills,88,Halton Hills,5,96,33,64,3,2,203,366
Wellington--Halton Hills/Wellington--Halton Hills,89,Halton Hills,7,111,32,88,7,0,245,420
Wellington--Halton Hills/Wellington--Halton Hills,90,Halton Hills,7,159,32,132,4,0,334,556
Wellington--Halton Hills/Wellington--Halton Hills,91,Halton Hills,19,99,19,89,2,0,228,443
Wellington--Halton Hills/Wellington--Halton Hills,92,Halton Hills,11,145,25,146,3,1,331,506
Wellington--Halton Hills/Wellington--Halton Hills,93,Halton Hills,5,59,21,63,0,1,149,271
Wellington--Halton Hills/Wellington--Halton Hills,94,Halton Hills,12,140,29,120,11,1,313,497
Wellington--Halton Hills/Wellington--Halton Hills,95,Halton Hills,7,121,31,165,9,1,334,414
Wellington--Halton Hills/Wellington--Halton Hills,96,Halton Hills,14,90,17,85,2,1,209,337
Wellington--Halton Hills/Wellington--Halton Hills,97,Halton Hills,4,90,28,54,1,1,178,337
Wellington--Halton Hills/Wellington--Halton Hills,98,Halton Hills,6,138,24,94,0,3,265,453
Wellington--Halton Hills/Wellington--Halton Hills,99,Halton Hills,16,95,26,71,1,0,209,343
Wellington--Halton Hills/Wellington--Halton Hills,100,Halton Hills,5,73,19,37,3,1,138,275
Wellington--Halton Hills/Wellington--Halton Hills,101,Halton Hills,12,139,34,97,3,0,285,471
Wellington--Halton Hills/Wellington--Halton Hills,102,Halton Hills,5,62,11,70,1,4,153,242
Wellington--Halton Hills/Wellington--Halton Hills,103,Halton Hills,9,72,37,48,3,1,170,355
Wellington--Halton Hills/Wellington--Halton Hills,104A,Halton Hills,13,61,26,49,1,0,150,378
Wellington--Halton Hills/Wellington--Halton Hills,104B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,12
Wellington--Halton Hills/Wellington--Halton Hills,105,Halton Hills,17,61,27,51,1,0,157,393
Wellington--Halton Hills/Wellington--Halton Hills,106,Halton Hills,10,117,47,80,4,0,258,517
Wellington--Halton Hills/Wellington--Halton Hills,107,Halton Hills,13,70,29,85,0,0,197,409
Wellington--Halton Hills/Wellington--Halton Hills,108,Halton Hills,12,119,47,101,7,0,286,301
Wellington--Halton Hills/Wellington--Halton Hills,109,Halton Hills,15,70,27,34,1,0,147,328
Wellington--Halton Hills/Wellington--Halton Hills,110,Halton Hills,9,74,22,45,4,0,154,280
Wellington--Halton Hills/Wellington--Halton Hills,111,Halton Hills,14,74,51,35,4,0,178,415
Wellington--Halton Hills/Wellington--Halton Hills,112,Halton Hills,13,57,34,48,7,1,160,320
Wellington--Halton Hills/Wellington--Halton Hills,113,Halton Hills,10,80,25,87,3,1,206,343
Wellington--Halton Hills/Wellington--Halton Hills,114,Halton Hills,12,156,34,129,1,0,332,563
Wellington--Halton Hills/Wellington--Halton Hills,115,Halton Hills,8,92,22,95,1,1,219,224
Wellington--Halton Hills/Wellington--Halton Hills,116,Halton Hills,8,78,26,52,1,0,165,348
Wellington--Halton Hills/Wellington--Halton Hills,117,Halton Hills,19,93,51,70,5,1,239,526
Wellington--Halton Hills/Wellington--Halton Hills,118,Halton Hills,12,85,37,93,1,1,229,439
Wellington--Halton Hills/Wellington--Halton Hills,119,Halton Hills,9,73,28,50,7,2,169,315
Wellington--Halton Hills/Wellington--Halton Hills,120,Halton Hills,11,95,29,84,2,0,221,378
Wellington--Halton Hills/Wellington--Halton Hills,121,Halton Hills,16,128,36,139,3,2,324,525
Wellington--Halton Hills/Wellington--Halton Hills,122,Halton Hills,5,112,33,91,1,1,243,423
Wellington--Halton Hills/Wellington--Halton Hills,123,Halton Hills,14,114,37,84,5,1,255,459
Wellington--Halton Hills/Wellington--Halton Hills,124,Halton Hills,14,132,55,96,2,0,299,543
Wellington--Halton Hills/Wellington--Halton Hills,125,Halton Hills,3,57,16,43,1,0,120,184
Wellington--Halton Hills/Wellington--Halton Hills,126,Halton Hills,Merged with No. 142,,,,,,,147
Wellington--Halton Hills/Wellington--Halton Hills,127,Halton Hills,7,68,31,65,1,1,173,307
Wellington--Halton Hills/Wellington--Halton Hills,128,Halton Hills,12,53,26,65,4,1,161,348
Wellington--Halton Hills/Wellington--Halton Hills,129,Halton Hills,10,71,34,23,0,2,140,350
Wellington--Halton Hills/Wellington--Halton Hills,130,Halton Hills,19,70,34,61,3,1,188,377
Wellington--Halton Hills/Wellington--Halton Hills,131,Halton Hills,11,87,35,92,1,0,226,384
Wellington--Halton Hills/Wellington--Halton Hills,132,Halton Hills,9,70,24,69,7,1,180,323
Wellington--Halton Hills/Wellington--Halton Hills,133,Halton Hills,4,48,2,33,2,0,89,398
Wellington--Halton Hills/Wellington--Halton Hills,134,Halton Hills,5,105,16,109,2,0,237,416
Wellington--Halton Hills/Wellington--Halton Hills,135,Halton Hills,6,88,16,51,0,0,161,296
Wellington--Halton Hills/Wellington--Halton Hills,136,Halton Hills,4,110,18,89,1,2,224,364
Wellington--Halton Hills/Wellington--Halton Hills,137,Halton Hills,9,105,19,102,1,0,236,383
Wellington--Halton Hills/Wellington--Halton Hills,138,Halton Hills,12,92,49,85,0,0,238,426
Wellington--Halton Hills/Wellington--Halton Hills,139,Halton Hills,12,91,23,105,3,3,237,436
Wellington--Halton Hills/Wellington--Halton Hills,140,Halton Hills,6,86,27,120,1,1,241,397
Wellington--Halton Hills/Wellington--Halton Hills,141,Halton Hills,11,98,18,68,3,0,198,330
Wellington--Halton Hills/Wellington--Halton Hills,142,Halton Hills,16,121,47,66,4,0,254,281
Wellington--Halton Hills/Wellington--Halton Hills,143,Halton Hills,8,82,33,68,2,1,194,399
Wellington--Halton Hills/Wellington--Halton Hills,144,Halton Hills,4,110,31,88,1,0,234,402
Wellington--Halton Hills/Wellington--Halton Hills,145,Halton Hills,5,70,22,37,3,0,137,321
Wellington--Halton Hills/Wellington--Halton Hills,146,Halton Hills,8,92,25,86,4,1,216,383
Wellington--Halton Hills/Wellington--Halton Hills,147,Halton Hills,11,105,27,84,2,1,230,349
Wellington--Halton Hills/Wellington--Halton Hills,148,Halton Hills,5,72,24,79,1,1,182,301
Wellington--Halton Hills/Wellington--Halton Hills,149,Halton Hills,12,143,31,145,2,0,333,517
Wellington--Halton Hills/Wellington--Halton Hills,150,Halton Hills,10,128,22,109,12,2,283,434
Wellington--Halton Hills/Wellington--Halton Hills,151,Halton Hills,13,84,22,88,3,1,211,338
Wellington--Halton Hills/Wellington--Halton Hills,152,Halton Hills,11,95,21,106,2,0,235,360
Wellington--Halton Hills/Wellington--Halton Hills,153,Halton Hills,12,115,41,101,5,2,276,448
Wellington--Halton Hills/Wellington--Halton Hills,154,Halton Hills,9,93,43,86,0,0,231,435
Wellington--Halton Hills/Wellington--Halton Hills,155,Halton Hills,11,106,31,90,2,0,240,409
Wellington--Halton Hills/Wellington--Halton Hills,156,Halton Hills,10,69,28,99,2,0,208,322
Wellington--Halton Hills/Wellington--Halton Hills,157,Halton Hills,14,152,22,161,6,0,355,545
Wellington--Halton Hills/Wellington--Halton Hills,158,Halton Hills,5,81,15,114,3,0,218,358
Wellington--Halton Hills/Wellington--Halton Hills,159,Halton Hills,4,67,15,53,1,1,141,242
Wellington--Halton Hills/Wellington--Halton Hills,160A,Halton Hills,Merged with No. 170,,,,,,,149
Wellington--Halton Hills/Wellington--Halton Hills,160B,Halton Hills,9,108,19,145,5,1,287,491
Wellington--Halton Hills/Wellington--Halton Hills,161A,Halton Hills,Merged with No. 115,,,,,,,112
Wellington--Halton Hills/Wellington--Halton Hills,161B,Halton Hills,12,100,25,131,1,3,272,489
Wellington--Halton Hills/Wellington--Halton Hills,162,Halton Hills,6,108,26,111,0,0,251,273
Wellington--Halton Hills/Wellington--Halton Hills,163,Halton Hills,6,123,17,98,0,0,244,383
Wellington--Halton Hills/Wellington--Halton Hills,164A,Halton Hills,12,124,21,142,0,0,299,483
Wellington--Halton Hills/Wellington--Halton Hills,164B,Halton Hills,Merged with No. 162,,,,,,,137
Wellington--Halton Hills/Wellington--Halton Hills,165,Halton Hills,10,132,17,122,1,0,282,432
Wellington--Halton Hills/Wellington--Halton Hills,166,Halton Hills,13,91,20,82,1,3,210,361
Wellington--Halton Hills/Wellington--Halton Hills,167,Halton Hills,8,129,19,148,1,2,307,483
Wellington--Halton Hills/Wellington--Halton Hills,168,Halton Hills,10,107,26,102,0,0,245,405
Wellington--Halton Hills/Wellington--Halton Hills,169,Halton Hills,13,135,25,151,6,2,332,560
Wellington--Halton Hills/Wellington--Halton Hills,170,Halton Hills,6,122,8,138,2,0,276,238
Wellington--Halton Hills/Wellington--Halton Hills,171,Halton Hills,2,171,29,156,1,0,359,563
Wellington--Halton Hills/Wellington--Halton Hills,172A,Halton Hills,11,160,19,183,0,2,375,564
Wellington--Halton Hills/Wellington--Halton Hills,172B,Halton Hills,Merged with No. 170,,,,,,,73
Wellington--Halton Hills/Wellington--Halton Hills,173,Puslinch,19,106,25,133,3,1,287,510
Wellington--Halton Hills/Wellington--Halton Hills,174,Puslinch,25,144,28,135,4,2,338,505
Wellington--Halton Hills/Wellington--Halton Hills,175,Puslinch,12,157,46,170,9,3,397,585
Wellington--Halton Hills/Wellington--Halton Hills,176,Puslinch,9,122,21,128,9,1,290,448
Wellington--Halton Hills/Wellington--Halton Hills,177,Puslinch,11,73,27,86,4,1,202,363
Wellington--Halton Hills/Wellington--Halton Hills,178,Puslinch,19,140,26,83,5,2,275,392
Wellington--Halton Hills/Wellington--Halton Hills,179,Puslinch,8,67,21,64,2,0,162,261
Wellington--Halton Hills/Wellington--Halton Hills,180,Puslinch,12,100,17,78,0,1,208,333
Wellington--Halton Hills/Wellington--Halton Hills,181A,Puslinch,3,64,23,56,3,1,150,285
Wellington--Halton Hills/Wellington--Halton Hills,181B,Puslinch,6,92,16,96,2,0,212,315
Wellington--Halton Hills/Wellington--Halton Hills,182,Puslinch,20,117,47,129,2,0,315,594
Wellington--Halton Hills/Wellington--Halton Hills,500,Mobile poll/Bureau itinérant,2,52,19,73,3,3,152,329
Wellington--Halton Hills/Wellington--Halton Hills,501,Mobile poll/Bureau itinérant,7,14,13,25,3,2,64,158
Wellington--Halton Hills/Wellington--Halton Hills,600,Centre Wellington,47,442,93,346,9,4,941,
Wellington--Halton Hills/Wellington--Halton Hills,601,Centre Wellington,30,222,61,202,13,2,530,
Wellington--Halton Hills/Wellington--Halton Hills,602,Guelph/Eramosa,21,218,63,199,16,3,520,
Wellington--Halton Hills/Wellington--Halton Hills,603,Erin,24,241,47,154,2,2,470,
Wellington--Halton Hills/Wellington--Halton Hills,604,Halton Hills,11,146,30,105,3,1,296,
Wellington--Halton Hills/Wellington--Halton Hills,605,Halton Hills,24,187,52,126,4,0,393,
Wellington--Halton Hills/Wellington--Halton Hills,606,Halton Hills,41,362,103,283,8,2,799,
Wellington--Halton Hills/Wellington--Halton Hills,607,Halton Hills,17,459,84,401,9,2,972,
Wellington--Halton Hills/Wellington--Halton Hills,608,Puslinch,18,215,14,164,1,0,412,
Wellington--Halton Hills/Wellington--Halton Hills,,Group 1/Groupe 1,2,26,5,14,0,8,55,128
Wellington--Halton Hills/Wellington--Halton Hills,,Group 2/Groupe 2,30,212,52,135,2,10,441,
