District,Poll Number,Poll Name,David Anderson,Bill Caton,Bev Currie,Jeff Potts,Rejected Ballots,Total Vote,Electors
Cypress Hills--Grasslands/Cypress Hills--Grasslands,107,Shaunavon,80,25,10,35,0,150,248
Cypress Hills--Grasslands/Cypress Hills--Grasslands,108,Admiral,78,18,1,28,0,125,177
Cypress Hills--Grasslands/Cypress Hills--Grasslands,109,Frontier,127,23,6,7,0,163,235
Cypress Hills--Grasslands/Cypress Hills--Grasslands,110,Frontier,159,6,8,14,1,188,285
Cypress Hills--Grasslands/Cypress Hills--Grasslands,111,Climax,186,30,16,21,0,253,399
Cypress Hills--Grasslands/Cypress Hills--Grasslands,112,Neville,121,16,10,20,0,167,245
Cypress Hills--Grasslands/Cypress Hills--Grasslands,113,Vanguard,79,27,8,19,1,134,276
Cypress Hills--Grasslands/Cypress Hills--Grasslands,114,Ponteix,117,41,9,22,2,191,342
Cypress Hills--Grasslands/Cypress Hills--Grasslands,115,Ponteix,30,44,1,6,0,81,162
Cypress Hills--Grasslands/Cypress Hills--Grasslands,116,Ponteix,71,47,11,19,1,149,284
Cypress Hills--Grasslands/Cypress Hills--Grasslands,117,Aneroid,92,33,2,12,2,141,207
Cypress Hills--Grasslands/Cypress Hills--Grasslands,118,Val Marie,147,23,17,14,1,202,341
Cypress Hills--Grasslands/Cypress Hills--Grasslands,119,Mankota,117,34,3,11,1,166,209
Cypress Hills--Grasslands/Cypress Hills--Grasslands,120,Mankota,80,38,4,13,0,135,217
Cypress Hills--Grasslands/Cypress Hills--Grasslands,121,Coderre,94,55,2,9,0,160,250
Cypress Hills--Grasslands/Cypress Hills--Grasslands,122,Glenbain,62,23,6,15,0,106,155
Cypress Hills--Grasslands/Cypress Hills--Grasslands,123,Gravelbourg,138,39,12,21,0,210,327
Cypress Hills--Grasslands/Cypress Hills--Grasslands,124,Gravelbourg,39,20,1,13,0,73,128
Cypress Hills--Grasslands/Cypress Hills--Grasslands,125,Gravelbourg,103,105,15,52,4,279,584
Cypress Hills--Grasslands/Cypress Hills--Grasslands,126,Gravelbourg,31,36,6,18,5,96,164
Cypress Hills--Grasslands/Cypress Hills--Grasslands,127,Kincaid,86,31,8,19,0,144,222
Cypress Hills--Grasslands/Cypress Hills--Grasslands,128,Laflèche,112,32,2,39,0,185,262
Cypress Hills--Grasslands/Cypress Hills--Grasslands,129,Laflèche,94,78,13,52,0,237,410
Cypress Hills--Grasslands/Cypress Hills--Grasslands,130,McCord,80,41,1,16,2,140,184
Cypress Hills--Grasslands/Cypress Hills--Grasslands,131,Limerick,107,51,5,40,2,205,315
Cypress Hills--Grasslands/Cypress Hills--Grasslands,132,Assiniboia,174,74,4,22,0,274,411
Cypress Hills--Grasslands/Cypress Hills--Grasslands,133,Assiniboia,90,40,7,30,2,169,247
Cypress Hills--Grasslands/Cypress Hills--Grasslands,134,Assiniboia,66,39,8,20,0,133,223
