District,Poll Number,Poll Name,Jo-Anne Marie Boulding,Glen Hodgson,Andy Mitchell,Keith Montgomery,Rejected Ballots,Total Vote,Electors
Parry Sound--Muskoka/Parry Sound--Muskoka,400,Bracebridge,1,0,6,5,0,12,79
Parry Sound--Muskoka/Parry Sound--Muskoka,500,Mobile poll/Bureau itinérant,6,6,36,39,0,87,182
Parry Sound--Muskoka/Parry Sound--Muskoka,501,Mobile poll/Bureau itinérant,4,3,21,14,0,42,192
Parry Sound--Muskoka/Parry Sound--Muskoka,502,Mobile poll/Bureau itinérant,11,8,44,28,0,91,159
Parry Sound--Muskoka/Parry Sound--Muskoka,503,Mobile poll/Bureau itinérant,15,1,38,29,0,83,238
Parry Sound--Muskoka/Parry Sound--Muskoka,504,Mobile poll/Bureau itinérant,8,1,18,16,2,45,193
Parry Sound--Muskoka/Parry Sound--Muskoka,600,Britt,14,4,46,19,0,83,
Parry Sound--Muskoka/Parry Sound--Muskoka,601,Port Loring,5,2,17,30,0,54,
Parry Sound--Muskoka/Parry Sound--Muskoka,602,Sundridge,63,15,96,222,0,396,
Parry Sound--Muskoka/Parry Sound--Muskoka,603,Burk's Falls,77,32,143,167,0,419,
Parry Sound--Muskoka/Parry Sound--Muskoka,604,McDougall,23,24,89,97,0,233,
Parry Sound--Muskoka/Parry Sound--Muskoka,605,Parry Sound,43,43,229,217,1,533,
Parry Sound--Muskoka/Parry Sound--Muskoka,606,The Archipelago--Seguin,17,8,95,93,0,213,
Parry Sound--Muskoka/Parry Sound--Muskoka,607,Huntsville,42,53,269,256,1,621,
Parry Sound--Muskoka/Parry Sound--Muskoka,608,Huntsville,34,23,167,142,1,367,
Parry Sound--Muskoka/Parry Sound--Muskoka,609,Huntsville,42,39,172,196,1,450,
Parry Sound--Muskoka/Parry Sound--Muskoka,610,Georgian Bay,13,11,150,137,0,311,
Parry Sound--Muskoka/Parry Sound--Muskoka,611,Gravenhurst,47,19,187,169,2,424,
Parry Sound--Muskoka/Parry Sound--Muskoka,612,Gravenhurst,45,29,313,264,1,652,
Parry Sound--Muskoka/Parry Sound--Muskoka,613,Bracebridge,57,23,245,219,0,544,
Parry Sound--Muskoka/Parry Sound--Muskoka,614,Bracebridge,74,62,457,381,0,974,
Parry Sound--Muskoka/Parry Sound--Muskoka,,Group 1/Groupe 1,3,13,40,43,0,99,212
Parry Sound--Muskoka/Parry Sound--Muskoka,,Group 2/Groupe 2,63,71,321,399,5,859,
