District,Poll Number,Poll Name,Hélène Chalifour Scherrer,Roger Clavet,Clermont Gauthier,Jean-Pierre Guay,Robert Turcotte,Rejected Ballots,Total Vote,Electors
Louis-Hébert/Louis-Hébert,35,Sainte-Foy,106,81,23,9,11,6,236,335
Louis-Hébert/Louis-Hébert,36,Sainte-Foy,60,69,27,5,8,0,169,258
Louis-Hébert/Louis-Hébert,37,Sainte-Foy,59,104,20,3,16,2,204,307
Louis-Hébert/Louis-Hébert,38,Sainte-Foy,35,63,12,7,9,4,130,254
Louis-Hébert/Louis-Hébert,39,Sainte-Foy,102,123,43,14,16,7,305,539
Louis-Hébert/Louis-Hébert,40,Sainte-Foy,41,81,17,13,13,5,170,373
Louis-Hébert/Louis-Hébert,41,Sainte-Foy,43,60,24,13,11,4,155,315
Louis-Hébert/Louis-Hébert,42,Sainte-Foy,111,128,32,15,22,4,312,523
Louis-Hébert/Louis-Hébert,43,Sainte-Foy,55,92,23,6,21,5,202,327
Louis-Hébert/Louis-Hébert,44,Sainte-Foy,28,60,8,6,23,2,127,282
Louis-Hébert/Louis-Hébert,45,Sainte-Foy,55,55,21,6,19,1,157,309
Louis-Hébert/Louis-Hébert,46,Sainte-Foy,54,65,30,4,15,3,171,420
Louis-Hébert/Louis-Hébert,47,Sainte-Foy,58,93,24,9,14,4,202,571
Louis-Hébert/Louis-Hébert,48,Sainte-Foy,41,73,14,10,18,3,159,304
Louis-Hébert/Louis-Hébert,49,Sainte-Foy,51,137,31,16,18,1,254,526
Louis-Hébert/Louis-Hébert,50,Sainte-Foy,82,100,22,10,15,2,231,452
Louis-Hébert/Louis-Hébert,51,Sainte-Foy,48,121,23,16,21,1,230,485
Louis-Hébert/Louis-Hébert,52,Sainte-Foy,41,71,14,11,24,0,161,279
Louis-Hébert/Louis-Hébert,53,Sainte-Foy,60,77,12,8,17,0,174,311
Louis-Hébert/Louis-Hébert,54,Sainte-Foy,55,114,19,6,21,2,217,459
Louis-Hébert/Louis-Hébert,55,Sainte-Foy,29,72,11,5,10,1,128,249
Louis-Hébert/Louis-Hébert,56,Sainte-Foy,52,77,20,10,14,4,177,346
Louis-Hébert/Louis-Hébert,57A,Sainte-Foy,25,78,22,4,18,2,149,316
Louis-Hébert/Louis-Hébert,57B,Sainte-Foy,9,74,21,4,14,1,123,311
Louis-Hébert/Louis-Hébert,58,Sainte-Foy,43,72,19,10,13,4,161,345
Louis-Hébert/Louis-Hébert,59,Sainte-Foy,24,89,20,12,14,2,161,399
Louis-Hébert/Louis-Hébert,60,Sillery,143,40,18,4,4,3,212,310
Louis-Hébert/Louis-Hébert,61,Sillery,65,103,16,10,18,0,212,364
Louis-Hébert/Louis-Hébert,62,Sillery,105,90,24,12,6,1,238,429
Louis-Hébert/Louis-Hébert,63,Sillery,53,112,21,17,15,0,218,356
Louis-Hébert/Louis-Hébert,64,Sillery,62,92,17,10,17,4,202,333
Louis-Hébert/Louis-Hébert,65,Sillery,106,145,22,14,17,2,306,535
Louis-Hébert/Louis-Hébert,66,Sillery,101,114,20,8,14,7,264,406
Louis-Hébert/Louis-Hébert,67,Sillery,104,45,9,7,5,2,172,341
Louis-Hébert/Louis-Hébert,67-1,Sillery,46,24,14,4,0,2,90,134
Louis-Hébert/Louis-Hébert,68,Sillery,74,45,12,8,2,4,145,290
Louis-Hébert/Louis-Hébert,69,Sillery,58,120,24,10,20,2,234,435
Louis-Hébert/Louis-Hébert,70,Sillery,54,107,24,17,20,2,224,360
Louis-Hébert/Louis-Hébert,71,Sillery,45,94,16,7,13,2,177,290
Louis-Hébert/Louis-Hébert,72,Sillery,82,103,26,15,15,1,242,392
Louis-Hébert/Louis-Hébert,73,Sillery,81,75,32,16,23,2,229,356
Louis-Hébert/Louis-Hébert,74,Sillery,78,83,22,14,7,2,206,330
Louis-Hébert/Louis-Hébert,75,Sillery,170,82,28,11,10,4,305,456
Louis-Hébert/Louis-Hébert,76,Sillery,82,68,20,7,17,1,195,320
Louis-Hébert/Louis-Hébert,77,Sillery,114,74,27,9,15,2,241,364
Louis-Hébert/Louis-Hébert,78,Sillery,115,47,27,3,18,4,214,337
Louis-Hébert/Louis-Hébert,79,Sillery,125,72,25,13,21,0,256,360
Louis-Hébert/Louis-Hébert,80,Sillery,19,49,7,8,14,3,100,210
Louis-Hébert/Louis-Hébert,81,Sillery,83,89,22,7,12,4,217,365
Louis-Hébert/Louis-Hébert,82,Sillery,90,81,17,6,5,2,201,342
Louis-Hébert/Louis-Hébert,83,Sillery,79,109,26,12,10,4,240,422
Louis-Hébert/Louis-Hébert,84,Sillery,73,36,14,2,3,2,130,236
Louis-Hébert/Louis-Hébert,85,Sillery,78,143,27,11,15,0,274,494
Louis-Hébert/Louis-Hébert,86,Sainte-Foy,92,110,37,17,23,5,284,429
Louis-Hébert/Louis-Hébert,87,Sainte-Foy,67,90,21,18,12,2,210,315
Louis-Hébert/Louis-Hébert,88,Sainte-Foy,39,55,17,3,9,2,125,262
Louis-Hébert/Louis-Hébert,89,Sainte-Foy,55,84,11,11,10,2,173,302
Louis-Hébert/Louis-Hébert,90,Sainte-Foy,153,118,30,13,19,4,337,544
Louis-Hébert/Louis-Hébert,90-1,Sainte-Foy,35,24,9,0,3,5,76,123
Louis-Hébert/Louis-Hébert,91,Sainte-Foy,126,95,33,10,10,2,276,406
Louis-Hébert/Louis-Hébert,92A,Sainte-Foy,75,57,20,7,8,4,171,319
Louis-Hébert/Louis-Hébert,92B,Sainte-Foy,88,50,25,10,11,3,187,325
Louis-Hébert/Louis-Hébert,93,Sainte-Foy,44,71,14,7,12,0,148,281
Louis-Hébert/Louis-Hébert,94,Sainte-Foy,124,38,24,3,7,6,202,284
Louis-Hébert/Louis-Hébert,95,Sainte-Foy,144,81,41,4,16,2,288,443
Louis-Hébert/Louis-Hébert,96,Sainte-Foy,62,78,17,12,9,0,178,272
Louis-Hébert/Louis-Hébert,97,Sainte-Foy,49,104,28,9,5,4,199,322
Louis-Hébert/Louis-Hébert,98,Sainte-Foy,37,92,17,5,18,2,171,349
Louis-Hébert/Louis-Hébert,99,Sainte-Foy,40,50,21,7,11,1,130,221
Louis-Hébert/Louis-Hébert,100,Sainte-Foy,42,90,26,9,3,1,171,343
Louis-Hébert/Louis-Hébert,101,Sainte-Foy,36,81,21,7,13,1,159,343
Louis-Hébert/Louis-Hébert,102,Sainte-Foy,35,49,19,7,13,0,123,328
Louis-Hébert/Louis-Hébert,103,Sainte-Foy,20,111,24,9,18,3,185,387
Louis-Hébert/Louis-Hébert,104,Sainte-Foy,51,78,30,6,16,2,183,345
Louis-Hébert/Louis-Hébert,105,Sainte-Foy,52,52,9,2,9,3,127,310
Louis-Hébert/Louis-Hébert,106,Sainte-Foy,30,50,29,3,10,1,123,342
Louis-Hébert/Louis-Hébert,107,Sainte-Foy,75,83,26,10,19,3,216,421
Louis-Hébert/Louis-Hébert,108,Sainte-Foy,64,83,27,15,8,2,199,407
Louis-Hébert/Louis-Hébert,109,Sainte-Foy,49,63,21,4,5,0,142,299
Louis-Hébert/Louis-Hébert,110,Sainte-Foy,83,87,26,10,11,0,217,379
Louis-Hébert/Louis-Hébert,111,Sainte-Foy,49,57,12,9,12,1,140,248
Louis-Hébert/Louis-Hébert,112,Sainte-Foy,93,90,22,12,13,1,231,379
Louis-Hébert/Louis-Hébert,113,Sainte-Foy,156,88,27,4,15,7,297,435
Louis-Hébert/Louis-Hébert,114,Sainte-Foy,68,96,17,9,14,3,207,363
Louis-Hébert/Louis-Hébert,115,Sainte-Foy,61,96,22,14,15,3,211,325
Louis-Hébert/Louis-Hébert,116,Sainte-Foy,92,90,28,6,4,3,223,346
Louis-Hébert/Louis-Hébert,117,Sainte-Foy,73,55,16,9,9,5,167,266
Louis-Hébert/Louis-Hébert,118,Sainte-Foy,67,74,21,17,14,2,195,312
Louis-Hébert/Louis-Hébert,119,Sainte-Foy,92,123,21,7,6,4,253,408
Louis-Hébert/Louis-Hébert,120,Sainte-Foy,83,98,31,14,16,1,243,424
Louis-Hébert/Louis-Hébert,121,Sainte-Foy,70,93,21,6,10,0,200,299
Louis-Hébert/Louis-Hébert,122,Sainte-Foy,96,90,29,10,8,1,234,339
Louis-Hébert/Louis-Hébert,123,Sainte-Foy,60,78,20,7,8,2,175,278
Louis-Hébert/Louis-Hébert,124,Sainte-Foy,115,107,20,9,10,1,262,406
Louis-Hébert/Louis-Hébert,125,Sainte-Foy,64,70,22,12,16,7,191,325
Louis-Hébert/Louis-Hébert,126,Sainte-Foy,41,38,12,4,9,2,106,318
Louis-Hébert/Louis-Hébert,126-1,Sainte-Foy,36,100,27,9,15,4,191,369
Louis-Hébert/Louis-Hébert,127,Sainte-Foy,58,94,26,9,9,6,202,396
Louis-Hébert/Louis-Hébert,128,Sainte-Foy,154,102,35,14,12,5,322,555
Louis-Hébert/Louis-Hébert,129,Sainte-Foy,59,119,63,8,15,4,268,564
Louis-Hébert/Louis-Hébert,130A,Sainte-Foy,80,108,32,15,17,5,257,400
Louis-Hébert/Louis-Hébert,130B,Sainte-Foy,72,97,24,8,11,2,214,372
Louis-Hébert/Louis-Hébert,130C,Sainte-Foy,92,87,31,3,16,0,229,370
Louis-Hébert/Louis-Hébert,131,Sainte-Foy,27,53,15,4,8,2,109,257
Louis-Hébert/Louis-Hébert,132,Sainte-Foy,27,34,8,5,3,0,77,158
Louis-Hébert/Louis-Hébert,132-1,Sainte-Foy,Merged with No. 132,,,,,,,57
Louis-Hébert/Louis-Hébert,132-2,Sainte-Foy,Merged with No. 132,,,,,,,52
Louis-Hébert/Louis-Hébert,133,Sainte-Foy,25,43,25,6,2,4,105,228
Louis-Hébert/Louis-Hébert,134,Sainte-Foy,44,57,18,9,13,5,146,379
Louis-Hébert/Louis-Hébert,135,Sainte-Foy,25,52,13,8,6,4,108,242
Louis-Hébert/Louis-Hébert,136,Sainte-Foy,47,83,17,5,8,3,163,319
Louis-Hébert/Louis-Hébert,137,Sainte-Foy,58,117,24,9,16,3,227,417
Louis-Hébert/Louis-Hébert,138,Sainte-Foy,85,94,27,6,20,4,236,312
Louis-Hébert/Louis-Hébert,139,Sainte-Foy,71,78,17,8,8,1,183,274
Louis-Hébert/Louis-Hébert,140,Sainte-Foy,87,116,39,10,16,5,273,505
Louis-Hébert/Louis-Hébert,141,Sainte-Foy,65,88,27,7,15,2,204,324
Louis-Hébert/Louis-Hébert,142,Sainte-Foy,47,82,20,6,13,4,172,301
Louis-Hébert/Louis-Hébert,143,Sainte-Foy,98,89,32,12,4,8,243,353
Louis-Hébert/Louis-Hébert,144,Sainte-Foy,64,77,24,6,17,3,191,308
Louis-Hébert/Louis-Hébert,145,Sainte-Foy,63,82,22,7,16,3,193,301
Louis-Hébert/Louis-Hébert,146,Sainte-Foy,46,71,22,4,14,1,158,305
Louis-Hébert/Louis-Hébert,147,Sainte-Foy,76,115,30,12,15,2,250,392
Louis-Hébert/Louis-Hébert,148,Sainte-Foy,118,121,55,6,12,3,315,509
Louis-Hébert/Louis-Hébert,149,Sainte-Foy,68,122,53,12,14,4,273,449
Louis-Hébert/Louis-Hébert,150A,Sainte-Foy,67,75,30,4,5,1,182,328
Louis-Hébert/Louis-Hébert,150B,Sainte-Foy,68,64,34,3,4,4,177,331
Louis-Hébert/Louis-Hébert,151,Sainte-Foy,107,155,67,18,26,6,379,583
Louis-Hébert/Louis-Hébert,152,Sainte-Foy,80,87,15,10,6,1,199,313
Louis-Hébert/Louis-Hébert,153,Sainte-Foy,46,79,19,10,11,7,172,296
Louis-Hébert/Louis-Hébert,154,Sainte-Foy,74,74,24,8,15,4,199,289
Louis-Hébert/Louis-Hébert,155,Sainte-Foy,85,148,40,8,31,10,322,574
Louis-Hébert/Louis-Hébert,156,Sainte-Foy,50,73,22,4,13,4,166,268
Louis-Hébert/Louis-Hébert,157,Sainte-Foy,54,43,6,9,5,4,121,243
Louis-Hébert/Louis-Hébert,158,Sainte-Foy,98,138,36,11,13,3,299,464
Louis-Hébert/Louis-Hébert,159A,Sainte-Foy,64,81,22,6,8,3,184,282
Louis-Hébert/Louis-Hébert,159B,Mobile poll/Bureau itinérant,78,33,16,2,4,6,139,215
Louis-Hébert/Louis-Hébert,160,Sainte-Foy,71,71,31,6,10,1,190,287
Louis-Hébert/Louis-Hébert,161,Sainte-Foy,34,62,17,4,12,3,132,295
Louis-Hébert/Louis-Hébert,162,Sainte-Foy,72,105,26,12,9,1,225,386
Louis-Hébert/Louis-Hébert,163,Sainte-Foy,75,48,26,7,9,1,166,313
Louis-Hébert/Louis-Hébert,164,Sainte-Foy,182,126,46,5,6,10,375,516
Louis-Hébert/Louis-Hébert,165,Sainte-Foy,83,95,44,6,15,4,247,464
Louis-Hébert/Louis-Hébert,166,Sainte-Foy,63,116,24,17,14,5,239,398
Louis-Hébert/Louis-Hébert,167,Sainte-Foy,74,107,27,5,8,3,224,431
Louis-Hébert/Louis-Hébert,168,Sainte-Foy,69,59,31,2,6,1,168,297
Louis-Hébert/Louis-Hébert,169,Sainte-Foy,107,105,40,5,9,4,270,467
Louis-Hébert/Louis-Hébert,170,Sainte-Foy,98,123,21,7,16,0,265,448
Louis-Hébert/Louis-Hébert,171,Sainte-Foy,47,41,14,4,2,1,109,350
Louis-Hébert/Louis-Hébert,172,Sainte-Foy,88,77,27,7,17,6,222,376
Louis-Hébert/Louis-Hébert,173,Sainte-Foy,83,76,24,2,5,5,195,375
Louis-Hébert/Louis-Hébert,174,Sainte-Foy,95,113,23,5,13,4,253,508
Louis-Hébert/Louis-Hébert,175,Sainte-Foy,55,97,18,9,12,4,195,339
Louis-Hébert/Louis-Hébert,176,Sainte-Foy,69,51,15,6,3,2,146,278
Louis-Hébert/Louis-Hébert,177,Sainte-Foy,Void,,,,,,,
Louis-Hébert/Louis-Hébert,178A,Sainte-Foy,88,79,21,14,7,0,209,336
Louis-Hébert/Louis-Hébert,178B,Sainte-Foy,83,77,35,4,7,2,208,339
Louis-Hébert/Louis-Hébert,179,Sainte-Foy,37,60,14,7,6,1,125,181
Louis-Hébert/Louis-Hébert,180,Sainte-Foy,177,139,62,8,11,1,398,585
Louis-Hébert/Louis-Hébert,181,Sainte-Foy,137,122,40,13,12,1,325,453
Louis-Hébert/Louis-Hébert,182,Sainte-Foy,96,125,24,10,12,2,269,399
Louis-Hébert/Louis-Hébert,183,Cap-Rouge,56,149,48,9,27,2,291,458
Louis-Hébert/Louis-Hébert,184,Cap-Rouge,35,89,21,4,16,1,166,268
Louis-Hébert/Louis-Hébert,185,Cap-Rouge,59,90,32,10,11,5,207,352
Louis-Hébert/Louis-Hébert,186,Cap-Rouge,104,139,19,15,17,7,301,433
Louis-Hébert/Louis-Hébert,187,Cap-Rouge,87,121,24,11,19,4,266,406
Louis-Hébert/Louis-Hébert,188,Cap-Rouge,50,99,34,10,13,3,209,408
Louis-Hébert/Louis-Hébert,189,Cap-Rouge,58,75,21,12,11,4,181,315
Louis-Hébert/Louis-Hébert,190,Cap-Rouge,54,85,29,3,13,5,189,344
Louis-Hébert/Louis-Hébert,191,Cap-Rouge,74,133,38,14,7,2,268,461
Louis-Hébert/Louis-Hébert,192,Cap-Rouge,80,188,27,19,31,5,350,508
Louis-Hébert/Louis-Hébert,193,Cap-Rouge,96,124,15,14,11,2,262,395
Louis-Hébert/Louis-Hébert,194,Cap-Rouge,71,102,36,9,13,1,232,392
Louis-Hébert/Louis-Hébert,195,Cap-Rouge,73,189,66,12,13,3,356,615
Louis-Hébert/Louis-Hébert,196,Cap-Rouge,95,172,56,28,27,8,386,585
Louis-Hébert/Louis-Hébert,197,Cap-Rouge,89,146,40,18,35,2,330,509
Louis-Hébert/Louis-Hébert,198,Cap-Rouge,52,106,41,12,7,5,223,428
Louis-Hébert/Louis-Hébert,199,Cap-Rouge,76,143,63,12,12,6,312,471
Louis-Hébert/Louis-Hébert,200,Cap-Rouge,130,164,61,14,17,3,389,571
Louis-Hébert/Louis-Hébert,201,Cap-Rouge,96,112,35,3,6,1,253,401
Louis-Hébert/Louis-Hébert,202,Cap-Rouge,55,87,33,6,17,5,203,403
Louis-Hébert/Louis-Hébert,203,Cap-Rouge,91,123,35,10,12,3,274,405
Louis-Hébert/Louis-Hébert,204,Cap-Rouge,72,75,20,3,8,1,179,285
Louis-Hébert/Louis-Hébert,205,Cap-Rouge,74,86,18,15,8,5,206,368
Louis-Hébert/Louis-Hébert,206,Cap-Rouge,109,130,21,11,16,10,297,460
Louis-Hébert/Louis-Hébert,207,Cap-Rouge,118,119,30,11,16,4,298,456
Louis-Hébert/Louis-Hébert,400,Sainte-Foy,58,20,22,2,1,3,106,160
Louis-Hébert/Louis-Hébert,401,Sainte-Foy,38,38,17,2,3,1,99,224
Louis-Hébert/Louis-Hébert,402,Sainte-Foy,108,79,38,1,6,5,237,339
Louis-Hébert/Louis-Hébert,403,Sainte-Foy,75,52,16,1,1,2,147,222
Louis-Hébert/Louis-Hébert,404,Sainte-Foy,Void,,,,,,,
Louis-Hébert/Louis-Hébert,500,Mobile poll/Bureau itinérant,60,13,5,0,0,2,80,165
Louis-Hébert/Louis-Hébert,501,Mobile poll/Bureau itinérant,56,8,7,2,0,2,75,76
Louis-Hébert/Louis-Hébert,600,Québec,206,330,160,18,25,7,746,
Louis-Hébert/Louis-Hébert,601,Québec,224,319,115,32,28,8,726,
Louis-Hébert/Louis-Hébert,602,Québec,142,234,73,16,35,7,507,
Louis-Hébert/Louis-Hébert,603,Québec,454,404,103,18,29,7,1015,
Louis-Hébert/Louis-Hébert,604,Québec,357,364,116,17,24,11,889,
Louis-Hébert/Louis-Hébert,605,Québec,398,383,107,24,38,12,962,
Louis-Hébert/Louis-Hébert,606,Québec,244,266,72,14,36,7,639,
Louis-Hébert/Louis-Hébert,607,Québec,184,235,74,9,25,4,531,
Louis-Hébert/Louis-Hébert,608,Québec,524,489,178,15,33,12,1251,
Louis-Hébert/Louis-Hébert,609,Québec,315,577,138,25,62,12,1129,
Louis-Hébert/Louis-Hébert,,Group 1/Groupe 1,72,90,70,10,12,17,271,509
Louis-Hébert/Louis-Hébert,,Group 2/Groupe 2,457,654,110,33,93,19,1366,
