District,Poll Number,Poll Name,Mike Abbey,Colin Atkins,Murray Downing,Lisa Gallagher,David Kattenburg,Merv Tweed,Rejected Ballots,Total Vote,Electors
Brandon--Souris/Brandon--Souris,46,Chater,Void,,,,,,,,
Brandon--Souris/Brandon--Souris,47,Brandon,37,0,45,0,8,117,3,210,365
Brandon--Souris/Brandon--Souris,48,Brandon,54,2,48,1,4,129,0,238,437
Brandon--Souris/Brandon--Souris,49,Brandon,49,1,91,0,3,149,0,293,474
Brandon--Souris/Brandon--Souris,50,Brandon,43,1,28,0,3,52,0,127,348
Brandon--Souris/Brandon--Souris,51A,Brandon,63,3,43,0,11,93,0,213,489
Brandon--Souris/Brandon--Souris,51B,Brandon,64,4,42,1,9,89,0,209,430
Brandon--Souris/Brandon--Souris,52,Brandon,53,3,34,0,4,68,0,162,331
Brandon--Souris/Brandon--Souris,53,Brandon,37,0,25,0,2,32,0,96,172
Brandon--Souris/Brandon--Souris,54,Brandon,54,0,42,0,6,53,1,156,377
Brandon--Souris/Brandon--Souris,55,Brandon,57,2,43,2,5,39,1,149,435
Brandon--Souris/Brandon--Souris,56,Brandon,20,0,57,1,4,112,3,197,369
Brandon--Souris/Brandon--Souris,57,Brandon,35,0,60,0,5,79,0,179,294
Brandon--Souris/Brandon--Souris,58,Brandon,56,2,85,0,7,124,2,276,440
Brandon--Souris/Brandon--Souris,59,Brandon,55,3,38,1,6,64,0,167,378
Brandon--Souris/Brandon--Souris,60,Brandon,38,0,64,0,13,53,2,170,343
Brandon--Souris/Brandon--Souris,61,Brandon,37,1,35,2,6,81,0,162,310
Brandon--Souris/Brandon--Souris,62,Brandon,40,0,51,0,5,82,0,178,423
Brandon--Souris/Brandon--Souris,63,Brandon,52,0,74,0,10,114,1,251,380
Brandon--Souris/Brandon--Souris,64,Brandon,47,2,61,0,17,85,3,215,403
Brandon--Souris/Brandon--Souris,65,Brandon,65,0,71,0,13,82,1,232,392
Brandon--Souris/Brandon--Souris,66,Brandon,82,2,55,0,12,91,0,242,480
Brandon--Souris/Brandon--Souris,67,Brandon,48,0,76,1,29,63,0,217,377
Brandon--Souris/Brandon--Souris,68,Brandon,48,1,55,0,6,93,2,205,445
Brandon--Souris/Brandon--Souris,69,Brandon,21,0,49,0,2,99,1,172,258
Brandon--Souris/Brandon--Souris,70,Brandon,40,0,72,1,9,120,3,245,408
Brandon--Souris/Brandon--Souris,71,Brandon,24,0,61,1,5,90,0,181,305
Brandon--Souris/Brandon--Souris,72,Brandon,41,3,68,0,15,88,1,216,378
Brandon--Souris/Brandon--Souris,73,Brandon,34,2,26,0,1,46,0,109,203
Brandon--Souris/Brandon--Souris,74,Brandon,35,1,35,2,8,62,1,144,316
Brandon--Souris/Brandon--Souris,75,Brandon,52,0,37,3,5,61,0,158,356
Brandon--Souris/Brandon--Souris,76,Brandon,38,1,53,0,8,62,2,164,319
Brandon--Souris/Brandon--Souris,77,Brandon,38,0,35,0,6,59,2,140,346
Brandon--Souris/Brandon--Souris,78,Brandon,30,0,54,0,10,75,2,171,411
Brandon--Souris/Brandon--Souris,79,Brandon,44,0,71,0,8,93,1,217,363
Brandon--Souris/Brandon--Souris,80,Brandon,62,0,44,0,12,73,1,192,375
Brandon--Souris/Brandon--Souris,81,Brandon,51,2,70,1,10,113,0,247,392
Brandon--Souris/Brandon--Souris,82,Brandon,50,0,62,0,5,65,1,183,375
Brandon--Souris/Brandon--Souris,83,Brandon,42,2,80,0,11,108,2,245,393
Brandon--Souris/Brandon--Souris,84,Brandon,59,1,68,3,10,62,5,208,421
Brandon--Souris/Brandon--Souris,85,Brandon,41,3,82,1,7,119,1,254,432
Brandon--Souris/Brandon--Souris,86,Brandon,58,3,45,1,15,100,2,224,444
Brandon--Souris/Brandon--Souris,87,Brandon,22,0,38,0,6,61,0,127,273
Brandon--Souris/Brandon--Souris,88,Brandon,48,5,36,0,10,37,1,137,315
Brandon--Souris/Brandon--Souris,89,Brandon,44,0,77,0,8,144,5,278,539
Brandon--Souris/Brandon--Souris,90,Brandon,40,0,64,1,8,102,4,219,435
Brandon--Souris/Brandon--Souris,91,Brandon,52,0,41,2,16,46,0,157,314
Brandon--Souris/Brandon--Souris,92,Brandon,48,3,40,1,7,33,0,132,341
Brandon--Souris/Brandon--Souris,93A,Brandon,57,0,33,0,6,41,2,139,318
Brandon--Souris/Brandon--Souris,93B,Brandon,2,1,4,1,0,9,0,17,49
Brandon--Souris/Brandon--Souris,94,Brandon,39,2,39,1,10,56,3,150,358
Brandon--Souris/Brandon--Souris,95,Brandon,42,6,21,0,3,43,0,115,321
Brandon--Souris/Brandon--Souris,96,Brandon,75,0,51,2,2,74,0,204,431
Brandon--Souris/Brandon--Souris,97,Brandon,50,6,44,2,9,77,0,188,456
Brandon--Souris/Brandon--Souris,98,Brandon,65,0,37,0,3,57,2,164,391
Brandon--Souris/Brandon--Souris,99,Brandon,65,2,32,1,8,73,2,183,401
Brandon--Souris/Brandon--Souris,100,Brandon,70,3,45,1,3,54,1,177,331
Brandon--Souris/Brandon--Souris,101,Brandon,53,2,27,1,4,63,2,152,345
Brandon--Souris/Brandon--Souris,102,Brandon,90,1,59,1,4,74,0,229,411
Brandon--Souris/Brandon--Souris,103,Brandon,65,1,63,1,5,92,0,227,368
Brandon--Souris/Brandon--Souris,104,Brandon,42,6,81,0,4,162,3,298,563
Brandon--Souris/Brandon--Souris,105,Brandon,83,3,72,2,11,98,1,270,514
Brandon--Souris/Brandon--Souris,106,Brandon,51,1,62,2,7,101,0,224,421
Brandon--Souris/Brandon--Souris,107,Brandon,54,6,35,0,7,57,0,159,434
Brandon--Souris/Brandon--Souris,108A,Brandon,46,1,29,0,9,55,2,142,370
Brandon--Souris/Brandon--Souris,108B,Brandon,51,3,36,1,5,53,0,149,325
Brandon--Souris/Brandon--Souris,109,Brandon,37,1,31,0,1,38,2,110,285
Brandon--Souris/Brandon--Souris,110,Brandon,61,5,40,5,10,55,2,178,408
Brandon--Souris/Brandon--Souris,111,Brandon,49,2,26,0,11,37,2,127,302
Brandon--Souris/Brandon--Souris,112,Brandon,53,1,37,1,3,32,3,130,317
Brandon--Souris/Brandon--Souris,113,Brandon,66,5,26,2,9,51,3,162,411
Brandon--Souris/Brandon--Souris,114,Brandon,92,4,30,0,8,37,3,174,371
Brandon--Souris/Brandon--Souris,115,Brandon,94,2,36,0,8,56,1,197,385
Brandon--Souris/Brandon--Souris,116,Brandon,62,1,31,0,6,60,1,161,320
Brandon--Souris/Brandon--Souris,117,Brandon,52,0,33,1,1,34,0,121,356
Brandon--Souris/Brandon--Souris,118,Brandon,66,1,54,1,12,64,0,198,373
Brandon--Souris/Brandon--Souris,119,Brandon,49,2,35,1,18,32,0,137,378
Brandon--Souris/Brandon--Souris,120,Brandon,52,3,38,0,7,34,1,135,390
Brandon--Souris/Brandon--Souris,121,Brandon,44,2,29,1,9,71,0,156,330
Brandon--Souris/Brandon--Souris,122,Brandon,74,2,79,0,7,114,1,277,418
Brandon--Souris/Brandon--Souris,123,Brandon,70,0,39,0,8,53,0,170,439
Brandon--Souris/Brandon--Souris,124,Brandon,77,1,38,2,10,89,1,218,367
Brandon--Souris/Brandon--Souris,125,Brandon,58,2,36,0,6,62,1,165,397
Brandon--Souris/Brandon--Souris,126,Deleau,28,3,44,1,6,124,1,207,381
Brandon--Souris/Brandon--Souris,127,Souris,19,4,34,0,8,89,0,154,282
Brandon--Souris/Brandon--Souris,128,Souris,38,7,47,1,7,138,1,239,376
Brandon--Souris/Brandon--Souris,129,Souris,27,1,27,0,2,73,0,130,240
Brandon--Souris/Brandon--Souris,130,Souris,30,2,63,2,5,125,1,228,397
Brandon--Souris/Brandon--Souris,131,Carroll,24,3,24,0,6,105,1,163,347
Brandon--Souris/Brandon--Souris,132,Nesbitt,25,2,56,0,8,139,2,232,388
Brandon--Souris/Brandon--Souris,133,Treesbank,5,1,10,0,5,82,1,104,319
Brandon--Souris/Brandon--Souris,134,Wawanesa,33,2,41,2,9,165,2,254,443
Brandon--Souris/Brandon--Souris,135,Stockton,22,2,45,0,5,208,3,285,428
Brandon--Souris/Brandon--Souris,136,Glenboro,49,1,39,2,5,195,1,292,514
Brandon--Souris/Brandon--Souris,137,Stockton,30,1,41,0,1,138,0,211,316
Brandon--Souris/Brandon--Souris,138,Ninette,30,2,72,0,16,129,4,253,376
Brandon--Souris/Brandon--Souris,139,Belmont,16,2,31,1,2,87,1,140,248
Brandon--Souris/Brandon--Souris,140,Belmont,19,0,28,1,5,67,0,120,195
Brandon--Souris/Brandon--Souris,141,Baldur,Void,,,,,,,,
Brandon--Souris/Brandon--Souris,142,Baldur,6,0,38,0,1,121,1,167,271
Brandon--Souris/Brandon--Souris,143,Baldur,22,0,34,1,4,113,0,174,257
Brandon--Souris/Brandon--Souris,144,Broomhill,7,1,55,1,9,88,1,162,282
Brandon--Souris/Brandon--Souris,145,Grande-Clairière,3,1,52,1,11,71,1,140,249
Brandon--Souris/Brandon--Souris,146,Argue,6,2,11,0,6,72,1,98,142
Brandon--Souris/Brandon--Souris,147,Hartney,25,4,35,0,2,145,0,211,365
Brandon--Souris/Brandon--Souris,148,Pierson,15,3,52,0,6,140,1,217,371
Brandon--Souris/Brandon--Souris,149,Coulter,4,0,23,0,2,70,0,99,239
Brandon--Souris/Brandon--Souris,150,Elva,9,0,18,0,1,71,0,99,185
Brandon--Souris/Brandon--Souris,151,Melita,26,2,55,0,5,134,0,222,401
Brandon--Souris/Brandon--Souris,152,Melita,16,1,21,1,3,84,2,128,221
Brandon--Souris/Brandon--Souris,153,Melita,22,1,22,0,4,84,0,133,245
Brandon--Souris/Brandon--Souris,154,Medora,12,0,24,1,2,127,0,166,261
Brandon--Souris/Brandon--Souris,155,Waskada,8,2,49,1,3,91,0,154,236
Brandon--Souris/Brandon--Souris,156,Elgin,23,7,30,2,7,93,1,163,278
Brandon--Souris/Brandon--Souris,157,Minto,9,1,31,0,10,89,0,140,234
Brandon--Souris/Brandon--Souris,158,Deloraine,4,4,21,0,1,95,0,125,176
Brandon--Souris/Brandon--Souris,159,Deloraine,23,6,35,3,7,187,1,262,388
Brandon--Souris/Brandon--Souris,160,Deloraine,14,4,50,0,3,207,0,278,405
Brandon--Souris/Brandon--Souris,161,Goodlands,15,13,47,0,8,97,3,183,325
Brandon--Souris/Brandon--Souris,162,Whitewater,14,6,13,0,12,144,0,189,265
Brandon--Souris/Brandon--Souris,163,Boissevain,34,2,43,2,7,138,1,227,362
Brandon--Souris/Brandon--Souris,164,Boissevain,20,2,41,0,6,132,0,201,346
Brandon--Souris/Brandon--Souris,165,Boissevain,36,2,53,0,10,137,0,238,460
Brandon--Souris/Brandon--Souris,166,Boissevain,5,2,30,0,7,83,0,127,215
Brandon--Souris/Brandon--Souris,167,Ninga,9,11,27,0,4,291,0,342,571
Brandon--Souris/Brandon--Souris,168A,Killarney,13,1,18,0,4,98,1,135,280
Brandon--Souris/Brandon--Souris,168B,Killarney,20,8,23,0,0,103,3,157,277
Brandon--Souris/Brandon--Souris,169,Killarney,13,3,38,0,1,180,1,236,303
Brandon--Souris/Brandon--Souris,170,Killarney,17,1,25,0,5,157,1,206,320
Brandon--Souris/Brandon--Souris,171,Killarney,19,5,15,0,2,167,1,209,366
Brandon--Souris/Brandon--Souris,172,Killarney,18,3,25,0,5,136,0,187,273
Brandon--Souris/Brandon--Souris,173,Holmfield,6,1,8,0,0,86,0,101,163
Brandon--Souris/Brandon--Souris,174,Glenora,10,1,12,0,3,59,0,85,137
Brandon--Souris/Brandon--Souris,175,Cartwright,10,0,30,0,7,122,1,170,387
Brandon--Souris/Brandon--Souris,176,Cartwright,15,1,26,0,2,95,1,140,260
Brandon--Souris/Brandon--Souris,177,Mather,11,2,22,0,5,106,2,148,225
Brandon--Souris/Brandon--Souris,500,Mobile poll/Bureau itinérant,7,2,16,2,1,25,2,55,80
Brandon--Souris/Brandon--Souris,501,Mobile poll/Bureau itinérant,9,2,12,0,0,15,0,38,122
Brandon--Souris/Brandon--Souris,502,Mobile poll/Bureau itinérant,6,2,6,0,0,22,1,37,80
Brandon--Souris/Brandon--Souris,503,Mobile poll/Bureau itinérant,1,1,8,1,0,18,0,29,64
Brandon--Souris/Brandon--Souris,504,Mobile poll/Bureau itinérant,14,1,30,3,2,31,0,81,248
Brandon--Souris/Brandon--Souris,505,Mobile poll/Bureau itinérant,1,0,5,0,0,11,0,17,50
Brandon--Souris/Brandon--Souris,506,Mobile poll/Bureau itinérant,4,3,15,0,0,37,3,62,123
Brandon--Souris/Brandon--Souris,600,Virden,10,0,51,1,3,95,0,160,
Brandon--Souris/Brandon--Souris,601,Oak Lake 59,2,1,7,0,0,0,0,10,
Brandon--Souris/Brandon--Souris,602,Sioux Valley 58,0,0,5,0,0,0,0,5,
Brandon--Souris/Brandon--Souris,603,Brandon--Rivers,12,0,5,0,1,26,1,45,
Brandon--Souris/Brandon--Souris,604,Carberry,6,0,12,0,2,27,0,47,
Brandon--Souris/Brandon--Souris,605,Brandon--Alexander,84,1,109,3,14,178,3,392,
Brandon--Souris/Brandon--Souris,606,Brandon,46,0,76,0,10,129,0,261,
Brandon--Souris/Brandon--Souris,607,Brandon,66,1,67,2,10,107,2,255,
Brandon--Souris/Brandon--Souris,608,Brandon,37,0,40,4,11,52,0,144,
Brandon--Souris/Brandon--Souris,609,Brandon--Wawanesa,15,1,10,0,0,31,0,57,
Brandon--Souris/Brandon--Souris,610,Souris,15,3,17,0,7,42,0,84,
Brandon--Souris/Brandon--Souris,611,Glenboro,2,0,10,0,2,23,0,37,
Brandon--Souris/Brandon--Souris,612,Melita,15,0,15,0,3,70,0,103,
Brandon--Souris/Brandon--Souris,613,Boissevain,11,0,18,0,4,73,0,106,
Brandon--Souris/Brandon--Souris,614,Killarney,6,0,14,0,1,53,0,74,
Brandon--Souris/Brandon--Souris,,Group 1/Groupe 1,13,1,32,2,9,81,3,141,326
Brandon--Souris/Brandon--Souris,,Group 2/Groupe 2,98,9,175,0,16,284,11,593,
