District,Poll Number,Poll Name,Jean-Claude Gobé,Francine Lalonde,André Langevin,Andre Levert,Christian Prevost,Rejected Ballots,Total Vote,Electors
La Pointe-de-l'Île/La Pointe-de-l'Île,70,Montréal,82,167,8,11,12,5,285,452
La Pointe-de-l'Île/La Pointe-de-l'Île,71,Montréal,34,108,3,3,5,0,153,335
La Pointe-de-l'Île/La Pointe-de-l'Île,72,Montréal,36,106,6,0,6,3,157,374
La Pointe-de-l'Île/La Pointe-de-l'Île,73,Montréal,46,159,5,3,11,7,231,394
La Pointe-de-l'Île/La Pointe-de-l'Île,74,Montréal,49,124,9,7,7,5,201,396
La Pointe-de-l'Île/La Pointe-de-l'Île,75,Montréal,49,90,9,8,1,4,161,320
La Pointe-de-l'Île/La Pointe-de-l'Île,76,Montréal,39,138,4,2,6,7,196,426
La Pointe-de-l'Île/La Pointe-de-l'Île,77,Montréal,42,116,6,7,10,2,183,308
La Pointe-de-l'Île/La Pointe-de-l'Île,78,Montréal,64,126,5,4,15,4,218,339
La Pointe-de-l'Île/La Pointe-de-l'Île,79,Montréal,41,125,3,5,5,1,180,321
La Pointe-de-l'Île/La Pointe-de-l'Île,80,Montréal,32,147,8,3,10,4,204,343
La Pointe-de-l'Île/La Pointe-de-l'Île,81,Montréal,40,139,7,2,6,4,198,381
La Pointe-de-l'Île/La Pointe-de-l'Île,82,Montréal,37,137,6,1,8,4,193,332
La Pointe-de-l'Île/La Pointe-de-l'Île,83,Montréal,25,184,9,7,6,9,240,506
La Pointe-de-l'Île/La Pointe-de-l'Île,84,Montréal,27,155,6,11,6,9,214,350
La Pointe-de-l'Île/La Pointe-de-l'Île,85,Montréal,25,139,5,3,10,5,187,386
La Pointe-de-l'Île/La Pointe-de-l'Île,86,Montréal,41,121,3,6,11,4,186,501
La Pointe-de-l'Île/La Pointe-de-l'Île,87,Montréal,61,148,8,4,10,2,233,442
La Pointe-de-l'Île/La Pointe-de-l'Île,88,Montréal,48,138,8,4,4,4,206,476
La Pointe-de-l'Île/La Pointe-de-l'Île,89,Montréal,47,178,14,9,2,8,258,420
La Pointe-de-l'Île/La Pointe-de-l'Île,90,Montréal,52,195,10,8,12,9,286,474
La Pointe-de-l'Île/La Pointe-de-l'Île,91,Montréal,52,158,2,2,4,6,224,399
La Pointe-de-l'Île/La Pointe-de-l'Île,92,Montréal,26,144,6,5,3,3,187,366
La Pointe-de-l'Île/La Pointe-de-l'Île,93,Montréal,48,138,7,8,11,8,220,395
La Pointe-de-l'Île/La Pointe-de-l'Île,94,Montréal,28,166,8,5,6,1,214,461
La Pointe-de-l'Île/La Pointe-de-l'Île,95,Montréal-Est,55,86,3,7,10,8,169,371
La Pointe-de-l'Île/La Pointe-de-l'Île,96,Montréal-Est,39,121,1,6,6,0,173,358
La Pointe-de-l'Île/La Pointe-de-l'Île,97,Montréal-Est,22,111,7,6,7,3,156,361
La Pointe-de-l'Île/La Pointe-de-l'Île,98,Montréal-Est,39,126,11,9,4,9,198,413
La Pointe-de-l'Île/La Pointe-de-l'Île,99,Montréal-Est,31,95,3,5,7,5,146,416
La Pointe-de-l'Île/La Pointe-de-l'Île,100,Montréal-Est,39,46,4,1,5,1,96,387
La Pointe-de-l'Île/La Pointe-de-l'Île,101,Montréal-Est,24,91,4,7,1,2,129,363
La Pointe-de-l'Île/La Pointe-de-l'Île,102,Montréal,74,155,5,2,13,5,254,395
La Pointe-de-l'Île/La Pointe-de-l'Île,103,Montréal,56,144,10,4,6,11,231,409
La Pointe-de-l'Île/La Pointe-de-l'Île,104,Montréal,64,138,6,2,7,6,223,374
La Pointe-de-l'Île/La Pointe-de-l'Île,105,Montréal,35,162,4,7,6,7,221,389
La Pointe-de-l'Île/La Pointe-de-l'Île,106,Montréal,37,79,5,4,7,3,135,313
La Pointe-de-l'Île/La Pointe-de-l'Île,107,Montréal-Est,30,121,12,1,6,4,174,404
La Pointe-de-l'Île/La Pointe-de-l'Île,108,Montréal-Est,32,126,10,0,10,2,180,496
La Pointe-de-l'Île/La Pointe-de-l'Île,109,Montréal,49,154,7,3,13,8,234,410
La Pointe-de-l'Île/La Pointe-de-l'Île,110,Montréal,57,157,10,3,7,0,234,459
La Pointe-de-l'Île/La Pointe-de-l'Île,111,Montréal,35,149,6,8,9,7,214,409
La Pointe-de-l'Île/La Pointe-de-l'Île,112,Montréal,42,140,6,7,5,5,205,438
La Pointe-de-l'Île/La Pointe-de-l'Île,113,Montréal,31,130,8,6,5,3,183,349
La Pointe-de-l'Île/La Pointe-de-l'Île,114,Montréal,70,188,15,12,9,9,303,541
La Pointe-de-l'Île/La Pointe-de-l'Île,115,Montréal,84,110,9,2,10,7,222,343
La Pointe-de-l'Île/La Pointe-de-l'Île,116,Montréal,72,118,10,8,14,0,222,409
La Pointe-de-l'Île/La Pointe-de-l'Île,117,Montréal,43,85,10,6,7,0,151,376
La Pointe-de-l'Île/La Pointe-de-l'Île,118,Montréal,78,115,5,6,6,4,214,387
La Pointe-de-l'Île/La Pointe-de-l'Île,119,Montréal,61,102,7,7,7,5,189,359
La Pointe-de-l'Île/La Pointe-de-l'Île,120,Montréal,58,98,3,10,9,1,179,350
La Pointe-de-l'Île/La Pointe-de-l'Île,121,Montréal,74,168,2,2,12,5,263,390
La Pointe-de-l'Île/La Pointe-de-l'Île,122,Montréal,48,117,4,7,9,3,188,341
La Pointe-de-l'Île/La Pointe-de-l'Île,123,Montréal,48,140,9,9,7,3,216,389
La Pointe-de-l'Île/La Pointe-de-l'Île,124,Montréal,46,147,8,12,2,2,217,444
La Pointe-de-l'Île/La Pointe-de-l'Île,125,Montréal,26,114,5,3,2,3,153,304
La Pointe-de-l'Île/La Pointe-de-l'Île,126,Montréal,23,154,9,7,8,9,210,407
La Pointe-de-l'Île/La Pointe-de-l'Île,127,Montréal,76,166,18,7,15,8,290,555
La Pointe-de-l'Île/La Pointe-de-l'Île,128,Montréal,29,109,8,2,3,5,156,277
La Pointe-de-l'Île/La Pointe-de-l'Île,129,Montréal,42,135,11,9,12,7,216,412
La Pointe-de-l'Île/La Pointe-de-l'Île,130,Montréal,49,161,9,8,11,3,241,578
La Pointe-de-l'Île/La Pointe-de-l'Île,131,Montréal,62,139,13,13,15,7,249,449
La Pointe-de-l'Île/La Pointe-de-l'Île,132,Montréal,63,131,11,7,15,5,232,475
La Pointe-de-l'Île/La Pointe-de-l'Île,133,Montréal,53,117,19,7,8,4,208,348
La Pointe-de-l'Île/La Pointe-de-l'Île,134,Montréal,66,147,10,5,6,1,235,424
La Pointe-de-l'Île/La Pointe-de-l'Île,135,Montréal,56,136,12,9,9,4,226,386
La Pointe-de-l'Île/La Pointe-de-l'Île,136,Montréal,52,116,5,5,4,4,186,297
La Pointe-de-l'Île/La Pointe-de-l'Île,137,Montréal,33,134,15,3,3,3,191,341
La Pointe-de-l'Île/La Pointe-de-l'Île,138,Montréal,84,171,11,9,9,4,288,422
La Pointe-de-l'Île/La Pointe-de-l'Île,139,Montréal,74,175,10,11,11,10,291,458
La Pointe-de-l'Île/La Pointe-de-l'Île,140,Montréal,61,143,12,10,11,6,243,403
La Pointe-de-l'Île/La Pointe-de-l'Île,141,Montréal,32,122,7,5,9,3,178,328
La Pointe-de-l'Île/La Pointe-de-l'Île,142,Montréal,46,213,15,6,15,7,302,496
La Pointe-de-l'Île/La Pointe-de-l'Île,143,Montréal,29,147,13,3,3,4,199,355
La Pointe-de-l'Île/La Pointe-de-l'Île,144,Montréal,43,111,11,5,8,4,182,463
La Pointe-de-l'Île/La Pointe-de-l'Île,145,Montréal,15,86,7,3,4,1,116,341
La Pointe-de-l'Île/La Pointe-de-l'Île,146,Montréal,29,166,11,7,3,1,217,367
La Pointe-de-l'Île/La Pointe-de-l'Île,147,Montréal,46,140,10,4,8,5,213,364
La Pointe-de-l'Île/La Pointe-de-l'Île,148,Montréal,42,169,7,3,11,5,237,418
La Pointe-de-l'Île/La Pointe-de-l'Île,149,Montréal,30,140,9,3,11,6,199,355
La Pointe-de-l'Île/La Pointe-de-l'Île,150,Montréal,37,118,6,7,9,5,182,343
La Pointe-de-l'Île/La Pointe-de-l'Île,151,Montréal,46,105,14,9,7,5,186,388
La Pointe-de-l'Île/La Pointe-de-l'Île,152,Montréal,28,146,12,9,9,3,207,494
La Pointe-de-l'Île/La Pointe-de-l'Île,153,Montréal,46,146,6,7,2,5,212,398
La Pointe-de-l'Île/La Pointe-de-l'Île,154,Montréal,31,110,4,5,7,11,168,294
La Pointe-de-l'Île/La Pointe-de-l'Île,155,Montréal,32,87,10,0,2,3,134,355
La Pointe-de-l'Île/La Pointe-de-l'Île,156,Montréal,32,125,19,5,3,4,188,413
La Pointe-de-l'Île/La Pointe-de-l'Île,157,Montréal,68,155,15,8,11,4,261,464
La Pointe-de-l'Île/La Pointe-de-l'Île,158,Montréal,55,129,13,7,16,3,223,383
La Pointe-de-l'Île/La Pointe-de-l'Île,159,Montréal,60,89,7,5,5,0,166,316
La Pointe-de-l'Île/La Pointe-de-l'Île,160,Montréal,44,141,14,8,3,0,210,378
La Pointe-de-l'Île/La Pointe-de-l'Île,161,Montréal,46,139,14,4,16,0,219,345
La Pointe-de-l'Île/La Pointe-de-l'Île,162,Montréal,39,179,13,6,7,3,247,367
La Pointe-de-l'Île/La Pointe-de-l'Île,163,Montréal,38,128,17,13,8,5,209,368
La Pointe-de-l'Île/La Pointe-de-l'Île,164,Montréal,35,195,10,9,5,5,259,427
La Pointe-de-l'Île/La Pointe-de-l'Île,165,Montréal,22,122,6,7,5,7,169,354
La Pointe-de-l'Île/La Pointe-de-l'Île,166,Montréal,38,142,6,1,7,2,196,377
La Pointe-de-l'Île/La Pointe-de-l'Île,167,Montréal,48,61,9,6,5,7,136,552
La Pointe-de-l'Île/La Pointe-de-l'Île,168,Montréal,85,110,11,5,13,3,227,354
La Pointe-de-l'Île/La Pointe-de-l'Île,169,Montréal,70,150,20,10,10,3,263,395
La Pointe-de-l'Île/La Pointe-de-l'Île,170,Montréal,44,114,11,6,8,4,187,320
La Pointe-de-l'Île/La Pointe-de-l'Île,171,Montréal,19,66,0,5,5,0,95,173
La Pointe-de-l'Île/La Pointe-de-l'Île,172,Montréal,37,113,8,4,2,5,169,310
La Pointe-de-l'Île/La Pointe-de-l'Île,173,Montréal,40,131,13,8,12,6,210,360
La Pointe-de-l'Île/La Pointe-de-l'Île,174,Montréal,34,111,6,5,3,2,161,305
La Pointe-de-l'Île/La Pointe-de-l'Île,175,Montréal,27,112,2,5,3,9,158,326
La Pointe-de-l'Île/La Pointe-de-l'Île,176,Montréal,17,118,4,1,0,8,148,334
La Pointe-de-l'Île/La Pointe-de-l'Île,177,Montréal,69,107,7,5,5,3,196,312
La Pointe-de-l'Île/La Pointe-de-l'Île,178,Montréal,65,109,8,7,12,3,204,341
La Pointe-de-l'Île/La Pointe-de-l'Île,179,Montréal,85,102,9,3,10,4,213,452
La Pointe-de-l'Île/La Pointe-de-l'Île,180,Montréal,62,104,5,2,17,3,193,318
La Pointe-de-l'Île/La Pointe-de-l'Île,181,Montréal,38,94,5,7,17,6,167,331
La Pointe-de-l'Île/La Pointe-de-l'Île,182,Montréal,29,100,2,7,11,9,158,340
La Pointe-de-l'Île/La Pointe-de-l'Île,183,Montréal,81,85,11,4,15,4,200,369
La Pointe-de-l'Île/La Pointe-de-l'Île,184,Montréal,74,112,10,4,9,2,211,386
La Pointe-de-l'Île/La Pointe-de-l'Île,185,Montréal,49,92,4,4,6,3,158,296
La Pointe-de-l'Île/La Pointe-de-l'Île,186,Montréal,51,170,8,6,8,4,247,467
La Pointe-de-l'Île/La Pointe-de-l'Île,187,Montréal,33,108,11,4,16,4,176,430
La Pointe-de-l'Île/La Pointe-de-l'Île,188,Montréal,24,109,4,3,2,3,145,363
La Pointe-de-l'Île/La Pointe-de-l'Île,189,Montréal,62,72,8,4,6,7,159,337
La Pointe-de-l'Île/La Pointe-de-l'Île,190,Montréal,98,109,6,3,10,4,230,424
La Pointe-de-l'Île/La Pointe-de-l'Île,191,Montréal,93,53,9,3,7,0,165,296
La Pointe-de-l'Île/La Pointe-de-l'Île,192,Montréal,56,100,11,5,16,1,189,499
La Pointe-de-l'Île/La Pointe-de-l'Île,193,Montréal,64,140,14,3,7,2,230,428
La Pointe-de-l'Île/La Pointe-de-l'Île,194,Montréal,96,90,7,4,5,9,211,542
La Pointe-de-l'Île/La Pointe-de-l'Île,195,Montréal,59,136,13,4,12,14,238,591
La Pointe-de-l'Île/La Pointe-de-l'Île,196,Montréal,42,108,7,2,6,1,166,305
La Pointe-de-l'Île/La Pointe-de-l'Île,197,Montréal,34,105,3,4,3,5,154,339
La Pointe-de-l'Île/La Pointe-de-l'Île,500,Mobile poll/Bureau itinérant,24,17,3,1,7,5,57,107
La Pointe-de-l'Île/La Pointe-de-l'Île,501,Mobile poll/Bureau itinérant,32,35,1,2,8,4,82,166
La Pointe-de-l'Île/La Pointe-de-l'Île,502,Mobile poll/Bureau itinérant,18,24,8,0,4,4,58,144
La Pointe-de-l'Île/La Pointe-de-l'Île,503,Mobile poll/Bureau itinérant,30,24,8,1,3,6,72,177
La Pointe-de-l'Île/La Pointe-de-l'Île,600,Montréal,84,307,16,12,35,12,466,
La Pointe-de-l'Île/La Pointe-de-l'Île,601,Montréal,76,228,12,5,18,5,344,
La Pointe-de-l'Île/La Pointe-de-l'Île,602,Montréal,69,213,17,8,15,4,326,
La Pointe-de-l'Île/La Pointe-de-l'Île,603,Montréal,102,236,6,2,22,8,376,
La Pointe-de-l'Île/La Pointe-de-l'Île,604,Montréal,160,285,11,12,30,12,510,
La Pointe-de-l'Île/La Pointe-de-l'Île,605,Montréal,119,246,12,9,24,5,415,
La Pointe-de-l'Île/La Pointe-de-l'Île,606,Montréal,113,233,13,7,15,8,389,
La Pointe-de-l'Île/La Pointe-de-l'Île,607,Montréal,101,217,7,11,14,7,357,
La Pointe-de-l'Île/La Pointe-de-l'Île,608,Montréal,142,284,22,16,28,9,501,
La Pointe-de-l'Île/La Pointe-de-l'Île,,Group 1/Groupe 1,19,48,5,6,18,2,98,184
La Pointe-de-l'Île/La Pointe-de-l'Île,,Group 2/Groupe 2,252,631,16,11,40,44,994,
