District,Poll Number,Poll Name,Gary Carr,Frank Marchetti,Dean Martin,Anwar Naqvi,Rejected Ballots,Total Vote,Electors
Halton/Halton,209,Burlington,135,7,91,9,0,242,406
Halton/Halton,210,Burlington,81,7,80,17,1,186,322
Halton/Halton,211,Burlington,71,11,63,22,1,168,308
Halton/Halton,212,Burlington,45,13,71,17,2,148,264
Halton/Halton,213,Burlington,97,21,86,19,0,223,477
Halton/Halton,214,Burlington,118,12,91,27,0,248,459
Halton/Halton,215,Burlington,174,9,113,12,1,309,450
Halton/Halton,216,Burlington,150,12,104,17,0,283,425
Halton/Halton,217,Burlington,69,17,47,33,1,167,354
Halton/Halton,218,Burlington,64,6,63,16,4,153,289
Halton/Halton,219,Burlington,206,19,115,24,2,366,575
Halton/Halton,220,Burlington,138,2,93,16,1,250,430
Halton/Halton,221,Burlington,151,6,93,26,2,278,444
Halton/Halton,222,Burlington,149,10,85,27,2,273,437
Halton/Halton,223,Burlington,159,17,85,19,1,281,439
Halton/Halton,224,Burlington,136,7,101,31,0,275,430
Halton/Halton,225,Burlington,75,8,68,5,0,156,278
Halton/Halton,226,Burlington,151,14,84,17,1,267,420
Halton/Halton,227,Burlington,146,18,91,20,1,276,425
Halton/Halton,228,Burlington,119,19,125,29,1,293,575
Halton/Halton,229,Burlington,169,15,129,24,3,340,581
Halton/Halton,230,Burlington,152,10,104,21,1,288,507
Halton/Halton,231,Burlington,71,15,46,18,0,150,248
Halton/Halton,232,Burlington,Merged with No. 231,,,,,,120
Halton/Halton,233,Burlington,64,10,40,15,1,130,295
Halton/Halton,234,Burlington,57,3,33,12,0,105,217
Halton/Halton,235,Burlington,96,8,56,13,1,174,322
Halton/Halton,236,Burlington,143,8,114,25,4,294,484
Halton/Halton,237,Burlington,65,9,55,30,0,159,311
Halton/Halton,500,Mobile poll/Bureau itinérant,47,3,40,11,6,107,214
Halton/Halton,501,Mobile poll/Bureau itinérant,51,4,28,12,0,95,233
Halton/Halton,600,Brookville--Campbellville,168,22,223,16,2,431,
Halton/Halton,601,Milton,268,29,309,47,3,656,
Halton/Halton,602,Milton,268,43,322,50,3,686,
Halton/Halton,603,Milton,143,13,143,21,0,320,
Halton/Halton,604,Milton,35,7,61,6,0,109,
Halton/Halton,605,Milton--Oakville,346,30,292,52,2,722,
Halton/Halton,606,Oakville,406,33,305,49,0,793,
Halton/Halton,607,Oakville,176,14,182,25,0,397,
Halton/Halton,608,Milton--Burlington,67,5,93,14,0,179,
Halton/Halton,609,Burlington,368,20,393,37,2,820,
Halton/Halton,610,Burlington,123,14,145,19,2,303,
Halton/Halton,611,Burlington,319,19,310,43,4,695,
Halton/Halton,,Group 1/Groupe 1,18,6,32,5,2,63,105
Halton/Halton,,Group 2/Groupe 2,207,34,262,46,18,567,
