District,Poll Number,Poll Name,Michael James Baldasaro,David Christopherson,Stephen Downey,Jamilé Ghaddar,Stan Keyes,Leon Patrick O'Connor,Anne Marie Pavlov,Rejected Ballots,Total Vote,Electors
Hamilton Centre/Hamilton-Centre,42,Hamilton,4,89,0,0,23,9,1,1,127,352
Hamilton Centre/Hamilton-Centre,43,Hamilton,2,71,2,0,21,15,3,2,116,408
Hamilton Centre/Hamilton-Centre,44,Hamilton,4,50,2,0,29,18,3,0,106,404
Hamilton Centre/Hamilton-Centre,45,Hamilton,4,62,3,1,26,19,2,0,117,317
Hamilton Centre/Hamilton-Centre,46,Hamilton,0,69,0,1,50,13,8,0,141,334
Hamilton Centre/Hamilton-Centre,47,Hamilton,1,88,3,0,51,17,6,0,166,456
Hamilton Centre/Hamilton-Centre,48,Hamilton,2,59,2,0,63,14,5,5,150,455
Hamilton Centre/Hamilton-Centre,49,Hamilton,0,54,4,0,29,7,7,0,101,313
Hamilton Centre/Hamilton-Centre,50,Hamilton,0,55,1,1,39,22,5,4,127,370
Hamilton Centre/Hamilton-Centre,51,Hamilton,0,82,5,1,29,16,7,1,141,359
Hamilton Centre/Hamilton-Centre,52,Hamilton,2,102,0,0,45,14,5,0,168,404
Hamilton Centre/Hamilton-Centre,53,Hamilton,3,82,1,1,63,33,3,3,189,418
Hamilton Centre/Hamilton-Centre,54,Hamilton,0,81,2,0,53,30,9,3,178,366
Hamilton Centre/Hamilton-Centre,55,Hamilton,0,139,3,0,55,30,4,0,231,416
Hamilton Centre/Hamilton-Centre,56,Hamilton,0,77,2,0,54,31,5,0,169,360
Hamilton Centre/Hamilton-Centre,57,Hamilton,2,93,1,0,46,21,7,0,170,400
Hamilton Centre/Hamilton-Centre,58,Hamilton,1,107,0,1,58,15,9,0,191,458
Hamilton Centre/Hamilton-Centre,59,Hamilton,0,60,0,0,30,19,3,1,113,378
Hamilton Centre/Hamilton-Centre,60,Hamilton,3,75,1,0,31,14,7,1,132,349
Hamilton Centre/Hamilton-Centre,61,Hamilton,3,47,0,0,33,22,3,0,108,313
Hamilton Centre/Hamilton-Centre,62,Hamilton,1,76,5,0,64,24,6,0,176,403
Hamilton Centre/Hamilton-Centre,63,Hamilton,2,126,3,2,71,25,4,2,235,398
Hamilton Centre/Hamilton-Centre,64,Hamilton,2,120,4,0,42,21,5,0,194,401
Hamilton Centre/Hamilton-Centre,65,Hamilton,1,79,2,0,38,21,3,4,148,438
Hamilton Centre/Hamilton-Centre,66,Hamilton,2,76,1,0,45,28,5,1,158,452
Hamilton Centre/Hamilton-Centre,67,Hamilton,1,95,1,1,26,12,3,0,139,363
Hamilton Centre/Hamilton-Centre,68,Hamilton,1,152,0,0,45,29,10,2,239,459
Hamilton Centre/Hamilton-Centre,69,Hamilton,4,132,6,1,58,17,10,2,230,476
Hamilton Centre/Hamilton-Centre,70,Hamilton,4,148,2,1,59,22,4,0,240,416
Hamilton Centre/Hamilton-Centre,71,Hamilton,0,118,1,1,68,19,6,0,213,483
Hamilton Centre/Hamilton-Centre,72,Hamilton,1,58,1,0,58,27,2,4,151,339
Hamilton Centre/Hamilton-Centre,73,Hamilton,1,99,4,0,52,15,6,4,181,406
Hamilton Centre/Hamilton-Centre,74,Hamilton,2,99,2,4,73,13,2,1,196,375
Hamilton Centre/Hamilton-Centre,75,Hamilton,1,74,1,0,57,7,6,6,152,432
Hamilton Centre/Hamilton-Centre,76,Hamilton,1,64,1,0,65,29,11,0,171,509
Hamilton Centre/Hamilton-Centre,77,Hamilton,2,76,0,0,31,13,5,1,128,360
Hamilton Centre/Hamilton-Centre,78,Hamilton,0,42,3,0,45,10,3,2,105,435
Hamilton Centre/Hamilton-Centre,79,Hamilton,0,63,0,0,64,26,4,2,159,425
Hamilton Centre/Hamilton-Centre,80,Hamilton,0,60,4,0,62,15,1,0,142,352
Hamilton Centre/Hamilton-Centre,81,Hamilton,2,68,6,0,46,21,3,1,147,338
Hamilton Centre/Hamilton-Centre,82,Hamilton,2,129,0,1,64,13,6,1,216,471
Hamilton Centre/Hamilton-Centre,83,Hamilton,1,84,2,0,46,19,13,1,166,317
Hamilton Centre/Hamilton-Centre,84,Hamilton,1,137,1,0,37,12,8,1,197,345
Hamilton Centre/Hamilton-Centre,85,Hamilton,4,150,7,0,84,28,7,0,280,433
Hamilton Centre/Hamilton-Centre,86,Hamilton,2,70,6,0,70,18,5,5,176,319
Hamilton Centre/Hamilton-Centre,87,Hamilton,2,122,4,0,58,17,3,3,209,351
Hamilton Centre/Hamilton-Centre,88,Hamilton,2,118,3,1,88,41,5,2,260,392
Hamilton Centre/Hamilton-Centre,89,Hamilton,0,143,0,0,91,22,8,0,264,425
Hamilton Centre/Hamilton-Centre,90,Hamilton,3,109,3,0,68,27,14,0,224,415
Hamilton Centre/Hamilton-Centre,91,Hamilton,2,94,5,0,45,31,2,0,179,315
Hamilton Centre/Hamilton-Centre,92,Hamilton,0,95,1,1,73,21,6,4,201,410
Hamilton Centre/Hamilton-Centre,93,Hamilton,2,108,2,0,83,27,6,3,231,348
Hamilton Centre/Hamilton-Centre,94,Hamilton,0,107,8,0,88,35,5,1,244,399
Hamilton Centre/Hamilton-Centre,95,Hamilton,2,34,1,0,37,8,0,2,84,272
Hamilton Centre/Hamilton-Centre,96A,Hamilton,5,51,3,0,52,15,6,2,134,313
Hamilton Centre/Hamilton-Centre,96B,Hamilton,2,58,0,0,61,6,7,1,135,300
Hamilton Centre/Hamilton-Centre,97,Hamilton,0,74,1,1,68,14,5,1,164,420
Hamilton Centre/Hamilton-Centre,98,Hamilton,6,59,5,0,78,8,4,0,160,367
Hamilton Centre/Hamilton-Centre,99,Hamilton,0,59,1,1,29,23,8,0,121,363
Hamilton Centre/Hamilton-Centre,100,Hamilton,0,40,1,0,37,12,4,1,95,301
Hamilton Centre/Hamilton-Centre,101,Hamilton,0,84,0,0,106,24,6,1,221,451
Hamilton Centre/Hamilton-Centre,102,Hamilton,0,79,0,0,74,24,6,1,184,354
Hamilton Centre/Hamilton-Centre,103,Hamilton,0,128,1,1,67,20,5,8,230,375
Hamilton Centre/Hamilton-Centre,104,Hamilton,4,167,2,2,75,11,9,7,277,514
Hamilton Centre/Hamilton-Centre,105,Hamilton,0,40,0,0,33,16,0,2,91,186
Hamilton Centre/Hamilton-Centre,106,Hamilton,0,58,1,0,37,27,3,2,128,320
Hamilton Centre/Hamilton-Centre,107,Hamilton,2,75,1,1,76,31,4,2,192,405
Hamilton Centre/Hamilton-Centre,108,Hamilton,2,80,0,1,55,14,10,1,163,305
Hamilton Centre/Hamilton-Centre,109,Hamilton,2,87,3,0,58,29,8,1,188,420
Hamilton Centre/Hamilton-Centre,110,Hamilton,3,72,2,0,52,43,2,2,176,375
Hamilton Centre/Hamilton-Centre,111,Hamilton,1,61,1,2,60,20,5,1,151,321
Hamilton Centre/Hamilton-Centre,112,Hamilton,3,87,2,0,33,11,1,2,139,290
Hamilton Centre/Hamilton-Centre,113,Hamilton,1,75,2,0,36,13,4,0,131,338
Hamilton Centre/Hamilton-Centre,114,Hamilton,2,56,5,0,32,29,3,1,128,301
Hamilton Centre/Hamilton-Centre,115,Hamilton,0,80,2,0,29,10,6,1,128,343
Hamilton Centre/Hamilton-Centre,116,Hamilton,1,88,2,0,33,17,6,0,147,334
Hamilton Centre/Hamilton-Centre,117,Hamilton,0,91,1,0,47,27,4,0,170,358
Hamilton Centre/Hamilton-Centre,118,Hamilton,2,67,2,1,41,18,2,0,133,333
Hamilton Centre/Hamilton-Centre,119,Hamilton,2,145,0,0,49,16,4,0,216,424
Hamilton Centre/Hamilton-Centre,120,Hamilton,1,57,1,0,30,17,8,0,114,280
Hamilton Centre/Hamilton-Centre,121,Hamilton,0,76,1,0,35,29,5,2,148,343
Hamilton Centre/Hamilton-Centre,122,Hamilton,1,89,0,0,52,27,2,0,171,427
Hamilton Centre/Hamilton-Centre,123,Hamilton,1,68,4,0,65,28,14,1,181,350
Hamilton Centre/Hamilton-Centre,124,Hamilton,1,71,2,1,58,36,6,1,176,369
Hamilton Centre/Hamilton-Centre,125,Hamilton,0,82,1,0,61,21,7,1,173,372
Hamilton Centre/Hamilton-Centre,126,Hamilton,2,69,4,0,43,28,8,0,154,354
Hamilton Centre/Hamilton-Centre,127,Hamilton,0,81,5,0,77,31,5,0,199,363
Hamilton Centre/Hamilton-Centre,128,Hamilton,2,99,1,0,77,34,10,0,223,429
Hamilton Centre/Hamilton-Centre,129,Hamilton,0,88,2,0,59,21,6,2,178,305
Hamilton Centre/Hamilton-Centre,130,Hamilton,0,76,0,0,36,32,8,1,153,312
Hamilton Centre/Hamilton-Centre,131,Hamilton,0,70,0,0,69,30,3,1,173,346
Hamilton Centre/Hamilton-Centre,132,Hamilton,1,81,0,0,64,32,3,2,183,378
Hamilton Centre/Hamilton-Centre,133,Hamilton,0,81,1,0,97,34,3,1,217,377
Hamilton Centre/Hamilton-Centre,134,Hamilton,2,71,3,3,82,12,14,0,187,256
Hamilton Centre/Hamilton-Centre,135,Hamilton,0,76,1,0,61,11,11,1,161,277
Hamilton Centre/Hamilton-Centre,136,Hamilton,1,75,2,0,76,37,8,3,202,389
Hamilton Centre/Hamilton-Centre,137,Hamilton,1,79,0,0,86,36,8,1,211,374
Hamilton Centre/Hamilton-Centre,138,Hamilton,0,79,0,0,122,63,3,0,267,440
Hamilton Centre/Hamilton-Centre,139,Hamilton,1,127,3,0,116,31,18,3,299,429
Hamilton Centre/Hamilton-Centre,140,Hamilton,0,95,0,0,78,44,15,0,232,345
Hamilton Centre/Hamilton-Centre,141,Hamilton,0,113,1,0,97,42,8,1,262,371
Hamilton Centre/Hamilton-Centre,142,Hamilton,1,115,2,0,52,18,3,0,191,330
Hamilton Centre/Hamilton-Centre,143,Hamilton,1,94,0,0,75,44,13,1,228,419
Hamilton Centre/Hamilton-Centre,144,Hamilton,0,104,0,0,49,25,16,0,194,347
Hamilton Centre/Hamilton-Centre,145,Hamilton,1,135,0,0,69,21,5,2,233,411
Hamilton Centre/Hamilton-Centre,146,Hamilton,0,93,0,1,33,20,6,0,153,262
Hamilton Centre/Hamilton-Centre,147,Hamilton,1,106,4,0,74,26,22,0,233,416
Hamilton Centre/Hamilton-Centre,148,Hamilton,0,82,1,1,57,18,10,5,174,326
Hamilton Centre/Hamilton-Centre,149,Hamilton,Merged with No. 134,,,,,,,,,78
Hamilton Centre/Hamilton-Centre,150,Hamilton,0,44,0,0,28,20,5,0,97,282
Hamilton Centre/Hamilton-Centre,151,Hamilton,0,80,1,0,41,17,4,2,145,300
Hamilton Centre/Hamilton-Centre,152,Hamilton,0,51,0,0,31,21,3,2,108,240
Hamilton Centre/Hamilton-Centre,153,Hamilton,1,106,0,0,66,23,15,1,212,362
Hamilton Centre/Hamilton-Centre,154,Hamilton,1,137,3,1,77,35,10,0,264,482
Hamilton Centre/Hamilton-Centre,155,Hamilton,1,122,1,0,74,19,7,1,225,423
Hamilton Centre/Hamilton-Centre,156,Hamilton,0,134,0,0,50,28,11,0,223,361
Hamilton Centre/Hamilton-Centre,157,Hamilton,1,118,3,0,58,24,6,1,211,358
Hamilton Centre/Hamilton-Centre,158,Hamilton,0,125,2,0,104,39,10,1,281,414
Hamilton Centre/Hamilton-Centre,159,Hamilton,0,109,0,0,135,23,9,1,277,387
Hamilton Centre/Hamilton-Centre,160,Hamilton,0,81,0,0,94,31,10,1,217,348
Hamilton Centre/Hamilton-Centre,161,Hamilton,1,86,4,0,121,50,1,0,263,405
Hamilton Centre/Hamilton-Centre,162,Hamilton,2,77,1,0,71,29,4,1,185,322
Hamilton Centre/Hamilton-Centre,163,Hamilton,5,59,4,0,87,47,4,0,206,297
Hamilton Centre/Hamilton-Centre,164,Hamilton,0,70,0,1,72,50,9,2,204,317
Hamilton Centre/Hamilton-Centre,165,Hamilton,0,81,1,0,100,50,2,4,238,379
Hamilton Centre/Hamilton-Centre,166,Hamilton,0,48,4,0,138,48,2,2,242,374
Hamilton Centre/Hamilton-Centre,167,Hamilton,0,75,1,0,101,61,6,0,244,380
Hamilton Centre/Hamilton-Centre,168,Hamilton,1,84,4,0,87,43,8,6,233,357
Hamilton Centre/Hamilton-Centre,169,Hamilton,1,99,4,0,111,52,10,3,280,409
Hamilton Centre/Hamilton-Centre,170,Hamilton,1,83,6,0,116,51,8,0,265,384
Hamilton Centre/Hamilton-Centre,171,Hamilton,1,50,5,1,77,49,7,2,192,296
Hamilton Centre/Hamilton-Centre,172,Hamilton,1,75,4,0,87,59,11,0,237,330
Hamilton Centre/Hamilton-Centre,173A,Hamilton,4,65,5,0,79,33,7,1,194,336
Hamilton Centre/Hamilton-Centre,173B,Hamilton,1,18,0,0,20,4,2,0,45,54
Hamilton Centre/Hamilton-Centre,174,Hamilton,0,61,3,0,93,52,6,0,215,318
Hamilton Centre/Hamilton-Centre,175,Hamilton,2,48,2,1,141,59,7,1,261,396
Hamilton Centre/Hamilton-Centre,176,Hamilton,0,56,3,0,104,54,2,0,219,329
Hamilton Centre/Hamilton-Centre,177,Hamilton,0,40,2,1,99,61,4,0,207,337
Hamilton Centre/Hamilton-Centre,178,Hamilton,2,71,1,0,91,30,9,1,205,338
Hamilton Centre/Hamilton-Centre,179,Hamilton,2,63,5,1,104,55,6,1,237,363
Hamilton Centre/Hamilton-Centre,180,Hamilton,1,58,6,0,88,59,6,1,219,371
Hamilton Centre/Hamilton-Centre,181,Hamilton,1,58,5,0,83,51,4,0,202,302
Hamilton Centre/Hamilton-Centre,182A,Hamilton,0,61,0,0,72,51,2,0,186,328
Hamilton Centre/Hamilton-Centre,182B,Hamilton,2,66,4,1,67,37,12,0,189,341
Hamilton Centre/Hamilton-Centre,183,Hamilton,1,36,4,0,51,23,3,3,121,184
Hamilton Centre/Hamilton-Centre,184,Hamilton,0,107,5,0,107,47,3,1,270,454
Hamilton Centre/Hamilton-Centre,185,Hamilton,3,105,5,0,104,50,4,4,275,467
Hamilton Centre/Hamilton-Centre,186,Hamilton,1,75,4,0,63,41,5,3,192,316
Hamilton Centre/Hamilton-Centre,187,Hamilton,2,111,9,1,93,42,10,0,268,465
Hamilton Centre/Hamilton-Centre,188,Hamilton,1,114,7,1,117,48,8,1,297,489
Hamilton Centre/Hamilton-Centre,189A,Hamilton,0,92,3,0,96,50,7,0,248,413
Hamilton Centre/Hamilton-Centre,189B,Hamilton,2,15,0,0,24,6,0,4,51,88
Hamilton Centre/Hamilton-Centre,190,Hamilton,2,75,5,0,94,40,11,1,228,360
Hamilton Centre/Hamilton-Centre,191,Hamilton,0,59,7,1,98,33,6,2,206,343
Hamilton Centre/Hamilton-Centre,192,Hamilton,0,55,7,0,89,39,6,0,196,303
Hamilton Centre/Hamilton-Centre,193,Hamilton,0,54,1,0,71,14,3,1,144,319
Hamilton Centre/Hamilton-Centre,194,Hamilton,3,59,5,1,126,35,3,2,234,403
Hamilton Centre/Hamilton-Centre,195,Hamilton,0,77,7,0,69,56,7,0,216,440
Hamilton Centre/Hamilton-Centre,196,Hamilton,1,61,3,0,59,28,5,1,158,284
Hamilton Centre/Hamilton-Centre,197,Hamilton,1,74,3,0,89,45,6,2,220,371
Hamilton Centre/Hamilton-Centre,198,Hamilton,1,73,3,0,62,34,5,0,178,284
Hamilton Centre/Hamilton-Centre,199,Hamilton,1,69,2,0,83,35,3,1,194,259
Hamilton Centre/Hamilton-Centre,200,Hamilton,2,82,3,0,123,51,3,2,266,379
Hamilton Centre/Hamilton-Centre,201,Hamilton,2,40,2,0,30,18,5,0,97,168
Hamilton Centre/Hamilton-Centre,202A,Hamilton,1,85,7,0,83,16,5,3,200,347
Hamilton Centre/Hamilton-Centre,202B,Hamilton,0,82,2,0,80,37,1,1,203,336
Hamilton Centre/Hamilton-Centre,203,Hamilton,0,47,2,1,94,29,5,2,180,297
Hamilton Centre/Hamilton-Centre,204,Hamilton,2,73,4,0,70,33,4,0,186,433
Hamilton Centre/Hamilton-Centre,205,Hamilton,0,68,4,5,41,29,4,0,151,394
Hamilton Centre/Hamilton-Centre,206,Hamilton,0,87,3,0,52,23,7,1,173,382
Hamilton Centre/Hamilton-Centre,400,Hamilton,0,78,0,0,63,25,2,1,169,229
Hamilton Centre/Hamilton-Centre,401,Hamilton,4,101,0,2,61,19,5,1,193,279
Hamilton Centre/Hamilton-Centre,402,Hamilton,0,120,7,2,59,24,8,2,222,351
Hamilton Centre/Hamilton-Centre,403,Hamilton,2,71,0,1,68,34,15,1,192,314
Hamilton Centre/Hamilton-Centre,404,Hamilton,4,112,1,1,107,24,3,12,264,385
Hamilton Centre/Hamilton-Centre,405,Hamilton,0,11,2,0,23,5,2,0,43,79
Hamilton Centre/Hamilton-Centre,406,Hamilton,0,57,4,1,56,37,4,0,159,263
Hamilton Centre/Hamilton-Centre,407,Hamilton,1,12,0,0,11,3,0,1,28,88
Hamilton Centre/Hamilton-Centre,500,Mobile poll/Bureau itinérant,4,28,1,1,45,12,3,3,97,140
Hamilton Centre/Hamilton-Centre,501,Mobile poll/Bureau itinérant,1,16,2,1,19,2,2,0,43,231
Hamilton Centre/Hamilton-Centre,502,Mobile poll/Bureau itinérant,5,16,2,1,30,19,4,4,81,217
Hamilton Centre/Hamilton-Centre,503,Mobile poll/Bureau itinérant,0,13,1,2,18,12,2,2,50,136
Hamilton Centre/Hamilton-Centre,504,Mobile poll/Bureau itinérant,0,20,0,1,25,11,2,0,59,145
Hamilton Centre/Hamilton-Centre,505,Mobile poll/Bureau itinérant,5,36,3,3,18,5,2,10,82,242
Hamilton Centre/Hamilton-Centre,506,Mobile poll/Bureau itinérant,2,49,0,3,35,20,6,6,121,256
Hamilton Centre/Hamilton-Centre,507,Mobile poll/Bureau itinérant,1,12,0,0,30,6,1,0,50,126
Hamilton Centre/Hamilton-Centre,508,Mobile poll/Bureau itinérant,5,23,3,0,39,18,2,3,93,236
Hamilton Centre/Hamilton-Centre,509,Mobile poll/Bureau itinérant,0,5,0,1,5,2,2,0,15,51
Hamilton Centre/Hamilton-Centre,600,Hamilton (Lower City),0,104,0,0,39,15,3,2,163,
Hamilton Centre/Hamilton-Centre,601,Hamilton (Lower City),4,142,1,0,76,33,7,0,263,
Hamilton Centre/Hamilton-Centre,602,Hamilton (Lower City),3,167,2,0,93,74,12,4,355,
Hamilton Centre/Hamilton-Centre,603,Hamilton (Lower City),2,71,1,0,48,23,5,2,152,
Hamilton Centre/Hamilton-Centre,604,Hamilton (Lower City),1,149,1,0,88,45,13,0,297,
Hamilton Centre/Hamilton-Centre,605,Hamilton (Lower City),0,88,2,1,60,26,11,0,188,
Hamilton Centre/Hamilton-Centre,606,Hamilton (Lower City),0,106,4,0,115,63,4,0,292,
Hamilton Centre/Hamilton-Centre,607,Hamilton (Lower City),4,273,4,1,178,117,16,1,594,
Hamilton Centre/Hamilton-Centre,608,Hamilton (Upper City),0,173,4,1,231,143,9,2,563,
Hamilton Centre/Hamilton-Centre,609,Hamilton (Upper City),0,192,9,1,188,121,16,0,527,
Hamilton Centre/Hamilton-Centre,,Group 1/Groupe 1,1,36,3,0,68,32,7,4,151,282
Hamilton Centre/Hamilton-Centre,,Group 2/Groupe 2,6,279,5,0,149,85,18,18,560,
