District,Poll Number,Poll Name,Dody Crane,Baird Judson,Will McFadden,Shawn Murphy,Darren Peters,Rejected Ballots,Total Vote,Electors
Charlottetown/Charlottetown,23,Charlottetown,45,1,10,152,67,2,277,411
Charlottetown/Charlottetown,24,Charlottetown,37,1,8,140,62,1,249,362
Charlottetown/Charlottetown,25,Charlottetown,21,0,2,65,64,0,152,260
Charlottetown/Charlottetown,26,Charlottetown,52,4,14,123,97,3,293,429
Charlottetown/Charlottetown,27,Charlottetown,42,0,12,122,75,2,253,365
Charlottetown/Charlottetown,28,Charlottetown,47,1,13,96,64,2,223,419
Charlottetown/Charlottetown,29,Charlottetown,31,4,6,121,87,1,250,400
Charlottetown/Charlottetown,30,Charlottetown,58,1,9,109,70,1,248,469
Charlottetown/Charlottetown,31,Charlottetown,22,1,5,70,55,1,154,252
Charlottetown/Charlottetown,32,Charlottetown,47,1,5,127,68,3,251,456
Charlottetown/Charlottetown,33,Charlottetown,67,1,10,85,58,0,221,447
Charlottetown/Charlottetown,34,Charlottetown,42,1,7,99,57,0,206,353
Charlottetown/Charlottetown,35,Charlottetown,32,0,6,110,59,4,211,344
Charlottetown/Charlottetown,36,Charlottetown,51,1,8,123,60,5,248,451
Charlottetown/Charlottetown,37,Charlottetown,72,0,11,102,93,1,279,528
Charlottetown/Charlottetown,38,Charlottetown,46,0,7,102,60,1,216,385
Charlottetown/Charlottetown,39A,Charlottetown,28,1,5,73,58,1,166,285
Charlottetown/Charlottetown,39B,Charlottetown,38,4,4,87,49,0,182,300
Charlottetown/Charlottetown,40,Charlottetown,50,0,3,148,75,0,276,422
Charlottetown/Charlottetown,41,Charlottetown,34,1,8,118,56,1,218,330
Charlottetown/Charlottetown,42,Charlottetown,84,4,14,157,98,2,359,511
Charlottetown/Charlottetown,43,Charlottetown,19,1,6,78,55,2,161,256
Charlottetown/Charlottetown,44,Charlottetown,49,0,4,77,40,0,170,258
Charlottetown/Charlottetown,45,Charlottetown,23,3,4,75,52,0,157,276
Charlottetown/Charlottetown,46,Charlottetown,23,0,4,75,50,2,154,294
Charlottetown/Charlottetown,47,Charlottetown,63,4,10,144,77,1,299,512
Charlottetown/Charlottetown,48,Charlottetown,47,2,9,136,70,4,268,572
Charlottetown/Charlottetown,49,Charlottetown,25,1,7,87,49,0,169,310
Charlottetown/Charlottetown,50,Charlottetown,45,1,6,90,53,3,198,306
Charlottetown/Charlottetown,51,Charlottetown,40,3,9,90,65,2,209,357
Charlottetown/Charlottetown,52,Charlottetown,43,0,15,90,62,0,210,415
Charlottetown/Charlottetown,53,Charlottetown,37,3,15,92,42,2,191,395
Charlottetown/Charlottetown,54,Charlottetown,37,2,7,103,60,0,209,313
Charlottetown/Charlottetown,55,Charlottetown,57,1,14,90,35,2,199,414
Charlottetown/Charlottetown,56,Charlottetown,62,0,9,104,50,4,229,418
Charlottetown/Charlottetown,57,Charlottetown,45,1,8,74,55,2,185,433
Charlottetown/Charlottetown,58,Charlottetown,52,0,13,66,28,3,162,377
Charlottetown/Charlottetown,59,Charlottetown,38,1,11,59,18,0,127,275
Charlottetown/Charlottetown,60,Charlottetown,47,1,25,91,26,3,193,413
Charlottetown/Charlottetown,61,Charlottetown,42,1,13,66,26,0,148,292
Charlottetown/Charlottetown,62,Charlottetown,39,1,15,72,30,1,158,368
Charlottetown/Charlottetown,63,Charlottetown,43,1,5,74,34,5,162,300
Charlottetown/Charlottetown,64,Charlottetown,18,2,9,83,37,1,150,241
Charlottetown/Charlottetown,65,Charlottetown,34,1,17,75,32,1,160,324
Charlottetown/Charlottetown,66,Charlottetown,37,1,10,55,33,0,136,286
Charlottetown/Charlottetown,67,Charlottetown,40,0,9,74,26,0,149,306
Charlottetown/Charlottetown,68,Charlottetown,42,1,5,54,37,0,139,310
Charlottetown/Charlottetown,69,Charlottetown,32,1,4,85,56,3,181,263
Charlottetown/Charlottetown,70,Charlottetown,44,1,15,87,49,2,198,291
Charlottetown/Charlottetown,71,Charlottetown,67,0,17,123,56,2,265,458
Charlottetown/Charlottetown,72,Charlottetown,28,0,13,85,54,0,180,297
Charlottetown/Charlottetown,73,Charlottetown,40,1,6,137,61,0,245,387
Charlottetown/Charlottetown,74,Charlottetown,33,0,19,128,48,5,233,431
Charlottetown/Charlottetown,500,Mobile poll/Bureau itinérant,9,0,2,60,42,0,113,207
Charlottetown/Charlottetown,501,Mobile poll/Bureau itinérant,12,1,3,32,37,0,85,148
Charlottetown/Charlottetown,502,Mobile poll/Bureau itinérant,8,0,2,58,22,3,93,125
Charlottetown/Charlottetown,600,Charlottetown,69,2,13,372,293,4,753,
Charlottetown/Charlottetown,601,Charlottetown,90,6,15,344,262,4,721,
Charlottetown/Charlottetown,602,Charlottetown,81,2,27,312,165,3,590,
Charlottetown/Charlottetown,,Group 1/Groupe 1,9,0,6,33,46,3,97,220
Charlottetown/Charlottetown,,Group 2/Groupe 2,67,2,19,234,107,2,431,
