District,Poll Number,Poll Name,Carole-Marie Allard,Robert Carrier,Yves Desbois,Benjamin Le Bel,Régent Millette,Rosane Raymond,Louis-Philippe Verenka,Rejected Ballots,Total Vote,Electors
Alfred-Pellan/Alfred-Pellan,52,Laval,74,137,1,12,2,10,10,13,259,439
Alfred-Pellan/Alfred-Pellan,53,Laval,58,152,0,5,0,6,2,3,226,382
Alfred-Pellan/Alfred-Pellan,54,Laval,65,161,1,11,1,10,6,2,257,428
Alfred-Pellan/Alfred-Pellan,55,Laval,60,108,2,9,0,8,10,11,208,363
Alfred-Pellan/Alfred-Pellan,56,Laval,64,134,1,8,0,10,3,4,224,328
Alfred-Pellan/Alfred-Pellan,57,Laval,94,176,1,5,0,12,1,4,293,434
Alfred-Pellan/Alfred-Pellan,58,Laval,101,144,1,12,2,15,4,5,284,406
Alfred-Pellan/Alfred-Pellan,59,Laval,225,151,2,19,0,25,4,9,435,635
Alfred-Pellan/Alfred-Pellan,60,Laval,297,105,0,9,0,25,2,6,444,698
Alfred-Pellan/Alfred-Pellan,61,Laval,161,50,0,5,1,13,5,4,239,353
Alfred-Pellan/Alfred-Pellan,62,Laval,173,80,2,8,0,19,3,5,290,475
Alfred-Pellan/Alfred-Pellan,63,Laval,149,85,0,7,0,17,5,4,267,416
Alfred-Pellan/Alfred-Pellan,64A,Laval,71,128,1,8,0,22,5,9,244,396
Alfred-Pellan/Alfred-Pellan,64B,Laval,65,118,0,4,0,10,5,8,210,380
Alfred-Pellan/Alfred-Pellan,65,Laval,103,180,1,7,0,12,11,3,317,447
Alfred-Pellan/Alfred-Pellan,66,Laval,78,126,3,14,0,19,6,1,247,406
Alfred-Pellan/Alfred-Pellan,67,Laval,103,175,2,12,0,22,7,8,329,464
Alfred-Pellan/Alfred-Pellan,68,Laval,92,65,1,6,0,13,3,10,190,350
Alfred-Pellan/Alfred-Pellan,69,Laval,67,157,1,13,1,13,4,10,266,461
Alfred-Pellan/Alfred-Pellan,70,Laval,90,156,1,13,0,20,6,7,293,416
Alfred-Pellan/Alfred-Pellan,71,Laval,98,148,1,13,1,7,1,10,279,446
Alfred-Pellan/Alfred-Pellan,72,Laval,95,129,3,14,1,13,7,3,265,480
Alfred-Pellan/Alfred-Pellan,73,Laval,113,104,1,10,0,12,5,2,247,384
Alfred-Pellan/Alfred-Pellan,74,Laval,97,87,1,11,0,12,5,3,216,365
Alfred-Pellan/Alfred-Pellan,75,Laval,104,128,1,7,0,13,6,7,266,376
Alfred-Pellan/Alfred-Pellan,76,Laval,61,109,1,4,0,9,3,7,194,313
Alfred-Pellan/Alfred-Pellan,77,Laval,94,98,1,17,0,12,3,1,226,421
Alfred-Pellan/Alfred-Pellan,78,Laval,150,191,1,16,0,10,8,8,384,621
Alfred-Pellan/Alfred-Pellan,79,Laval,110,163,0,7,1,22,7,9,319,568
Alfred-Pellan/Alfred-Pellan,80,Laval,85,118,0,8,0,7,3,3,224,445
Alfred-Pellan/Alfred-Pellan,81,Laval,54,113,0,6,0,10,2,3,188,280
Alfred-Pellan/Alfred-Pellan,82A,Laval,79,64,3,5,0,13,2,8,174,284
Alfred-Pellan/Alfred-Pellan,82B,Laval,74,54,0,4,0,8,1,2,143,230
Alfred-Pellan/Alfred-Pellan,83A,Laval,217,45,0,4,1,18,9,3,297,498
Alfred-Pellan/Alfred-Pellan,83B,Laval,219,41,0,10,0,22,8,1,301,522
Alfred-Pellan/Alfred-Pellan,84,Laval,190,36,0,1,0,8,2,1,238,380
Alfred-Pellan/Alfred-Pellan,85,Laval,212,31,0,4,2,8,2,0,259,469
Alfred-Pellan/Alfred-Pellan,86,Laval,57,102,4,6,0,7,4,5,185,501
Alfred-Pellan/Alfred-Pellan,87,Laval,72,115,1,8,0,15,6,7,224,431
Alfred-Pellan/Alfred-Pellan,88,Laval,82,178,1,6,0,8,7,0,282,435
Alfred-Pellan/Alfred-Pellan,89,Laval,84,157,0,13,1,6,12,7,280,407
Alfred-Pellan/Alfred-Pellan,90,Laval,57,121,1,8,0,13,5,2,207,371
Alfred-Pellan/Alfred-Pellan,91,Laval,123,147,0,21,0,12,9,11,323,509
Alfred-Pellan/Alfred-Pellan,92,Laval,38,139,2,7,0,10,3,7,206,410
Alfred-Pellan/Alfred-Pellan,93,Laval,66,139,2,7,0,7,3,2,226,365
Alfred-Pellan/Alfred-Pellan,94,Laval,114,151,2,12,0,15,5,2,301,426
Alfred-Pellan/Alfred-Pellan,95,Laval,79,119,2,13,1,7,6,5,232,327
Alfred-Pellan/Alfred-Pellan,96,Laval,131,131,0,20,0,18,8,6,314,478
Alfred-Pellan/Alfred-Pellan,97,Laval,68,101,0,9,0,9,6,5,198,347
Alfred-Pellan/Alfred-Pellan,98,Laval,119,59,0,1,0,13,5,0,197,259
Alfred-Pellan/Alfred-Pellan,99,Laval,188,81,0,8,0,10,2,4,293,412
Alfred-Pellan/Alfred-Pellan,100,Laval,153,72,0,5,1,12,6,2,251,358
Alfred-Pellan/Alfred-Pellan,101,Laval,146,124,0,8,1,15,6,1,301,424
Alfred-Pellan/Alfred-Pellan,102,Laval,164,76,2,9,0,13,6,1,271,357
Alfred-Pellan/Alfred-Pellan,103,Laval,73,81,0,5,1,9,3,6,178,283
Alfred-Pellan/Alfred-Pellan,104,Laval,134,103,0,10,1,5,3,1,257,374
Alfred-Pellan/Alfred-Pellan,105,Laval,118,102,0,13,0,14,7,4,258,359
Alfred-Pellan/Alfred-Pellan,106,Laval,150,113,1,6,0,15,6,7,298,440
Alfred-Pellan/Alfred-Pellan,107,Laval,121,89,0,9,1,9,2,6,237,359
Alfred-Pellan/Alfred-Pellan,108,Laval,120,97,2,18,0,12,8,4,261,384
Alfred-Pellan/Alfred-Pellan,109,Laval,62,112,0,6,0,10,2,0,192,399
Alfred-Pellan/Alfred-Pellan,110,Laval,167,113,0,15,1,17,5,5,323,478
Alfred-Pellan/Alfred-Pellan,111,Laval,121,92,2,3,0,8,1,2,229,386
Alfred-Pellan/Alfred-Pellan,112,Laval,65,167,0,5,2,13,8,7,267,506
Alfred-Pellan/Alfred-Pellan,113,Laval,74,138,0,6,0,7,5,9,239,410
Alfred-Pellan/Alfred-Pellan,114,Laval,161,96,1,5,1,20,4,5,293,489
Alfred-Pellan/Alfred-Pellan,115,Laval,112,157,0,12,0,13,6,3,303,482
Alfred-Pellan/Alfred-Pellan,116,Laval,69,123,1,3,0,6,5,6,213,415
Alfred-Pellan/Alfred-Pellan,117,Laval,120,86,0,8,0,8,5,4,231,357
Alfred-Pellan/Alfred-Pellan,118,Laval,115,105,2,14,1,15,5,3,260,407
Alfred-Pellan/Alfred-Pellan,119,Laval,119,96,2,11,1,20,5,5,259,385
Alfred-Pellan/Alfred-Pellan,120,Laval,263,42,0,11,0,23,7,3,349,511
Alfred-Pellan/Alfred-Pellan,121,Laval,95,63,1,10,1,12,1,0,183,313
Alfred-Pellan/Alfred-Pellan,122,Laval,121,70,1,5,0,13,3,1,214,356
Alfred-Pellan/Alfred-Pellan,123,Laval,201,73,0,10,1,20,7,7,319,471
Alfred-Pellan/Alfred-Pellan,124,Laval,67,95,0,7,0,16,0,3,188,302
Alfred-Pellan/Alfred-Pellan,125,Laval,43,71,0,4,0,7,3,1,129,247
Alfred-Pellan/Alfred-Pellan,126,Laval,106,139,1,10,1,14,6,17,294,530
Alfred-Pellan/Alfred-Pellan,127,Laval,69,127,0,7,1,13,9,6,232,384
Alfred-Pellan/Alfred-Pellan,128,Laval,74,110,2,4,0,6,2,6,204,311
Alfred-Pellan/Alfred-Pellan,129,Laval,61,120,0,12,1,10,6,6,216,322
Alfred-Pellan/Alfred-Pellan,130,Laval,88,138,1,15,3,11,8,5,269,355
Alfred-Pellan/Alfred-Pellan,131,Laval,158,127,0,5,0,21,1,6,318,532
Alfred-Pellan/Alfred-Pellan,132,Laval,112,130,2,13,1,8,4,6,276,390
Alfred-Pellan/Alfred-Pellan,133,Laval,51,120,0,13,0,2,6,7,199,370
Alfred-Pellan/Alfred-Pellan,134,Laval,68,105,0,3,0,8,4,3,191,318
Alfred-Pellan/Alfred-Pellan,135A,Laval,32,98,0,3,0,6,2,3,144,353
Alfred-Pellan/Alfred-Pellan,135B,Laval,53,86,0,12,0,6,7,4,168,379
Alfred-Pellan/Alfred-Pellan,136,Laval,134,112,0,18,1,22,7,9,303,474
Alfred-Pellan/Alfred-Pellan,137,Laval,111,116,1,9,0,12,8,4,261,386
Alfred-Pellan/Alfred-Pellan,138,Laval,103,112,2,11,0,16,7,4,255,391
Alfred-Pellan/Alfred-Pellan,139,Laval,128,131,0,10,0,5,10,3,287,461
Alfred-Pellan/Alfred-Pellan,140,Laval,101,118,1,16,3,8,6,5,258,435
Alfred-Pellan/Alfred-Pellan,141,Laval,113,147,2,19,0,16,6,4,307,468
Alfred-Pellan/Alfred-Pellan,142,Laval,31,154,0,12,0,8,4,2,211,388
Alfred-Pellan/Alfred-Pellan,143,Laval,37,112,0,4,1,12,3,4,173,383
Alfred-Pellan/Alfred-Pellan,144,Laval,38,120,3,5,0,9,4,9,188,452
Alfred-Pellan/Alfred-Pellan,145,Laval,73,119,1,6,0,19,6,13,237,393
Alfred-Pellan/Alfred-Pellan,146,Laval,74,112,1,8,1,10,8,9,223,407
Alfred-Pellan/Alfred-Pellan,147,Laval,97,136,1,8,1,18,2,4,267,432
Alfred-Pellan/Alfred-Pellan,148,Laval,78,142,0,6,0,12,6,4,248,376
Alfred-Pellan/Alfred-Pellan,149,Laval,58,95,2,8,1,4,4,4,176,358
Alfred-Pellan/Alfred-Pellan,150,Laval,44,101,0,6,0,11,5,7,174,383
Alfred-Pellan/Alfred-Pellan,151,Laval,36,125,0,9,0,4,10,4,188,382
Alfred-Pellan/Alfred-Pellan,152,Laval,78,106,1,9,0,12,9,7,222,336
Alfred-Pellan/Alfred-Pellan,153,Laval,69,124,1,15,0,9,9,6,233,360
Alfred-Pellan/Alfred-Pellan,154,Laval,101,133,2,7,0,6,8,6,263,424
Alfred-Pellan/Alfred-Pellan,155,Laval,112,121,1,11,0,16,10,2,273,438
Alfred-Pellan/Alfred-Pellan,156,Laval,119,109,2,10,0,19,5,1,265,399
Alfred-Pellan/Alfred-Pellan,157,Laval,184,55,0,8,0,14,8,0,269,409
Alfred-Pellan/Alfred-Pellan,158,Laval,84,95,0,8,0,5,1,3,196,295
Alfred-Pellan/Alfred-Pellan,159,Laval,105,86,0,3,1,6,3,2,206,325
Alfred-Pellan/Alfred-Pellan,160,Laval,93,89,0,14,1,6,9,4,216,341
Alfred-Pellan/Alfred-Pellan,161,Laval,94,100,1,10,0,15,1,3,224,342
Alfred-Pellan/Alfred-Pellan,162,Laval,118,80,1,13,0,7,4,2,225,351
Alfred-Pellan/Alfred-Pellan,163,Laval,124,120,1,10,0,14,7,6,282,406
Alfred-Pellan/Alfred-Pellan,164,Laval,135,98,0,7,0,14,4,5,263,385
Alfred-Pellan/Alfred-Pellan,165,Laval,128,103,1,9,0,15,6,9,271,388
Alfred-Pellan/Alfred-Pellan,166,Laval,114,79,0,5,0,7,8,2,215,337
Alfred-Pellan/Alfred-Pellan,167,Laval,87,113,0,9,0,10,5,2,226,325
Alfred-Pellan/Alfred-Pellan,168,Laval,82,107,2,5,0,15,5,4,220,327
Alfred-Pellan/Alfred-Pellan,169,Laval,101,88,1,2,1,14,4,2,213,321
Alfred-Pellan/Alfred-Pellan,170,Laval,119,99,1,14,0,21,4,3,261,449
Alfred-Pellan/Alfred-Pellan,171,Laval,149,90,2,3,1,21,3,11,280,435
Alfred-Pellan/Alfred-Pellan,172,Laval,83,112,0,7,0,11,6,0,219,309
Alfred-Pellan/Alfred-Pellan,173,Laval,80,47,1,4,0,5,2,1,140,242
Alfred-Pellan/Alfred-Pellan,174,Laval,76,99,0,7,0,6,5,2,195,278
Alfred-Pellan/Alfred-Pellan,175,Laval,102,126,1,5,0,14,3,2,253,404
Alfred-Pellan/Alfred-Pellan,176,Laval,101,95,2,9,1,10,8,6,232,343
Alfred-Pellan/Alfred-Pellan,177,Laval,115,102,1,7,1,7,5,3,241,375
Alfred-Pellan/Alfred-Pellan,178,Laval,105,107,1,11,1,7,9,2,243,391
Alfred-Pellan/Alfred-Pellan,179,Laval,76,128,0,10,0,8,9,1,232,331
Alfred-Pellan/Alfred-Pellan,180,Laval,67,115,2,11,0,11,6,3,215,318
Alfred-Pellan/Alfred-Pellan,181,Laval,60,104,1,6,0,4,3,3,181,400
Alfred-Pellan/Alfred-Pellan,182,Laval,41,91,0,14,0,4,5,3,158,257
Alfred-Pellan/Alfred-Pellan,183,Laval,113,66,1,2,1,15,1,1,200,298
Alfred-Pellan/Alfred-Pellan,184,Laval,69,111,1,10,0,15,6,3,215,438
Alfred-Pellan/Alfred-Pellan,185,Laval,81,119,0,5,0,11,8,5,229,437
Alfred-Pellan/Alfred-Pellan,186,Laval,64,93,1,5,0,13,5,5,186,325
Alfred-Pellan/Alfred-Pellan,187,Laval,43,79,0,5,0,11,4,4,146,287
Alfred-Pellan/Alfred-Pellan,188,Laval,36,105,0,3,1,5,4,2,156,323
Alfred-Pellan/Alfred-Pellan,189,Laval,36,110,0,7,1,6,10,4,174,328
Alfred-Pellan/Alfred-Pellan,190,Laval,30,93,0,9,1,6,3,9,151,286
Alfred-Pellan/Alfred-Pellan,191,Laval,54,112,3,6,0,11,4,8,198,395
Alfred-Pellan/Alfred-Pellan,192,Laval,33,87,1,5,0,13,6,2,147,343
Alfred-Pellan/Alfred-Pellan,193,Laval,52,140,1,8,0,6,8,2,217,412
Alfred-Pellan/Alfred-Pellan,194,Laval,153,41,0,10,1,11,5,4,225,419
Alfred-Pellan/Alfred-Pellan,400,Laval,205,69,4,4,2,13,3,8,308,371
Alfred-Pellan/Alfred-Pellan,401,Laval,88,53,2,0,2,8,0,13,166,194
Alfred-Pellan/Alfred-Pellan,402,Laval,126,64,7,6,2,9,2,9,225,274
Alfred-Pellan/Alfred-Pellan,403,Laval,88,39,1,2,0,7,0,4,141,177
Alfred-Pellan/Alfred-Pellan,404,Laval,79,36,2,5,2,11,1,5,141,185
Alfred-Pellan/Alfred-Pellan,500,Mobile poll/Bureau itinérant,30,14,0,1,0,6,0,1,52,112
Alfred-Pellan/Alfred-Pellan,501,Mobile poll/Bureau itinérant,30,26,3,7,1,5,2,6,80,104
Alfred-Pellan/Alfred-Pellan,502,Mobile poll/Bureau itinérant,17,16,2,3,2,3,0,6,49,87
Alfred-Pellan/Alfred-Pellan,503,Mobile poll/Bureau itinérant,35,14,3,1,0,3,0,2,58,102
Alfred-Pellan/Alfred-Pellan,600,Laval,54,138,0,9,0,22,2,2,227,
Alfred-Pellan/Alfred-Pellan,601,Laval,160,367,1,3,0,23,7,9,570,
Alfred-Pellan/Alfred-Pellan,602,Laval,220,347,2,17,0,41,13,6,646,
Alfred-Pellan/Alfred-Pellan,603,Laval,232,319,2,18,1,31,11,10,624,
Alfred-Pellan/Alfred-Pellan,604,Laval,134,197,3,8,0,12,4,6,364,
Alfred-Pellan/Alfred-Pellan,605,Laval,228,263,1,12,0,31,11,7,553,
Alfred-Pellan/Alfred-Pellan,606,Laval,128,217,0,20,0,18,4,10,397,
Alfred-Pellan/Alfred-Pellan,607,Laval,219,195,0,10,0,32,8,7,471,
Alfred-Pellan/Alfred-Pellan,608,Laval,180,227,2,17,0,33,5,5,469,
Alfred-Pellan/Alfred-Pellan,,Group 1/Groupe 1,24,30,0,1,0,11,0,2,68,122
Alfred-Pellan/Alfred-Pellan,,Group 2/Groupe 2,927,587,3,40,0,80,11,35,1683,
