District,Poll Number,Poll Name,James Allum,Andy Caisse,Andrew Dalgliesh,Raj Joshi,Anita Neville,Ian Scott,Magnus Thompson,Rejected Ballots,Total Vote,Electors
Winnipeg South Centre/Winnipeg-Centre-Sud,21,Winnipeg,42,3,0,85,108,14,0,5,257,363
Winnipeg South Centre/Winnipeg-Centre-Sud,22,Winnipeg,57,7,1,44,109,6,2,0,226,450
Winnipeg South Centre/Winnipeg-Centre-Sud,23,Winnipeg,42,1,2,45,130,6,1,0,227,409
Winnipeg South Centre/Winnipeg-Centre-Sud,24,Winnipeg,13,3,0,53,95,3,0,0,167,274
Winnipeg South Centre/Winnipeg-Centre-Sud,25,Winnipeg,27,1,0,52,108,5,0,0,193,328
Winnipeg South Centre/Winnipeg-Centre-Sud,26,Winnipeg,35,2,0,63,134,8,0,2,244,416
Winnipeg South Centre/Winnipeg-Centre-Sud,27,Winnipeg,30,0,1,66,168,10,0,0,275,406
Winnipeg South Centre/Winnipeg-Centre-Sud,28,Winnipeg,40,3,1,82,187,6,2,0,321,454
Winnipeg South Centre/Winnipeg-Centre-Sud,29,Winnipeg,30,0,0,54,86,4,0,0,174,315
Winnipeg South Centre/Winnipeg-Centre-Sud,30,Winnipeg,28,1,1,66,155,5,0,0,256,419
Winnipeg South Centre/Winnipeg-Centre-Sud,31,Winnipeg,24,1,0,69,143,3,0,0,240,335
Winnipeg South Centre/Winnipeg-Centre-Sud,32,Winnipeg,37,0,2,71,110,5,1,0,226,412
Winnipeg South Centre/Winnipeg-Centre-Sud,33,Winnipeg,33,2,0,40,84,6,0,0,165,391
Winnipeg South Centre/Winnipeg-Centre-Sud,34,Winnipeg,22,3,0,61,116,3,0,0,205,326
Winnipeg South Centre/Winnipeg-Centre-Sud,35,Winnipeg,15,3,0,58,97,9,1,0,183,356
Winnipeg South Centre/Winnipeg-Centre-Sud,36A,Winnipeg,26,1,0,90,181,5,0,0,303,463
Winnipeg South Centre/Winnipeg-Centre-Sud,36B,Winnipeg,Merged with No. 37B,,,,,,,,,42
Winnipeg South Centre/Winnipeg-Centre-Sud,37A,Winnipeg,9,0,0,16,63,7,0,1,96,159
Winnipeg South Centre/Winnipeg-Centre-Sud,37B,Winnipeg,6,0,0,105,67,3,0,1,182,157
Winnipeg South Centre/Winnipeg-Centre-Sud,38,Winnipeg,14,3,0,56,87,4,0,0,164,276
Winnipeg South Centre/Winnipeg-Centre-Sud,39,Winnipeg,32,1,1,64,117,12,0,1,228,327
Winnipeg South Centre/Winnipeg-Centre-Sud,40,Winnipeg,27,2,0,65,130,15,0,1,240,342
Winnipeg South Centre/Winnipeg-Centre-Sud,41,Winnipeg,16,0,0,77,112,4,0,0,209,335
Winnipeg South Centre/Winnipeg-Centre-Sud,42,Winnipeg,37,1,0,92,96,10,1,2,239,397
Winnipeg South Centre/Winnipeg-Centre-Sud,43,Winnipeg,35,1,0,70,125,15,0,1,247,408
Winnipeg South Centre/Winnipeg-Centre-Sud,44,Winnipeg,49,1,0,91,179,10,0,1,331,465
Winnipeg South Centre/Winnipeg-Centre-Sud,45,Winnipeg,45,0,0,62,165,27,1,0,300,419
Winnipeg South Centre/Winnipeg-Centre-Sud,46,Winnipeg,43,1,0,68,161,14,0,0,287,411
Winnipeg South Centre/Winnipeg-Centre-Sud,47,Winnipeg,35,1,0,77,141,8,0,0,262,405
Winnipeg South Centre/Winnipeg-Centre-Sud,48,Winnipeg,22,2,0,58,121,11,1,0,215,374
Winnipeg South Centre/Winnipeg-Centre-Sud,49,Winnipeg,67,2,0,31,116,10,0,0,226,416
Winnipeg South Centre/Winnipeg-Centre-Sud,50,Winnipeg,16,1,0,39,99,5,0,2,162,267
Winnipeg South Centre/Winnipeg-Centre-Sud,51,Winnipeg,41,2,0,88,118,11,0,0,260,421
Winnipeg South Centre/Winnipeg-Centre-Sud,52,Winnipeg,51,5,0,103,152,7,0,0,318,453
Winnipeg South Centre/Winnipeg-Centre-Sud,53,Winnipeg,28,0,0,54,167,6,1,0,256,382
Winnipeg South Centre/Winnipeg-Centre-Sud,54,Winnipeg,47,2,2,77,177,26,0,0,331,463
Winnipeg South Centre/Winnipeg-Centre-Sud,55,Winnipeg,36,1,1,85,157,12,0,0,292,448
Winnipeg South Centre/Winnipeg-Centre-Sud,56,Winnipeg,46,3,0,66,164,10,0,0,289,433
Winnipeg South Centre/Winnipeg-Centre-Sud,57,Winnipeg,50,3,0,56,158,11,1,0,279,409
Winnipeg South Centre/Winnipeg-Centre-Sud,58,Winnipeg,66,3,3,56,110,15,0,0,253,388
Winnipeg South Centre/Winnipeg-Centre-Sud,59,Winnipeg,69,0,0,39,112,10,1,0,231,403
Winnipeg South Centre/Winnipeg-Centre-Sud,60,Winnipeg,39,0,1,70,110,3,1,2,226,353
Winnipeg South Centre/Winnipeg-Centre-Sud,61,Winnipeg,31,0,1,66,162,9,1,0,270,407
Winnipeg South Centre/Winnipeg-Centre-Sud,62,Winnipeg,33,0,0,81,153,7,0,1,275,375
Winnipeg South Centre/Winnipeg-Centre-Sud,63,Winnipeg,24,2,0,64,136,4,0,1,231,371
Winnipeg South Centre/Winnipeg-Centre-Sud,64,Winnipeg,55,1,0,58,100,12,0,0,226,327
Winnipeg South Centre/Winnipeg-Centre-Sud,65,Winnipeg,59,4,0,79,107,16,1,1,267,443
Winnipeg South Centre/Winnipeg-Centre-Sud,66,Winnipeg,38,0,0,32,110,3,2,0,185,284
Winnipeg South Centre/Winnipeg-Centre-Sud,67,Winnipeg,40,1,0,39,147,0,0,0,227,304
Winnipeg South Centre/Winnipeg-Centre-Sud,68,Winnipeg,31,0,0,53,98,1,0,0,183,338
Winnipeg South Centre/Winnipeg-Centre-Sud,69,Winnipeg,63,4,0,31,82,17,1,1,199,451
Winnipeg South Centre/Winnipeg-Centre-Sud,70,Winnipeg,7,0,0,13,51,1,0,0,72,122
Winnipeg South Centre/Winnipeg-Centre-Sud,71,Winnipeg,62,1,0,58,141,7,1,0,270,432
Winnipeg South Centre/Winnipeg-Centre-Sud,72,Winnipeg,42,1,0,39,99,7,0,2,190,351
Winnipeg South Centre/Winnipeg-Centre-Sud,73,Winnipeg,44,0,0,70,127,9,0,1,251,388
Winnipeg South Centre/Winnipeg-Centre-Sud,74,Winnipeg,61,2,1,47,143,16,0,4,274,465
Winnipeg South Centre/Winnipeg-Centre-Sud,75,Winnipeg,49,2,2,27,78,9,1,1,169,314
Winnipeg South Centre/Winnipeg-Centre-Sud,76,Winnipeg,37,2,0,19,39,9,0,2,108,231
Winnipeg South Centre/Winnipeg-Centre-Sud,77,Winnipeg,99,2,1,50,102,18,4,0,276,534
Winnipeg South Centre/Winnipeg-Centre-Sud,78,Winnipeg,68,1,1,18,48,10,0,1,147,361
Winnipeg South Centre/Winnipeg-Centre-Sud,79,Winnipeg,49,1,0,10,40,14,0,0,114,235
Winnipeg South Centre/Winnipeg-Centre-Sud,80,Winnipeg,59,1,0,11,28,11,1,0,111,430
Winnipeg South Centre/Winnipeg-Centre-Sud,81,Winnipeg,11,0,0,50,173,3,0,0,237,340
Winnipeg South Centre/Winnipeg-Centre-Sud,82,Winnipeg,55,0,0,47,112,11,0,3,228,387
Winnipeg South Centre/Winnipeg-Centre-Sud,83,Winnipeg,16,0,0,51,94,2,0,0,163,273
Winnipeg South Centre/Winnipeg-Centre-Sud,84,Winnipeg,92,1,0,64,167,15,1,2,342,622
Winnipeg South Centre/Winnipeg-Centre-Sud,85,Winnipeg,86,2,0,32,77,13,0,1,211,411
Winnipeg South Centre/Winnipeg-Centre-Sud,86,Winnipeg,61,0,1,21,53,7,0,0,143,321
Winnipeg South Centre/Winnipeg-Centre-Sud,87,Winnipeg,105,2,1,37,101,14,0,1,261,542
Winnipeg South Centre/Winnipeg-Centre-Sud,88,Winnipeg,52,1,1,23,44,12,0,1,134,350
Winnipeg South Centre/Winnipeg-Centre-Sud,89,Winnipeg,45,3,1,31,56,13,0,0,149,406
Winnipeg South Centre/Winnipeg-Centre-Sud,90,Winnipeg,75,2,0,28,109,18,0,1,233,425
Winnipeg South Centre/Winnipeg-Centre-Sud,91,Winnipeg,66,3,0,33,77,9,0,0,188,378
Winnipeg South Centre/Winnipeg-Centre-Sud,92,Winnipeg,72,2,1,41,99,9,0,2,226,410
Winnipeg South Centre/Winnipeg-Centre-Sud,93,Winnipeg,72,3,2,35,103,15,3,0,233,413
Winnipeg South Centre/Winnipeg-Centre-Sud,94,Winnipeg,79,2,0,26,70,22,0,0,199,386
Winnipeg South Centre/Winnipeg-Centre-Sud,95,Winnipeg,82,4,1,29,75,13,1,0,205,415
Winnipeg South Centre/Winnipeg-Centre-Sud,96,Winnipeg,76,2,2,39,65,14,1,0,199,408
Winnipeg South Centre/Winnipeg-Centre-Sud,97,Winnipeg,86,0,0,21,71,11,0,1,190,373
Winnipeg South Centre/Winnipeg-Centre-Sud,98,Winnipeg,66,6,0,37,55,12,2,1,179,392
Winnipeg South Centre/Winnipeg-Centre-Sud,99,Winnipeg,76,1,1,46,87,13,1,1,226,412
Winnipeg South Centre/Winnipeg-Centre-Sud,100,Winnipeg,89,2,1,34,78,20,1,0,225,403
Winnipeg South Centre/Winnipeg-Centre-Sud,101,Winnipeg,48,0,0,27,56,6,0,0,137,314
Winnipeg South Centre/Winnipeg-Centre-Sud,102,Winnipeg,57,4,1,36,60,10,0,0,168,313
Winnipeg South Centre/Winnipeg-Centre-Sud,103,Winnipeg,55,2,1,52,104,10,1,1,226,398
Winnipeg South Centre/Winnipeg-Centre-Sud,104,Winnipeg,47,2,0,51,85,4,0,0,189,449
Winnipeg South Centre/Winnipeg-Centre-Sud,105,Winnipeg,45,1,0,43,65,5,2,1,162,346
Winnipeg South Centre/Winnipeg-Centre-Sud,106,Winnipeg,31,1,1,49,108,3,1,1,195,386
Winnipeg South Centre/Winnipeg-Centre-Sud,107,Winnipeg,40,0,1,46,86,3,0,0,176,330
Winnipeg South Centre/Winnipeg-Centre-Sud,108,Winnipeg,36,2,2,52,70,0,2,3,167,475
Winnipeg South Centre/Winnipeg-Centre-Sud,109,Winnipeg,44,4,0,56,70,2,0,0,176,435
Winnipeg South Centre/Winnipeg-Centre-Sud,110,Winnipeg,59,0,0,68,99,9,2,0,237,443
Winnipeg South Centre/Winnipeg-Centre-Sud,111,Winnipeg,62,2,3,53,76,6,5,1,208,424
Winnipeg South Centre/Winnipeg-Centre-Sud,112,Winnipeg,Merged with No. 114,,,,,,,,,128
Winnipeg South Centre/Winnipeg-Centre-Sud,113,Winnipeg,69,4,0,53,75,5,1,1,208,440
Winnipeg South Centre/Winnipeg-Centre-Sud,114,Winnipeg,89,3,1,55,89,9,2,0,248,378
Winnipeg South Centre/Winnipeg-Centre-Sud,115,Winnipeg,62,6,0,67,84,11,1,0,231,492
Winnipeg South Centre/Winnipeg-Centre-Sud,116,Winnipeg,28,0,0,34,55,1,0,0,118,221
Winnipeg South Centre/Winnipeg-Centre-Sud,117,Winnipeg,44,0,0,25,48,7,1,0,125,247
Winnipeg South Centre/Winnipeg-Centre-Sud,118A,Winnipeg,65,0,0,42,52,12,0,0,171,316
Winnipeg South Centre/Winnipeg-Centre-Sud,118B,Winnipeg,25,1,1,12,40,1,2,0,82,367
Winnipeg South Centre/Winnipeg-Centre-Sud,119,Winnipeg,79,2,1,38,64,16,0,0,200,399
Winnipeg South Centre/Winnipeg-Centre-Sud,120,Winnipeg,101,3,1,46,66,13,0,2,232,410
Winnipeg South Centre/Winnipeg-Centre-Sud,121,Winnipeg,138,4,0,64,68,11,1,2,288,623
Winnipeg South Centre/Winnipeg-Centre-Sud,122,Winnipeg,95,2,0,23,49,8,0,1,178,376
Winnipeg South Centre/Winnipeg-Centre-Sud,123,Winnipeg,106,1,0,52,114,21,0,1,295,467
Winnipeg South Centre/Winnipeg-Centre-Sud,124,Winnipeg,93,2,0,68,106,17,1,1,288,383
Winnipeg South Centre/Winnipeg-Centre-Sud,125,Winnipeg,61,5,0,49,61,10,0,0,186,381
Winnipeg South Centre/Winnipeg-Centre-Sud,126,Winnipeg,147,6,2,78,110,10,0,0,353,657
Winnipeg South Centre/Winnipeg-Centre-Sud,127,Winnipeg,86,1,0,41,59,14,2,0,203,395
Winnipeg South Centre/Winnipeg-Centre-Sud,128,Winnipeg,56,2,2,55,64,19,0,1,199,363
Winnipeg South Centre/Winnipeg-Centre-Sud,129,Winnipeg,91,2,0,58,100,12,0,1,264,427
Winnipeg South Centre/Winnipeg-Centre-Sud,130,Winnipeg,74,1,0,85,102,10,0,0,272,377
Winnipeg South Centre/Winnipeg-Centre-Sud,131,Winnipeg,67,2,0,43,79,6,1,0,198,342
Winnipeg South Centre/Winnipeg-Centre-Sud,132,Winnipeg,71,1,1,52,127,6,1,0,259,382
Winnipeg South Centre/Winnipeg-Centre-Sud,133,Winnipeg,45,4,0,105,119,12,2,2,289,413
Winnipeg South Centre/Winnipeg-Centre-Sud,134,Winnipeg,Void,,,,,,,,,
Winnipeg South Centre/Winnipeg-Centre-Sud,135,Winnipeg,50,2,2,61,94,6,0,1,216,336
Winnipeg South Centre/Winnipeg-Centre-Sud,136,Winnipeg,37,2,0,59,54,9,0,1,162,290
Winnipeg South Centre/Winnipeg-Centre-Sud,137,Winnipeg,49,2,0,75,81,10,2,1,220,328
Winnipeg South Centre/Winnipeg-Centre-Sud,138,Winnipeg,67,5,1,72,84,6,0,0,235,425
Winnipeg South Centre/Winnipeg-Centre-Sud,139,Winnipeg,55,2,3,84,70,9,1,0,224,362
Winnipeg South Centre/Winnipeg-Centre-Sud,140,Winnipeg,53,3,1,75,86,7,1,1,227,353
Winnipeg South Centre/Winnipeg-Centre-Sud,141,Winnipeg,47,1,0,55,67,9,0,0,179,382
Winnipeg South Centre/Winnipeg-Centre-Sud,142,Winnipeg,27,2,1,55,67,6,0,1,159,379
Winnipeg South Centre/Winnipeg-Centre-Sud,143,Winnipeg,59,3,1,86,77,5,2,1,234,394
Winnipeg South Centre/Winnipeg-Centre-Sud,144,Winnipeg,61,2,0,64,56,6,2,0,191,574
Winnipeg South Centre/Winnipeg-Centre-Sud,145,Winnipeg,Void,,,,,,,,,
Winnipeg South Centre/Winnipeg-Centre-Sud,146,Winnipeg,46,4,0,62,94,5,1,0,212,364
Winnipeg South Centre/Winnipeg-Centre-Sud,147,Winnipeg,58,1,0,61,102,7,3,0,232,358
Winnipeg South Centre/Winnipeg-Centre-Sud,148,Winnipeg,72,0,0,72,85,8,1,0,238,391
Winnipeg South Centre/Winnipeg-Centre-Sud,149,Winnipeg,52,2,0,78,108,13,0,0,253,390
Winnipeg South Centre/Winnipeg-Centre-Sud,150,Winnipeg,71,1,0,63,127,18,0,3,283,415
Winnipeg South Centre/Winnipeg-Centre-Sud,151,Winnipeg,38,0,0,75,75,7,0,1,196,305
Winnipeg South Centre/Winnipeg-Centre-Sud,152,Winnipeg,45,2,1,89,99,11,0,1,248,411
Winnipeg South Centre/Winnipeg-Centre-Sud,153,Winnipeg,49,1,0,96,110,7,0,0,263,386
Winnipeg South Centre/Winnipeg-Centre-Sud,154,Winnipeg,32,5,0,97,140,13,2,0,289,415
Winnipeg South Centre/Winnipeg-Centre-Sud,155,Winnipeg,47,2,1,72,106,7,0,0,235,386
Winnipeg South Centre/Winnipeg-Centre-Sud,156,Winnipeg,30,3,0,38,60,3,0,1,135,247
Winnipeg South Centre/Winnipeg-Centre-Sud,500,Mobile poll/Bureau itinérant,21,0,1,29,98,1,1,3,154,152
Winnipeg South Centre/Winnipeg-Centre-Sud,501,Mobile poll/Bureau itinérant,36,2,3,12,39,3,2,4,101,221
Winnipeg South Centre/Winnipeg-Centre-Sud,502,Mobile poll/Bureau itinérant,22,0,1,31,91,3,2,0,150,292
Winnipeg South Centre/Winnipeg-Centre-Sud,503,Mobile poll/Bureau itinérant,16,1,1,64,64,1,1,3,151,261
Winnipeg South Centre/Winnipeg-Centre-Sud,600,Winnipeg,24,1,0,205,231,8,0,3,472,
Winnipeg South Centre/Winnipeg-Centre-Sud,601,Winnipeg,63,0,0,133,207,9,3,0,415,
Winnipeg South Centre/Winnipeg-Centre-Sud,602,Winnipeg,82,4,0,148,315,28,0,0,577,
Winnipeg South Centre/Winnipeg-Centre-Sud,603,Winnipeg,106,0,0,78,159,13,1,3,360,
Winnipeg South Centre/Winnipeg-Centre-Sud,604,Winnipeg,93,0,1,104,171,20,3,2,394,
Winnipeg South Centre/Winnipeg-Centre-Sud,605,Winnipeg,70,0,0,58,96,9,1,0,234,
Winnipeg South Centre/Winnipeg-Centre-Sud,606,Winnipeg,70,4,1,132,156,10,1,1,375,
Winnipeg South Centre/Winnipeg-Centre-Sud,,Group 1/Groupe 1,25,8,0,68,51,5,1,9,167,361
Winnipeg South Centre/Winnipeg-Centre-Sud,,Group 2/Groupe 2,187,3,2,217,426,28,3,21,887,
