District,Poll Number,Poll Name,Claude Bachand,Michel Fecteau,Claude Genest,Joseph Khoury,Jonathan Trépanier,Rejected Ballots,Total Vote,Electors
Saint-Jean/Saint-Jean,52,Saint-Grégoire-le-Grand,92,21,3,17,2,5,140,246
Saint-Jean/Saint-Jean,53,Saint-Grégoire-le-Grand,159,41,11,14,14,1,240,445
Saint-Jean/Saint-Jean,54,Sainte-Brigide-d'Iberville,151,36,4,20,4,6,221,299
Saint-Jean/Saint-Jean,55,Sainte-Brigide-d'Iberville,124,54,16,27,4,9,234,368
Saint-Jean/Saint-Jean,56,Sainte-Brigide-d'Iberville,95,40,16,16,5,3,175,275
Saint-Jean/Saint-Jean,57,Saint-Alexandre,97,45,5,10,4,3,164,282
Saint-Jean/Saint-Jean,58,Saint-Alexandre,166,85,10,11,9,11,292,425
Saint-Jean/Saint-Jean,59,Saint-Alexandre,207,34,11,28,9,13,302,551
Saint-Jean/Saint-Jean,60,Saint-Alexandre,140,55,19,25,6,10,255,359
Saint-Jean/Saint-Jean,61,Saint-Alexandre,Merged with No. 60,,,,,,,44
Saint-Jean/Saint-Jean,62,Sabrevois,164,79,7,24,12,5,291,482
Saint-Jean/Saint-Jean,63,Sabrevois,132,41,3,12,6,6,200,357
Saint-Jean/Saint-Jean,64,Sabrevois,139,42,5,16,5,6,213,317
Saint-Jean/Saint-Jean,65,Sabrevois,124,38,7,16,13,9,207,330
Saint-Jean/Saint-Jean,66,L'Acadie,75,23,3,12,8,2,123,265
Saint-Jean/Saint-Jean,67,L'Acadie,77,34,6,9,6,2,134,266
Saint-Jean/Saint-Jean,68,L'Acadie,134,36,4,13,15,5,207,385
Saint-Jean/Saint-Jean,69,L'Acadie,152,22,3,16,10,4,207,415
Saint-Jean/Saint-Jean,70,L'Acadie,160,43,13,27,5,10,258,428
Saint-Jean/Saint-Jean,71,L'Acadie,127,59,5,13,11,4,219,364
Saint-Jean/Saint-Jean,72,L'Acadie,166,70,6,16,12,10,280,457
Saint-Jean/Saint-Jean,73,L'Acadie,239,62,4,22,22,0,349,560
Saint-Jean/Saint-Jean,74,L'Acadie,171,67,4,19,8,7,276,439
Saint-Jean/Saint-Jean,75,L'Acadie,132,52,15,21,5,13,238,401
Saint-Jean/Saint-Jean,76,L'Acadie,123,46,8,30,16,6,229,361
Saint-Jean/Saint-Jean,77,Saint-Jean-sur-Richelieu,42,14,1,4,3,4,68,156
Saint-Jean/Saint-Jean,78,Saint-Jean-sur-Richelieu,110,59,6,18,5,3,201,310
Saint-Jean/Saint-Jean,79,Saint-Jean-sur-Richelieu,201,95,13,18,7,6,340,567
Saint-Jean/Saint-Jean,80,Saint-Jean-sur-Richelieu,173,58,8,22,13,17,291,545
Saint-Jean/Saint-Jean,81,Saint-Jean-sur-Richelieu,198,59,5,9,3,4,278,436
Saint-Jean/Saint-Jean,82,Saint-Jean-sur-Richelieu,95,75,3,9,4,4,190,385
Saint-Jean/Saint-Jean,83,Saint-Jean-sur-Richelieu,139,64,6,17,13,4,243,468
Saint-Jean/Saint-Jean,84,Saint-Jean-sur-Richelieu,70,54,4,9,5,4,146,284
Saint-Jean/Saint-Jean,85,Saint-Jean-sur-Richelieu,74,45,0,9,2,3,133,295
Saint-Jean/Saint-Jean,86,Saint-Jean-sur-Richelieu,99,33,5,20,3,8,168,342
Saint-Jean/Saint-Jean,87,Saint-Jean-sur-Richelieu,165,71,4,18,5,10,273,470
Saint-Jean/Saint-Jean,88,Saint-Jean-sur-Richelieu,197,142,7,17,13,8,384,588
Saint-Jean/Saint-Jean,89,Saint-Jean-sur-Richelieu,45,86,1,11,3,3,149,284
Saint-Jean/Saint-Jean,90,Saint-Jean-sur-Richelieu,97,58,3,19,9,12,198,393
Saint-Jean/Saint-Jean,91,Saint-Jean-sur-Richelieu,122,34,1,14,7,6,184,373
Saint-Jean/Saint-Jean,92,Saint-Jean-sur-Richelieu,113,49,1,13,11,4,191,387
Saint-Jean/Saint-Jean,93,Saint-Jean-sur-Richelieu,97,35,2,12,12,5,163,330
Saint-Jean/Saint-Jean,94,Saint-Jean-sur-Richelieu,98,22,5,15,7,6,153,482
Saint-Jean/Saint-Jean,95,Saint-Jean-sur-Richelieu,126,61,1,13,5,6,212,374
Saint-Jean/Saint-Jean,96,Saint-Jean-sur-Richelieu,102,103,4,27,10,7,253,343
Saint-Jean/Saint-Jean,97,Saint-Jean-sur-Richelieu,162,57,16,20,11,7,273,426
Saint-Jean/Saint-Jean,98,Saint-Jean-sur-Richelieu,115,69,3,14,5,6,212,324
Saint-Jean/Saint-Jean,99,Saint-Jean-sur-Richelieu,97,72,10,5,12,3,199,325
Saint-Jean/Saint-Jean,100,Saint-Jean-sur-Richelieu,155,96,8,22,10,7,298,450
Saint-Jean/Saint-Jean,101,Saint-Jean-sur-Richelieu,105,86,6,21,3,2,223,345
Saint-Jean/Saint-Jean,102,Saint-Jean-sur-Richelieu,103,70,7,13,3,5,201,381
Saint-Jean/Saint-Jean,103,Saint-Jean-sur-Richelieu,163,62,3,11,7,9,255,493
Saint-Jean/Saint-Jean,104,Saint-Jean-sur-Richelieu,137,61,4,23,15,11,251,398
Saint-Jean/Saint-Jean,105,Saint-Jean-sur-Richelieu,105,63,10,17,11,4,210,348
Saint-Jean/Saint-Jean,106,Saint-Jean-sur-Richelieu,144,71,5,21,10,5,256,372
Saint-Jean/Saint-Jean,107,Saint-Jean-sur-Richelieu,108,97,4,18,9,5,241,391
Saint-Jean/Saint-Jean,108,Saint-Jean-sur-Richelieu,124,51,3,17,6,8,209,374
Saint-Jean/Saint-Jean,109,Saint-Jean-sur-Richelieu,103,42,5,21,5,8,184,424
Saint-Jean/Saint-Jean,110,Saint-Jean-sur-Richelieu,128,41,14,16,3,0,202,403
Saint-Jean/Saint-Jean,111,Saint-Jean-sur-Richelieu,121,39,3,32,7,5,207,411
Saint-Jean/Saint-Jean,112,Saint-Jean-sur-Richelieu,181,47,4,11,6,5,254,443
Saint-Jean/Saint-Jean,113,Saint-Jean-sur-Richelieu,84,37,7,12,0,8,148,247
Saint-Jean/Saint-Jean,114,Saint-Jean-sur-Richelieu,182,81,5,11,15,16,310,501
Saint-Jean/Saint-Jean,115A,Saint-Jean-sur-Richelieu,143,31,2,11,3,5,195,330
Saint-Jean/Saint-Jean,115B,Saint-Jean-sur-Richelieu,140,30,4,14,13,2,203,337
Saint-Jean/Saint-Jean,116,Saint-Jean-sur-Richelieu,187,59,7,12,6,17,288,590
Saint-Jean/Saint-Jean,117,Saint-Jean-sur-Richelieu,75,40,6,5,2,4,132,356
Saint-Jean/Saint-Jean,118,Saint-Jean-sur-Richelieu,81,36,5,17,4,3,146,423
Saint-Jean/Saint-Jean,119,Saint-Jean-sur-Richelieu,86,32,4,9,9,4,144,322
Saint-Jean/Saint-Jean,120,Saint-Jean-sur-Richelieu,77,26,1,8,2,2,116,320
Saint-Jean/Saint-Jean,121,Saint-Jean-sur-Richelieu,90,33,10,5,6,5,149,345
Saint-Jean/Saint-Jean,122,Saint-Jean-sur-Richelieu,136,37,10,13,5,2,203,520
Saint-Jean/Saint-Jean,123,Saint-Jean-sur-Richelieu,102,34,4,15,5,10,170,409
Saint-Jean/Saint-Jean,124,Saint-Jean-sur-Richelieu,102,31,7,12,7,5,164,313
Saint-Jean/Saint-Jean,125,Saint-Jean-sur-Richelieu,94,41,3,6,6,4,154,253
Saint-Jean/Saint-Jean,126,Saint-Jean-sur-Richelieu,125,69,5,17,4,0,220,377
Saint-Jean/Saint-Jean,127,Saint-Jean-sur-Richelieu,153,54,5,16,8,8,244,465
Saint-Jean/Saint-Jean,128,Saint-Jean-sur-Richelieu,93,37,2,12,8,8,160,292
Saint-Jean/Saint-Jean,129,Saint-Jean-sur-Richelieu,137,64,4,14,6,4,229,450
Saint-Jean/Saint-Jean,130,Saint-Jean-sur-Richelieu,126,40,6,8,7,6,193,383
Saint-Jean/Saint-Jean,131,Saint-Jean-sur-Richelieu,191,48,5,32,15,6,297,493
Saint-Jean/Saint-Jean,132,Saint-Jean-sur-Richelieu,142,39,3,15,8,10,217,380
Saint-Jean/Saint-Jean,133,Saint-Jean-sur-Richelieu,162,41,12,11,4,7,237,396
Saint-Jean/Saint-Jean,134,Saint-Jean-sur-Richelieu,128,55,7,12,8,3,213,431
Saint-Jean/Saint-Jean,135,Saint-Jean-sur-Richelieu,126,49,7,11,6,11,210,351
Saint-Jean/Saint-Jean,136,Saint-Jean-sur-Richelieu,114,43,5,11,9,3,185,320
Saint-Jean/Saint-Jean,137,Saint-Jean-sur-Richelieu,126,37,6,19,7,6,201,350
Saint-Jean/Saint-Jean,138,Saint-Jean-sur-Richelieu,148,53,9,19,4,5,238,414
Saint-Jean/Saint-Jean,139,Saint-Jean-sur-Richelieu,129,69,7,16,14,9,244,367
Saint-Jean/Saint-Jean,140,Saint-Jean-sur-Richelieu,116,44,3,17,5,6,191,372
Saint-Jean/Saint-Jean,141,Saint-Jean-sur-Richelieu,131,45,6,9,9,4,204,336
Saint-Jean/Saint-Jean,142,Saint-Jean-sur-Richelieu,200,93,11,17,7,10,338,570
Saint-Jean/Saint-Jean,143,Saint-Jean-sur-Richelieu,Merged with No. 141,,,,,,,76
Saint-Jean/Saint-Jean,144A,Saint-Jean-sur-Richelieu,182,35,11,29,6,8,271,380
Saint-Jean/Saint-Jean,144B,Saint-Jean-sur-Richelieu,147,43,5,14,9,8,226,391
Saint-Jean/Saint-Jean,145,Saint-Jean-sur-Richelieu,117,51,5,13,5,4,195,342
Saint-Jean/Saint-Jean,146,Saint-Jean-sur-Richelieu,151,66,3,11,9,13,253,385
Saint-Jean/Saint-Jean,147,Saint-Jean-sur-Richelieu,128,90,3,19,5,7,252,392
Saint-Jean/Saint-Jean,148,Saint-Jean-sur-Richelieu,151,82,2,21,9,6,271,429
Saint-Jean/Saint-Jean,149,Saint-Jean-sur-Richelieu,119,63,6,23,8,13,232,413
Saint-Jean/Saint-Jean,150,Saint-Jean-sur-Richelieu,128,36,9,7,11,4,195,376
Saint-Jean/Saint-Jean,151,Saint-Jean-sur-Richelieu,134,53,11,25,12,6,241,456
Saint-Jean/Saint-Jean,152,Saint-Jean-sur-Richelieu,151,92,6,19,10,3,281,455
Saint-Jean/Saint-Jean,153,Saint-Jean-sur-Richelieu,192,74,7,32,7,6,318,517
Saint-Jean/Saint-Jean,154,Saint-Jean-sur-Richelieu,131,58,4,16,7,2,218,355
Saint-Jean/Saint-Jean,155,Iberville,113,56,13,18,10,3,213,410
Saint-Jean/Saint-Jean,156,Iberville,138,104,8,19,12,5,286,393
Saint-Jean/Saint-Jean,157,Iberville,159,62,10,30,7,11,279,468
Saint-Jean/Saint-Jean,158,Iberville,122,39,1,11,1,8,182,436
Saint-Jean/Saint-Jean,159,Iberville,91,37,8,7,5,8,156,310
Saint-Jean/Saint-Jean,160,Iberville,194,59,6,14,17,5,295,480
Saint-Jean/Saint-Jean,161,Iberville,100,35,3,15,7,3,163,298
Saint-Jean/Saint-Jean,162,Iberville,236,54,4,29,9,10,342,594
Saint-Jean/Saint-Jean,163,Iberville,141,63,5,26,2,7,244,382
Saint-Jean/Saint-Jean,164,Iberville,138,56,3,22,6,4,229,472
Saint-Jean/Saint-Jean,165,Iberville,113,77,12,17,4,7,230,504
Saint-Jean/Saint-Jean,166,Iberville,98,32,1,12,3,7,153,363
Saint-Jean/Saint-Jean,167,Iberville,125,49,9,11,15,4,213,394
Saint-Jean/Saint-Jean,168,Iberville,137,59,5,16,12,9,238,508
Saint-Jean/Saint-Jean,169,Iberville,119,45,5,14,12,6,201,308
Saint-Jean/Saint-Jean,170,Iberville,119,42,1,7,5,7,181,325
Saint-Jean/Saint-Jean,171,Iberville,110,57,3,20,7,1,198,327
Saint-Jean/Saint-Jean,172,Iberville,195,95,6,27,10,11,344,491
Saint-Jean/Saint-Jean,173,Iberville,131,43,3,16,5,6,204,364
Saint-Jean/Saint-Jean,174,Saint-Blaise-sur-Richelieu,147,46,15,23,4,6,241,367
Saint-Jean/Saint-Jean,175,Saint-Blaise-sur-Richelieu,83,34,2,12,4,1,136,202
Saint-Jean/Saint-Jean,176,Saint-Blaise-sur-Richelieu,161,59,3,25,6,13,267,501
Saint-Jean/Saint-Jean,177,Saint-Blaise-sur-Richelieu,147,80,8,25,8,12,280,517
Saint-Jean/Saint-Jean,178,Saint-Paul-de-l'Île-aux-Noix,148,105,9,20,10,14,306,505
Saint-Jean/Saint-Jean,179,Saint-Paul-de-l'Île-aux-Noix,165,117,6,46,9,13,356,526
Saint-Jean/Saint-Jean,180,Saint-Paul-de-l'Île-aux-Noix,132,88,6,27,8,8,269,512
Saint-Jean/Saint-Jean,181,Saint-Valentin,107,79,4,36,9,10,245,367
Saint-Jean/Saint-Jean,182,Lacolle,91,79,4,18,6,3,201,354
Saint-Jean/Saint-Jean,183,Lacolle,142,74,3,22,5,3,249,406
Saint-Jean/Saint-Jean,184,Lacolle,105,71,10,19,6,5,216,472
Saint-Jean/Saint-Jean,185,Notre-Dame-du-Mont-Carmel,75,47,7,9,13,7,158,290
Saint-Jean/Saint-Jean,186,Notre-Dame-du-Mont-Carmel,78,105,5,17,5,2,212,397
Saint-Jean/Saint-Jean,400,Saint-Jean-sur-Richelieu,63,98,1,16,5,5,188,270
Saint-Jean/Saint-Jean,500,Mobile poll/Bureau itinérant,24,11,0,4,2,5,46,99
Saint-Jean/Saint-Jean,600,Saint-Luc,261,100,5,49,10,8,433,
Saint-Jean/Saint-Jean,601,Saint-Luc,188,63,9,36,6,6,308,
Saint-Jean/Saint-Jean,602,Saint-Athanase,211,81,3,48,10,2,355,
Saint-Jean/Saint-Jean,603,Saint-Alexandre,124,49,8,21,6,2,210,
Saint-Jean/Saint-Jean,604,L'Acadie,105,65,7,30,7,5,219,
Saint-Jean/Saint-Jean,605,Saint-Jean-sur-Richelieu,208,185,7,35,20,19,474,
Saint-Jean/Saint-Jean,606,Saint-Jean-sur-Richelieu,219,146,5,35,8,8,421,
Saint-Jean/Saint-Jean,607,Saint-Jean-sur-Richelieu,171,67,7,31,4,9,289,
Saint-Jean/Saint-Jean,608,Saint-Jean-sur-Richelieu,270,146,6,48,17,8,495,
Saint-Jean/Saint-Jean,609,Iberville,255,179,12,53,7,15,521,
Saint-Jean/Saint-Jean,610,Lacolle,85,69,8,22,8,3,195,
Saint-Jean/Saint-Jean,,Group 1/Groupe 1,58,48,7,41,4,10,168,335
Saint-Jean/Saint-Jean,,Group 2/Groupe 2,720,572,23,107,31,47,1500,
