District,Poll Number,Poll Name,Gérard Asselin,Anthony Detroio,Pierre Ducasse,Pierre Paradis,Les Parsons,Rejected Ballots,Total Vote,Electors
Manicouagan/Manicouagan,168,Shekatika,5,76,1,0,0,0,82,109
Manicouagan/Manicouagan,169,Saint-Augustin,6,68,7,10,0,0,91,184
Manicouagan/Manicouagan,170,Saint-Augustin,8,88,11,6,1,0,114,291
Manicouagan/Manicouagan,171,Baie-des-Moutons,3,38,3,2,0,0,46,112
Manicouagan/Manicouagan,172,Tête-à-la-Baleine,26,27,8,2,0,0,63,174
Manicouagan/Manicouagan,173,Harrington Harbour,3,103,18,15,0,0,139,208
Manicouagan/Manicouagan,174,Chevery,2,88,9,13,3,0,115,227
Manicouagan/Manicouagan,175,La Romaine 2,22,236,2,6,3,0,269,578
Manicouagan/Manicouagan,176,La Romaine,34,17,2,0,2,3,58,143
Manicouagan/Manicouagan,177,Kegaska,2,45,1,0,0,0,48,106
Manicouagan/Manicouagan,178,Middle Bay,1,31,13,0,0,0,45,68
Manicouagan/Manicouagan,179,Lourdes-de-Blanc-Sablon,29,137,16,14,2,2,200,489
Manicouagan/Manicouagan,180,Lourdes-de-Blanc-Sablon,25,141,14,4,4,0,188,424
Manicouagan/Manicouagan,181,Rivière-Saint-Paul,8,125,32,7,1,2,175,366
Manicouagan/Manicouagan,182,Vieux-Fort,4,78,12,3,3,0,100,270
Manicouagan/Manicouagan,400,Fermont,39,9,6,2,0,2,58,165
Manicouagan/Manicouagan,401,Fermont,90,13,8,7,3,0,121,323
Manicouagan/Manicouagan,500,Mobile poll/Bureau itinérant,42,35,1,8,2,4,92,184
Manicouagan/Manicouagan,501,Mobile poll/Bureau itinérant,13,20,8,2,1,2,46,70
Manicouagan/Manicouagan,502,Mobile poll/Bureau itinérant,11,11,0,1,1,1,25,53
Manicouagan/Manicouagan,600,Schefferville--Matimekosh,9,5,4,1,0,0,19,
Manicouagan/Manicouagan,601,Fermont,101,18,16,13,4,0,152,
Manicouagan/Manicouagan,602,Baie-Trinité,53,10,1,3,1,0,68,
Manicouagan/Manicouagan,603,Baie-Comeau--Rivière-aux-Outardes,268,138,38,46,7,5,502,
Manicouagan/Manicouagan,604,Baie-Comeau,451,65,34,39,8,8,605,
Manicouagan/Manicouagan,605,Chute-aux-Outardes--Bersimis 3,144,26,3,18,0,3,194,
Manicouagan/Manicouagan,606,Gallix--Port-Cartier,214,97,13,30,4,2,360,
Manicouagan/Manicouagan,607,Sept-Îles,216,130,75,16,3,7,447,
Manicouagan/Manicouagan,608,Sept-Îles,272,140,100,21,6,2,541,
Manicouagan/Manicouagan,609,Sept-Îles,20,9,3,3,0,0,35,
Manicouagan/Manicouagan,610,Havre-Saint-Pierre,77,12,13,3,0,1,106,
Manicouagan/Manicouagan,611,Lourdes-de-Blanc--Soublon,13,15,1,2,0,0,31,
Manicouagan/Manicouagan,,Group 1/Groupe 1,40,35,5,29,5,6,120,325
Manicouagan/Manicouagan,,Group 2/Groupe 2,430,135,62,46,4,13,690,
