District,Poll Number,Poll Name,Patrick Brown,Peter Bursztyn,Aileen Carroll,Erich Jacoby-Hawkins,Rejected Ballots,Total Vote,Electors
Barrie/Barrie,94,Barrie,61,38,76,16,0,191,436
Barrie/Barrie,95,Barrie,31,16,63,11,1,122,297
Barrie/Barrie,96,Barrie,60,26,107,13,0,206,362
Barrie/Barrie,97,Barrie,94,31,90,10,0,225,446
Barrie/Barrie,98,Barrie,38,12,59,11,1,121,259
Barrie/Barrie,99,Barrie,71,23,62,14,2,172,336
Barrie/Barrie,100,Barrie,101,25,98,24,0,248,532
Barrie/Barrie,101,Barrie,70,24,87,17,1,199,406
Barrie/Barrie,102,Barrie,94,20,124,26,0,264,461
Barrie/Barrie,103,Barrie,77,33,89,22,2,223,364
Barrie/Barrie,104,Barrie,69,13,107,12,0,201,330
Barrie/Barrie,105,Barrie,49,25,47,11,0,132,297
Barrie/Barrie,106,Barrie,75,21,79,18,3,196,361
Barrie/Barrie,107,Barrie,81,21,81,15,1,199,356
Barrie/Barrie,108,Barrie,70,32,76,18,0,196,408
Barrie/Barrie,109,Barrie,85,24,137,21,0,267,476
Barrie/Barrie,110,Barrie,91,15,92,8,1,207,402
Barrie/Barrie,111,Barrie,96,27,108,16,2,249,441
Barrie/Barrie,112,Barrie,83,29,80,12,0,204,368
Barrie/Barrie,113,Barrie,83,18,104,20,1,226,362
Barrie/Barrie,114,Barrie,97,17,130,20,1,265,439
Barrie/Barrie,115,Barrie,63,35,103,18,0,219,420
Barrie/Barrie,116,Barrie,71,24,137,24,1,257,406
Barrie/Barrie,117,Barrie,64,21,96,25,2,208,400
Barrie/Barrie,118,Barrie,80,24,97,24,2,227,353
Barrie/Barrie,119,Barrie,37,20,56,11,1,125,238
Barrie/Barrie,120,Barrie,64,13,114,17,0,208,343
Barrie/Barrie,121,Barrie,47,20,72,8,0,147,301
Barrie/Barrie,122,Barrie,77,25,86,8,3,199,320
Barrie/Barrie,123,Barrie,61,25,146,15,3,250,418
Barrie/Barrie,124,Barrie,64,23,50,17,0,154,394
Barrie/Barrie,125,Barrie,35,16,33,8,0,92,306
Barrie/Barrie,126,Barrie,75,20,68,25,1,189,422
Barrie/Barrie,127,Barrie,73,31,104,21,1,230,428
Barrie/Barrie,128,Barrie,38,9,46,4,2,99,243
Barrie/Barrie,129A,Barrie,50,13,53,11,0,127,269
Barrie/Barrie,129B,Barrie,43,19,41,8,0,111,244
Barrie/Barrie,130,Barrie,68,15,167,24,5,279,437
Barrie/Barrie,131,Barrie,96,25,104,12,1,238,365
Barrie/Barrie,132,Barrie,77,12,118,17,2,226,361
