District,Poll Number,Poll Name,M.A. Bonnie Brown,Rick Byers,Alison Myrden,Tania Orton,Zeshan Shahbaz,Rejected Ballots,Total Vote,Electors
Oakville/Oakville,36,Oakville,132,103,4,10,1,0,250,373
Oakville/Oakville,37,Oakville,124,80,30,11,0,1,246,382
Oakville/Oakville,38,Oakville,143,89,21,19,0,1,273,425
Oakville/Oakville,39,Oakville,146,96,11,14,0,0,267,386
Oakville/Oakville,40,Oakville,102,105,2,6,0,1,216,353
Oakville/Oakville,41,Oakville,131,90,4,11,0,0,236,335
Oakville/Oakville,42,Oakville,121,108,8,7,0,0,244,399
Oakville/Oakville,43,Oakville,114,108,4,11,0,1,238,343
Oakville/Oakville,44,Oakville,110,119,3,5,0,1,238,421
Oakville/Oakville,45,Oakville,134,75,20,18,0,0,247,409
Oakville/Oakville,46,Oakville,112,97,14,19,0,0,242,340
Oakville/Oakville,47,Oakville,150,90,17,17,0,0,274,396
Oakville/Oakville,48,Oakville,107,97,12,14,0,2,232,328
Oakville/Oakville,49,Oakville,134,107,16,18,0,2,277,404
Oakville/Oakville,50,Oakville,166,61,16,15,0,0,258,447
Oakville/Oakville,51,Oakville,127,84,15,18,0,5,249,431
Oakville/Oakville,52,Oakville,115,85,31,13,1,0,245,379
Oakville/Oakville,53,Oakville,151,121,19,11,0,0,302,481
Oakville/Oakville,54,Oakville,142,83,24,10,1,2,262,381
Oakville/Oakville,55,Oakville,71,65,15,14,2,2,169,341
Oakville/Oakville,56,Oakville,92,51,27,24,3,1,198,357
Oakville/Oakville,57,Oakville,139,68,13,17,0,0,237,368
Oakville/Oakville,58,Oakville,105,58,33,16,0,0,212,409
Oakville/Oakville,59,Oakville,82,42,21,16,0,0,161,308
Oakville/Oakville,60,Oakville,126,38,19,12,0,1,196,350
Oakville/Oakville,61,Oakville,73,19,54,14,1,2,163,326
Oakville/Oakville,62,Oakville,42,16,12,4,0,0,74,243
Oakville/Oakville,63,Oakville,109,40,7,2,0,0,158,280
Oakville/Oakville,64,Oakville,124,72,16,15,0,1,228,423
Oakville/Oakville,65,Oakville,54,54,13,6,6,0,133,261
Oakville/Oakville,66,Oakville,110,73,28,18,0,1,230,417
Oakville/Oakville,67,Oakville,90,54,14,12,0,2,172,296
Oakville/Oakville,68,Oakville,108,70,23,10,1,1,213,342
Oakville/Oakville,69,Oakville,77,60,31,17,0,0,185,383
Oakville/Oakville,70,Oakville,83,62,32,12,1,1,191,345
Oakville/Oakville,71,Oakville,101,76,21,10,1,1,210,365
Oakville/Oakville,72,Oakville,137,88,19,10,0,0,254,395
Oakville/Oakville,73,Oakville,119,117,7,7,0,1,251,360
Oakville/Oakville,74,Oakville,133,133,8,15,0,0,289,414
Oakville/Oakville,75,Oakville,135,100,22,15,0,0,272,428
Oakville/Oakville,76,Oakville,170,140,5,17,0,0,332,513
Oakville/Oakville,77,Oakville,104,85,10,13,0,1,213,336
Oakville/Oakville,78,Oakville,97,67,6,8,0,1,179,248
Oakville/Oakville,79,Oakville,165,65,17,18,0,6,271,418
Oakville/Oakville,80,Oakville,92,68,14,8,0,6,188,299
Oakville/Oakville,81A,Oakville,179,113,17,17,0,0,326,525
Oakville/Oakville,81B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,66
Oakville/Oakville,82,Oakville,113,85,12,10,0,0,220,350
Oakville/Oakville,83,Oakville,124,70,12,38,0,0,244,385
Oakville/Oakville,84,Oakville,35,33,20,9,2,1,100,297
Oakville/Oakville,85,Oakville,76,30,27,15,0,0,148,330
Oakville/Oakville,86,Oakville,67,32,26,13,0,0,138,330
Oakville/Oakville,87,Oakville,130,44,24,16,1,1,216,371
Oakville/Oakville,88,Oakville,91,49,23,13,0,1,177,303
Oakville/Oakville,89,Oakville,89,39,25,17,0,0,170,362
Oakville/Oakville,90,Oakville,91,57,23,9,1,0,181,295
Oakville/Oakville,91,Oakville,58,43,11,6,0,0,118,205
Oakville/Oakville,92,Oakville,172,88,24,16,1,4,305,418
Oakville/Oakville,93,Oakville,110,101,5,10,0,1,227,372
Oakville/Oakville,94,Oakville,92,38,12,3,0,3,148,296
Oakville/Oakville,95,Oakville,136,64,21,19,2,0,242,372
Oakville/Oakville,96,Oakville,87,54,11,16,1,1,170,278
Oakville/Oakville,97,Oakville,90,62,38,19,0,3,212,448
Oakville/Oakville,98,Oakville,114,83,15,9,0,2,223,354
Oakville/Oakville,99,Oakville,103,81,59,19,3,1,266,454
Oakville/Oakville,100,Oakville,86,60,22,13,0,0,181,324
Oakville/Oakville,101,Oakville,130,97,21,13,1,2,264,397
Oakville/Oakville,102,Oakville,162,96,12,16,1,0,287,412
Oakville/Oakville,103,Oakville,124,81,26,21,1,3,256,400
Oakville/Oakville,104,Oakville,140,79,6,13,1,1,240,320
Oakville/Oakville,105,Oakville,164,122,18,14,0,2,320,546
Oakville/Oakville,106A,Oakville,69,49,11,7,1,1,138,274
Oakville/Oakville,106B,Oakville,65,54,13,8,0,0,140,257
Oakville/Oakville,107A,Oakville,65,40,12,11,0,1,129,282
Oakville/Oakville,107B,Oakville,80,55,20,9,1,0,165,294
Oakville/Oakville,108,Oakville,160,83,17,15,0,4,279,457
Oakville/Oakville,109,Oakville,55,61,7,7,1,1,132,210
Oakville/Oakville,110,Oakville,139,98,21,8,2,0,268,455
Oakville/Oakville,111,Oakville,198,87,10,16,0,0,311,488
Oakville/Oakville,112,Oakville,197,115,9,12,0,0,333,507
Oakville/Oakville,113,Oakville,117,55,16,16,0,0,204,383
Oakville/Oakville,114,Oakville,147,60,51,21,1,3,283,491
Oakville/Oakville,115A,Oakville,65,43,16,7,0,0,131,278
Oakville/Oakville,115B,Oakville,71,25,12,8,0,1,117,265
Oakville/Oakville,116,Oakville,79,51,25,19,0,3,177,384
Oakville/Oakville,117,Oakville,87,74,26,17,0,0,204,417
Oakville/Oakville,118,Oakville,89,72,23,9,0,0,193,318
Oakville/Oakville,119,Oakville,101,49,20,7,1,0,178,320
Oakville/Oakville,120,Oakville,120,62,22,7,0,1,212,376
Oakville/Oakville,121,Oakville,142,66,32,7,1,2,250,407
Oakville/Oakville,122,Oakville,111,79,24,18,1,1,234,367
Oakville/Oakville,123,Oakville,103,75,31,14,0,2,225,376
Oakville/Oakville,124,Oakville,124,93,20,12,0,1,250,364
Oakville/Oakville,125,Oakville,142,128,6,34,0,1,311,474
Oakville/Oakville,126,Oakville,158,89,12,17,1,0,277,417
Oakville/Oakville,127,Oakville,122,96,17,10,0,0,245,378
Oakville/Oakville,128,Oakville,147,93,20,11,0,2,273,399
Oakville/Oakville,129,Oakville,124,105,16,15,0,1,261,379
Oakville/Oakville,130,Oakville,121,93,15,10,1,0,240,345
Oakville/Oakville,131A,Oakville,137,86,14,14,0,0,251,430
Oakville/Oakville,131B,Oakville,131,89,29,15,0,4,268,438
Oakville/Oakville,132,Oakville,146,61,11,8,0,1,227,343
Oakville/Oakville,133,Oakville,146,96,17,12,0,1,272,400
Oakville/Oakville,134,Oakville,135,87,23,20,0,0,265,393
Oakville/Oakville,135,Oakville,117,73,7,14,0,1,212,332
Oakville/Oakville,136,Oakville,108,65,6,6,0,0,185,290
Oakville/Oakville,137,Oakville,188,89,9,13,2,0,301,490
Oakville/Oakville,138,Oakville,161,81,19,5,2,0,268,393
Oakville/Oakville,139,Oakville,141,126,14,7,0,2,290,422
Oakville/Oakville,140,Oakville,178,101,21,18,0,0,318,485
Oakville/Oakville,141,Oakville,139,82,21,11,0,2,255,446
Oakville/Oakville,142,Oakville,106,79,26,21,2,1,235,419
Oakville/Oakville,143,Oakville,207,101,9,7,1,1,326,465
Oakville/Oakville,144,Oakville,127,83,26,22,1,2,261,433
Oakville/Oakville,145,Oakville,95,57,17,3,0,0,172,263
Oakville/Oakville,146,Oakville,73,58,16,3,5,0,155,321
Oakville/Oakville,147,Oakville,158,85,16,14,1,1,275,463
Oakville/Oakville,148,Oakville,144,89,12,11,0,0,256,408
Oakville/Oakville,149,Oakville,119,79,26,12,1,1,238,410
Oakville/Oakville,150,Oakville,97,68,8,1,2,1,177,283
Oakville/Oakville,151,Oakville,160,69,18,22,1,0,270,434
Oakville/Oakville,152,Oakville,112,74,4,10,0,1,201,333
Oakville/Oakville,153,Oakville,135,101,4,4,0,5,249,386
Oakville/Oakville,154,Oakville,87,78,6,5,0,1,177,257
Oakville/Oakville,155,Oakville,114,75,22,10,0,1,222,390
Oakville/Oakville,156,Oakville,109,56,22,13,0,1,201,342
Oakville/Oakville,157,Oakville,95,63,21,19,0,2,200,338
Oakville/Oakville,158,Oakville,141,47,9,13,0,1,211,356
Oakville/Oakville,159,Oakville,105,94,26,8,1,1,235,349
Oakville/Oakville,160,Oakville,135,86,15,13,0,0,249,395
Oakville/Oakville,161,Oakville,103,70,13,7,1,2,196,316
Oakville/Oakville,162,Oakville,101,89,38,12,0,0,240,418
Oakville/Oakville,163,Oakville,95,77,26,14,1,1,214,350
Oakville/Oakville,164,Oakville,108,73,20,8,0,0,209,333
Oakville/Oakville,165,Oakville,83,57,24,21,0,1,186,353
Oakville/Oakville,166,Oakville,88,56,23,11,1,4,183,376
Oakville/Oakville,167,Oakville,112,54,20,13,0,0,199,347
Oakville/Oakville,168,Oakville,111,85,23,20,0,1,240,376
Oakville/Oakville,169,Oakville,106,97,23,12,0,1,239,399
Oakville/Oakville,170,Oakville,124,93,23,17,0,0,257,389
Oakville/Oakville,171,Oakville,129,90,19,13,0,0,251,399
Oakville/Oakville,172,Oakville,118,84,20,15,0,0,237,374
Oakville/Oakville,173,Oakville,128,72,23,8,0,2,233,380
Oakville/Oakville,174,Oakville,140,101,19,13,0,0,273,402
Oakville/Oakville,175,Oakville,138,94,19,10,2,2,265,388
Oakville/Oakville,176,Oakville,102,74,22,8,0,1,207,343
Oakville/Oakville,177,Oakville,98,69,18,22,0,0,207,307
Oakville/Oakville,178,Oakville,165,68,8,26,0,2,269,418
Oakville/Oakville,179,Oakville,95,73,15,8,0,0,191,271
Oakville/Oakville,180A,Oakville,115,74,41,12,2,1,245,384
Oakville/Oakville,180B,Oakville,Merged with No. 402,,,,,,,118
Oakville/Oakville,180-1,Oakville,Merged with No. 181C,,,,,,,177
Oakville/Oakville,181A,Oakville,137,101,12,12,0,0,262,396
Oakville/Oakville,181B,Oakville,184,176,9,5,0,1,375,512
Oakville/Oakville,181C,Oakville,160,105,9,3,0,1,278,158
Oakville/Oakville,182,Oakville,47,33,9,4,0,0,93,186
Oakville/Oakville,183,Oakville,Void,,,,,,,
Oakville/Oakville,184,Oakville,49,44,14,4,0,0,111,217
Oakville/Oakville,185,Oakville,104,47,6,3,0,2,162,276
Oakville/Oakville,186,Oakville,102,63,17,17,0,0,199,324
Oakville/Oakville,187,Oakville,69,65,24,11,1,2,172,312
Oakville/Oakville,188,Oakville,Void,,,,,,,
Oakville/Oakville,189,Oakville,90,72,11,12,0,1,186,345
Oakville/Oakville,190,Oakville,63,36,28,14,1,0,142,329
Oakville/Oakville,191,Oakville,106,85,17,10,0,0,218,439
Oakville/Oakville,192,Oakville,Void,,,,,,,
Oakville/Oakville,193,Oakville,80,80,24,10,1,0,195,339
Oakville/Oakville,194A,Oakville,113,82,14,12,0,0,221,355
Oakville/Oakville,194B,Oakville,135,99,25,13,0,0,272,402
Oakville/Oakville,195,Oakville,120,137,19,15,0,0,291,440
Oakville/Oakville,196,Oakville,118,94,35,7,1,0,255,387
Oakville/Oakville,197A,Oakville,127,87,21,9,1,0,245,399
Oakville/Oakville,197B,Oakville,136,80,31,13,0,1,261,437
Oakville/Oakville,198,Oakville,156,87,28,27,0,1,299,446
Oakville/Oakville,199,Oakville,118,99,11,9,0,1,238,361
Oakville/Oakville,200,Oakville,87,116,9,15,0,0,227,390
Oakville/Oakville,400,Oakville,142,61,16,6,0,1,226,296
Oakville/Oakville,401,Oakville,74,37,24,26,1,0,162,244
Oakville/Oakville,402,Oakville,123,72,35,6,1,0,237,195
Oakville/Oakville,403,Oakville,99,34,18,9,1,6,167,257
Oakville/Oakville,500,Mobile poll/Bureau itinérant,63,31,4,1,0,0,99,135
Oakville/Oakville,501,Mobile poll/Bureau itinérant,41,37,8,4,0,1,91,122
Oakville/Oakville,502,Mobile poll/Bureau itinérant,35,17,4,2,0,1,59,82
Oakville/Oakville,600,Oakville,267,245,18,22,5,3,560,
Oakville/Oakville,601,Oakville,481,499,26,40,0,1,1047,
Oakville/Oakville,602,Oakville,390,263,44,41,0,0,738,
Oakville/Oakville,603,Oakville,265,255,29,21,1,2,573,
Oakville/Oakville,604,Oakville,280,215,26,25,1,2,549,
Oakville/Oakville,605,Oakville,205,178,31,23,0,0,437,
Oakville/Oakville,606,Oakville,398,278,19,23,0,1,719,
Oakville/Oakville,607,Oakville,258,206,37,29,0,1,531,
Oakville/Oakville,608,Oakville,371,302,51,41,1,0,766,
Oakville/Oakville,,Group 1/Groupe 1,36,53,5,6,0,5,105,209
Oakville/Oakville,,Group 2/Groupe 2,274,286,57,26,2,4,649,
