District,Poll Number,Poll Name,Don Kossick,Lynn Oliphant,Tiffany Paulsen,Clayton A. Sundberg,Lynne Yelich,Rejected Ballots,Total Vote,Electors
Blackstrap/Blackstrap,76,Saskatoon,60,8,95,1,120,1,285,495
Blackstrap/Blackstrap,77,Saskatoon,41,3,70,1,76,0,191,320
Blackstrap/Blackstrap,78,Saskatoon,47,11,89,2,64,0,213,398
Blackstrap/Blackstrap,79,Saskatoon,65,6,98,1,104,0,274,491
Blackstrap/Blackstrap,80,Saskatoon,40,3,80,1,60,1,185,354
Blackstrap/Blackstrap,81,Saskatoon,23,5,33,0,49,0,110,351
Blackstrap/Blackstrap,82,Saskatoon,27,4,111,0,90,0,232,455
Blackstrap/Blackstrap,83,Saskatoon,12,1,42,2,54,0,111,229
Blackstrap/Blackstrap,84,Saskatoon,30,10,93,1,83,0,217,411
Blackstrap/Blackstrap,85,Saskatoon,57,2,164,1,130,1,355,584
Blackstrap/Blackstrap,86,Saskatoon,41,11,57,0,78,0,187,374
Blackstrap/Blackstrap,87,Saskatoon,47,6,71,0,77,0,201,357
Blackstrap/Blackstrap,88,Saskatoon,27,2,29,0,39,0,97,240
Blackstrap/Blackstrap,89,Saskatoon,60,6,106,0,131,0,303,620
Blackstrap/Blackstrap,90,Saskatoon,17,4,42,0,20,1,84,169
Blackstrap/Blackstrap,91A,Saskatoon,24,11,41,0,49,1,126,349
Blackstrap/Blackstrap,91B,Saskatoon,36,6,46,1,43,0,132,323
Blackstrap/Blackstrap,92,Saskatoon,25,4,126,1,111,0,267,478
Blackstrap/Blackstrap,93,Saskatoon,33,1,111,2,117,0,264,517
Blackstrap/Blackstrap,94A,Saskatoon,31,3,92,0,96,0,222,426
Blackstrap/Blackstrap,94B,Saskatoon,33,4,106,0,114,0,257,433
Blackstrap/Blackstrap,95A,Saskatoon,28,2,58,0,68,0,156,334
Blackstrap/Blackstrap,95B,Saskatoon,32,5,63,3,52,0,155,319
Blackstrap/Blackstrap,95C,Saskatoon,33,2,62,1,84,0,182,352
Blackstrap/Blackstrap,96,Saskatoon,20,8,103,0,74,1,206,352
Blackstrap/Blackstrap,97,Saskatoon,36,8,128,2,91,0,265,479
Blackstrap/Blackstrap,98,Saskatoon,38,5,79,1,78,0,201,385
Blackstrap/Blackstrap,99,Saskatoon,24,9,70,0,63,0,166,292
Blackstrap/Blackstrap,100,Saskatoon,30,10,115,4,94,0,253,524
Blackstrap/Blackstrap,101,Saskatoon,29,7,51,2,58,1,148,382
Blackstrap/Blackstrap,102,Saskatoon,26,4,113,1,108,1,253,451
Blackstrap/Blackstrap,103,Saskatoon,20,5,91,1,104,0,221,369
Blackstrap/Blackstrap,103-1,Saskatoon,22,3,32,0,46,1,104,320
Blackstrap/Blackstrap,104,Saskatoon,56,12,96,0,104,1,269,446
Blackstrap/Blackstrap,105,Saskatoon,54,4,98,1,105,1,263,455
Blackstrap/Blackstrap,106,Saskatoon,17,5,69,0,61,0,152,293
Blackstrap/Blackstrap,107,Saskatoon,48,1,138,0,125,1,313,526
Blackstrap/Blackstrap,108,Saskatoon,34,5,95,3,95,1,233,469
Blackstrap/Blackstrap,109,Grasswood,57,7,80,2,164,0,310,596
Blackstrap/Blackstrap,110,Grasswood,63,11,110,0,176,1,361,550
Blackstrap/Blackstrap,111,Cedar Villa Estates,18,4,17,0,43,0,82,136
Blackstrap/Blackstrap,112,Grasswood,40,8,60,0,80,0,188,285
Blackstrap/Blackstrap,113,Grasswood,24,2,43,0,55,1,125,185
Blackstrap/Blackstrap,114,Grasswood,18,13,20,0,33,0,84,116
Blackstrap/Blackstrap,115,Blucher,76,12,63,2,137,1,291,477
Blackstrap/Blackstrap,116,Clavet,81,14,66,3,154,1,319,581
Blackstrap/Blackstrap,117,Bradwell,30,5,21,0,61,0,117,179
Blackstrap/Blackstrap,118,Elstow,26,11,43,2,88,2,172,344
Blackstrap/Blackstrap,119,Allan,80,12,86,1,152,0,331,546
Blackstrap/Blackstrap,120,Beaver Creek,42,5,27,0,11,0,85,139
Blackstrap/Blackstrap,121,Dundurn,17,1,16,0,69,0,103,144
Blackstrap/Blackstrap,122,Dundurn,69,15,50,3,199,1,337,649
Blackstrap/Blackstrap,123,Dundurn,19,5,45,0,93,0,162,291
Blackstrap/Blackstrap,124,Allan Hills,16,1,19,1,48,0,85,124
Blackstrap/Blackstrap,125,Zelma,24,3,26,3,59,0,115,161
Blackstrap/Blackstrap,126,Colonsay,86,9,46,2,147,2,292,477
Blackstrap/Blackstrap,127,Viscount,65,13,61,1,115,0,255,431
Blackstrap/Blackstrap,128,Young,57,1,43,1,89,2,193,305
Blackstrap/Blackstrap,129,Watrous,42,4,33,0,77,0,156,240
Blackstrap/Blackstrap,130,Watrous,70,12,48,2,168,0,300,559
Blackstrap/Blackstrap,131,Watrous,52,2,57,0,107,0,218,326
Blackstrap/Blackstrap,132,Watrous,55,0,41,1,96,1,194,284
Blackstrap/Blackstrap,133,Watrous,39,2,37,6,64,0,148,280
Blackstrap/Blackstrap,134,Guernsey,26,7,34,4,117,0,188,302
Blackstrap/Blackstrap,135,Plunkett,38,2,25,1,53,1,120,180
Blackstrap/Blackstrap,136,Lanigan,49,9,43,1,151,0,253,423
Blackstrap/Blackstrap,137,Lanigan,40,7,27,0,67,0,141,231
Blackstrap/Blackstrap,138,Lanigan,39,2,31,0,77,1,150,258
Blackstrap/Blackstrap,139,Lanigan,25,7,45,2,101,0,180,346
Blackstrap/Blackstrap,140,Drake,22,2,60,1,159,1,245,362
Blackstrap/Blackstrap,141,Jansen,34,3,43,1,130,0,211,315
Blackstrap/Blackstrap,142,Outlook,27,3,45,2,112,1,190,313
Blackstrap/Blackstrap,143,Outlook,45,5,41,0,111,0,202,313
Blackstrap/Blackstrap,144,Outlook,52,3,35,0,96,1,187,278
Blackstrap/Blackstrap,145,Outlook,28,0,26,1,37,0,92,192
Blackstrap/Blackstrap,146,Outlook,20,5,20,0,95,1,141,329
Blackstrap/Blackstrap,147,Outlook,23,6,38,0,104,0,171,287
Blackstrap/Blackstrap,148,Broderick,22,5,21,0,127,0,175,285
Blackstrap/Blackstrap,149,Strong,15,1,17,1,86,0,120,146
Blackstrap/Blackstrap,150,Hanley,15,6,64,3,185,0,273,426
Blackstrap/Blackstrap,151,Hawarden,4,3,5,0,84,0,96,136
Blackstrap/Blackstrap,152,Farrerdale,11,1,16,4,117,0,149,210
Blackstrap/Blackstrap,153,Kenaston,12,0,7,1,113,0,133,268
Blackstrap/Blackstrap,154,Bladworth,1,0,9,1,77,0,88,198
Blackstrap/Blackstrap,155,Strongfield,16,5,20,1,77,0,119,158
Blackstrap/Blackstrap,156,Loreburn,8,1,42,0,90,0,141,185
Blackstrap/Blackstrap,157,Elbow,27,6,44,1,169,1,248,322
Blackstrap/Blackstrap,400,Saskatoon,48,1,61,2,63,1,176,212
Blackstrap/Blackstrap,401,Saskatoon,28,0,23,4,69,1,125,158
Blackstrap/Blackstrap,402,Saskatoon,Void,,,,,,,
Blackstrap/Blackstrap,500,Mobile poll/Bureau itinérant,10,0,4,1,3,2,20,81
Blackstrap/Blackstrap,501,Mobile poll/Bureau itinérant,4,2,6,1,8,14,35,125
Blackstrap/Blackstrap,600,Saskatoon,249,30,162,2,231,1,675,
Blackstrap/Blackstrap,601,Allan,149,28,181,2,302,0,662,
Blackstrap/Blackstrap,602,Saskatoon,138,10,184,3,248,0,583,
Blackstrap/Blackstrap,603,Saskatoon,160,23,356,1,531,1,1072,
Blackstrap/Blackstrap,604,Saskatoon,75,9,168,3,261,1,517,
Blackstrap/Blackstrap,605,Grasswood,38,6,40,0,130,1,215,
Blackstrap/Blackstrap,606,Dundurn,10,3,13,0,54,0,80,
Blackstrap/Blackstrap,607,Viscount,19,1,8,0,46,0,74,
Blackstrap/Blackstrap,608,Watrous,40,4,46,0,64,0,154,
Blackstrap/Blackstrap,609,Lanigan,15,4,22,0,61,0,102,
Blackstrap/Blackstrap,610,Outlook,32,6,36,0,104,0,178,
Blackstrap/Blackstrap,611,Kenaston,14,1,9,0,112,0,136,
Blackstrap/Blackstrap,,Group 1/Groupe 1,20,6,21,1,39,2,89,160
Blackstrap/Blackstrap,,Group 2/Groupe 2,157,19,141,2,231,5,555,
