Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivier Adam,Chantal Bouchard,Yves Bourassa,Alain Dubois,Yves Lessard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chambly--Borduas/Chambly--Borduas"," 64","Mont-Saint-Hilaire",32,27,73,23,154,2,311,559
"Chambly--Borduas/Chambly--Borduas"," 65","Mont-Saint-Hilaire",26,39,55,39,226,5,390,525
"Chambly--Borduas/Chambly--Borduas"," 66","Mont-Saint-Hilaire",23,48,51,33,131,6,292,410
"Chambly--Borduas/Chambly--Borduas"," 67","Mont-Saint-Hilaire",25,59,75,29,128,2,318,488
"Chambly--Borduas/Chambly--Borduas"," 68","Mont-Saint-Hilaire",20,33,81,37,162,1,334,504
"Chambly--Borduas/Chambly--Borduas"," 69","Mont-Saint-Hilaire",11,29,57,37,130,1,265,407
"Chambly--Borduas/Chambly--Borduas"," 70","Mont-Saint-Hilaire",10,27,52,32,136,2,259,383
"Chambly--Borduas/Chambly--Borduas"," 71","Mont-Saint-Hilaire",16,26,42,29,125,4,242,348
"Chambly--Borduas/Chambly--Borduas"," 72","Mont-Saint-Hilaire",24,32,47,14,130,1,248,347
"Chambly--Borduas/Chambly--Borduas"," 73","Mont-Saint-Hilaire",21,32,42,25,140,1,261,387
"Chambly--Borduas/Chambly--Borduas"," 74","Mont-Saint-Hilaire",21,31,55,14,157,4,282,461
"Chambly--Borduas/Chambly--Borduas"," 75","Saint-Jean-Baptiste",14,26,72,33,164,4,313,464
"Chambly--Borduas/Chambly--Borduas"," 76","Saint-Jean-Baptiste",9,25,76,18,147,7,282,541
"Chambly--Borduas/Chambly--Borduas"," 77","Saint-Jean-Baptiste",18,25,67,19,176,8,313,524
"Chambly--Borduas/Chambly--Borduas"," 78","Saint-Jean-Baptiste",6,21,50,11,117,0,205,386
"Chambly--Borduas/Chambly--Borduas"," 79","Otterburn Park",9,27,45,28,134,3,246,449
"Chambly--Borduas/Chambly--Borduas"," 80","Otterburn Park",23,36,58,27,167,4,315,552
"Chambly--Borduas/Chambly--Borduas"," 81","Otterburn Park",22,42,59,35,136,0,294,458
"Chambly--Borduas/Chambly--Borduas"," 82","Otterburn Park",14,44,46,38,114,0,256,424
"Chambly--Borduas/Chambly--Borduas"," 83","Otterburn Park",23,51,48,25,118,1,266,405
"Chambly--Borduas/Chambly--Borduas"," 84","Otterburn Park",20,32,76,35,174,2,339,514
"Chambly--Borduas/Chambly--Borduas"," 85","Otterburn Park",27,34,50,36,107,5,259,397
"Chambly--Borduas/Chambly--Borduas"," 86","Otterburn Park",15,30,57,19,158,3,282,455
"Chambly--Borduas/Chambly--Borduas"," 87","Otterburn Park",19,28,40,18,159,1,265,412
"Chambly--Borduas/Chambly--Borduas"," 88","Otterburn Park",21,46,73,33,190,7,370,537
"Chambly--Borduas/Chambly--Borduas"," 89","Otterburn Park",31,33,81,24,196,0,365,602
"Chambly--Borduas/Chambly--Borduas"," 90","Otterburn Park",9,38,60,27,170,2,306,490
"Chambly--Borduas/Chambly--Borduas"," 91","Otterburn Park",10,19,44,30,173,2,278,473
"Chambly--Borduas/Chambly--Borduas"," 92","Saint-Basile-le-Grand",17,32,37,33,210,3,332,476
"Chambly--Borduas/Chambly--Borduas"," 93","Saint-Basile-le-Grand",12,17,43,20,143,2,237,403
"Chambly--Borduas/Chambly--Borduas"," 94","Saint-Basile-le-Grand",9,15,35,7,140,2,208,401
"Chambly--Borduas/Chambly--Borduas"," 95","Saint-Basile-le-Grand",15,27,56,35,177,5,315,497
"Chambly--Borduas/Chambly--Borduas"," 96","Saint-Basile-le-Grand",23,39,74,51,249,3,439,589
"Chambly--Borduas/Chambly--Borduas"," 97A","Saint-Basile-le-Grand",15,17,43,37,158,1,271,358
"Chambly--Borduas/Chambly--Borduas"," 97B","Saint-Basile-le-Grand",13,27,50,39,134,8,271,379
"Chambly--Borduas/Chambly--Borduas"," 98","Saint-Basile-le-Grand",17,19,55,31,152,1,275,382
"Chambly--Borduas/Chambly--Borduas"," 99","Saint-Basile-le-Grand",18,22,42,25,137,6,250,383
"Chambly--Borduas/Chambly--Borduas"," 100","Saint-Basile-le-Grand",16,29,69,47,220,5,386,570
"Chambly--Borduas/Chambly--Borduas"," 101","Saint-Basile-le-Grand",20,44,87,51,279,3,484,768
"Chambly--Borduas/Chambly--Borduas"," 101-1","Saint-Basile-le-Grand",8,24,53,24,158,4,271,443
"Chambly--Borduas/Chambly--Borduas"," 102","Saint-Basile-le-Grand",28,32,42,44,241,7,394,621
"Chambly--Borduas/Chambly--Borduas"," 103","Saint-Basile-le-Grand",19,24,38,19,155,5,260,421
"Chambly--Borduas/Chambly--Borduas"," 104","Saint-Basile-le-Grand",11,27,50,24,192,4,308,509
"Chambly--Borduas/Chambly--Borduas"," 105","Saint-Basile-le-Grand",10,25,51,35,176,2,299,471
"Chambly--Borduas/Chambly--Borduas"," 106","Saint-Basile-le-Grand",23,27,58,36,219,3,366,546
"Chambly--Borduas/Chambly--Borduas"," 107","Saint-Basile-le-Grand",19,26,55,27,148,5,280,422
"Chambly--Borduas/Chambly--Borduas"," 108","Saint-Basile-le-Grand",17,34,64,34,233,9,391,551
"Chambly--Borduas/Chambly--Borduas"," 109","Saint-Basile-le-Grand",15,22,50,38,192,4,321,484
"Chambly--Borduas/Chambly--Borduas"," 110","Saint-Basile-le-Grand",14,33,65,35,216,3,366,527
"Chambly--Borduas/Chambly--Borduas"," 111A","Saint-Basile-le-Grand",17,21,40,15,124,6,223,355
"Chambly--Borduas/Chambly--Borduas"," 111B","Saint-Basile-le-Grand",9,21,52,20,130,5,237,386
"Chambly--Borduas/Chambly--Borduas"," 112","Saint-Basile-le-Grand",14,21,53,19,169,3,279,470
"Chambly--Borduas/Chambly--Borduas"," 113","Carignan",13,29,84,38,130,4,298,448
"Chambly--Borduas/Chambly--Borduas"," 114","Carignan",15,23,49,13,123,0,223,337
"Chambly--Borduas/Chambly--Borduas"," 115","Carignan",14,15,45,12,164,4,254,492
"Chambly--Borduas/Chambly--Borduas"," 116A","Carignan",16,24,46,10,105,4,205,348
"Chambly--Borduas/Chambly--Borduas"," 116B","Carignan",9,40,46,10,108,5,218,367
"Chambly--Borduas/Chambly--Borduas"," 117","Carignan",11,30,76,30,203,5,355,558
"Chambly--Borduas/Chambly--Borduas"," 118A","Carignan",11,15,31,16,109,4,186,335
"Chambly--Borduas/Chambly--Borduas"," 118B","Carignan",9,20,47,18,116,4,214,367
"Chambly--Borduas/Chambly--Borduas"," 119A","Carignan",15,24,51,18,129,1,238,365
"Chambly--Borduas/Chambly--Borduas"," 119B","Carignan",12,22,56,24,114,2,230,372
"Chambly--Borduas/Chambly--Borduas"," 120","Carignan",6,62,87,24,168,2,349,581
"Chambly--Borduas/Chambly--Borduas"," 121","Carignan",16,24,60,20,157,2,279,432
"Chambly--Borduas/Chambly--Borduas"," 122","Carignan",13,37,60,20,168,7,305,575
"Chambly--Borduas/Chambly--Borduas"," 123","Chambly",19,36,60,56,218,5,394,555
"Chambly--Borduas/Chambly--Borduas"," 124","Chambly",12,29,78,34,170,1,324,443
"Chambly--Borduas/Chambly--Borduas"," 125","Chambly",15,35,65,33,174,7,329,572
"Chambly--Borduas/Chambly--Borduas"," 126","Chambly",7,28,28,16,123,2,204,360
"Chambly--Borduas/Chambly--Borduas"," 127","Chambly",20,22,52,24,127,5,250,439
"Chambly--Borduas/Chambly--Borduas"," 128","Chambly",6,28,64,24,104,3,229,376
"Chambly--Borduas/Chambly--Borduas"," 129","Chambly",6,27,43,14,124,1,215,422
"Chambly--Borduas/Chambly--Borduas"," 130","Chambly",13,33,75,27,175,6,329,452
"Chambly--Borduas/Chambly--Borduas"," 131","Chambly",11,20,42,23,171,3,270,455
"Chambly--Borduas/Chambly--Borduas"," 132","Chambly",12,23,39,16,109,2,201,401
"Chambly--Borduas/Chambly--Borduas"," 133A","Chambly",9,19,54,21,131,5,239,356
"Chambly--Borduas/Chambly--Borduas"," 133B","Chambly",11,36,45,33,133,0,258,388
"Chambly--Borduas/Chambly--Borduas"," 134","Chambly",7,23,60,27,171,7,295,456
"Chambly--Borduas/Chambly--Borduas"," 135","Chambly",15,25,62,32,204,8,346,517
"Chambly--Borduas/Chambly--Borduas"," 136","Chambly",13,37,41,28,125,3,247,357
"Chambly--Borduas/Chambly--Borduas"," 137","Chambly",18,44,54,38,196,3,353,545
"Chambly--Borduas/Chambly--Borduas"," 138","Chambly",8,35,60,25,132,0,260,422
"Chambly--Borduas/Chambly--Borduas"," 139","Chambly",16,25,46,23,114,0,224,379
"Chambly--Borduas/Chambly--Borduas"," 140","Chambly",20,44,61,31,225,4,385,634
"Chambly--Borduas/Chambly--Borduas"," 141","Chambly",7,16,38,35,185,3,284,433
"Chambly--Borduas/Chambly--Borduas"," 142A","Chambly",13,12,36,19,134,1,215,350
"Chambly--Borduas/Chambly--Borduas"," 142B","Chambly",9,18,46,21,130,0,224,355
"Chambly--Borduas/Chambly--Borduas"," 143","Chambly",19,37,96,30,185,4,371,540
"Chambly--Borduas/Chambly--Borduas"," 144","Chambly",16,28,47,21,147,4,263,409
"Chambly--Borduas/Chambly--Borduas"," 145","Chambly",8,30,62,30,196,13,339,601
"Chambly--Borduas/Chambly--Borduas"," 146","Chambly",6,19,34,19,132,2,212,332
"Chambly--Borduas/Chambly--Borduas"," 147","Chambly",14,30,63,22,131,2,262,412
"Chambly--Borduas/Chambly--Borduas"," 148","Chambly",7,22,25,19,108,2,183,342
"Chambly--Borduas/Chambly--Borduas"," 149","Chambly",5,10,24,7,55,1,102,336
"Chambly--Borduas/Chambly--Borduas"," 150","Chambly",11,42,40,23,116,3,235,400
"Chambly--Borduas/Chambly--Borduas"," 151","Chambly",26,22,56,21,117,6,248,430
"Chambly--Borduas/Chambly--Borduas"," 152","Chambly",8,31,49,13,122,3,226,388
"Chambly--Borduas/Chambly--Borduas"," 153","Chambly",17,26,53,24,130,3,253,417
"Chambly--Borduas/Chambly--Borduas"," 154","Chambly",10,18,57,20,166,3,274,422
"Chambly--Borduas/Chambly--Borduas"," 155","Chambly",20,35,50,22,204,10,341,543
"Chambly--Borduas/Chambly--Borduas"," 156","Chambly",16,36,76,33,221,7,389,685
"Chambly--Borduas/Chambly--Borduas"," 157","Chambly",15,31,49,29,160,3,287,466
"Chambly--Borduas/Chambly--Borduas"," 158","Saint-Mathias-sur-Richelieu",19,23,43,27,149,6,267,443
"Chambly--Borduas/Chambly--Borduas"," 159","Saint-Mathias-sur-Richelieu",12,21,62,21,111,7,234,373
"Chambly--Borduas/Chambly--Borduas"," 160","Saint-Mathias-sur-Richelieu",15,20,56,17,144,4,256,389
"Chambly--Borduas/Chambly--Borduas"," 161","Saint-Mathias-sur-Richelieu",15,37,48,19,130,3,252,377
"Chambly--Borduas/Chambly--Borduas"," 162","Saint-Mathias-sur-Richelieu",20,30,78,27,242,4,401,629
"Chambly--Borduas/Chambly--Borduas"," 163","Saint-Mathias-sur-Richelieu",27,18,72,37,259,4,417,574
"Chambly--Borduas/Chambly--Borduas"," 164","Saint-Mathias-sur-Richelieu",11,28,35,9,113,2,198,326
"Chambly--Borduas/Chambly--Borduas"," 165","Saint-Mathias-sur-Richelieu",9,14,70,15,109,4,221,393
"Chambly--Borduas/Chambly--Borduas"," 166","Richelieu",15,36,51,27,128,3,260,447
"Chambly--Borduas/Chambly--Borduas"," 167","Richelieu",13,25,53,18,115,4,228,370
"Chambly--Borduas/Chambly--Borduas"," 168","Richelieu",8,18,47,15,117,1,206,369
"Chambly--Borduas/Chambly--Borduas"," 169","Richelieu",15,25,45,16,160,1,262,686
"Chambly--Borduas/Chambly--Borduas"," 170","Richelieu",20,25,53,29,151,6,284,422
"Chambly--Borduas/Chambly--Borduas"," 171","Richelieu",13,21,50,19,166,4,273,428
"Chambly--Borduas/Chambly--Borduas"," 172","Notre-Dame-de-Bon-Secours",9,34,67,27,233,4,374,628
"Chambly--Borduas/Chambly--Borduas"," 173","Notre-Dame-de-Bon-Secours",10,20,33,19,87,4,173,308
"Chambly--Borduas/Chambly--Borduas"," 174","Notre-Dame-de-Bon-Secours",23,30,58,22,126,1,260,468
"Chambly--Borduas/Chambly--Borduas"," 175","Sainte-Marie-de-Monnoir",6,24,65,16,133,5,249,423
"Chambly--Borduas/Chambly--Borduas"," 176","Sainte-Marie-de-Monnoir",7,18,59,12,184,0,280,505
"Chambly--Borduas/Chambly--Borduas"," 177","Marieville",12,21,67,23,172,3,298,533
"Chambly--Borduas/Chambly--Borduas"," 178","Marieville",15,23,42,22,105,2,209,364
"Chambly--Borduas/Chambly--Borduas"," 179","Marieville",7,18,42,9,84,4,164,359
"Chambly--Borduas/Chambly--Borduas"," 180","Marieville",8,16,33,20,153,4,234,457
"Chambly--Borduas/Chambly--Borduas"," 181","Marieville",8,22,66,18,180,3,297,480
"Chambly--Borduas/Chambly--Borduas"," 182","Marieville",6,32,59,13,111,2,223,328
"Chambly--Borduas/Chambly--Borduas"," 183","Marieville",14,16,46,7,97,4,184,391
"Chambly--Borduas/Chambly--Borduas"," 184","Marieville",11,23,30,23,143,3,233,471
"Chambly--Borduas/Chambly--Borduas"," 185","Marieville",14,19,67,15,199,5,319,496
"Chambly--Borduas/Chambly--Borduas"," 186","Marieville",5,16,45,15,103,3,187,360
"Chambly--Borduas/Chambly--Borduas"," 187","Sainte-Marie-de-Monnoir",24,20,51,20,160,7,282,438
"Chambly--Borduas/Chambly--Borduas"," 188","Sainte-Marie-de-Monnoir",6,21,50,18,102,2,199,326
"Chambly--Borduas/Chambly--Borduas"," 600","McMasterville--Saint-Mathieu-de-Beausoleil",20,116,208,41,309,13,707,
"Chambly--Borduas/Chambly--Borduas"," 601","Beloeil",22,112,173,36,349,6,698,
"Chambly--Borduas/Chambly--Borduas"," 602","Mont-Saint-Hilaire--Saint-Jean-Baptiste",21,178,234,41,351,9,834,
"Chambly--Borduas/Chambly--Borduas"," 603","Otterburn Park",17,118,120,35,163,1,454,
"Chambly--Borduas/Chambly--Borduas"," 604","Saint-Basile-le-Grand",21,120,162,54,489,4,850,
"Chambly--Borduas/Chambly--Borduas"," 605","Carignan--Chambly",8,67,96,25,182,4,382,
"Chambly--Borduas/Chambly--Borduas"," 606","Richelieu--Saint-Mathias-sur-Richelieu",23,158,204,63,438,7,893,
"Chambly--Borduas/Chambly--Borduas"," 607","Carignan--Chambly",10,76,89,22,131,6,334,
"Chambly--Borduas/Chambly--Borduas"," 608","Chambly",17,106,139,38,224,6,530,
"Chambly--Borduas/Chambly--Borduas"," 609","Marieville",13,100,119,14,206,6,458,
"Chambly--Borduas/Chambly--Borduas"," 610","Saint-Jean-Baptiste",12,13,62,14,86,1,188,
"Chambly--Borduas/Chambly--Borduas",,Group 1/Groupe 1,5,19,23,3,17,0,67,176
"Chambly--Borduas/Chambly--Borduas",,Group 2/Groupe 2,32,311,190,84,516,28,1161,
